RANK,MOVEMENT,PLAYER_ID,PLAYER,%,PAR OR BETTER,MISSED GIR
1,0,12602,Dean Wilson,67.16,180,268
2,0,19846,Brian Gay,66.51,429,645
3,0,20160,Charlie Wi,65.56,375,572
4,0,23983,Luke Donald,65.41,278,425
5,0,23108,Matt Kuchar,64.69,339,524
6,0,20127,Chris Riley,64.47,254,394
7,0,21961,Charles Howell III,64.46,361,560
8,0,25396,Kevin Na,64.45,368,571
9,0,25720,Chad Collins,64.37,336,522
10,0,20593,Greg Chalmers,64.32,366,569
11,0,01313,Steve Elkington,64.23,246,383
12,0,20157,Retief Goosen,63.91,278,435
13,0,22405,Justin Rose,63.85,302,473
14,0,06527,Steve Stricker,63.75,262,411
15,0,20686,Jeev Milkha Singh,63.69,207,325
16,0,10809,Jim Furyk,63.47,278,438
17,0,21731,Freddie Jacobson,63.20,304,481
18,0,21350,Ryuji Imada,63.13,363,575
19,0,22293,Heath Slocum,62.87,320,509
20,0,24357,K.J. Choi,62.67,277,442
20,0,23135,Tim Clark,62.67,319,509
22,0,27141,J.B. Holmes,62.48,388,621
23,0,06595,Kevin Sutherland,62.44,271,434
24,0,23800,Bryce Molder,62.40,312,500
25,0,23623,Bo Van Pelt,62.33,359,576
26,0,24361,Pat Perez,62.23,313,503
27,0,21878,Mark Wilson,62.16,276,444
28,0,25345,Carl Pettersson,62.06,368,593
29,0,06251,Chris DiMarco,61.87,305,493
30,0,21753,Brian Davis,61.85,415,671
31,0,01810,Phil Mickelson,61.84,295,477
32,0,24140,Sean O'Hair,61.83,290,469
33,0,01945,Kenny Perry,61.74,234,379
34,0,24925,Jonathan Byrd,61.66,283,459
35,0,26882,Michael Sim,61.58,242,393
36,0,27436,Graham DeLaet,61.56,261,424
37,0,20498,Briny Baird,61.49,281,457
38,0,08385,Omar Uresti,61.44,239,389
39,0,02206,David Toms,61.29,304,496
40,0,06515,Shaun Micheel,61.27,242,395
41,0,06522,Ernie Els,61.23,248,405
42,0,20766,Padraig Harrington,61.20,235,384
