RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG (%),TOTAL SHOT DISTANCE,TOTAL DISTANCE
1,0,01249,John Daly,69.93,1533826,219333
2,0,24358,Robert Garrigus,69.56,1991184,286259
3,0,30925,Dustin Johnson,69.17,2034683,294172
4,0,27141,J.B. Holmes,69.01,2826809,409618
5,0,25804,Bubba Watson,68.77,2130656,309833
6,0,27436,Graham DeLaet,68.52,2416375,352649
7,0,23322,Brett Wetterich,68.45,1685670,246255
8,0,20848,Ángel Cabrera,68.39,1647707,240938
9,0,23349,Charles Warren,68.27,1735343,254198
10,0,28500,Martin Flores,68.13,1995020,292840
11,0,30946,Alex Prugh,68.00,2502597,368030
12,0,01810,Phil Mickelson,67.99,1781793,262071
13,0,27120,Troy Matteson,67.93,2463128,362584
14,0,23788,D.J. Trahan,67.84,2571634,379057
15,0,33419,Cameron Tringale,67.77,1397604,206213
16,0,25818,Scott Piercy,67.70,2518734,372048
17,0,28237,Rory McIlroy,67.60,1273080,188315
18,0,12716,Charley Hoffman,67.53,2406722,356397
19,0,22371,Aaron Baddeley,67.49,2713465,402067
20,0,27936,Martin Laird,67.43,2485895,368649
21,0,27095,Nick Watney,67.35,2147905,318921
22,0,28475,Jeff Overton,67.31,2256017,335186
23,0,22913,John Rollins,67.25,2351459,349679
24,0,20850,Daniel Chopra,67.09,2051564,305790
25,0,22056,Cameron Percy,67.06,1806125,269314
26,0,01945,Kenny Perry,67.05,1733107,258479
27,0,26881,Jarrod Lyle,67.04,1430027,213320
28,0,23320,Ryan Palmer,67.03,2210224,329733
29,0,06567,Vijay Singh,66.93,1811705,270705
29,0,27330,Josh Teater,66.93,2817377,420937
31,0,25562,Andres Romero,66.91,2225242,332578
31,0,26392,Chris Wilson,66.91,1584215,236781
33,0,27302,Garth Mulroy,66.90,1289887,192804
34,0,23409,James Driscoll,66.83,2283432,341694
35,0,20378,Mathias Grönberg,66.78,1558896,233448
36,0,20070,Matt Bettencourt,66.77,2113374,316514
36,0,28307,Matt Every,66.77,1559084,233493
38,0,26851,Marc Leishman,66.73,2269849,340179
38,0,23621,Rory Sabbatini,66.73,2044044,306298
40,0,26289,Boo Weekley,66.72,2326398,348665
41,0,23623,Bo Van Pelt,66.70,2697021,404362
42,0,26679,Kevin Stadler,66.69,2182092,327191
43,0,11123,Chris Couch,66.64,1795041,269375
44,0,28089,Jason Day,66.62,2225434,334073
45,0,01706,Davis Love III,66.53,2047365,307758
46,0,21961,Charles Howell III,66.50,2746167,412981
47,0,32102,Rickie Fowler,66.49,2542614,382433
48,0,24140,Sean O'Hair,66.48,1991964,299635
49,0,22122,Andrew McLardy,66.45,1342541,202028
50,0,28158,Steve Marino,66.43,1907545,287133
51,0,23548,Bill Lunde,66.36,2000803,301501
51,0,24912,Will MacKenzie,66.36,2084732,314167
53,0,20229,Stewart Cink,66.35,2015056,303694
53,0,21959,Ted Purdy,66.35,2272465,342487
55,0,27797,Derek Lamely,66.32,1959507,295482
56,0,21949,Joe Ogilvie,66.31,2620088,395106
57,0,12782,Tim Herron,66.30,2125160,320542
58,0,24781,Hunter Mahan,66.29,2063604,311289
59,0,28780,Nicholas Thompson,66.28,2337513,352659
60,0,24502,Adam Scott,66.26,1559831,235410
61,0,25900,Lucas Glover,66.19,1807682,273115
61,0,20157,Retief Goosen,66.19,1656251,250213
61,0,20691,Greg Owen,66.19,1861555,281245
64,0,20105,Jeff Gove,66.17,1342578,202888
64,0,26695,Michael Letzig,66.17,2447825,369927
64,0,27214,Kevin Streelman,66.17,2451865,370541
67,0,20686,Jeev Milkha Singh,66.16,1618046,244557
68,0,26300,Matt Jones,66.13,2423946,366523
69,0,06621,Joe Durant,66.12,1761499,266403
70,0,24925,Jonathan Byrd,66.11,2524318,381817
70,0,21209,Sergio Garcia,66.11,1067824,161526
70,0,08375,Paul Stankowski,66.11,1634448,247249
73,0,25892,Steve Wheatcroft,66.07,1756142,265802
74,0,23353,J.J. Henry,66.04,2403900,364019
74,0,01707,Steve Lowery,66.04,1706528,258389
76,0,12714,Chris Tidland,66.03,2055800,311360
77,0,27963,Chris Stroud,66.01,2180198,330261
78,0,20574,Mathew Goggin,65.98,2310571,350197
79,0,20098,Stuart Appleby,65.97,2716182,411733
80,0,27613,David Lutterus,65.95,1700619,257875
81,0,32640,Troy Merritt,65.91,2340687,355154
81,0,26596,Ryan Moore,65.91,1874494,284394
83,0,23307,Roger Tambellini,65.88,1883697,285909
84,0,25364,Paul Casey,65.87,1386756,210539
84,0,24924,Bill Haas,65.87,2261622,343365
86,0,20663,Brenden Pappas,65.86,1653295,251028
86,0,26287,Roland Thatcher,65.86,2053765,311851
88,0,24361,Pat Perez,65.83,2516369,382235
89,0,29910,Blake Adams,65.79,2304195,350232
89,0,20645,John Senden,65.79,2620474,398300
91,0,25632,Jimmy Walker,65.78,2116962,321847
92,0,27933,John Merrick,65.77,2819845,428711
93,0,08725,Tom Gillis,65.75,2709795,412138
94,0,23325,Vaughn Taylor,65.70,2370127,360763
95,0,23638,Brendon de Jonge,65.68,2732815,416074
96,0,01313,Steve Elkington,65.65,1748446,266334
97,0,20766,Padraig Harrington,65.64,1333224,203109
98,0,22046,Geoff Ogilvy,65.63,1516761,231104
99,0,10585,Scott McCarron,65.60,2484211,378683
100,0,31560,Brian Stuard,65.53,2154905,328837
101,0,23108,Matt Kuchar,65.51,2286831,349060
102,0,22946,Henrik Bjornstad,65.50,1773285,270751
103,0,06595,Kevin Sutherland,65.42,2310571,353169
104,0,24663,Y.E. Yang,65.41,1794095,274281
105,0,28087,Kris Blanks,65.39,2193541,335449
105,0,09011,David Duval,65.39,1628859,249103
107,0,01161,Mark Calcavecchia,65.35,991414,151700
108,0,24490,George McNeill,65.32,2113024,323504
108,0,26301,James Nitties,65.32,2420422,370554
108,0,29221,Webb Simpson,65.32,2781364,425834
111,0,27770,Camilo Villegas,65.31,1725426,264200
112,0,25345,Carl Pettersson,65.30,2492454,381703
113,0,10425,Jay Williamson,65.25,1858460,284837
114,0,20572,Rod Pampling,65.24,2070341,317347
115,0,23613,Rich Barcelo,65.22,1765278,270683
116,0,24846,Ricky Barnes,65.20,2485300,381163
117,0,10885,Robert Allenby,65.14,1868811,286881
118,0,12705,Cliff Kresge,65.13,1353384,207799
119,0,01724,Jeff Maggert,65.12,1907962,293000
119,0,22405,Justin Rose,65.12,2147196,329709
121,0,01766,Billy Mayfair,65.06,1953759,300294
122,0,06522,Ernie Els,65.04,1678164,258035
123,0,21731,Freddie Jacobson,65.03,2346040,360781
124,0,12510,Chad Campbell,65.00,2461141,378658
125,0,12652,Cameron Beckman,64.98,1794417,276147
