RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS
1,0,01810,Phil Mickelson,6095.063
2,0,24781,Hunter Mahan,4095.620
3,0,25804,Bubba Watson,3894.319
4,0,10809,Jim Furyk,3763.642
5,0,06527,Steve Stricker,3697.976
6,0,30925,Dustin Johnson,3573.804
7,0,28475,Jeff Overton,3533.148
8,0,23108,Matt Kuchar,3415.853
9,0,29718,Anthony Kim,3274.684
10,0,25900,Lucas Glover,3052.874
11,0,24024,Zach Johnson,3051.897
12,0,08793,Tiger Woods,2902.580
13,0,23623,Bo Van Pelt,2662.234
14,0,20229,Stewart Cink,2644.833
15,0,23541,Ben Crane,2629.796
16,0,24846,Ricky Barnes,2610.171
17,0,27095,Nick Watney,2557.441
18,0,24140,Sean O'Hair,2417.574
19,0,27141,J.B. Holmes,2390.710
20,0,32102,Rickie Fowler,2353.320
21,0,23320,Ryan Palmer,2276.379
22,0,26596,Ryan Moore,2136.095
23,0,24507,Jason Bohn,1817.241
24,0,01945,Kenny Perry,1790.826
25,0,02239,Scott Verplank,1756.601
26,0,24924,Bill Haas,1706.570
27,0,22293,Heath Slocum,1524.358
28,0,23325,Vaughn Taylor,1509.716
29,0,12510,Chad Campbell,1500.973
30,0,23800,Bryce Molder,1462.130
31,0,25396,Kevin Na,1458.393
32,0,28158,Steve Marino,1457.508
33,0,27649,Brandt Snedeker,1356.607
34,0,01706,Davis Love III,1341.316
35,0,25686,Jason Dufner,1322.730
36,0,09011,David Duval,1303.689
37,0,19846,Brian Gay,1283.458
38,0,21961,Charles Howell III,1106.838
39,0,06643,Paul Goydos,1088.445
40,0,23788,D.J. Trahan,1083.763
41,0,06515,Shaun Micheel,1042.425
42,0,02256,Tom Watson,1031.345
43,0,25240,D.A. Points,1029.564
44,0,22621,Ben Curtis,973.439
45,0,08075,Jerry Kelly,946.536
46,0,26289,Boo Weekley,941.979
47,0,01928,Corey Pavin,920.953
48,0,29910,Blake Adams,918.468
49,0,10860,Justin Leonard,917.638
50,0,25632,Jimmy Walker,907.158
51,0,22913,John Rollins,883.846
52,0,27933,John Merrick,866.890
53,0,02206,David Toms,862.549
54,0,06595,Kevin Sutherland,826.386
55,0,28087,Kris Blanks,810.565
56,0,11123,Chris Couch,796.837
57,0,12716,Charley Hoffman,796.366
58,0,24361,Pat Perez,790.317
59,0,30946,Alex Prugh,788.776
60,0,23353,J.J. Henry,771.056
61,0,20127,Chris Riley,752.572
62,0,01948,Tim Petrovic,728.939
63,0,07457,Steve Flesch,726.505
64,0,20436,Garrett Willis,725.698
65,0,01724,Jeff Maggert,724.884
66,0,08725,Tom Gillis,722.220
67,0,27330,Josh Teater,720.312
68,0,27120,Troy Matteson,711.221
69,0,20070,Matt Bettencourt,708.900
70,0,27466,Spencer Levin,706.894
71,0,08537,J.P. Hayes,699.688
72,0,01226,Fred Couples,699.142
73,0,12652,Cameron Beckman,665.316
74,0,12602,Dean Wilson,659.810
75,0,01320,Bob Estes,654.078
76,0,32640,Troy Merritt,652.068
77,0,24358,Robert Garrigus,641.039
78,0,25720,Chad Collins,634.445
79,0,26679,Kevin Stadler,626.651
80,0,27797,Derek Lamely,624.233
81,0,21949,Joe Ogilvie,623.210
82,0,27963,Chris Stroud,620.191
83,0,23548,Bill Lunde,604.734
84,0,20498,Briny Baird,598.670
85,0,07867,Woody Austin,595.527
86,0,01766,Billy Mayfair,569.513
87,0,27214,Kevin Streelman,551.134
88,0,24490,George McNeill,518.293
89,0,01577,Lee Janzen,517.526
90,0,10585,Scott McCarron,516.376
91,0,24925,Jonathan Byrd,502.544
92,0,01941,Tom Pernice Jr.,496.557
93,0,29221,Webb Simpson,493.397
94,0,21878,Mark Wilson,486.671
95,0,01677,Tom Lehman,460.811
96,0,28780,Nicholas Thompson,460.368
97,0,26695,Michael Letzig,452.374
98,0,27060,John Mallinger,450.752
99,0,23673,Michael Connell,444.583
100,0,28307,Matt Every,435.547
101,0,25818,Scott Piercy,427.094
102,0,23409,James Driscoll,417.672
103,0,08375,Paul Stankowski,412.085
104,0,06197,Michael Allen,408.991
105,0,25190,Jeff Quinney,399.911
106,0,07749,Brett Quigley,383.513
107,0,10425,Jay Williamson,371.750
108,0,26951,Johnson Wagner,363.871
109,0,23307,Roger Tambellini,349.995
110,0,12714,Chris Tidland,320.900
111,0,01116,Michael Bradley,314.620
112,0,25892,Steve Wheatcroft,309.159
113,0,06621,Joe Durant,300.685
