RANK,MOVEMENT,PLAYER_ID,PLAYER,%,ATTEMPTS,PUTTS MADE
1,0,25364,Paul Casey,98.68,604,596
2,0,20766,Padraig Harrington,98.42,634,624
3,0,01313,Steve Elkington,98.23,849,834
4,0,23983,Luke Donald,98.22,731,718
5,0,19846,Brian Gay,97.97,1132,1109
6,0,20157,Retief Goosen,97.94,729,714
7,0,12602,Dean Wilson,97.85,652,638
8,0,25190,Jeff Quinney,97.84,1111,1087
9,0,23320,Ryan Palmer,97.75,977,955
10,0,25345,Carl Pettersson,97.74,1152,1126
11,0,20593,Greg Chalmers,97.73,1189,1162
11,0,26881,Jarrod Lyle,97.73,661,646
13,0,06527,Steve Stricker,97.69,778,760
14,0,10809,Jim Furyk,97.67,858,838
14,0,26596,Ryan Moore,97.67,860,840
16,0,21961,Charles Howell III,97.60,1294,1263
17,0,01619,Skip Kendall,97.55,694,677
17,0,29221,Webb Simpson,97.55,1304,1272
19,0,28475,Jeff Overton,97.54,977,953
20,0,06004,Stephen Ames,97.50,960,936
20,0,22046,Geoff Ogilvy,97.50,681,664
20,0,24138,Ian Poulter,97.50,480,468
23,0,25720,Chad Collins,97.49,1036,1010
24,0,26882,Michael Sim,97.45,746,727
25,0,21350,Ryuji Imada,97.38,1184,1153
26,0,24507,Jason Bohn,97.36,1061,1033
27,0,22621,Ben Curtis,97.31,965,939
28,0,23353,J.J. Henry,97.30,1147,1116
29,0,12510,Chad Campbell,97.29,1181,1149
30,0,23638,Brendon de Jonge,97.27,1319,1283
30,0,23409,James Driscoll,97.27,1061,1032
32,0,10423,Mike Weir,97.24,579,563
33,0,26300,Matt Jones,97.23,1118,1087
33,0,02239,Scott Verplank,97.23,794,772
35,0,01810,Phil Mickelson,97.18,817,794
36,0,32102,Rickie Fowler,97.14,1187,1153
37,0,10585,Scott McCarron,97.13,1186,1152
38,0,11123,Chris Couch,97.12,832,808
39,0,23673,Michael Connell,97.09,1067,1036
40,0,08375,Paul Stankowski,97.06,749,727
41,0,23108,Matt Kuchar,97.04,1046,1015
42,0,23718,Nathan Green,97.01,1137,1103
43,0,27466,Spencer Levin,97.00,1431,1388
44,0,27936,Martin Laird,96.99,1128,1094
44,0,02206,David Toms,96.99,998,968
46,0,20070,Matt Bettencourt,96.95,982,952
47,0,27933,John Merrick,96.91,1360,1318
47,0,22293,Heath Slocum,96.91,1067,1034
49,0,27649,Brandt Snedeker,96.90,1031,999
50,0,23325,Vaughn Taylor,96.88,1123,1088
51,0,23135,Tim Clark,96.83,946,916
51,0,24024,Zach Johnson,96.83,1041,1008
51,0,25562,Andres Romero,96.83,1008,976
54,0,23623,Bo Van Pelt,96.82,1228,1189
55,0,23613,Rich Barcelo,96.76,834,807
55,0,23541,Ben Crane,96.76,925,895
57,0,30946,Alex Prugh,96.74,1135,1098
58,0,29285,Brent Delahoussaye,96.72,670,648
58,0,27095,Nick Watney,96.72,976,944
60,0,21731,Freddie Jacobson,96.70,1090,1054
61,0,32640,Troy Merritt,96.68,1053,1018
61,0,20127,Chris Riley,96.68,904,874
63,0,06012,Greg Kraft,96.67,571,552
64,0,23800,Bryce Molder,96.66,1019,985
65,0,26301,James Nitties,96.65,1136,1098
66,0,29910,Blake Adams,96.64,1100,1063
66,0,20850,Daniel Chopra,96.64,952,920
66,0,27797,Derek Lamely,96.64,923,892
69,0,25396,Kevin Na,96.62,1064,1028
70,0,10860,Justin Leonard,96.61,1032,997
70,0,01945,Kenny Perry,96.61,797,770
72,0,01941,Tom Pernice Jr.,96.57,846,817
73,0,32617,Jerod Turner,96.56,581,561
74,0,22913,John Rollins,96.55,1073,1036
75,0,20498,Briny Baird,96.53,1152,1112
75,0,28087,Kris Blanks,96.53,1094,1056
75,0,24781,Hunter Mahan,96.53,952,919
78,0,12652,Cameron Beckman,96.49,855,825
78,0,28089,Jason Day,96.49,996,961
78,0,23548,Bill Lunde,96.49,996,961
81,0,06522,Ernie Els,96.48,796,768
82,0,26287,Roland Thatcher,96.46,990,955
83,0,12716,Charley Hoffman,96.45,1100,1061
84,0,20572,Rod Pampling,96.44,1039,1002
84,0,22405,Justin Rose,96.44,983,948
84,0,20645,John Senden,96.44,1264,1219
84,0,08385,Omar Uresti,96.44,928,895
88,0,08725,Tom Gillis,96.43,1259,1214
88,0,25632,Jimmy Walker,96.43,1007,971
90,0,01948,Tim Petrovic,96.42,1370,1321
91,0,27963,Chris Stroud,96.39,1026,989
91,0,26951,Johnson Wagner,96.39,1080,1041
93,0,22371,Aaron Baddeley,96.38,1244,1199
93,0,20229,Stewart Cink,96.38,939,905
93,0,25804,Bubba Watson,96.38,967,932
96,0,20848,Ángel Cabrera,96.37,744,717
96,0,25818,Scott Piercy,96.37,1131,1090
98,0,26851,Marc Leishman,96.35,1041,1003
98,0,07749,Brett Quigley,96.35,1289,1242
100,0,25900,Lucas Glover,96.34,846,815
101,0,10885,Robert Allenby,96.33,871,839
101,0,24361,Pat Perez,96.33,1172,1129
103,0,24358,Robert Garrigus,96.30,865,833
103,0,24924,Bill Haas,96.30,1108,1067
105,0,28620,Aron Price,96.29,890,857
106,0,06595,Kevin Sutherland,96.26,1175,1131
107,0,26289,Boo Weekley,96.25,1093,1052
107,0,24663,Y.E. Yang,96.25,801,771
109,0,20098,Stuart Appleby,96.23,1273,1225
110,0,06251,Chris DiMarco,96.21,1135,1092
110,0,01707,Steve Lowery,96.21,818,787
112,0,01329,Brad Faxon,96.20,684,658
112,0,07457,Steve Flesch,96.20,921,886
114,0,01577,Lee Janzen,96.18,1021,982
114,0,06515,Shaun Micheel,96.18,759,730
116,0,31560,Brian Stuard,96.16,1015,976
116,0,10425,Jay Williamson,96.16,886,852
118,0,22946,Henrik Bjornstad,96.15,882,848
119,0,12705,Cliff Kresge,96.14,673,647
119,0,27060,John Mallinger,96.14,932,896
119,0,20663,Brenden Pappas,96.14,804,773
122,0,01320,Bob Estes,96.13,1034,994
122,0,21209,Sergio Garcia,96.13,543,522
124,0,22122,Andrew McLardy,96.10,641,616
125,0,24490,George McNeill,96.09,972,934
126,0,06643,Paul Goydos,96.06,939,902
127,0,08537,J.P. Hayes,96.04,960,922
127,0,22378,Trevor Immelman,96.04,631,606
129,0,26695,Michael Letzig,96.02,1155,1109
130,0,27120,Troy Matteson,96.00,1175,1128
131,0,28158,Steve Marino,95.99,897,861
131,0,12714,Chris Tidland,95.99,972,933
133,0,21753,Brian Davis,95.91,1271,1219
134,0,20160,Charlie Wi,95.89,1241,1190
135,0,01116,Michael Bradley,95.87,993,952
136,0,27141,J.B. Holmes,95.85,1253,1201
136,0,25892,Steve Wheatcroft,95.85,820,786
138,0,28237,Rory McIlroy,95.83,576,552
138,0,21878,Mark Wilson,95.83,1152,1104
140,0,07867,Woody Austin,95.81,1192,1142
141,0,20436,Garrett Willis,95.80,1025,982
142,0,24357,K.J. Choi,95.79,879,842
142,0,26420,Richard Johnson,95.79,1070,1025
142,0,08075,Jerry Kelly,95.79,1212,1161
145,0,28307,Matt Every,95.77,709,679
146,0,24140,Sean O'Hair,95.74,938,898
147,0,27330,Josh Teater,95.73,1359,1301
148,0,12782,Tim Herron,95.70,1001,958
149,0,27770,Camilo Villegas,95.62,845,808
150,0,30925,Dustin Johnson,95.58,906,866
151,0,23322,Brett Wetterich,95.57,767,733
152,0,20472,Alex Cejka,95.56,991,947
152,0,01706,Davis Love III,95.56,990,946
152,0,25240,D.A. Points,95.56,1125,1075
155,0,27436,Graham DeLaet,95.55,1124,1074
156,0,12755,Vance Veazey,95.53,693,662
157,0,24925,Jonathan Byrd,95.50,1201,1147
158,0,21949,Joe Ogilvie,95.49,1241,1185
159,0,24846,Ricky Barnes,95.47,1193,1139
159,0,09011,David Duval,95.47,794,758
159,0,28500,Martin Flores,95.47,927,885
162,0,06621,Joe Durant,95.45,835,797
163,0,23307,Roger Tambellini,95.44,944,901
164,0,20686,Jeev Milkha Singh,95.42,765,730
164,0,27214,Kevin Streelman,95.42,1157,1104
164,0,23349,Charles Warren,95.42,807,770
167,0,33419,Cameron Tringale,95.36,690,658
168,0,21959,Ted Purdy,95.31,1108,1056
169,0,20574,Mathew Goggin,95.30,1127,1074
170,0,01797,Rocco Mediate,95.29,912,869
171,0,06567,Vijay Singh,95.24,862,821
172,0,23621,Rory Sabbatini,95.09,958,911
173,0,23788,D.J. Trahan,95.05,1232,1171
174,0,01724,Jeff Maggert,94.82,926,878
175,0,26679,Kevin Stadler,94.77,1071,1015
176,0,22056,Cameron Percy,94.70,906,858
177,0,01249,John Daly,94.63,689,652
178,0,24912,Will MacKenzie,94.54,1008,953
179,0,28780,Nicholas Thompson,94.52,1149,1086
180,0,25686,Jason Dufner,94.48,1051,993
181,0,20378,Mathias Grönberg,94.44,738,697
182,0,20691,Greg Owen,94.37,959,905
183,0,24227,Justin Bolli,94.32,634,598
184,0,01766,Billy Mayfair,94.27,977,921
185,0,06514,Kevin Johnson,94.03,737,693
186,0,07363,Craig Bowden,94.01,734,690
187,0,20105,Jeff Gove,94.00,683,642
188,0,24502,Adam Scott,93.98,781,734
189,0,27613,David Lutterus,93.79,838,786
190,0,27302,Garth Mulroy,93.77,642,602
191,0,26392,Chris Wilson,93.66,789,739
192,0,01161,Mark Calcavecchia,92.68,492,456
