RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL HOLES
1,0,01810,Phil Mickelson,3.84,119,31
2,0,06621,Joe Durant,3.87,678,175
3,0,06522,Ernie Els,3.91,168,43
3,0,12716,Charley Hoffman,3.91,548,140
3,0,06515,Shaun Micheel,3.91,496,127
3,0,23800,Bryce Molder,3.91,614,157
7,0,25364,Paul Casey,3.94,303,77
7,0,30925,Dustin Johnson,3.94,335,85
9,0,29910,Blake Adams,3.95,770,195
9,0,10885,Robert Allenby,3.95,383,97
9,0,24507,Jason Bohn,3.95,593,150
9,0,28089,Jason Day,3.95,549,139
9,0,23638,Brendon de Jonge,3.95,738,187
9,0,20157,Retief Goosen,3.95,300,76
9,0,22913,John Rollins,3.95,647,164
9,0,12602,Dean Wilson,3.95,261,66
17,0,01313,Steve Elkington,3.96,546,138
17,0,01766,Billy Mayfair,3.96,911,230
19,0,24925,Jonathan Byrd,3.97,698,176
19,0,23673,Michael Connell,3.97,690,174
19,0,23541,Ben Crane,3.97,608,153
19,0,24924,Bill Haas,3.97,691,174
19,0,23320,Ryan Palmer,3.97,623,157
19,0,01945,Kenny Perry,3.97,345,87
25,0,12510,Chad Campbell,3.98,652,164
25,0,22621,Ben Curtis,3.98,637,160
25,0,20105,Jeff Gove,3.98,509,128
25,0,27141,J.B. Holmes,3.98,625,157
25,0,21961,Charles Howell III,3.98,640,161
25,0,25345,Carl Pettersson,3.98,900,226
25,0,22293,Heath Slocum,3.98,521,131
25,0,23623,Bo Van Pelt,3.98,477,120
25,0,27095,Nick Watney,3.98,430,108
34,0,11123,Chris Couch,3.99,726,182
34,0,08537,J.P. Hayes,3.99,347,87
34,0,22122,Andrew McLardy,3.99,683,171
34,0,24490,George McNeill,3.99,471,118
34,0,22046,Geoff Ogilvy,3.99,291,73
34,0,24361,Pat Perez,3.99,651,163
34,0,25190,Jeff Quinney,3.99,771,193
34,0,27649,Brandt Snedeker,3.99,599,150
34,0,27963,Chris Stroud,3.99,627,157
43,0,24846,Ricky Barnes,4.00,937,234
43,0,20472,Alex Cejka,4.00,600,150
43,0,25240,D.A. Points,4.00,548,137
43,0,07749,Brett Quigley,4.00,604,151
43,0,25562,Andres Romero,4.00,428,107
48,0,23409,James Driscoll,4.01,582,145
48,0,28307,Matt Every,4.01,598,149
48,0,19846,Brian Gay,4.01,870,217
48,0,21731,Freddie Jacobson,4.01,646,161
48,0,26851,Marc Leishman,4.01,357,89
48,0,27466,Spencer Levin,4.01,761,190
48,0,27933,John Merrick,4.01,827,206
48,0,24140,Sean O'Hair,4.01,557,139
48,0,30946,Alex Prugh,4.01,546,136
48,0,22405,Justin Rose,4.01,389,97
48,0,24502,Adam Scott,4.01,381,95
48,0,24663,Y.E. Yang,4.01,569,142
60,0,20593,Greg Chalmers,4.02,711,177
60,0,24357,K.J. Choi,4.02,470,117
60,0,32102,Rickie Fowler,4.02,478,119
60,0,21350,Ryuji Imada,4.02,852,212
60,0,23108,Matt Kuchar,4.02,382,95
60,0,01724,Jeff Maggert,4.02,531,132
60,0,28237,Rory McIlroy,4.02,338,84
60,0,26679,Kevin Stadler,4.02,893,222
60,0,06595,Kevin Sutherland,4.02,559,139
60,0,23325,Vaughn Taylor,4.02,889,221
60,0,20160,Charlie Wi,4.02,490,122
71,0,06251,Chris DiMarco,4.03,758,188
71,0,25686,Jason Dufner,4.03,609,151
71,0,26420,Richard Johnson,4.03,874,217
71,0,08075,Jerry Kelly,4.03,645,160
71,0,24912,Will MacKenzie,4.03,467,116
71,0,27120,Troy Matteson,4.03,750,186
71,0,23621,Rory Sabbatini,4.03,516,128
71,0,08385,Omar Uresti,4.03,798,198
71,0,12755,Vance Veazey,4.03,347,86
71,0,26289,Boo Weekley,4.03,729,181
71,0,23322,Brett Wetterich,4.03,556,138
82,0,20098,Stuart Appleby,4.04,888,220
82,0,20229,Stewart Cink,4.04,392,97
82,0,23135,Tim Clark,4.04,569,141
82,0,25720,Chad Collins,4.04,638,158
82,0,08725,Tom Gillis,4.04,969,240
82,0,23718,Nathan Green,4.04,639,158
82,0,27302,Garth Mulroy,4.04,384,95
82,0,25396,Kevin Na,4.04,602,149
82,0,28475,Jeff Overton,4.04,614,152
82,0,01948,Tim Petrovic,4.04,860,213
82,0,20645,John Senden,4.04,942,233
82,0,12714,Chris Tidland,4.04,521,129
82,0,26951,Johnson Wagner,4.04,832,206
95,0,27436,Graham DeLaet,4.05,604,149
95,0,26300,Matt Jones,4.05,770,190
95,0,24781,Hunter Mahan,4.05,421,104
95,0,01797,Rocco Mediate,4.05,449,111
95,0,01941,Tom Pernice Jr.,4.05,701,173
95,0,20127,Chris Riley,4.05,530,131
95,0,08375,Paul Stankowski,4.05,401,99
95,0,27214,Kevin Streelman,4.05,769,190
95,0,06527,Steve Stricker,4.05,81,20
95,0,23788,D.J. Trahan,4.05,915,226
95,0,02239,Scott Verplank,4.05,567,140
95,0,25632,Jimmy Walker,4.05,716,177
107,0,01249,John Daly,4.06,442,109
107,0,23983,Luke Donald,4.06,382,94
107,0,01320,Bob Estes,4.06,711,175
107,0,07457,Steve Flesch,4.06,637,157
107,0,27936,Martin Laird,4.06,722,178
107,0,10860,Justin Leonard,4.06,621,153
107,0,10585,Scott McCarron,4.06,808,199
107,0,28620,Aron Price,4.06,572,141
107,0,26882,Michael Sim,4.06,638,157
107,0,23307,Roger Tambellini,4.06,890,219
107,0,33419,Cameron Tringale,4.06,515,127
107,0,21878,Mark Wilson,4.06,666,164
119,0,06004,Stephen Ames,4.07,586,144
119,0,22371,Aaron Baddeley,4.07,774,190
119,0,28087,Kris Blanks,4.07,986,242
119,0,09011,David Duval,4.07,403,99
119,0,24024,Zach Johnson,4.07,436,107
119,0,26695,Michael Letzig,4.07,789,194
119,0,01706,Davis Love III,4.07,387,95
119,0,26596,Ryan Moore,4.07,488,120
119,0,25818,Scott Piercy,4.07,863,212
119,0,24138,Ian Poulter,4.07,183,45
119,0,29221,Webb Simpson,4.07,623,153
119,0,20436,Garrett Willis,4.07,561,138
131,0,23613,Rich Barcelo,4.08,803,197
131,0,22946,Henrik Bjornstad,4.08,486,119
131,0,25900,Lucas Glover,4.08,388,95
131,0,20766,Padraig Harrington,4.08,212,52
131,0,01619,Skip Kendall,4.08,477,117
131,0,06567,Vijay Singh,4.08,367,90
131,0,28780,Nicholas Thompson,4.08,686,168
131,0,25892,Steve Wheatcroft,4.08,531,130
139,0,24227,Justin Bolli,4.09,786,192
139,0,29285,Brent Delahoussaye,4.09,519,127
139,0,24358,Robert Garrigus,4.09,528,129
139,0,23353,J.J. Henry,4.09,925,226
139,0,28158,Steve Marino,4.09,483,118
139,0,32640,Troy Merritt,4.09,617,151
139,0,21949,Joe Ogilvie,4.09,790,193
139,0,20572,Rod Pampling,4.09,564,138
139,0,20663,Brenden Pappas,4.09,790,193
139,0,27330,Josh Teater,4.09,936,229
139,0,02206,David Toms,4.09,524,128
150,0,01116,Michael Bradley,4.10,632,154
150,0,21753,Brian Davis,4.10,643,157
150,0,10809,Jim Furyk,4.10,41,10
150,0,27797,Derek Lamely,4.10,705,172
150,0,26301,James Nitties,4.10,779,190
150,0,20691,Greg Owen,4.10,684,167
150,0,20686,Jeev Milkha Singh,4.10,406,99
150,0,31560,Brian Stuard,4.10,652,159
150,0,27770,Camilo Villegas,4.10,258,63
150,0,10425,Jay Williamson,4.10,492,120
150,0,26392,Chris Wilson,4.10,860,210
161,0,20498,Briny Baird,4.11,711,173
161,0,06643,Paul Goydos,4.11,604,147
161,0,12782,Tim Herron,4.11,846,206
161,0,23548,Bill Lunde,4.11,658,160
161,0,27060,John Mallinger,4.11,686,167
161,0,22056,Cameron Percy,4.11,646,157
161,0,26287,Roland Thatcher,4.11,933,227
168,0,07867,Woody Austin,4.12,651,158
168,0,20848,Ángel Cabrera,4.12,317,77
168,0,21209,Sergio Garcia,4.12,177,43
168,0,12705,Cliff Kresge,4.12,597,145
168,0,27613,David Lutterus,4.12,704,171
168,0,26881,Jarrod Lyle,4.12,280,68
168,0,23349,Charles Warren,4.12,499,121
175,0,12652,Cameron Beckman,4.13,776,188
176,0,20850,Daniel Chopra,4.14,667,161
177,0,20378,Mathias Grönberg,4.15,515,124
177,0,01577,Lee Janzen,4.15,751,181
177,0,06514,Kevin Johnson,4.15,760,183
177,0,25804,Bubba Watson,4.15,457,110
181,0,28500,Martin Flores,4.16,757,182
181,0,22378,Trevor Immelman,4.16,408,98
181,0,32617,Jerod Turner,4.16,632,152
184,0,20574,Mathew Goggin,4.17,759,182
185,0,20070,Matt Bettencourt,4.18,806,193
185,0,07363,Craig Bowden,4.18,443,106
185,0,21959,Ted Purdy,4.18,714,171
188,0,10423,Mike Weir,4.19,306,73
189,0,01161,Mark Calcavecchia,4.21,569,135
190,0,01707,Steve Lowery,4.22,494,117
191,0,06012,Greg Kraft,4.24,576,136
192,0,01329,Brad Faxon,4.28,539,126
