RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL HIT,TOTAL ATTEMPTS,RTP SCORE
1,0,29221,Webb Simpson,76.31,1140,1494,-348.00
2,0,06522,Ernie Els,75.99,807,1062,-179.00
2,0,20645,John Senden,75.99,1108,1458,-276.00
4,0,12510,Chad Campbell,75.54,1183,1566,-239.00
5,0,22293,Heath Slocum,75.38,1004,1332,-226.00
6,0,26289,Boo Weekley,75.05,770,1026,-158.00
7,0,20498,Briny Baird,74.94,661,882,-152.00
8,0,02206,David Toms,74.76,794,1062,-218.00
9,0,28087,Kris Blanks,74.70,1116,1494,-247.00
10,0,25804,Bubba Watson,74.67,793,1062,-234.00
11,0,01766,Billy Mayfair,74.64,1142,1530,-249.00
12,0,24924,Bill Haas,74.31,963,1296,-261.00
13,0,22913,John Rollins,74.15,961,1296,-242.00
14,0,06573,Brandt Jobe,74.14,1081,1458,-251.00
15,0,06621,Joe Durant,74.05,853,1152,-152.00
16,0,27095,Nick Watney,74.01,826,1116,-260.00
17,0,31323,Gary Woodland,73.97,932,1260,-251.00
18,0,10885,Robert Allenby,73.89,931,1260,-219.00
19,0,30925,Dustin Johnson,73.87,718,972,-214.00
20,0,24502,Adam Scott,73.83,598,810,-161.00
21,0,23788,D.J. Trahan,73.76,1102,1494,-238.00
22,0,31202,William McGirt,73.73,1221,1656,-254.00
23,0,22405,Justin Rose,73.72,836,1134,-224.00
24,0,30110,Kyle Stanley,73.68,1061,1440,-290.00
25,0,27933,John Merrick,73.61,795,1080,-184.00
26,0,21961,Charles Howell III,73.57,1205,1638,-295.00
27,0,22378,Trevor Immelman,73.47,886,1206,-194.00
28,0,24781,Hunter Mahan,73.46,1005,1368,-290.00
29,0,01116,Michael Bradley,73.45,780,1062,-180.00
30,0,01706,Davis Love III,73.40,687,936,-167.00
31,0,26758,David Hearn,73.39,1004,1368,-226.00
32,0,23353,J.J. Henry,73.35,1043,1422,-229.00
32,0,27466,Spencer Levin,73.35,1241,1692,-281.00
34,0,23623,Bo Van Pelt,73.32,937,1278,-231.00
35,0,31557,Jim Herman,73.29,752,1026,-155.00
36,0,07867,Woody Austin,73.22,659,900,-154.00
37,0,10809,Jim Furyk,73.17,922,1260,-224.00
38,0,23108,Matt Kuchar,73.16,935,1278,-269.00
39,0,24507,Jason Bohn,73.05,881,1206,-219.00
40,0,23548,Bill Lunde,72.87,1010,1386,-240.00
41,0,26476,Chez Reavie,72.76,1074,1476,-273.00
42,0,25457,Alexandre Rocha,72.68,641,882,-118.00
42,0,26679,Kevin Stadler,72.68,955,1314,-225.00
44,0,22348,Nick O'Hern,72.66,994,1368,-225.00
45,0,25900,Lucas Glover,72.59,797,1098,-220.00
46,0,06527,Steve Stricker,72.54,692,954,-223.00
47,0,21753,Brian Davis,72.40,1199,1656,-307.00
48,0,33419,Cameron Tringale,72.34,1263,1746,-296.00
49,0,28620,Aron Price,72.22,637,882,-154.00
49,0,26951,Johnson Wagner,72.22,910,1260,-187.00
51,0,23638,Brendon de Jonge,72.16,1195,1656,-317.00
52,0,06567,Vijay Singh,72.15,935,1296,-235.00
53,0,24024,Zach Johnson,72.14,831,1152,-231.00
53,0,30692,Scott Stallings,72.14,896,1242,-210.00
55,0,27936,Martin Laird,72.13,805,1116,-233.00
56,0,27141,J.B. Holmes,71.95,608,845,-176.00
57,0,24357,K.J. Choi,71.93,751,1044,-184.00
57,0,01810,Phil Mickelson,71.93,751,1044,-221.00
59,0,23983,Luke Donald,71.90,673,936,-216.00
60,0,24846,Ricky Barnes,71.88,828,1152,-175.00
61,0,22371,Aaron Baddeley,71.86,802,1116,-251.00
62,0,21209,Sergio Garcia,71.85,582,810,-153.00
63,0,27214,Kevin Streelman,71.83,918,1278,-230.00
64,0,30750,Tommy Gainey,71.79,1176,1638,-305.00
65,0,23541,Ben Crane,71.77,801,1116,-199.00
66,0,24358,Robert Garrigus,71.66,890,1242,-244.00
67,0,25686,Jason Dufner,71.62,838,1170,-209.00
68,0,29420,Billy Horschel,71.59,799,1116,-194.00
68,0,28158,Steve Marino,71.59,799,1116,-212.00
68,0,31193,Jim Renner,71.59,683,954,-159.00
68,0,27064,Jhonattan Vegas,71.59,902,1260,-208.00
68,0,21878,Mark Wilson,71.59,902,1260,-219.00
73,0,23621,Rory Sabbatini,71.58,786,1098,-211.00
74,0,30926,Chris Kirk,71.57,992,1386,-260.00
75,0,27330,Josh Teater,71.56,1185,1656,-305.00
76,0,24138,Ian Poulter,71.51,502,702,-131.00
77,0,20572,Rod Pampling,71.48,772,1080,-183.00
78,0,20229,Stewart Cink,71.47,669,936,-175.00
79,0,12716,Charley Hoffman,71.40,951,1332,-300.00
80,0,20472,Alex Cejka,71.28,603,846,-134.00
81,0,27963,Chris Stroud,71.23,1000,1404,-235.00
82,0,08075,Jerry Kelly,71.16,871,1224,-213.00
83,0,08725,Tom Gillis,71.11,640,900,-120.00
84,0,23325,Vaughn Taylor,71.02,1061,1494,-260.00
85,0,29518,Brendan Steele,71.00,984,1386,-248.00
86,0,20157,Retief Goosen,70.97,511,720,-131.00
87,0,25345,Carl Pettersson,70.86,1148,1620,-324.00
88,0,26331,Charl Schwartzel,70.83,510,720,-121.00
89,0,25818,Scott Piercy,70.81,803,1134,-223.00
90,0,28475,Jeff Overton,70.78,930,1314,-241.00
