RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS PER EVENT,TOTAL POINTS
1,0,23983,Luke Donald,132.548,1855.667
2,0,06527,Steve Stricker,124.366,1865.489
3,0,27095,Nick Watney,112.110,1905.870
4,0,24502,Adam Scott,95.143,1332.000
5,0,01219,John Cook,95.000,95.000
6,0,01810,Phil Mickelson,94.191,1601.249
7,0,29221,Webb Simpson,93.071,1861.416
8,0,26331,Charl Schwartzel,91.155,1185.016
9,0,24357,K.J. Choi,88.948,1601.063
10,0,25804,Bubba Watson,87.583,1576.500
11,0,02206,David Toms,85.431,1537.750
12,0,28089,Jason Day,76.946,1308.083
13,0,23135,Tim Clark,74.625,298.500
14,0,23108,Matt Kuchar,74.044,1406.843
15,0,31323,Gary Woodland,73.310,1466.203
16,0,30925,Dustin Johnson,70.059,1191.000
17,0,21878,Mark Wilson,69.570,1460.973
18,0,33141,Keegan Bradley,67.533,1620.784
19,0,22371,Aaron Baddeley,65.620,1181.167
20,0,27936,Martin Laird,64.951,1234.060
21,0,25686,Jason Dufner,60.175,1143.333
22,0,21731,Freddie Jacobson,58.803,1234.867
23,0,23621,Rory Sabbatini,58.739,1174.779
24,0,27649,Brandt Snedeker,58.444,1227.333
25,0,24925,Jonathan Byrd,58.245,1164.900
26,0,24924,Bill Haas,57.849,1272.675
27,0,24663,Y.E. Yang,57.107,799.494
28,0,24781,Hunter Mahan,56.482,1186.126
29,0,19970,Robert Karlsson,52.615,789.230
30,0,32102,Rickie Fowler,51.908,1038.150
31,0,21209,Sergio Garcia,50.916,661.905
32,0,24024,Zach Johnson,50.629,961.953
33,0,25240,D.A. Points,50.214,1054.500
34,0,26596,Ryan Moore,49.061,883.097
35,0,21961,Charles Howell III,47.370,1136.880
36,0,28158,Steve Marino,46.728,934.563
37,0,24490,George McNeill,46.255,693.820
38,0,25900,Lucas Glover,46.053,875.000
39,0,02239,Scott Verplank,45.263,588.417
40,0,06567,Vijay Singh,45.157,903.143
41,0,23320,Ryan Palmer,45.085,901.706
42,0,22405,Justin Rose,44.237,796.266
43,0,12680,Shigeki Maruyama,43.750,87.500
44,0,27064,Jhonattan Vegas,43.744,918.619
45,0,30692,Scott Stallings,43.138,992.180
46,0,27466,Spencer Levin,42.695,1024.675
47,0,21805,Harrison Frazar,41.250,660.000
