RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL 3 PUTTS,TOTAL HOLES
1,0,20848,Ángel Cabrera,.69,1,144
1,0,06251,Chris DiMarco,.69,2,288
1,0,26679,Kevin Stadler,.69,2,288
4,0,24024,Zach Johnson,.98,3,306
5,0,24925,Jonathan Byrd,1.11,3,270
5,0,23983,Luke Donald,1.11,3,270
5,0,26420,Richard Johnson,1.11,2,180
5,0,26300,Matt Jones,1.11,2,180
9,0,20229,Stewart Cink,1.19,3,252
10,0,27214,Kevin Streelman,1.23,4,324
11,0,26596,Ryan Moore,1.31,4,306
12,0,22961,David Mathis,1.39,4,288
13,0,23353,J.J. Henry,1.46,5,342
14,0,25396,Kevin Na,1.48,4,270
14,0,01948,Tim Petrovic,1.48,4,270
14,0,23497,Tag Ridings,1.48,4,270
14,0,22293,Heath Slocum,1.48,4,270
18,0,26287,Roland Thatcher,1.52,3,198
18,0,27770,Camilo Villegas,1.52,3,198
20,0,30750,Tommy Gainey,1.54,5,324
21,0,27466,Spencer Levin,1.56,7,450
22,0,24361,Pat Perez,1.59,4,252
23,0,10809,Jim Furyk,1.63,5,306
24,0,22621,Ben Curtis,1.67,3,180
24,0,20157,Retief Goosen,1.67,3,180
24,0,27974,Sung Kang,1.67,3,180
24,0,35087,Bio Kim,1.67,3,180
28,0,22371,Aaron Baddeley,1.74,5,288
28,0,24357,K.J. Choi,1.74,5,288
30,0,21753,Brian Davis,1.85,7,378
30,0,23638,Brendon de Jonge,1.85,7,378
30,0,24490,George McNeill,1.85,4,216
33,0,21731,Freddie Jacobson,1.94,7,360
34,0,26758,David Hearn,1.96,6,306
35,0,23800,Bryce Molder,1.98,5,252
36,0,29478,Kevin Kisner,2.02,4,198
37,0,31202,William McGirt,2.05,7,342
38,0,11123,Chris Couch,2.08,6,288
38,0,08537,J.P. Hayes,2.08,3,144
38,0,08075,Jerry Kelly,2.08,6,288
38,0,25572,Graeme McDowell,2.08,3,144
38,0,02206,David Toms,2.08,6,288
43,0,20127,Chris Riley,2.14,5,234
44,0,30926,Chris Kirk,2.22,6,270
44,0,10585,Scott McCarron,2.22,4,180
44,0,24138,Ian Poulter,2.22,4,180
44,0,28620,Aron Price,2.22,4,180
44,0,31193,Jim Renner,2.22,4,180
44,0,23788,D.J. Trahan,2.22,6,270
50,0,29518,Brendan Steele,2.29,7,306
51,0,21350,Ryuji Imada,2.31,5,216
51,0,30711,Colt Knost,2.31,5,216
53,0,21209,Sergio Garcia,2.38,6,252
53,0,10860,Justin Leonard,2.38,6,252
53,0,32150,Michael Thompson,2.38,6,252
56,0,20593,Greg Chalmers,2.43,7,288
57,0,19846,Brian Gay,2.47,8,324
57,0,01766,Billy Mayfair,2.47,8,324
57,0,26476,Chez Reavie,2.47,8,324
57,0,23621,Rory Sabbatini,2.47,8,324
57,0,33911,Nate Smith,2.47,4,162
62,0,25274,Steven Bowditch,2.59,7,270
62,0,25686,Jason Dufner,2.59,7,270
62,0,27936,Martin Laird,2.59,7,270
62,0,20572,Rod Pampling,2.59,7,270
66,0,20645,John Senden,2.65,10,378
67,0,21961,Charles Howell III,2.66,11,414
68,0,24290,D.J. Brigman,2.78,5,180
68,0,29720,Andres Gonzales,2.78,4,144
68,0,24604,Hunter Haas,2.78,8,288
68,0,25444,Justin Hicks,2.78,3,108
68,0,01577,Lee Janzen,2.78,6,216
68,0,29718,Anthony Kim,2.78,5,180
68,0,23108,Matt Kuchar,2.78,10,360
68,0,23548,Bill Lunde,2.78,9,324
68,0,24781,Hunter Mahan,2.78,10,360
68,0,33413,Ben Martin,2.78,6,216
68,0,23320,Ryan Palmer,2.78,8,288
68,0,32876,Martin Piller,2.78,4,144
68,0,27649,Brandt Snedeker,2.78,8,288
68,0,25834,Daniel Summerhays,2.78,4,144
82,0,12716,Charley Hoffman,2.92,10,342
83,0,32102,Rickie Fowler,2.94,9,306
83,0,23325,Vaughn Taylor,2.94,9,306
83,0,27095,Nick Watney,2.94,9,306
86,0,28679,Fabián Gómez,2.96,8,270
86,0,08375,Paul Stankowski,2.96,8,270
86,0,25632,Jimmy Walker,2.96,8,270
89,0,20070,Matt Bettencourt,2.99,7,234
89,0,10733,Kent Jones,2.99,7,234
89,0,01706,Davis Love III,2.99,7,234
89,0,21949,Joe Ogilvie,2.99,7,234
93,0,07867,Woody Austin,3.03,6,198
93,0,10505,Shane Bertsch,3.03,6,198
93,0,23409,James Driscoll,3.03,6,198
93,0,06621,Joe Durant,3.03,6,198
93,0,29221,Webb Simpson,3.03,12,396
98,0,24924,Bill Haas,3.06,11,360
99,0,09011,David Duval,3.09,5,162
99,0,24980,Scott Gutschewski,3.09,5,162
101,0,28089,Jason Day,3.13,9,288
101,0,22405,Justin Rose,3.13,9,288
103,0,23541,Ben Crane,3.17,8,252
103,0,01313,Steve Elkington,3.17,4,126
103,0,27797,Derek Lamely,3.17,4,126
103,0,26331,Charl Schwartzel,3.17,8,252
107,0,12652,Cameron Beckman,3.24,7,216
107,0,01116,Michael Bradley,3.24,7,216
107,0,20766,Padraig Harrington,3.24,7,216
107,0,27141,J.B. Holmes,3.24,7,216
107,0,30946,Alex Prugh,3.24,7,216
107,0,28486,Michael Putnam,3.24,7,216
107,0,24502,Adam Scott,3.24,7,216
107,0,20436,Garrett Willis,3.24,7,216
115,0,22378,Trevor Immelman,3.27,10,306
115,0,27120,Troy Matteson,3.27,10,306
115,0,21878,Mark Wilson,3.27,10,306
118,0,28475,Jeff Overton,3.33,12,360
118,0,26951,Johnson Wagner,3.33,9,270
120,0,01810,Phil Mickelson,3.40,11,324
120,0,23623,Bo Van Pelt,3.40,11,324
122,0,30692,Scott Stallings,3.42,8,234
123,0,27939,Matt McQuillan,3.47,5,144
123,0,06527,Steve Stricker,3.47,10,288
123,0,20160,Charlie Wi,3.47,10,288
126,0,26881,Jarrod Lyle,3.54,7,198
127,0,06522,Ernie Els,3.57,9,252
127,0,06643,Paul Goydos,3.57,9,252
127,0,12782,Tim Herron,3.57,9,252
127,0,28158,Steve Marino,3.57,9,252
131,0,33141,Keegan Bradley,3.59,11,306
131,0,07457,Steve Flesch,3.59,11,306
133,0,25345,Carl Pettersson,3.61,13,360
133,0,31323,Gary Woodland,3.61,13,360
135,0,29910,Blake Adams,3.62,15,414
136,0,06004,Stephen Ames,3.70,8,216
136,0,23614,Rich Beem,3.70,4,108
136,0,29420,Billy Horschel,3.70,8,216
136,0,06573,Brandt Jobe,3.70,14,378
136,0,30925,Dustin Johnson,3.70,10,270
136,0,19970,Robert Karlsson,3.70,8,216
136,0,31401,Zack Miller,3.70,8,216
136,0,25818,Scott Piercy,3.70,10,270
136,0,22913,John Rollins,3.70,10,270
136,0,34072,Will Strickler,3.70,4,108
136,0,33419,Cameron Tringale,3.70,14,378
136,0,24663,Y.E. Yang,3.70,8,216
148,0,26851,Marc Leishman,3.82,11,288
148,0,22348,Nick O'Hern,3.82,11,288
150,0,22046,Geoff Ogilvy,3.85,9,234
151,0,20098,Stuart Appleby,3.89,7,180
151,0,20472,Alex Cejka,3.89,7,180
151,0,27330,Josh Teater,3.89,14,360
151,0,12602,Dean Wilson,3.89,7,180
155,0,25240,D.A. Points,4.01,13,324
156,0,20498,Briny Baird,4.04,8,198
156,0,34255,Joseph Bramlett,4.04,8,198
156,0,32698,Bobby Gates,4.04,8,198
159,0,24507,Jason Bohn,4.07,11,270
159,0,27963,Chris Stroud,4.07,11,270
161,0,28087,Kris Blanks,4.17,12,288
161,0,32640,Troy Merritt,4.17,6,144
161,0,24140,Sean O'Hair,4.17,9,216
161,0,30110,Kyle Stanley,4.17,15,360
165,0,21805,Harrison Frazar,4.32,7,162
166,0,27933,John Merrick,4.37,11,252
167,0,21407,Arjun Atwal,4.44,12,270
168,0,24358,Robert Garrigus,4.51,13,288
168,0,25562,Andres Romero,4.51,13,288
170,0,10885,Robert Allenby,4.58,14,306
171,0,23673,Michael Connell,4.63,10,216
171,0,01797,Rocco Mediate,4.63,5,108
171,0,06515,Shaun Micheel,4.63,10,216
174,0,12510,Chad Campbell,4.68,16,342
175,0,23718,Nathan Green,4.76,12,252
175,0,06567,Vijay Singh,4.76,12,252
175,0,26668,Marc Turnesa,4.76,6,126
178,0,25804,Bubba Watson,4.97,17,342
179,0,25457,Alexandre Rocha,5.00,9,180
180,0,32366,Kevin Chappell,5.09,11,216
181,0,25900,Lucas Glover,5.19,14,270
182,0,27064,Jhonattan Vegas,5.21,15,288
183,0,24846,Ricky Barnes,5.90,17,288
184,0,31557,Jim Herman,6.02,13,216
185,0,08725,Tom Gillis,6.17,10,162
186,0,26289,Boo Weekley,7.07,14,198
