RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ROUNDS
1,0,31193,Jim Renner,62.00,62,1
2,0,01313,Steve Elkington,64.00,64,1
2,0,27095,Nick Watney,64.00,64,1
4,0,21805,Harrison Frazar,65.00,65,1
5,0,30711,Colt Knost,65.33,196,3
6,0,19846,Brian Gay,66.00,66,1
6,0,27936,Martin Laird,66.00,132,2
6,0,33911,Nate Smith,66.00,66,1
6,0,27214,Kevin Streelman,66.00,132,2
10,0,09011,David Duval,66.50,133,2
10,0,22378,Trevor Immelman,66.50,133,2
12,0,10885,Robert Allenby,67.00,67,1
12,0,20472,Alex Cejka,67.00,134,2
12,0,25686,Jason Dufner,67.00,67,1
12,0,24358,Robert Garrigus,67.00,67,1
12,0,23718,Nathan Green,67.00,67,1
12,0,06573,Brandt Jobe,67.00,134,2
12,0,23108,Matt Kuchar,67.00,268,4
12,0,01706,Davis Love III,67.00,67,1
12,0,27933,John Merrick,67.00,67,1
12,0,25396,Kevin Na,67.00,134,2
12,0,27963,Chris Stroud,67.00,67,1
12,0,12602,Dean Wilson,67.00,67,1
24,0,30750,Tommy Gainey,67.33,202,3
25,0,23638,Brendon de Jonge,67.50,135,2
25,0,23623,Bo Van Pelt,67.50,135,2
27,0,24507,Jason Bohn,67.67,203,3
28,0,20593,Greg Chalmers,68.00,272,4
28,0,23541,Ben Crane,68.00,68,1
28,0,10809,Jim Furyk,68.00,136,2
28,0,24924,Bill Haas,68.00,68,1
28,0,23353,J.J. Henry,68.00,204,3
28,0,08075,Jerry Kelly,68.00,204,3
28,0,29718,Anthony Kim,68.00,68,1
28,0,25572,Graeme McDowell,68.00,68,1
28,0,31202,William McGirt,68.00,68,1
28,0,20645,John Senden,68.00,136,2
28,0,21878,Mark Wilson,68.00,68,1
39,0,08725,Tom Gillis,68.33,205,3
40,0,12510,Chad Campbell,68.50,137,2
40,0,23673,Michael Connell,68.50,137,2
40,0,23788,D.J. Trahan,68.50,137,2
40,0,24663,Y.E. Yang,68.50,137,2
44,0,27797,Derek Lamely,68.67,206,3
44,0,10585,Scott McCarron,68.67,206,3
44,0,24361,Pat Perez,68.67,206,3
47,0,06004,Stephen Ames,69.00,69,1
47,0,20229,Stewart Cink,69.00,69,1
47,0,06621,Joe Durant,69.00,207,3
47,0,32102,Rickie Fowler,69.00,69,1
47,0,32698,Bobby Gates,69.00,69,1
47,0,31557,Jim Herman,69.00,69,1
47,0,21350,Ryuji Imada,69.00,207,3
47,0,21731,Freddie Jacobson,69.00,69,1
47,0,01577,Lee Janzen,69.00,138,2
47,0,24024,Zach Johnson,69.00,138,2
47,0,27120,Troy Matteson,69.00,69,1
47,0,21949,Joe Ogilvie,69.00,69,1
47,0,20127,Chris Riley,69.00,69,1
47,0,25457,Alexandre Rocha,69.00,69,1
47,0,06567,Vijay Singh,69.00,69,1
47,0,25804,Bubba Watson,69.00,69,1
47,0,26289,Boo Weekley,69.00,69,1
47,0,31323,Gary Woodland,69.00,69,1
65,0,11123,Chris Couch,69.20,346,5
66,0,21407,Arjun Atwal,69.25,277,4
66,0,07867,Woody Austin,69.25,277,4
66,0,08375,Paul Stankowski,69.25,277,4
69,0,27466,Spencer Levin,69.33,208,3
70,0,34255,Joseph Bramlett,69.50,139,2
70,0,21753,Brian Davis,69.50,139,2
70,0,21209,Sergio Garcia,69.50,139,2
70,0,31401,Zack Miller,69.50,139,2
70,0,22046,Geoff Ogilvy,69.50,139,2
70,0,33419,Cameron Tringale,69.50,139,2
76,0,28087,Kris Blanks,69.67,209,3
76,0,33141,Keegan Bradley,69.67,209,3
76,0,24290,D.J. Brigman,69.67,209,3
79,0,01948,Tim Petrovic,69.75,279,4
80,0,12652,Cameron Beckman,70.00,210,3
80,0,24357,K.J. Choi,70.00,210,3
80,0,30925,Dustin Johnson,70.00,140,2
80,0,10733,Kent Jones,70.00,70,1
80,0,30926,Chris Kirk,70.00,70,1
80,0,10860,Justin Leonard,70.00,210,3
80,0,01810,Phil Mickelson,70.00,210,3
80,0,26596,Ryan Moore,70.00,210,3
80,0,22348,Nick O'Hern,70.00,140,2
80,0,28475,Jeff Overton,70.00,140,2
80,0,23320,Ryan Palmer,70.00,70,1
80,0,20572,Rod Pampling,70.00,140,2
80,0,25818,Scott Piercy,70.00,280,4
80,0,26668,Marc Turnesa,70.00,70,1
80,0,26951,Johnson Wagner,70.00,70,1
95,0,28486,Michael Putnam,70.25,281,4
95,0,23621,Rory Sabbatini,70.25,281,4
97,0,29478,Kevin Kisner,70.33,211,3
97,0,20160,Charlie Wi,70.33,211,3
99,0,23614,Rich Beem,70.50,141,2
99,0,01797,Rocco Mediate,70.50,141,2
99,0,28620,Aron Price,70.50,141,2
99,0,26679,Kevin Stadler,70.50,141,2
99,0,34072,Will Strickler,70.50,141,2
104,0,23497,Tag Ridings,70.60,353,5
105,0,32366,Kevin Chappell,70.67,212,3
105,0,26758,David Hearn,70.67,212,3
105,0,22293,Heath Slocum,70.67,212,3
108,0,25274,Steven Bowditch,70.75,283,4
109,0,06522,Ernie Els,71.00,355,5
109,0,12782,Tim Herron,71.00,71,1
109,0,27141,J.B. Holmes,71.00,71,1
109,0,27974,Sung Kang,71.00,213,3
109,0,23548,Bill Lunde,71.00,142,2
109,0,24781,Hunter Mahan,71.00,355,5
109,0,30692,Scott Stallings,71.00,71,1
109,0,26287,Roland Thatcher,71.00,71,1
117,0,22371,Aaron Baddeley,71.33,214,3
117,0,25240,D.A. Points,71.33,214,3
119,0,20498,Briny Baird,71.50,143,2
119,0,20070,Matt Bettencourt,71.50,143,2
119,0,01116,Michael Bradley,71.50,143,2
119,0,35087,Bio Kim,71.50,143,2
119,0,26881,Jarrod Lyle,71.50,143,2
119,0,01766,Billy Mayfair,71.50,143,2
119,0,25562,Andres Romero,71.50,143,2
119,0,02206,David Toms,71.50,143,2
127,0,24925,Jonathan Byrd,71.67,215,3
127,0,21961,Charles Howell III,71.67,215,3
127,0,28158,Steve Marino,71.67,215,3
130,0,28679,Fabián Gómez,71.80,359,5
131,0,23983,Luke Donald,72.00,72,1
131,0,07457,Steve Flesch,72.00,216,3
131,0,24604,Hunter Haas,72.00,144,2
131,0,24140,Sean O'Hair,72.00,144,2
131,0,25345,Carl Pettersson,72.00,72,1
131,0,22405,Justin Rose,72.00,144,2
131,0,25632,Jimmy Walker,72.00,144,2
138,0,24980,Scott Gutschewski,72.33,217,3
139,0,33413,Ben Martin,72.50,145,2
139,0,24490,George McNeill,72.50,145,2
141,0,27064,Jhonattan Vegas,72.67,218,3
142,0,28089,Jason Day,73.00,73,1
142,0,29720,Andres Gonzales,73.00,73,1
142,0,20766,Padraig Harrington,73.00,73,1
142,0,27939,Matt McQuillan,73.00,73,1
142,0,32640,Troy Merritt,73.00,146,2
147,0,10505,Shane Bertsch,73.33,220,3
147,0,08537,J.P. Hayes,73.33,220,3
149,0,26851,Marc Leishman,73.50,147,2
149,0,22961,David Mathis,73.50,147,2
151,0,20157,Retief Goosen,73.67,221,3
152,0,12716,Charley Hoffman,74.00,148,2
152,0,26420,Richard Johnson,74.00,74,1
152,0,32876,Martin Piller,74.00,74,1
152,0,24502,Adam Scott,74.00,74,1
152,0,29518,Brendan Steele,74.00,148,2
152,0,27330,Josh Teater,74.00,74,1
158,0,06251,Chris DiMarco,74.50,149,2
159,0,06643,Paul Goydos,75.00,225,3
159,0,32150,Michael Thompson,75.00,75,1
161,0,29910,Blake Adams,76.00,152,2
161,0,26476,Chez Reavie,76.00,76,1
161,0,22913,John Rollins,76.00,76,1
