RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG RTP
1,0,28237,Rory McIlroy,-.336
2,0,22046,Geoff Ogilvy,-.329
3,0,08793,Tiger Woods,-.306
4,0,21528,Henrik Stenson,-.282
5,0,26329,Louis Oosthuizen,-.273
6,0,33141,Keegan Bradley,-.269
6,0,11123,Chris Couch,-.269
8,0,23638,Brendon de Jonge,-.266
9,0,21961,Charles Howell III,-.237
10,0,24502,Adam Scott,-.234
11,0,25632,Jimmy Walker,-.233
12,0,22405,Justin Rose,-.232
12,0,32150,Michael Thompson,-.232
14,0,08725,Tom Gillis,-.231
15,0,32102,Rickie Fowler,-.230
16,0,30925,Dustin Johnson,-.227
17,0,23548,Bill Lunde,-.225
18,0,01810,Phil Mickelson,-.223
19,0,23623,Bo Van Pelt,-.221
20,0,25686,Jason Dufner,-.217
21,0,33419,Cameron Tringale,-.216
22,0,30110,Kyle Stanley,-.212
23,0,27330,Josh Teater,-.211
24,0,34021,Bud Cauley,-.210
24,0,27936,Martin Laird,-.210
24,0,06527,Steve Stricker,-.210
27,0,22913,John Rollins,-.209
28,0,20766,Padraig Harrington,-.206
29,0,26289,Boo Weekley,-.205
30,0,28087,Kris Blanks,-.203
30,0,29221,Webb Simpson,-.203
32,0,27644,Brian Harman,-.202
33,0,27895,Jonas Blixt,-.199
33,0,20574,Mathew Goggin,-.199
35,0,28089,Jason Day,-.198
35,0,24358,Robert Garrigus,-.198
35,0,31323,Gary Woodland,-.198
38,0,27214,Kevin Streelman,-.197
39,0,23108,Matt Kuchar,-.196
39,0,20645,John Senden,-.196
41,0,01249,John Daly,-.188
41,0,24024,Zach Johnson,-.188
43,0,23621,Rory Sabbatini,-.187
44,0,23983,Luke Donald,-.186
45,0,19970,Robert Karlsson,-.185
45,0,23320,Ryan Palmer,-.185
45,0,20396,Lee Westwood,-.185
48,0,25818,Scott Piercy,-.184
49,0,32334,Charlie Beljan,-.183
49,0,25396,Kevin Na,-.183
51,0,29420,Billy Horschel,-.182
52,0,23409,James Driscoll,-.181
53,0,29478,Kevin Kisner,-.180
54,0,23204,Gary Christian,-.179
55,0,32200,Roberto Castro,-.177
56,0,28475,Jeff Overton,-.176
57,0,06522,Ernie Els,-.175
58,0,27649,Brandt Snedeker,-.174
59,0,12782,Tim Herron,-.172
59,0,26331,Charl Schwartzel,-.172
61,0,34174,John Huh,-.170
62,0,24140,Sean O'Hair,-.169
63,0,33122,Russell Knox,-.168
64,0,20593,Greg Chalmers,-.167
65,0,34099,Harris English,-.166
66,0,24361,Pat Perez,-.163
67,0,12510,Chad Campbell,-.162
67,0,23718,Nathan Green,-.162
69,0,20104,Ken Duke,-.161
69,0,24924,Bill Haas,-.161
69,0,12716,Charley Hoffman,-.161
69,0,30692,Scott Stallings,-.161
69,0,27095,Nick Watney,-.161
74,0,32366,Kevin Chappell,-.159
75,0,27436,Graham DeLaet,-.157
76,0,23541,Ben Crane,-.156
76,0,01766,Billy Mayfair,-.156
76,0,26596,Ryan Moore,-.156
76,0,20572,Rod Pampling,-.156
80,0,10213,Dicky Pride,-.149
81,0,20098,Stuart Appleby,-.148
81,0,27933,John Merrick,-.148
83,0,27770,Camilo Villegas,-.147
84,0,28500,Martin Flores,-.145
84,0,26300,Matt Jones,-.145
84,0,25345,Carl Pettersson,-.145
87,0,21753,Brian Davis,-.144
87,0,10809,Jim Furyk,-.144
87,0,27120,Troy Matteson,-.144
90,0,25804,Bubba Watson,-.143
91,0,30926,Chris Kirk,-.140
91,0,24138,Ian Poulter,-.140
93,0,27141,J.B. Holmes,-.139
93,0,29289,S.Y. Noh,-.139
95,0,29910,Blake Adams,-.138
96,0,20160,Charlie Wi,-.136
97,0,21209,Sergio Garcia,-.135
98,0,22378,Trevor Immelman,-.133
98,0,06567,Vijay Singh,-.133
98,0,27064,Jhonattan Vegas,-.133
101,0,33120,Mark Anderson,-.132
101,0,21805,Harrison Frazar,-.132
101,0,24490,George McNeill,-.132
104,0,26679,Kevin Stadler,-.131
105,0,35139,Richard Lee,-.129
106,0,24357,K.J. Choi,-.127
106,0,24781,Hunter Mahan,-.127
108,0,27302,Garth Mulroy,-.126
109,0,32698,Bobby Gates,-.122
109,0,06573,Brandt Jobe,-.122
111,0,23542,Tommy Biershenk,-.120
112,0,24846,Ricky Barnes,-.119
112,0,26758,David Hearn,-.119
114,0,24925,Jonathan Byrd,-.118
114,0,26951,Johnson Wagner,-.118
116,0,20848,Ángel Cabrera,-.117
116,0,25834,Daniel Summerhays,-.117
