RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL BIRDIES,TOTAL HOLES
1,0,29221,Webb Simpson,31.82,35,110
2,0,23541,Ben Crane,25.00,26,104
3,0,30925,Dustin Johnson,24.07,26,108
4,0,06527,Steve Stricker,23.46,19,81
5,0,11123,Chris Couch,22.77,23,101
6,0,21209,Sergio Garcia,22.37,17,76
7,0,28259,Sangmoon Bae,21.88,28,128
8,0,30110,Kyle Stanley,21.66,34,157
9,0,28307,Matt Every,21.19,25,118
10,0,28089,Jason Day,21.05,24,114
11,0,29289,S.Y. Noh,19.88,32,161
12,0,25804,Bubba Watson,19.83,23,116
13,0,19970,Robert Karlsson,19.79,19,96
14,0,22548,Patrick Sheehan,19.57,18,92
14,0,23623,Bo Van Pelt,19.57,18,92
16,0,26329,Louis Oosthuizen,19.54,17,87
17,0,22621,Ben Curtis,19.40,13,67
18,0,32334,Charlie Beljan,19.39,19,98
19,0,20848,Ángel Cabrera,19.18,14,73
20,0,27141,J.B. Holmes,19.13,35,183
21,0,27963,Chris Stroud,19.08,25,131
22,0,20623,Gavin Coles,18.99,15,79
23,0,30750,Tommy Gainey,18.92,35,185
24,0,29479,Scott Brown,18.68,17,91
25,0,34174,John Huh,18.66,25,134
26,0,06034,Marco Dawson,18.42,14,76
27,0,26596,Ryan Moore,18.32,24,131
28,0,24140,Sean O'Hair,18.00,27,150
29,0,25396,Kevin Na,17.92,19,106
30,0,34021,Bud Cauley,17.76,27,152
31,0,25240,D.A. Points,17.73,25,141
32,0,24494,Erik Compton,17.52,24,137
33,0,31202,William McGirt,17.45,26,149
34,0,20229,Stewart Cink,17.42,23,132
35,0,27302,Garth Mulroy,17.33,13,75
36,0,27436,Graham DeLaet,17.29,23,133
37,0,06573,Brandt Jobe,17.28,14,81
38,0,26287,Roland Thatcher,17.14,12,70
39,0,24358,Robert Garrigus,17.11,26,152
40,0,24502,Adam Scott,17.02,16,94
41,0,25562,Andres Romero,16.98,18,106
42,0,34099,Harris English,16.94,31,183
43,0,01810,Phil Mickelson,16.83,17,101
44,0,32102,Rickie Fowler,16.82,18,107
45,0,33141,Keegan Bradley,16.79,22,131
46,0,06036,Scott Dunlap,16.67,16,96
47,0,12652,Cameron Beckman,16.54,22,133
48,0,01249,John Daly,16.25,13,80
49,0,28455,Will Claxton,16.15,21,130
50,0,27064,Jhonattan Vegas,16.11,24,149
