RANK,MOVEMENT,PLAYER_ID,PLAYER,% TIMES IMPROVED,# OF TIMES IMPROVED
1,0,32334,Charlie Beljan,100.0,2
1,0,27895,Jonas Blixt,100.0,2
1,0,24507,Jason Bohn,100.0,1
1,0,29479,Scott Brown,100.0,1
1,0,12510,Chad Campbell,100.0,1
1,0,23135,Tim Clark,100.0,1
1,0,22621,Ben Curtis,100.0,2
1,0,01249,John Daly,100.0,1
1,0,21753,Brian Davis,100.0,2
1,0,27436,Graham DeLaet,100.0,1
1,0,21209,Sergio Garcia,100.0,2
1,0,19846,Brian Gay,100.0,1
1,0,24924,Bill Haas,100.0,1
1,0,29420,Billy Horschel,100.0,1
1,0,26300,Matt Jones,100.0,1
1,0,28308,Troy Kelly,100.0,1
1,0,30926,Chris Kirk,100.0,1
1,0,30711,Colt Knost,100.0,1
1,0,30944,Jason Kokrak,100.0,1
1,0,27936,Martin Laird,100.0,1
1,0,27466,Spencer Levin,100.0,2
1,0,01706,Davis Love III,100.0,2
1,0,27120,Troy Matteson,100.0,1
1,0,25572,Graeme McDowell,100.0,3
1,0,31202,William McGirt,100.0,1
1,0,24490,George McNeill,100.0,1
1,0,27933,John Merrick,100.0,1
1,0,01810,Phil Mickelson,100.0,4
1,0,22348,Nick O'Hern,100.0,1
1,0,26329,Louis Oosthuizen,100.0,4
1,0,23320,Ryan Palmer,100.0,2
1,0,25345,Carl Pettersson,100.0,4
1,0,25818,Scott Piercy,100.0,1
1,0,25240,D.A. Points,100.0,1
1,0,24138,Ian Poulter,100.0,1
1,0,10213,Dicky Pride,100.0,1
1,0,25457,Alexandre Rocha,100.0,2
1,0,25562,Andres Romero,100.0,1
1,0,22405,Justin Rose,100.0,3
1,0,23621,Rory Sabbatini,100.0,1
1,0,20645,John Senden,100.0,1
1,0,30110,Kyle Stanley,100.0,2
1,0,27330,Josh Teater,100.0,1
1,0,26287,Roland Thatcher,100.0,1
1,0,23788,D.J. Trahan,100.0,1
1,0,26951,Johnson Wagner,100.0,2
1,0,25804,Bubba Watson,100.0,4
1,0,20160,Charlie Wi,100.0,3
1,0,21878,Mark Wilson,100.0,1
50,0,08793,Tiger Woods,83.3,5
51,0,10809,Jim Furyk,80.0,4
51,0,24358,Robert Garrigus,80.0,4
53,0,06522,Ernie Els,75.0,3
53,0,30925,Dustin Johnson,75.0,3
53,0,28237,Rory McIlroy,75.0,6
53,0,26596,Ryan Moore,75.0,3
53,0,06527,Steve Stricker,75.0,3
58,0,28307,Matt Every,66.7,2
58,0,23353,J.J. Henry,66.7,2
58,0,23108,Matt Kuchar,66.7,2
58,0,27060,John Mallinger,66.7,2
58,0,22913,John Rollins,66.7,2
63,0,27649,Brandt Snedeker,60.0,3
64,0,24024,Zach Johnson,57.1,4
65,0,10885,Robert Allenby,50.0,1
65,0,28259,Sangmoon Bae,50.0,1
65,0,33141,Keegan Bradley,50.0,2
65,0,34021,Bud Cauley,50.0,1
65,0,28455,Will Claxton,50.0,1
65,0,23541,Ben Crane,50.0,1
65,0,25686,Jason Dufner,50.0,3
65,0,32102,Rickie Fowler,50.0,1
65,0,08725,Tom Gillis,50.0,1
65,0,34174,John Huh,50.0,2
65,0,29222,Billy Hurley III,50.0,1
65,0,30852,Ryo Ishikawa,50.0,1
65,0,29289,S.Y. Noh,50.0,1
65,0,29221,Webb Simpson,50.0,2
65,0,30692,Scott Stallings,50.0,1
65,0,27963,Chris Stroud,50.0,1
65,0,25834,Daniel Summerhays,50.0,1
65,0,27095,Nick Watney,50.0,1
65,0,20396,Lee Westwood,50.0,1
84,0,24925,Jonathan Byrd,33.3,1
84,0,23638,Brendon de Jonge,33.3,1
84,0,20104,Ken Duke,33.3,1
84,0,21961,Charles Howell III,33.3,1
84,0,24781,Hunter Mahan,33.3,1
84,0,24502,Adam Scott,33.3,1
84,0,06567,Vijay Singh,33.3,1
84,0,21528,Henrik Stenson,33.3,1
92,0,25396,Kevin Na,25.0,1
92,0,23623,Bo Van Pelt,25.0,1
94,0,29910,Blake Adams,.0,0
94,0,20098,Stuart Appleby,.0,0
94,0,21407,Arjun Atwal,.0,0
94,0,20593,Greg Chalmers,.0,0
94,0,20850,Daniel Chopra,.0,0
94,0,23204,Gary Christian,.0,0
94,0,28089,Jason Day,.0,0
94,0,23409,James Driscoll,.0,0
94,0,34099,Harris English,.0,0
94,0,01320,Bob Estes,.0,0
94,0,30750,Tommy Gainey,.0,0
94,0,27644,Brian Harman,.0,0
94,0,12782,Tim Herron,.0,0
94,0,27141,J.B. Holmes,.0,0
94,0,22378,Trevor Immelman,.0,0
94,0,21731,Freddie Jacobson,.0,0
94,0,29478,Kevin Kisner,.0,0
94,0,23548,Bill Lunde,.0,0
94,0,01724,Jeff Maggert,.0,0
94,0,23800,Bryce Molder,.0,0
94,0,24361,Pat Perez,.0,0
94,0,26679,Kevin Stadler,.0,0
94,0,23325,Vaughn Taylor,.0,0
94,0,30927,Brendon Todd,.0,0
94,0,33419,Cameron Tringale,.0,0
94,0,27770,Camilo Villegas,.0,0
94,0,25632,Jimmy Walker,.0,0
94,0,26289,Boo Weekley,.0,0
