RANK,MOVEMENT,PLAYER_ID,PLAYER,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS,RELATIVE TO PAR
1,0,21528,Henrik Stenson,72.65,441,607,-0.19
2,0,06527,Steve Stricker,72.24,354,490,-0.28
3,0,08075,Jerry Kelly,71.51,635,888,-0.16
4,0,21878,Mark Wilson,71.26,496,696,-0.11
5,0,10809,Jim Furyk,70.87,630,889,-0.18
6,0,26476,Chez Reavie,70.28,655,932,-0.12
7,0,20104,Ken Duke,70.18,732,1043,-0.11
8,0,24024,Zach Johnson,70.09,656,936,-0.16
9,0,25572,Graeme McDowell,69.50,360,518,-0.09
10,0,23135,Tim Clark,69.23,414,598,-0.10
11,0,25444,Justin Hicks,69.10,633,916,-0.08
11,0,26596,Ryan Moore,69.10,550,796,-0.16
13,0,22295,Darron Stiles,69.07,402,582,-0.09
14,0,24357,K.J. Choi,69.06,605,876,-0.18
15,0,21753,Brian Davis,68.95,795,1153,-0.13
16,0,34046,Jordan Spieth,68.39,636,930,-0.19
17,0,34174,John Huh,68.35,717,1049,-0.09
18,0,20443,Jin Park,68.34,408,597,-0.08
19,0,27556,Ted Potter Jr.,68.23,524,768,-0.11
20,0,01724,Jeff Maggert,68.22,543,796,-0.13
21,0,32200,Roberto Castro,68.19,793,1163,-0.16
22,0,22806,Doug LaBelle II,68.02,553,813,-0.10
23,0,36884,Ben Kohles,67.52,578,856,-0.09
24,0,27436,Graham DeLaet,67.29,751,1116,-0.18
25,0,27214,Kevin Streelman,67.23,634,943,-0.16
26,0,28092,D.H. Lee,67.13,537,800,-0.14
27,0,23638,Brendon de Jonge,66.99,897,1339,-0.18
28,0,24781,Hunter Mahan,66.88,636,951,-0.21
29,0,35139,Richard Lee,66.77,667,999,-0.12
30,0,30711,Colt Knost,66.67,534,801,-0.08
31,0,26289,Boo Weekley,66.46,767,1154,-0.18
32,0,24507,Jason Bohn,66.16,604,913,-0.14
33,0,24490,George McNeill,66.03,587,889,-0.15
34,0,34098,Russell Henley,66.01,604,915,-0.17
35,0,23353,J.J. Henry,65.86,677,1028,-0.12
36,0,34409,David Lingmerth,65.82,518,787,-0.10
37,0,26300,Matt Jones,65.70,634,965,-0.17
