RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL HOLES
1,0,06527,Steve Stricker,4.34,152,35
2,0,21209,Sergio Garcia,4.48,291,65
3,0,23325,Vaughn Taylor,4.51,307,68
4,0,23108,Matt Kuchar,4.52,579,128
5,0,33141,Keegan Bradley,4.53,544,120
5,0,28092,D.H. Lee,4.53,476,105
5,0,26331,Charl Schwartzel,4.53,367,81
8,0,25834,Daniel Summerhays,4.54,586,129
9,0,28089,Jason Day,4.55,551,121
9,0,24781,Hunter Mahan,4.55,510,112
11,0,30944,Jason Kokrak,4.56,456,100
11,0,25572,Graeme McDowell,4.56,324,71
11,0,23320,Ryan Palmer,4.56,547,120
14,0,32448,James Hahn,4.57,507,111
14,0,29420,Billy Horschel,4.57,613,134
14,0,23621,Rory Sabbatini,4.57,558,122
14,0,29221,Webb Simpson,4.57,539,118
14,0,26679,Kevin Stadler,4.57,658,144
14,0,27095,Nick Watney,4.57,617,135
20,0,32200,Roberto Castro,4.58,664,145
20,0,23800,Bryce Molder,4.58,691,151
20,0,20645,John Senden,4.58,563,123
20,0,27649,Brandt Snedeker,4.58,467,102
24,0,23638,Brendon de Jonge,4.59,835,182
25,0,12716,Charley Hoffman,4.60,547,119
25,0,33869,Eric Meierdierks,4.60,322,70
25,0,34360,Patrick Reed,4.60,584,127
25,0,25632,Jimmy Walker,4.60,603,131
25,0,28135,Aaron Watkins,4.60,373,81
30,0,25274,Steven Bowditch,4.61,535,116
30,0,34021,Bud Cauley,4.61,503,109
30,0,27436,Graham DeLaet,4.61,673,146
30,0,24140,Sean O'Hair,4.61,424,92
30,0,33419,Cameron Tringale,4.61,678,147
35,0,22792,Peter Hanson,4.62,268,58
35,0,27933,John Merrick,4.62,578,125
35,0,34046,Jordan Spieth,4.62,471,102
35,0,08793,Tiger Woods,4.62,314,68
39,0,22371,Aaron Baddeley,4.63,518,112
39,0,23983,Luke Donald,4.63,417,90
39,0,32102,Rickie Fowler,4.63,560,121
39,0,27408,Martin Kaymer,4.63,435,94
39,0,25818,Scott Piercy,4.63,528,114
39,0,24502,Adam Scott,4.63,333,72
39,0,26289,Boo Weekley,4.63,750,162
46,0,20593,Greg Chalmers,4.64,580,125
46,0,06522,Ernie Els,4.64,520,112
46,0,31557,Jim Herman,4.64,362,78
46,0,08075,Jerry Kelly,4.64,566,122
46,0,27129,Luke List,4.64,561,121
51,0,12510,Chad Campbell,4.65,604,130
51,0,25686,Jason Dufner,4.65,516,111
51,0,12782,Tim Herron,4.65,349,75
51,0,26300,Matt Jones,4.65,618,133
51,0,30163,Henrik Norlander,4.65,563,121
51,0,29425,Andrew Svoboda,4.65,381,82
51,0,27770,Camilo Villegas,4.65,618,133
51,0,10423,Mike Weir,4.65,456,98
59,0,32366,Kevin Chappell,4.66,667,143
59,0,20229,Stewart Cink,4.66,592,127
59,0,28455,Will Claxton,4.66,541,116
59,0,34099,Harris English,4.66,685,147
59,0,08725,Tom Gillis,4.66,522,112
59,0,33461,Morgan Hoffmann,4.66,401,86
59,0,21731,Freddie Jacobson,4.66,429,92
59,0,22806,Doug LaBelle II,4.66,597,128
59,0,10860,Justin Leonard,4.66,760,163
59,0,01810,Phil Mickelson,4.66,541,116
59,0,20572,Rod Pampling,4.66,405,87
59,0,27214,Kevin Streelman,4.66,559,120
59,0,28310,Lee Williams,4.66,536,115
72,0,23135,Tim Clark,4.67,416,89
72,0,01320,Bob Estes,4.67,584,125
72,0,28679,Fabián Gómez,4.67,509,109
72,0,24024,Zach Johnson,4.67,462,99
72,0,19970,Robert Karlsson,4.67,425,91
72,0,25240,D.A. Points,4.67,649,139
72,0,25562,Andres Romero,4.67,444,95
72,0,22405,Justin Rose,4.67,238,51
72,0,21528,Henrik Stenson,4.67,378,81
72,0,23788,D.J. Trahan,4.67,308,66
82,0,29479,Scott Brown,4.68,510,109
82,0,29740,Brad Fritsch,4.68,613,131
