RANK,MOVEMENT,PLAYER_ID,PLAYER,% TIMES IMPROVED,# OF TIMES IMPROVED
1,0,34021,Bud Cauley,100.0,6
1,0,28089,Jason Day,100.0,10
1,0,24924,Bill Haas,100.0,3
1,0,24781,Hunter Mahan,100.0,3
1,0,27556,Ted Potter Jr.,100.0,5
1,0,26331,Charl Schwartzel,100.0,5
1,0,21528,Henrik Stenson,100.0,5
1,0,27214,Kevin Streelman,100.0,9
1,0,28135,Aaron Watkins,100.0,3
10,0,20229,Stewart Cink,87.5,7
10,0,06522,Ernie Els,87.5,7
10,0,34360,Patrick Reed,87.5,7
10,0,32150,Michael Thompson,87.5,7
14,0,23108,Matt Kuchar,85.7,6
14,0,22913,John Rollins,85.7,6
14,0,23623,Bo Van Pelt,85.7,6
17,0,29479,Scott Brown,83.3,5
17,0,23983,Luke Donald,83.3,5
17,0,37273,Derek Ernst,83.3,5
17,0,30925,Dustin Johnson,83.3,5
17,0,36884,Ben Kohles,83.3,5
17,0,22806,Doug LaBelle II,83.3,10
17,0,27120,Troy Matteson,83.3,5
17,0,28237,Rory McIlroy,83.3,5
17,0,23800,Bryce Molder,83.3,10
26,0,28455,Will Claxton,80.0,4
26,0,27436,Graham DeLaet,80.0,8
26,0,20766,Padraig Harrington,80.0,4
26,0,27408,Martin Kaymer,80.0,8
26,0,29221,Webb Simpson,80.0,8
26,0,23788,D.J. Trahan,80.0,4
32,0,25804,Bubba Watson,77.8,7
33,0,33141,Keegan Bradley,75.0,6
33,0,10809,Jim Furyk,75.0,3
33,0,30750,Tommy Gainey,75.0,6
33,0,08075,Jerry Kelly,75.0,6
33,0,27933,John Merrick,75.0,6
33,0,22046,Geoff Ogilvy,75.0,6
33,0,34431,Robert Streb,75.0,6
33,0,31560,Brian Stuard,75.0,6
33,0,25834,Daniel Summerhays,75.0,6
33,0,26951,Johnson Wagner,75.0,3
33,0,25632,Jimmy Walker,75.0,6
33,0,27095,Nick Watney,75.0,6
45,0,26289,Boo Weekley,73.7,14
46,0,29420,Billy Horschel,72.7,8
46,0,23320,Ryan Palmer,72.7,8
46,0,27770,Camilo Villegas,72.7,8
49,0,22621,Ben Curtis,71.4,5
49,0,25686,Jason Dufner,71.4,5
49,0,30692,Scott Stallings,71.4,5
49,0,10423,Mike Weir,71.4,5
53,0,24507,Jason Bohn,70.0,7
53,0,23353,J.J. Henry,70.0,7
53,0,25444,Justin Hicks,70.0,7
56,0,27895,Jonas Blixt,66.7,6
56,0,28500,Martin Flores,66.7,6
56,0,32102,Rickie Fowler,66.7,4
56,0,29740,Brad Fritsch,66.7,8
56,0,32698,Bobby Gates,66.7,2
56,0,32448,James Hahn,66.7,6
56,0,21731,Freddie Jacobson,66.7,4
56,0,26300,Matt Jones,66.7,6
56,0,28092,D.H. Lee,66.7,4
56,0,24490,George McNeill,66.7,8
56,0,20691,Greg Owen,66.7,6
56,0,24138,Ian Poulter,66.7,2
56,0,23497,Tag Ridings,66.7,4
56,0,27963,Chris Stroud,66.7,8
56,0,33419,Cameron Tringale,66.7,8
71,0,10860,Justin Leonard,64.3,9
72,0,32366,Kevin Chappell,63.6,7
72,0,21753,Brian Davis,63.6,7
72,0,01320,Bob Estes,63.6,7
75,0,30852,Ryo Ishikawa,62.5,5
75,0,34261,Scott Langley,62.5,5
75,0,26851,Marc Leishman,62.5,5
75,0,01810,Phil Mickelson,62.5,5
75,0,25345,Carl Pettersson,62.5,10
75,0,25818,Scott Piercy,62.5,5
75,0,23621,Rory Sabbatini,62.5,5
82,0,10885,Robert Allenby,60.0,3
82,0,24357,K.J. Choi,60.0,9
82,0,22792,Peter Hanson,60.0,3
82,0,25572,Graeme McDowell,60.0,3
82,0,34046,Jordan Spieth,60.0,3
82,0,26679,Kevin Stadler,60.0,6
88,0,23638,Brendon de Jonge,58.8,10
89,0,23409,James Driscoll,57.1,4
89,0,12716,Charley Hoffman,57.1,4
89,0,19970,Robert Karlsson,57.1,4
89,0,21099,David Lynn,57.1,4
89,0,24361,Pat Perez,57.1,4
89,0,06567,Vijay Singh,57.1,4
89,0,33418,Shawn Stefani,57.1,4
96,0,25274,Steven Bowditch,55.6,5
96,0,20848,Ángel Cabrera,55.6,5
96,0,12510,Chad Campbell,55.6,5
96,0,32200,Roberto Castro,55.6,5
96,0,34174,John Huh,55.6,5
96,0,06573,Brandt Jobe,55.6,5
96,0,25240,D.A. Points,55.6,5
96,0,26476,Chez Reavie,55.6,5
104,0,34098,Russell Henley,54.5,6
104,0,29518,Brendan Steele,54.5,6
106,0,06004,Stephen Ames,50.0,1
106,0,32334,Charlie Beljan,50.0,2
106,0,24227,Justin Bolli,50.0,1
106,0,23135,Tim Clark,50.0,3
106,0,24494,Erik Compton,50.0,3
106,0,24399,Scott Gardiner,50.0,2
106,0,26758,David Hearn,50.0,7
106,0,24024,Zach Johnson,50.0,4
106,0,30926,Chris Kirk,50.0,6
106,0,31202,William McGirt,50.0,3
106,0,30163,Henrik Norlander,50.0,4
106,0,20443,Jin Park,50.0,2
106,0,10213,Dicky Pride,50.0,4
106,0,25562,Andres Romero,50.0,3
106,0,20645,John Senden,50.0,4
106,0,27649,Brandt Snedeker,50.0,2
106,0,27330,Josh Teater,50.0,7
106,0,02206,David Toms,50.0,4
106,0,20160,Charlie Wi,50.0,5
106,0,21878,Mark Wilson,50.0,3
106,0,08793,Tiger Woods,50.0,3
106,0,24663,Y.E. Yang,50.0,4
128,0,19846,Brian Gay,46.7,7
