RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ROUNDS
1,0,24502,Adam Scott,34.00,510,15
2,0,06527,Steve Stricker,34.25,411,12
3,0,20160,Charlie Wi,34.41,757,22
4,0,27408,Martin Kaymer,34.56,553,16
5,0,02206,David Toms,34.57,484,14
6,0,21528,Henrik Stenson,34.71,590,17
7,0,24924,Bill Haas,34.75,834,24
8,0,23638,Brendon de Jonge,34.77,1043,30
9,0,34046,Jordan Spieth,34.83,801,23
10,0,23621,Rory Sabbatini,34.84,871,25
11,0,23108,Matt Kuchar,34.86,767,22
11,0,28237,Rory McIlroy,34.86,488,14
13,0,28500,Martin Flores,34.88,872,25
14,0,25274,Steven Bowditch,34.90,733,21
15,0,31323,Gary Woodland,34.92,838,24
16,0,20396,Lee Westwood,34.94,594,17
17,0,28092,D.H. Lee,34.95,699,20
17,0,22295,Darron Stiles,34.95,664,19
19,0,24507,Jason Bohn,34.96,804,23
19,0,27933,John Merrick,34.96,804,23
21,0,20593,Greg Chalmers,35.00,805,23
21,0,34409,David Lingmerth,35.00,770,22
21,0,01810,Phil Mickelson,35.00,735,21
21,0,23325,Vaughn Taylor,35.00,490,14
25,0,34174,John Huh,35.04,981,28
26,0,28259,Sangmoon Bae,35.08,877,25
26,0,34099,Harris English,35.08,912,26
26,0,21961,Charles Howell III,35.08,842,24
29,0,25804,Bubba Watson,35.10,702,20
30,0,12510,Chad Campbell,35.13,843,24
30,0,24357,K.J. Choi,35.13,808,23
30,0,22405,Justin Rose,35.13,562,16
33,0,30163,Henrik Norlander,35.14,738,21
33,0,26476,Chez Reavie,35.14,773,22
35,0,22056,Cameron Percy,35.16,668,19
36,0,06522,Ernie Els,35.17,633,18
37,0,20848,Ángel Cabrera,35.20,704,20
38,0,29221,Webb Simpson,35.21,845,24
39,0,01320,Bob Estes,35.22,634,18
40,0,23409,James Driscoll,35.23,775,22
41,0,33141,Keegan Bradley,35.25,846,24
42,0,24494,Erik Compton,35.26,811,23
42,0,24490,George McNeill,35.26,670,19
44,0,34021,Bud Cauley,35.27,776,22
44,0,28679,Fabián Gómez,35.27,776,22
46,0,27963,Chris Stroud,35.28,882,25
47,0,27503,Steve LeBrun,35.30,706,20
47,0,27120,Troy Matteson,35.30,812,23
47,0,22913,John Rollins,35.30,812,23
47,0,25562,Andres Romero,35.30,706,20
51,0,20229,Stewart Cink,35.32,777,22
51,0,25444,Justin Hicks,35.32,777,22
53,0,32366,Kevin Chappell,35.33,848,24
53,0,35539,Luke Guthrie,35.33,954,27
53,0,27936,Martin Laird,35.33,742,21
53,0,26331,Charl Schwartzel,35.33,636,18
53,0,08793,Tiger Woods,35.33,530,15
58,0,27214,Kevin Streelman,35.36,884,25
59,0,20098,Stuart Appleby,35.38,849,24
59,0,24781,Hunter Mahan,35.38,849,24
61,0,12716,Charley Hoffman,35.39,814,23
62,0,28089,Jason Day,35.40,708,20
62,0,24138,Ian Poulter,35.40,531,15
64,0,10885,Robert Allenby,35.41,779,22
65,0,22792,Peter Hanson,35.42,425,12
66,0,26596,Ryan Moore,35.43,744,21
67,0,21878,Mark Wilson,35.44,638,18
68,0,23320,Ryan Palmer,35.45,780,22
69,0,10860,Justin Leonard,35.46,851,24
70,0,10809,Jim Furyk,35.48,745,21
70,0,26851,Marc Leishman,35.48,816,23
72,0,30926,Chris Kirk,35.50,852,24
72,0,24361,Pat Perez,35.50,710,20
72,0,33418,Shawn Stefani,35.50,710,20
75,0,32200,Roberto Castro,35.52,1030,29
75,0,32102,Rickie Fowler,35.52,746,21
77,0,35139,Richard Lee,35.55,782,22
78,0,23983,Luke Donald,35.56,569,16
78,0,21731,Freddie Jacobson,35.56,640,18
78,0,28135,Aaron Watkins,35.56,640,18
81,0,27644,Brian Harman,35.57,996,28
81,0,30711,Colt Knost,35.57,818,23
83,0,27436,Graham DeLaet,35.58,925,26
83,0,30925,Dustin Johnson,35.58,676,19
83,0,36884,Ben Kohles,35.58,854,24
83,0,31560,Brian Stuard,35.58,854,24
87,0,33461,Morgan Hoffmann,35.60,712,20
87,0,01724,Jeff Maggert,35.60,712,20
87,0,25572,Graeme McDowell,35.60,534,15
90,0,34261,Scott Langley,35.62,926,26
91,0,20645,John Senden,35.63,855,24
91,0,26679,Kevin Stadler,35.63,855,24
91,0,33419,Cameron Tringale,35.63,855,24
91,0,25632,Jimmy Walker,35.63,855,24
91,0,26289,Boo Weekley,35.63,962,27
96,0,27770,Camilo Villegas,35.64,784,22
97,0,29420,Billy Horschel,35.65,927,26
97,0,23497,Tag Ridings,35.65,820,23
99,0,31557,Jim Herman,35.67,642,18
99,0,30944,Jason Kokrak,35.67,856,24
101,0,34360,Patrick Reed,35.69,928,26
101,0,28780,Nicholas Thompson,35.69,1035,29
103,0,27330,Josh Teater,35.70,821,23
104,0,28307,Matt Every,35.71,1000,28
