RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ROUNDS
1,0,21878,Mark Wilson,68.67,618,9
2,0,27649,Brandt Snedeker,68.71,1168,17
3,0,06527,Steve Stricker,68.83,826,12
4,0,28780,Nicholas Thompson,69.43,1458,21
5,0,33461,Morgan Hoffmann,69.46,903,13
6,0,23135,Tim Clark,69.50,834,12
7,0,26679,Kevin Stadler,69.63,1114,16
8,0,23621,Rory Sabbatini,69.65,1184,17
9,0,01724,Jeff Maggert,69.75,837,12
10,0,10809,Jim Furyk,69.78,1256,18
11,0,35139,Richard Lee,69.88,1118,16
12,0,23325,Vaughn Taylor,69.89,629,9
13,0,23497,Tag Ridings,69.90,699,10
14,0,20593,Greg Chalmers,69.92,909,13
15,0,26300,Matt Jones,69.94,1259,18
16,0,23983,Luke Donald,70.00,910,13
16,0,26476,Chez Reavie,70.00,980,14
18,0,27436,Graham DeLaet,70.05,1471,21
19,0,27933,John Merrick,70.12,1192,17
20,0,25336,Alistair Presnell,70.13,561,8
21,0,31560,Brian Stuard,70.14,982,14
22,0,10860,Justin Leonard,70.16,1333,19
23,0,23541,Ben Crane,70.18,772,11
23,0,23108,Matt Kuchar,70.18,1544,22
25,0,28135,Aaron Watkins,70.20,351,5
26,0,24507,Jason Bohn,70.25,843,12
26,0,29518,Brendan Steele,70.25,1124,16
26,0,25834,Daniel Summerhays,70.25,1124,16
29,0,35539,Luke Guthrie,70.29,984,14
29,0,30926,Chris Kirk,70.29,1476,21
31,0,22371,Aaron Baddeley,70.30,703,10
32,0,32448,James Hahn,70.33,844,12
32,0,27644,Brian Harman,70.33,1055,15
32,0,33869,Eric Meierdierks,70.33,422,6
32,0,23320,Ryan Palmer,70.33,1266,18
32,0,20572,Rod Pampling,70.33,422,6
37,0,32102,Rickie Fowler,70.35,1196,17
38,0,24846,Ricky Barnes,70.36,774,11
39,0,29221,Webb Simpson,70.38,1478,21
40,0,28307,Matt Every,70.39,1267,18
40,0,21961,Charles Howell III,70.39,1267,18
40,0,01810,Phil Mickelson,70.39,1267,18
43,0,06004,Stephen Ames,70.43,493,7
43,0,29425,Andrew Svoboda,70.43,493,7
45,0,33419,Cameron Tringale,70.44,1127,16
45,0,24663,Y.E. Yang,70.44,634,9
47,0,32200,Roberto Castro,70.45,1409,20
48,0,12716,Charley Hoffman,70.47,1339,19
48,0,08793,Tiger Woods,70.47,1057,15
50,0,25900,Lucas Glover,70.50,705,10
50,0,34409,David Lingmerth,70.50,846,12
50,0,22295,Darron Stiles,70.50,423,6
53,0,26596,Ryan Moore,70.53,1058,15
54,0,08075,Jerry Kelly,70.56,1129,16
55,0,27963,Chris Stroud,70.60,1412,20
56,0,21209,Sergio Garcia,70.63,1130,16
56,0,24924,Bill Haas,70.63,1342,19
58,0,23638,Brendon de Jonge,70.64,1766,25
58,0,28679,Fabián Gómez,70.64,777,11
60,0,33141,Keegan Bradley,70.65,1413,20
61,0,34431,Robert Streb,70.67,848,12
62,0,20691,Greg Owen,70.69,919,13
63,0,32366,Kevin Chappell,70.71,1202,17
63,0,20443,Jin Park,70.71,495,7
63,0,20396,Lee Westwood,70.71,1202,17
66,0,12510,Chad Campbell,70.73,1061,15
66,0,29420,Billy Horschel,70.73,1556,22
66,0,21528,Henrik Stenson,70.73,1061,15
69,0,21753,Brian Davis,70.74,1344,19
70,0,34261,Scott Langley,70.75,849,12
70,0,24138,Ian Poulter,70.75,849,12
70,0,02206,David Toms,70.75,566,8
70,0,27770,Camilo Villegas,70.75,1132,16
74,0,28500,Martin Flores,70.76,1203,17
75,0,32334,Charlie Beljan,70.78,637,9
75,0,27214,Kevin Streelman,70.78,1274,18
75,0,25632,Jimmy Walker,70.78,1274,18
78,0,27095,Nick Watney,70.79,1345,19
79,0,28089,Jason Day,70.80,1416,20
79,0,20766,Padraig Harrington,70.80,708,10
81,0,20104,Ken Duke,70.81,1133,16
82,0,25686,Jason Dufner,70.83,1275,18
83,0,30925,Dustin Johnson,70.88,1134,16
83,0,23800,Bryce Molder,70.88,1205,17
