RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:APP,MEASURED ROUNDS
1,0,08793,Tiger Woods,1.533,65.908,43
2,0,20229,Stewart Cink,.975,54.610,56
3,0,22405,Justin Rose,.961,44.216,46
4,0,10809,Jim Furyk,.950,60.808,64
5,0,27770,Camilo Villegas,.885,56.664,64
6,0,21528,Henrik Stenson,.776,34.158,44
7,0,23108,Matt Kuchar,.731,50.470,69
8,0,24846,Ricky Barnes,.714,46.429,65
9,0,26331,Charl Schwartzel,.711,38.416,54
10,0,30925,Dustin Johnson,.663,33.795,51
11,0,27436,Graham DeLaet,.640,51.860,81
12,0,30926,Chris Kirk,.620,50.184,81
13,0,23983,Luke Donald,.583,26.824,46
14,0,24358,Robert Garrigus,.571,27.992,49
15,0,06527,Steve Stricker,.567,19.845,35
16,0,24502,Adam Scott,.548,24.125,44
17,0,21209,Sergio Garcia,.538,25.282,47
18,0,12510,Chad Campbell,.525,37.789,72
19,0,27963,Chris Stroud,.520,40.564,78
20,0,29221,Webb Simpson,.517,36.164,70
21,0,24361,Pat Perez,.505,32.306,64
22,0,06567,Vijay Singh,.501,24.052,48
23,0,01810,Phil Mickelson,.494,28.135,57
24,0,34046,Jordan Spieth,.480,32.167,67
25,0,20396,Lee Westwood,.479,24.442,51
26,0,23621,Rory Sabbatini,.468,33.697,72
27,0,25444,Justin Hicks,.462,30.466,66
28,0,23320,Ryan Palmer,.461,31.831,69
29,0,31323,Gary Woodland,.459,38.069,83
30,0,26679,Kevin Stadler,.451,31.107,69
31,0,25686,Jason Dufner,.440,26.815,61
32,0,28237,Rory McIlroy,.420,17.229,41
33,0,30110,Kyle Stanley,.419,25.164,60
34,0,23638,Brendon de Jonge,.414,40.113,97
35,0,22913,John Rollins,.409,27.807,68
36,0,25632,Jimmy Walker,.407,30.546,75
37,0,26289,Boo Weekley,.401,33.300,83
38,0,32200,Roberto Castro,.379,31.799,84
39,0,28780,Nicholas Thompson,.373,32.092,86
40,0,32366,Kevin Chappell,.370,24.768,67
41,0,27933,John Merrick,.365,24.849,68
42,0,27095,Nick Watney,.362,26.433,73
43,0,24924,Bill Haas,.346,23.864,69
44,0,26851,Marc Leishman,.345,22.109,64
45,0,23452,Nicolas Colsaerts,.322,11.601,36
46,0,23541,Ben Crane,.313,17.231,55
46,0,29740,Brad Fritsch,.313,21.284,68
48,0,25900,Lucas Glover,.307,15.957,52
49,0,21731,Freddie Jacobson,.304,13.965,46
50,0,10885,Robert Allenby,.296,15.397,52
50,0,28307,Matt Every,.296,23.687,80
52,0,25804,Bubba Watson,.292,17.230,59
53,0,24781,Hunter Mahan,.285,19.351,68
54,0,35539,Luke Guthrie,.280,18.225,65
55,0,01320,Bob Estes,.277,17.204,62
56,0,33141,Keegan Bradley,.270,19.442,72
57,0,12716,Charley Hoffman,.262,19.111,73
58,0,01116,Michael Bradley,.257,11.061,43
59,0,24490,George McNeill,.255,16.344,64
60,0,21878,Mark Wilson,.252,12.612,50
61,0,24024,Zach Johnson,.251,16.793,67
62,0,34021,Bud Cauley,.238,13.345,56
63,0,25834,Daniel Summerhays,.227,17.710,78
64,0,21753,Brian Davis,.222,18.424,83
65,0,25572,Graeme McDowell,.217,8.026,37
66,0,27214,Kevin Streelman,.214,14.543,68
67,0,06573,Brandt Jobe,.209,11.090,53
68,0,30944,Jason Kokrak,.201,14.483,72
69,0,22792,Peter Hanson,.192,6.332,33
70,0,06522,Ernie Els,.191,9.160,48
70,0,30852,Ryo Ishikawa,.191,10.503,55
70,0,25240,D.A. Points,.191,12.979,68
73,0,26476,Chez Reavie,.186,12.451,67
74,0,26758,David Hearn,.179,13.034,73
75,0,33419,Cameron Tringale,.169,12.697,75
76,0,22378,Trevor Immelman,.162,10.037,62
77,0,08075,Jerry Kelly,.159,10.192,64
78,0,34174,John Huh,.155,11.643,75
79,0,24357,K.J. Choi,.154,9.707,63
80,0,23325,Vaughn Taylor,.148,5.923,40
81,0,32102,Rickie Fowler,.141,8.315,59
81,0,01724,Jeff Maggert,.141,8.041,57
83,0,20104,Ken Duke,.130,9.777,75
84,0,19970,Robert Karlsson,.125,4.609,37
85,0,26300,Matt Jones,.123,8.615,70
86,0,27649,Brandt Snedeker,.121,6.991,58
87,0,31560,Brian Stuard,.118,7.464,63
88,0,28475,Jeff Overton,.099,7.321,74
89,0,34099,Harris English,.098,8.028,82
90,0,28500,Martin Flores,.092,6.973,76
91,0,23135,Tim Clark,.087,3.733,43
92,0,27330,Josh Teater,.083,5.082,61
93,0,20766,Padraig Harrington,.067,2.331,35
94,0,23800,Bryce Molder,.052,3.723,71
95,0,27556,Ted Potter Jr.,.046,2.513,55
96,0,24507,Jason Bohn,.034,2.224,66
97,0,23623,Bo Van Pelt,.025,1.324,54
98,0,23409,James Driscoll,.022,1.385,63
99,0,10213,Dicky Pride,.012,.710,59
100,0,26596,Ryan Moore,.007,.392,57
101,0,28089,Jason Day,-.013,-.767,61
102,0,02206,David Toms,-.026,-.824,32
103,0,22621,Ben Curtis,-.034,-1.567,46
104,0,25818,Scott Piercy,-.038,-2.335,62
105,0,20691,Greg Owen,-.045,-2.965,66
106,0,34098,Russell Henley,-.053,-3.509,66
107,0,28092,D.H. Lee,-.055,-3.210,58
108,0,26497,Casey Wittenberg,-.067,-4.058,61
109,0,27408,Martin Kaymer,-.070,-2.945,42
110,0,35139,Richard Lee,-.074,-5.360,72
111,0,32448,James Hahn,-.079,-5.301,67
112,0,21961,Charles Howell III,-.084,-6.693,80
113,0,31557,Jim Herman,-.091,-4.019,44
114,0,30163,Henrik Norlander,-.105,-6.205,59
115,0,36884,Ben Kohles,-.113,-7.024,62
116,0,31202,William McGirt,-.118,-8.372,71
117,0,10423,Mike Weir,-.120,-5.637,47
118,0,29420,Billy Horschel,-.121,-10.045,83
119,0,23353,J.J. Henry,-.122,-9.064,74
120,0,34261,Scott Langley,-.124,-7.948,64
121,0,29518,Brendan Steele,-.135,-10.405,77
122,0,24138,Ian Poulter,-.153,-5.960,39
123,0,29289,S.Y. Noh,-.163,-10.076,62
124,0,21099,David Lynn,-.164,-9.204,56
125,0,28259,Sangmoon Bae,-.165,-11.892,72
126,0,20443,Jin Park,-.166,-7.119,43
127,0,29479,Scott Brown,-.174,-9.570,55
127,0,23497,Tag Ridings,-.174,-10.068,58
129,0,32150,Michael Thompson,-.179,-9.479,53
130,0,27936,Martin Laird,-.195,-10.316,53
131,0,22056,Cameron Percy,-.198,-11.272,57
132,0,20098,Stuart Appleby,-.219,-17.320,79
133,0,28455,Will Claxton,-.222,-12.411,56
