RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 300-320,TOTAL DRIVES - OVERALL,RELATIVE TO PAR
1,0,29461,Jamie Lovemark,29.68,195,657,-0.082
2,0,21961,Charles Howell III,29.53,391,1324,-0.159
3,0,25804,Bubba Watson,28.44,223,784,-0.130
4,0,34431,Robert Streb,28.13,252,896,-0.167
5,0,28089,Jason Day,27.92,129,462,-0.178
6,0,22405,Justin Rose,27.90,202,724,-0.149
7,0,25274,Steven Bowditch,27.85,303,1088,-0.112
8,0,31323,Gary Woodland,27.45,280,1020,-0.086
9,0,27064,Jhonattan Vegas,27.29,244,894,-0.143
10,0,23320,Ryan Palmer,27.24,255,936,-0.192
11,0,28237,Rory McIlroy,27.08,182,672,-0.247
12,0,20848,Ángel Cabrera,27.00,230,852,-0.087
13,0,29518,Brendan Steele,26.66,261,979,-0.184
14,0,12716,Charley Hoffman,26.65,282,1058,-0.184
15,0,27141,J.B. Holmes,26.26,282,1074,-0.113
16,0,24140,Sean O'Hair,25.94,242,933,-0.182
17,0,25632,Jimmy Walker,25.93,266,1026,-0.128
18,0,26300,Matt Jones,25.89,217,838,-0.115
19,0,30692,Scott Stallings,25.63,225,878,-0.116
20,0,32334,Charlie Beljan,25.59,239,934,-0.063
21,0,26331,Charl Schwartzel,25.40,192,756,-0.146
22,0,24502,Adam Scott,25.38,200,788,-0.225
23,0,33141,Keegan Bradley,25.32,237,936,-0.093
24,0,32102,Rickie Fowler,25.17,218,866,-0.124
25,0,24781,Hunter Mahan,25.00,252,1008,-0.095
26,0,36689,Brooks Koepka,24.91,146,586,-0.158
27,0,25900,Lucas Glover,24.73,162,655,-0.142
28,0,24358,Robert Garrigus,24.68,251,1017,-0.076
29,0,33461,Morgan Hoffmann,24.38,306,1255,-0.082
30,0,30944,Jason Kokrak,24.15,205,849,-0.132
31,0,06522,Ernie Els,24.09,212,880,-0.118
32,0,34265,Will Wilcox,23.97,134,559,-0.179
33,0,26679,Kevin Stadler,23.90,217,908,-0.138
34,0,30110,Kyle Stanley,23.76,239,1006,-0.063
35,0,37273,Derek Ernst,23.67,209,883,-0.110
36,0,27436,Graham DeLaet,23.65,211,892,-0.114
37,0,34264,Hudson Swafford,23.58,191,810,-0.115
38,0,27120,Troy Matteson,23.36,160,685,-0.106
39,0,27936,Martin Laird,23.32,180,772,-0.144
40,0,27408,Martin Kaymer,23.07,155,672,-0.097
41,0,25345,Carl Pettersson,22.95,272,1185,-0.213
42,0,26329,Louis Oosthuizen,22.73,95,418,+0.011
43,0,34021,Bud Cauley,22.71,146,643,-0.123
44,0,28500,Martin Flores,22.68,215,948,-0.158
45,0,27095,Nick Watney,22.45,176,784,-0.102
46,0,29420,Billy Horschel,22.42,217,968,-0.198
47,0,30750,Tommy Gainey,22.40,187,835,-0.091
48,0,31557,Jim Herman,22.39,150,670,E
49,0,30925,Dustin Johnson,22.32,129,578,-0.155
50,0,26851,Marc Leishman,22.14,213,962,-0.141
