RANK,MOVEMENT,PLAYER_ID,PLAYER,% MADE,ATTEMPTS,PUTTS MADE
1,0,25572,Graeme McDowell,11.54,260,30
2,0,24502,Adam Scott,11.04,308,34
3,0,35539,Luke Guthrie,10.81,407,44
4,0,28237,Rory McIlroy,10.77,260,28
5,0,30926,Chris Kirk,10.25,478,49
6,0,21731,Freddie Jacobson,10.09,456,46
7,0,30927,Brendon Todd,9.76,502,49
8,0,27436,Graham DeLaet,9.71,412,40
9,0,29479,Scott Brown,9.64,467,45
10,0,24357,K.J. Choi,9.60,375,36
11,0,29221,Webb Simpson,9.47,433,41
12,0,23983,Luke Donald,9.43,265,25
13,0,21209,Sergio Garcia,9.28,237,22
14,0,01810,Phil Mickelson,9.27,259,24
15,0,29289,S.Y. Noh,9.25,465,43
16,0,27770,Camilo Villegas,9.16,502,46
17,0,26300,Matt Jones,9.14,350,32
18,0,29518,Brendan Steele,9.00,422,38
19,0,24846,Ricky Barnes,8.99,445,40
20,0,34431,Robert Streb,8.94,369,33
21,0,06567,Vijay Singh,8.92,437,39
22,0,12510,Chad Campbell,8.79,273,24
22,0,24490,George McNeill,8.79,398,35
24,0,28259,Sangmoon Bae,8.78,376,33
24,0,19846,Brian Gay,8.78,353,31
26,0,25364,Paul Casey,8.75,240,21
27,0,20593,Greg Chalmers,8.74,412,36
28,0,27214,Kevin Streelman,8.73,332,29
29,0,34261,Scott Langley,8.69,449,39
30,0,26596,Ryan Moore,8.67,346,30
31,0,29926,Danny Lee,8.66,404,35
31,0,32150,Michael Thompson,8.66,381,33
33,0,25834,Daniel Summerhays,8.64,579,50
34,0,23108,Matt Kuchar,8.53,457,39
35,0,25900,Lucas Glover,8.49,271,23
36,0,33418,Shawn Stefani,8.48,330,28
37,0,30925,Dustin Johnson,8.44,225,19
38,0,22405,Justin Rose,8.39,286,24
39,0,24912,Will MacKenzie,8.37,430,36
40,0,20098,Stuart Appleby,8.30,470,39
41,0,22046,Geoff Ogilvy,8.29,410,34
41,0,27649,Brandt Snedeker,8.29,362,30
41,0,27963,Chris Stroud,8.29,398,33
44,0,06522,Ernie Els,8.28,326,27
44,0,24663,Y.E. Yang,8.28,338,28
46,0,34046,Jordan Spieth,8.20,378,31
47,0,34098,Russell Henley,8.19,452,37
48,0,02206,David Toms,8.17,306,25
49,0,23135,Tim Clark,8.16,331,27
50,0,25396,Kevin Na,8.05,435,35
51,0,24024,Zach Johnson,8.04,485,39
52,0,21528,Henrik Stenson,8.03,249,20
53,0,25632,Jimmy Walker,7.97,439,35
54,0,32334,Charlie Beljan,7.96,402,32
55,0,32640,Troy Merritt,7.92,303,24
56,0,27644,Brian Harman,7.90,557,44
57,0,28307,Matt Every,7.89,355,28
58,0,25349,Tim Wilkinson,7.87,381,30
59,0,24138,Ian Poulter,7.82,243,19
60,0,24361,Pat Perez,7.81,448,35
61,0,27933,John Merrick,7.80,436,34
62,0,20645,John Senden,7.74,530,41
63,0,23621,Rory Sabbatini,7.73,362,28
64,0,20396,Lee Westwood,7.66,248,19
65,0,20498,Briny Baird,7.64,288,22
66,0,08075,Jerry Kelly,7.63,380,29
67,0,29222,Billy Hurley III,7.60,434,33
67,0,36689,Brooks Koepka,7.60,250,19
69,0,20160,Charlie Wi,7.55,384,29
70,0,28475,Jeff Overton,7.54,398,30
