RANK,MOVEMENT,PLAYER_ID,PLAYER,PUTTS MADE
1,0,25572,Graeme McDowell,2.5
2,0,24502,Adam Scott,2.4
3,0,28237,Rory McIlroy,2.3
4,0,27436,Graham DeLaet,2.2
4,0,21209,Sergio Garcia,2.2
6,0,23983,Luke Donald,2.1
6,0,30926,Chris Kirk,2.1
8,0,23108,Matt Kuchar,2.0
8,0,29221,Webb Simpson,2.0
8,0,21528,Henrik Stenson,2.0
8,0,25834,Daniel Summerhays,2.0
12,0,30927,Brendon Todd,1.9
13,0,24357,K.J. Choi,1.8
13,0,35539,Luke Guthrie,1.8
13,0,21731,Freddie Jacobson,1.8
13,0,24024,Zach Johnson,1.8
13,0,26596,Ryan Moore,1.8
13,0,29289,S.Y. Noh,1.8
13,0,20645,John Senden,1.8
13,0,33418,Shawn Stefani,1.8
21,0,24846,Ricky Barnes,1.7
21,0,29479,Scott Brown,1.7
21,0,20229,Stewart Cink,1.7
21,0,26300,Matt Jones,1.7
21,0,24490,George McNeill,1.7
21,0,22405,Justin Rose,1.7
21,0,29518,Brendan Steele,1.7
21,0,34431,Robert Streb,1.7
21,0,32150,Michael Thompson,1.7
21,0,27770,Camilo Villegas,1.7
21,0,25632,Jimmy Walker,1.7
32,0,25364,Paul Casey,1.6
32,0,21961,Charles Howell III,1.6
32,0,30925,Dustin Johnson,1.6
32,0,36689,Brooks Koepka,1.6
32,0,34261,Scott Langley,1.6
32,0,24138,Ian Poulter,1.6
32,0,06567,Vijay Singh,1.6
32,0,27214,Kevin Streelman,1.6
32,0,27963,Chris Stroud,1.6
41,0,28259,Sangmoon Bae,1.5
41,0,12510,Chad Campbell,1.5
41,0,20593,Greg Chalmers,1.5
41,0,06522,Ernie Els,1.5
41,0,10809,Jim Furyk,1.5
41,0,20157,Retief Goosen,1.5
41,0,27644,Brian Harman,1.5
41,0,34098,Russell Henley,1.5
41,0,25444,Justin Hicks,1.5
41,0,29420,Billy Horschel,1.5
41,0,08075,Jerry Kelly,1.5
41,0,24781,Hunter Mahan,1.5
41,0,27933,John Merrick,1.5
41,0,01810,Phil Mickelson,1.5
41,0,25396,Kevin Na,1.5
41,0,23320,Ryan Palmer,1.5
41,0,24361,Pat Perez,1.5
41,0,26331,Charl Schwartzel,1.5
41,0,27649,Brandt Snedeker,1.5
41,0,02206,David Toms,1.5
41,0,20396,Lee Westwood,1.5
41,0,31323,Gary Woodland,1.5
63,0,20098,Stuart Appleby,1.4
63,0,20498,Briny Baird,1.4
63,0,33141,Keegan Bradley,1.4
63,0,20848,Ángel Cabrera,1.4
63,0,22621,Ben Curtis,1.4
63,0,23638,Brendon de Jonge,1.4
63,0,25686,Jason Dufner,1.4
63,0,19846,Brian Gay,1.4
63,0,24924,Bill Haas,1.4
63,0,29222,Billy Hurley III,1.4
63,0,27408,Martin Kaymer,1.4
63,0,29926,Danny Lee,1.4
