RANK,MOVEMENT,PLAYER_ID,PLAYER,%,ATTEMPTS,PUTTS MADE
1,0,20396,Lee Westwood,32.73,55,18
2,0,28307,Matt Every,31.19,109,34
3,0,22371,Aaron Baddeley,27.16,81,22
4,0,30852,Ryo Ishikawa,26.85,108,29
5,0,26851,Marc Leishman,26.32,95,25
6,0,25562,Andres Romero,26.17,107,28
7,0,32150,Michael Thompson,26.14,88,23
8,0,25804,Bubba Watson,25.51,98,25
9,0,26331,Charl Schwartzel,25.27,91,23
10,0,28092,D.H. Lee,24.66,73,18
11,0,24138,Ian Poulter,24.59,61,15
12,0,23108,Matt Kuchar,24.48,143,35
13,0,28259,Sangmoon Bae,24.32,74,18
14,0,21753,Brian Davis,24.30,107,26
15,0,33461,Morgan Hoffmann,24.29,140,34
16,0,28089,Jason Day,24.07,54,13
17,0,34046,Jordan Spieth,23.97,121,29
18,0,32200,Roberto Castro,23.81,84,20
19,0,29535,Brice Garnett,23.42,111,26
20,0,32640,Troy Merritt,23.33,90,21
21,0,35300,Andrew Loupe,23.19,69,16
22,0,29740,Brad Fritsch,22.81,57,13
23,0,20593,Greg Chalmers,22.69,119,27
24,0,25364,Paul Casey,22.64,53,12
24,0,26596,Ryan Moore,22.64,106,24
26,0,35539,Luke Guthrie,22.48,129,29
27,0,33122,Russell Knox,22.39,134,30
28,0,29926,Danny Lee,22.22,99,22
28,0,34409,David Lingmerth,22.22,99,22
30,0,36689,Brooks Koepka,22.03,59,13
31,0,24925,Jonathan Byrd,21.78,101,22
32,0,27963,Chris Stroud,21.67,120,26
33,0,35732,Wes Roach,21.52,79,17
34,0,26300,Matt Jones,21.33,75,16
35,0,20098,Stuart Appleby,21.19,118,25
35,0,25396,Kevin Na,21.19,118,25
37,0,34431,Robert Streb,21.05,114,24
38,0,24357,K.J. Choi,20.79,101,21
38,0,29478,Kevin Kisner,20.79,101,21
40,0,22046,Geoff Ogilvy,20.75,106,22
41,0,25572,Graeme McDowell,20.73,82,17
42,0,28132,Tyrone Van Aswegen,20.51,117,24
43,0,28475,Jeff Overton,20.45,88,18
44,0,21209,Sergio Garcia,20.34,59,12
45,0,27141,J.B. Holmes,20.33,123,25
46,0,23638,Brendon de Jonge,20.29,138,28
47,0,23409,James Driscoll,20.25,79,16
47,0,35139,Richard Lee,20.25,79,16
49,0,24846,Ricky Barnes,20.18,114,23
50,0,24502,Adam Scott,20.00,100,20
50,0,22293,Heath Slocum,20.00,115,23
50,0,25834,Daniel Summerhays,20.00,130,26
53,0,12716,Charley Hoffman,19.83,121,24
54,0,06522,Ernie Els,19.79,96,19
55,0,22621,Ben Curtis,19.77,86,17
55,0,27408,Martin Kaymer,19.77,86,17
57,0,28237,Rory McIlroy,19.74,76,15
58,0,22405,Justin Rose,19.70,66,13
59,0,23621,Rory Sabbatini,19.66,117,23
60,0,01706,Davis Love III,19.54,87,17
61,0,24507,Jason Bohn,19.49,118,23
62,0,33141,Keegan Bradley,19.44,108,21
62,0,23320,Ryan Palmer,19.44,108,21
64,0,10885,Robert Allenby,19.40,134,26
65,0,24024,Zach Johnson,19.35,155,30
65,0,30944,Jason Kokrak,19.35,93,18
67,0,29518,Brendan Steele,19.33,119,23
68,0,33413,Ben Martin,19.15,94,18
