RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL
1,0,25572,Graeme McDowell,28.2
2,0,20593,Greg Chalmers,49.1
3,0,30927,Brendon Todd,54.2
4,0,21731,Freddie Jacobson,55.3
5,0,25632,Jimmy Walker,62.6
6,0,23108,Matt Kuchar,71.2
7,0,20645,John Senden,78.4
8,0,34098,Russell Henley,84.3
9,0,23983,Luke Donald,86.4
10,0,22371,Aaron Baddeley,87.8
11,0,28237,Rory McIlroy,90.1
12,0,26758,David Hearn,93.3
13,0,31202,William McGirt,95.1
14,0,10860,Justin Leonard,96.3
15,0,32102,Rickie Fowler,98.6
16,0,28089,Jason Day,106.9
17,0,27963,Chris Stroud,108.6
18,0,23320,Ryan Palmer,112.8
19,0,28307,Matt Every,112.9
20,0,31560,Brian Stuard,116.1
21,0,12716,Charley Hoffman,117.5
22,0,33461,Morgan Hoffmann,119.5
23,0,20098,Stuart Appleby,119.6
24,0,25364,Paul Casey,122.4
25,0,25720,Chad Collins,124.1
26,0,33141,Keegan Bradley,124.3
27,0,23541,Ben Crane,125.0
28,0,01810,Phil Mickelson,125.8
29,0,29478,Kevin Kisner,127.4
30,0,24494,Erik Compton,127.8
31,0,34360,Patrick Reed,130.8
32,0,20157,Retief Goosen,131.3
33,0,33413,Ben Martin,131.8
34,0,28259,Sangmoon Bae,132.8
35,0,30944,Jason Kokrak,133.8
35,0,25396,Kevin Na,133.8
37,0,25562,Andres Romero,134.3
38,0,24357,K.J. Choi,134.8
39,0,27895,Jonas Blixt,135.0
40,0,23800,Bryce Molder,135.8
41,0,35139,Richard Lee,136.8
42,0,29535,Brice Garnett,138.2
43,0,25834,Daniel Summerhays,138.3
44,0,29479,Scott Brown,138.5
45,0,08075,Jerry Kelly,139.2
46,0,30926,Chris Kirk,140.7
47,0,24507,Jason Bohn,142.4
48,0,26300,Matt Jones,143.2
49,0,32150,Michael Thompson,144.8
50,0,29420,Billy Horschel,147.3
50,0,24781,Hunter Mahan,147.3
52,0,24138,Ian Poulter,149.6
53,0,33419,Cameron Tringale,149.7
54,0,24140,Sean O'Hair,150.8
55,0,27649,Brandt Snedeker,151.0
56,0,24502,Adam Scott,152.3
57,0,34046,Jordan Spieth,152.4
58,0,21209,Sergio Garcia,153.7
59,0,21753,Brian Davis,155.3
60,0,29222,Billy Hurley III,161.1
61,0,22621,Ben Curtis,162.0
62,0,34261,Scott Langley,162.2
63,0,23135,Tim Clark,163.2
64,0,24024,Zach Johnson,163.4
65,0,24361,Pat Perez,163.9
66,0,24490,George McNeill,165.1
67,0,25444,Justin Hicks,166.8
68,0,23409,James Driscoll,167.3
69,0,29221,Webb Simpson,167.8
70,0,20396,Lee Westwood,168.6
71,0,21528,Henrik Stenson,169.3
72,0,28475,Jeff Overton,172.8
73,0,30852,Ryo Ishikawa,173.9
74,0,36689,Brooks Koepka,174.9
75,0,23638,Brendon de Jonge,175.0
76,0,27644,Brian Harman,175.4
77,0,30925,Dustin Johnson,176.6
78,0,27556,Ted Potter Jr.,176.8
79,0,34099,Harris English,177.5
80,0,30750,Tommy Gainey,178.8
81,0,32640,Troy Merritt,180.3
82,0,22405,Justin Rose,181.7
82,0,29425,Andrew Svoboda,181.7
84,0,28132,Tyrone Van Aswegen,181.8
85,0,35300,Andrew Loupe,182.0
86,0,25349,Tim Wilkinson,182.5
87,0,26851,Marc Leishman,184.0
88,0,24924,Bill Haas,185.6
89,0,26951,Johnson Wagner,190.0
90,0,29289,S.Y. Noh,190.2
91,0,23623,Bo Van Pelt,191.1
92,0,10809,Jim Furyk,191.4
92,0,29926,Danny Lee,191.4
94,0,26956,Bronson La'Cassie,191.8
95,0,24912,Will MacKenzie,191.9
96,0,27770,Camilo Villegas,195.4
97,0,34265,Will Wilcox,195.8
98,0,20160,Charlie Wi,196.8
99,0,10423,Mike Weir,198.6
100,0,33122,Russell Knox,199.8
101,0,25804,Bubba Watson,200.3
102,0,35539,Luke Guthrie,202.6
103,0,34563,Chesson Hadley,202.8
104,0,29740,Brad Fritsch,205.4
105,0,34264,Hudson Swafford,206.8
106,0,07867,Woody Austin,208.7
107,0,27141,J.B. Holmes,210.7
108,0,27408,Martin Kaymer,211.1
109,0,34174,John Huh,212.3
109,0,29518,Brendan Steele,212.3
111,0,02206,David Toms,213.2
112,0,34431,Robert Streb,214.8
113,0,27330,Josh Teater,215.7
114,0,24846,Ricky Barnes,215.9
115,0,21961,Charles Howell III,216.8
116,0,26331,Charl Schwartzel,217.2
117,0,32200,Roberto Castro,217.3
118,0,19846,Brian Gay,219.1
119,0,26596,Ryan Moore,219.3
120,0,24925,Jonathan Byrd,220.4
121,0,27936,Martin Laird,222.8
122,0,28500,Martin Flores,228.1
123,0,27466,Spencer Levin,230.9
124,0,32366,Kevin Chappell,231.2
125,0,31323,Gary Woodland,231.3
126,0,27095,Nick Watney,231.8
127,0,32334,Charlie Beljan,232.2
128,0,24663,Y.E. Yang,234.2
129,0,25191,Gonzalo Fernandez-Castaño,234.8
129,0,34409,David Lingmerth,234.8
131,0,22293,Heath Slocum,236.5
132,0,28092,D.H. Lee,236.8
133,0,20848,Ángel Cabrera,237.5
134,0,27064,Jhonattan Vegas,241.6
135,0,27436,Graham DeLaet,242.4
136,0,24358,Robert Garrigus,242.7
137,0,33418,Shawn Stefani,243.3
138,0,25345,Carl Pettersson,246.6
139,0,23353,J.J. Henry,246.9
140,0,27120,Troy Matteson,250.0
141,0,35732,Wes Roach,250.3
142,0,22913,John Rollins,251.5
143,0,29461,Jamie Lovemark,253.8
144,0,32448,James Hahn,257.1
145,0,30692,Scott Stallings,257.6
146,0,27214,Kevin Streelman,258.7
147,0,20229,Stewart Cink,260.3
148,0,34021,Bud Cauley,261.0
149,0,25240,D.A. Points,262.7
150,0,01706,Davis Love III,269.3
151,0,26679,Kevin Stadler,270.0
152,0,06522,Ernie Els,272.9
153,0,22046,Geoff Ogilvy,276.4
154,0,10885,Robert Allenby,278.8
155,0,20104,Ken Duke,279.1
156,0,32839,Hideki Matsuyama,279.3
157,0,20498,Briny Baird,280.8
158,0,25686,Jason Dufner,285.0
159,0,26329,Louis Oosthuizen,286.6
160,0,23621,Rory Sabbatini,287.1
161,0,31557,Jim Herman,288.7
162,0,32333,Kevin Tway,291.3
163,0,27933,John Merrick,292.2
164,0,37273,Derek Ernst,292.8
165,0,28486,Michael Putnam,295.5
166,0,12510,Chad Campbell,307.7
167,0,21878,Mark Wilson,309.0
168,0,28780,Nicholas Thompson,310.6
169,0,01724,Jeff Maggert,311.7
170,0,25274,Steven Bowditch,312.8
171,0,22378,Trevor Immelman,314.2
172,0,06567,Vijay Singh,323.3
173,0,31193,Jim Renner,326.3
174,0,25900,Lucas Glover,332.4
175,0,35541,John Peterson,336.0
176,0,30110,Kyle Stanley,354.2
177,0,26289,Boo Weekley,355.8
