RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL HOLES
1,0,28237,Rory McIlroy,3.91,1835,469
2,0,21209,Sergio Garcia,3.95,1556,394
3,0,08075,Jerry Kelly,3.96,1515,383
4,0,23108,Matt Kuchar,3.97,2502,631
4,0,02206,David Toms,3.97,1268,319
6,0,12510,Chad Campbell,3.98,1150,289
6,0,34431,Robert Streb,3.98,1652,415
6,0,25804,Bubba Watson,3.98,1816,456
9,0,10809,Jim Furyk,3.99,2252,564
9,0,12716,Charley Hoffman,3.99,1873,469
9,0,23320,Ryan Palmer,3.99,2042,512
9,0,25345,Carl Pettersson,3.99,1943,487
9,0,24502,Adam Scott,3.99,2065,518
14,0,20098,Stuart Appleby,4.00,1700,425
14,0,27644,Brian Harman,4.00,2336,584
14,0,21961,Charles Howell III,4.00,2209,552
14,0,21731,Freddie Jacobson,4.00,1939,485
14,0,24024,Zach Johnson,4.00,2212,553
14,0,32839,Hideki Matsuyama,4.00,1772,443
14,0,25396,Kevin Na,4.00,2181,545
14,0,33418,Shawn Stefani,4.00,1093,273
14,0,27963,Chris Stroud,4.00,2017,504
14,0,26289,Boo Weekley,4.00,1232,308
24,0,27436,Graham DeLaet,4.01,1919,479
24,0,25686,Jason Dufner,4.01,1168,291
24,0,24924,Bill Haas,4.01,2295,572
24,0,33413,Ben Martin,4.01,1840,459
24,0,25572,Graeme McDowell,4.01,1398,349
24,0,30927,Brendon Todd,4.01,2457,612
30,0,33141,Keegan Bradley,4.02,2249,559
30,0,23135,Tim Clark,4.02,1694,421
30,0,31557,Jim Herman,4.02,1169,291
30,0,25444,Justin Hicks,4.02,1944,483
30,0,30944,Jason Kokrak,4.02,1638,407
30,0,26851,Marc Leishman,4.02,1851,461
30,0,24490,George McNeill,4.02,1654,411
30,0,01810,Phil Mickelson,4.02,1485,369
30,0,29289,S.Y. Noh,4.02,1839,457
30,0,29425,Andrew Svoboda,4.02,1661,413
30,0,31323,Gary Woodland,4.02,1963,488
41,0,24507,Jason Bohn,4.03,1810,449
41,0,25364,Paul Casey,4.03,1101,273
41,0,28089,Jason Day,4.03,1369,340
41,0,34099,Harris English,4.03,1984,492
41,0,32102,Rickie Fowler,4.03,1847,458
41,0,19846,Brian Gay,4.03,1369,340
41,0,29420,Billy Horschel,4.03,2047,508
41,0,27408,Martin Kaymer,4.03,1467,364
41,0,30926,Chris Kirk,4.03,2529,627
41,0,33122,Russell Knox,4.03,1854,460
41,0,24912,Will MacKenzie,4.03,1813,450
41,0,31202,William McGirt,4.03,2098,521
41,0,26596,Ryan Moore,4.03,2178,541
41,0,22046,Geoff Ogilvy,4.03,1589,394
41,0,28475,Jeff Overton,4.03,1357,337
41,0,29221,Webb Simpson,4.03,1679,417
41,0,34046,Jordan Spieth,4.03,2549,632
41,0,27064,Jhonattan Vegas,4.03,1635,406
41,0,25632,Jimmy Walker,4.03,2286,567
41,0,20396,Lee Westwood,4.03,1032,256
61,0,28259,Sangmoon Bae,4.04,1573,389
61,0,24846,Ricky Barnes,4.04,1754,434
61,0,24925,Jonathan Byrd,4.04,1547,383
61,0,23541,Ben Crane,4.04,1702,421
61,0,23638,Brendon de Jonge,4.04,2183,540
61,0,26758,David Hearn,4.04,1816,449
61,0,30925,Dustin Johnson,4.04,1581,391
61,0,29478,Kevin Kisner,4.04,1955,484
61,0,36689,Brooks Koepka,4.04,1019,252
61,0,34261,Scott Langley,4.04,2057,509
61,0,01706,Davis Love III,4.04,1268,314
61,0,24781,Hunter Mahan,4.04,1979,490
61,0,23800,Bryce Molder,4.04,1356,336
61,0,24138,Ian Poulter,4.04,1122,278
61,0,31560,Brian Stuard,4.04,1985,491
61,0,25834,Daniel Summerhays,4.04,1967,487
61,0,27770,Camilo Villegas,4.04,1824,451
61,0,34265,Will Wilcox,4.04,1257,311
79,0,32366,Kevin Chappell,4.05,1999,493
79,0,34563,Chesson Hadley,4.05,2063,509
79,0,27141,J.B. Holmes,4.05,2127,525
79,0,26956,Bronson La'Cassie,4.05,972,240
79,0,29461,Jamie Lovemark,4.05,1247,308
79,0,27556,Ted Potter Jr.,4.05,1423,351
79,0,25562,Andres Romero,4.05,1410,348
79,0,22405,Justin Rose,4.05,1760,435
79,0,26331,Charl Schwartzel,4.05,1548,382
79,0,26679,Kevin Stadler,4.05,1706,421
79,0,21528,Henrik Stenson,4.05,1480,365
90,0,10885,Robert Allenby,4.06,1706,420
90,0,34021,Bud Cauley,4.06,1420,350
90,0,25720,Chad Collins,4.06,1555,383
90,0,25191,Gonzalo Fernandez-Castaño,4.06,1647,406
90,0,29535,Brice Garnett,4.06,1770,436
90,0,24358,Robert Garrigus,4.06,1601,394
90,0,34098,Russell Henley,4.06,1780,438
90,0,29222,Billy Hurley III,4.06,1884,464
90,0,27466,Spencer Levin,4.06,1065,262
90,0,01724,Jeff Maggert,4.06,1176,290
90,0,27933,John Merrick,4.06,1363,336
90,0,34360,Patrick Reed,4.06,1943,479
90,0,22293,Heath Slocum,4.06,1465,361
90,0,27649,Brandt Snedeker,4.06,2078,512
90,0,20160,Charlie Wi,4.06,1562,385
105,0,20498,Briny Baird,4.07,850,209
105,0,29479,Scott Brown,4.07,2127,522
105,0,20848,Ángel Cabrera,4.07,1387,341
105,0,20229,Stewart Cink,4.07,1857,456
105,0,20104,Ken Duke,4.07,1462,359
105,0,29740,Brad Fritsch,4.07,1120,275
105,0,23353,J.J. Henry,4.07,1657,407
105,0,33461,Morgan Hoffmann,4.07,2259,555
105,0,27936,Martin Laird,4.07,1169,287
105,0,28092,D.H. Lee,4.07,920,226
105,0,29926,Danny Lee,4.07,1810,445
105,0,10860,Justin Leonard,4.07,1440,354
105,0,20645,John Senden,4.07,2253,553
105,0,27095,Nick Watney,4.07,1805,444
105,0,21878,Mark Wilson,4.07,1308,321
120,0,24494,Erik Compton,4.08,2012,493
120,0,28307,Matt Every,4.08,1931,473
120,0,28500,Martin Flores,4.08,1742,427
120,0,30750,Tommy Gainey,4.08,1598,392
120,0,35539,Luke Guthrie,4.08,1773,435
120,0,32448,James Hahn,4.08,1725,423
120,0,34174,John Huh,4.08,1558,382
120,0,30852,Ryo Ishikawa,4.08,1701,417
120,0,34409,David Lingmerth,4.08,1531,375
120,0,35300,Andrew Loupe,4.08,1399,343
120,0,35732,Wes Roach,4.08,1237,303
120,0,29518,Brendan Steele,4.08,1588,389
120,0,27214,Kevin Streelman,4.08,1870,458
120,0,33419,Cameron Tringale,4.08,2107,517
134,0,22371,Aaron Baddeley,4.09,1697,415
134,0,32334,Charlie Beljan,4.09,1680,411
134,0,27895,Jonas Blixt,4.09,1181,289
134,0,20593,Greg Chalmers,4.09,1852,453
134,0,24357,K.J. Choi,4.09,1535,375
134,0,21753,Brian Davis,4.09,2002,489
134,0,06522,Ernie Els,4.09,1619,396
134,0,26300,Matt Jones,4.09,1760,430
134,0,32640,Troy Merritt,4.09,1273,311
134,0,26329,Louis Oosthuizen,4.09,1064,260
134,0,24361,Pat Perez,4.09,1958,479
134,0,35541,John Peterson,4.09,1371,335
134,0,28486,Michael Putnam,4.09,2137,522
134,0,06567,Vijay Singh,4.09,1700,416
134,0,23623,Bo Van Pelt,4.09,1889,462
134,0,25349,Tim Wilkinson,4.09,2045,500
150,0,20157,Retief Goosen,4.10,1959,478
150,0,22378,Trevor Immelman,4.10,1286,314
150,0,35139,Richard Lee,4.10,1663,406
150,0,32333,Kevin Tway,4.10,1309,319
150,0,10423,Mike Weir,4.10,1479,361
150,0,24663,Y.E. Yang,4.10,1514,369
156,0,25274,Steven Bowditch,4.11,2034,495
156,0,23983,Luke Donald,4.11,1010,246
156,0,24140,Sean O'Hair,4.11,1392,339
156,0,22913,John Rollins,4.11,1580,384
156,0,23621,Rory Sabbatini,4.11,1642,400
156,0,30692,Scott Stallings,4.11,1492,363
156,0,27330,Josh Teater,4.11,1813,441
156,0,28132,Tyrone Van Aswegen,4.11,1579,384
156,0,26951,Johnson Wagner,4.11,1411,343
165,0,32200,Roberto Castro,4.12,1541,374
165,0,22621,Ben Curtis,4.12,1528,371
165,0,23409,James Driscoll,4.12,1482,360
165,0,28780,Nicholas Thompson,4.12,1690,410
169,0,07867,Woody Austin,4.13,1174,284
169,0,25900,Lucas Glover,4.13,1395,338
169,0,27120,Troy Matteson,4.13,1242,301
169,0,25240,D.A. Points,4.13,1426,345
169,0,31193,Jim Renner,4.13,1356,328
169,0,30110,Kyle Stanley,4.13,1580,383
175,0,34264,Hudson Swafford,4.14,1593,385
176,0,32150,Michael Thompson,4.16,1413,340
177,0,37273,Derek Ernst,4.19,1597,381
