RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL ROUNDS
1,0,34046,Jordan Spieth,68.938,6080,- 13.449,88
2,0,28089,Jason Day,69.161,4960,19.590,72
3,0,25804,Bubba Watson,69.296,4712,.139,68
4,0,21528,Henrik Stenson,69.354,4179,- 17.760,60
5,0,30925,Dustin Johnson,69.585,5027,- 16.865,72
6,0,22405,Justin Rose,69.744,4614,- 10.884,66
7,0,24024,Zach Johnson,69.753,6061,7.472,87
8,0,34265,Will Wilcox,69.804,3741,28.416,54
9,0,25364,Paul Casey,69.806,5721,3.089,82
10,0,10809,Jim Furyk,69.845,4497,- 26.922,64
11,0,36689,Brooks Koepka,69.861,5666,- 7.282,81
12,0,32839,Hideki Matsuyama,69.940,6355,9.529,91
13,0,21209,Sergio Garcia,69.958,3937,- 19.340,56
14,0,23108,Matt Kuchar,70.040,6568,15.746,94
15,0,23320,Ryan Palmer,70.102,5410,- 12.171,77
16,0,33448,Justin Thomas,70.105,7379,52.153,106
17,0,25396,Kevin Na,70.121,6667,- 5.513,95
18,0,34431,Robert Streb,70.130,7685,29.255,110
19,0,27649,Brandt Snedeker,70.158,6660,4.975,95
20,0,26329,Louis Oosthuizen,70.160,4425,- 4.934,63
21,0,32102,Rickie Fowler,70.230,5064,- 7.406,72
22,0,24507,Jason Bohn,70.235,6623,49.308,95
22,0,34099,Harris English,70.235,7139,24.957,102
24,0,25632,Jimmy Walker,70.268,6047,- 3.991,86
25,0,29725,Tony Finau,70.281,7423,26.756,106
26,0,34360,Patrick Reed,70.292,7013,16.190,100
27,0,29221,Webb Simpson,70.310,5470,14.204,78
28,0,29478,Kevin Kisner,70.344,7300,15.824,104
29,0,08075,Jerry Kelly,70.383,5520,40.268,79
30,0,25834,Daniel Summerhays,70.397,7084,26.088,101
31,0,29926,Danny Lee,70.398,8409,38.814,120
32,0,29518,Brendan Steele,70.413,5892,22.690,84
33,0,33122,Russell Knox,70.421,6727,33.413,96
33,0,24138,Ian Poulter,70.421,4599,- 21.631,65
33,0,33418,Shawn Stefani,70.421,6594,25.574,94
36,0,23621,Rory Sabbatini,70.435,5670,35.259,81
37,0,33141,Keegan Bradley,70.450,5915,2.775,84
38,0,24502,Adam Scott,70.456,3401,- 19.095,48
39,0,25198,Francesco Molinari,70.458,3738,- 3.722,53
40,0,24490,George McNeill,70.478,6532,22.429,93
41,0,20396,Lee Westwood,70.484,3692,- 26.822,52
42,0,30927,Brendon Todd,70.533,6546,13.549,93
43,0,23983,Luke Donald,70.555,5025,- 15.622,71
44,0,26851,Marc Leishman,70.569,4945,- 5.166,70
45,0,40026,Daniel Berger,70.581,6806,40.320,97
45,0,34098,Russell Henley,70.581,5919,9.820,84
45,0,27141,J.B. Holmes,70.581,5995,4.362,85
48,0,01810,Phil Mickelson,70.585,4960,- 19.059,70
49,0,12510,Chad Campbell,70.604,6821,27.626,97
50,0,12716,Charley Hoffman,70.613,6625,12.664,94
51,0,36699,Patrick Rodgers,70.619,3715,27.815,53
52,0,25686,Jason Dufner,70.633,5171,- 14.757,73
53,0,23638,Brendon de Jonge,70.642,7451,37.009,106
54,0,27644,Brian Harman,70.647,6341,17.268,90
54,0,31202,William McGirt,70.647,7233,43.591,103
56,0,30944,Jason Kokrak,70.654,6192,25.521,88
57,0,24361,Pat Perez,70.666,6743,40.892,96
58,0,32366,Kevin Chappell,70.672,6064,13.755,86
58,0,24924,Bill Haas,70.672,6072,5.816,86
60,0,27095,Nick Watney,70.680,6404,27.855,91
61,0,25720,Chad Collins,70.681,5543,40.777,79
62,0,25818,Scott Piercy,70.688,6331,30.879,90
63,0,30711,Colt Knost,70.698,6035,44.985,86
64,0,40058,Zac Blair,70.714,7313,41.299,104
65,0,31557,Jim Herman,70.719,6182,41.232,88
66,0,27436,Graham DeLaet,70.720,4577,19.813,65
67,0,34264,Hudson Swafford,70.732,6675,44.506,95
68,0,35541,John Peterson,70.735,5912,29.772,84
69,0,06567,Vijay Singh,70.761,5496,23.347,78
70,0,27936,Martin Laird,70.772,5427,22.445,77
71,0,20229,Stewart Cink,70.774,5419,30.615,77
72,0,26289,Boo Weekley,70.775,5563,28.242,79
73,0,23800,Bryce Molder,70.779,6116,41.753,87
74,0,29479,Scott Brown,70.797,6828,39.329,97
75,0,34409,David Lingmerth,70.800,6339,32.969,90
76,0,26951,Johnson Wagner,70.807,4779,35.908,68
77,0,35532,Tom Hoge,70.812,5559,35.161,79
77,0,26300,Matt Jones,70.812,6057,32.825,86
79,0,26596,Ryan Moore,70.829,5513,11.665,78
80,0,24925,Jonathan Byrd,70.830,4561,42.918,65
81,0,25274,Steven Bowditch,70.835,7245,51.042,103
82,0,28475,Jeff Overton,70.836,6494,22.945,92
83,0,27466,Spencer Levin,70.837,6838,33.233,97
84,0,26758,David Hearn,70.843,6839,32.781,97
85,0,34262,Jon Curran,70.849,5575,22.069,79
86,0,29476,Kyle Reifers,70.854,6481,37.562,92
87,0,25345,Carl Pettersson,70.866,7483,28.810,106
88,0,21961,Charles Howell III,70.872,7409,32.575,105
89,0,32448,James Hahn,70.896,6638,26.178,94
90,0,28500,Martin Flores,70.919,6416,37.603,91
91,0,33419,Cameron Tringale,70.920,6812,- 3.651,96
92,0,33413,Ben Martin,70.950,6361,24.457,90
93,0,30926,Chris Kirk,70.959,5172,7.973,73
94,0,31323,Gary Woodland,70.982,5265,- 12.312,74
95,0,33461,Morgan Hoffmann,70.988,6023,10.946,85
96,0,21878,Mark Wilson,70.991,6001,33.219,85
97,0,33399,Adam Hadwin,71.021,6577,27.998,93
98,0,24140,Sean O'Hair,71.030,6067,41.548,86
99,0,34261,Scott Langley,71.032,6504,30.952,92
100,0,28259,Sangmoon Bae,71.036,6950,11.502,98
101,0,34174,John Huh,71.037,7132,42.752,101
102,0,22056,Cameron Percy,71.039,4933,39.709,70
103,0,29222,Billy Hurley III,71.043,5589,23.367,79
104,0,29420,Billy Horschel,71.050,6800,20.792,96
105,0,27770,Camilo Villegas,71.067,5899,- .401,83
106,0,25892,Steve Wheatcroft,71.072,5853,45.953,83
107,0,30946,Alex Prugh,71.089,5649,38.135,80
108,0,20645,John Senden,71.090,5334,- 2.262,75
109,0,02206,David Toms,71.092,4099,24.322,58
110,0,26331,Charl Schwartzel,71.093,4497,- 18.134,63
111,0,20771,Steven Alker,71.094,4219,46.629,60
112,0,37454,Whee Kim,71.097,4855,50.704,69
113,0,33667,Carlos Ortiz,71.098,6788,37.366,96
114,0,25369,Jamie Donaldson,71.102,3366,- 24.191,47
115,0,35451,Scott Pinckney,71.103,6220,37.088,88
116,0,20472,Alex Cejka,71.117,6497,45.773,92
117,0,24781,Hunter Mahan,71.124,5957,17.424,84
118,0,35545,Blayne Barber,71.127,5238,25.382,74
119,0,26476,Chez Reavie,71.146,3954,30.195,56
120,0,28486,Michael Putnam,71.156,6015,33.272,85
121,0,27963,Chris Stroud,71.194,5943,37.302,84
122,0,28679,Fabián Gómez,71.207,5886,24.207,83
123,0,35539,Luke Guthrie,71.211,5815,24.274,82
124,0,22371,Aaron Baddeley,71.218,5236,34.105,74
125,0,36801,Mark Hubbard,71.227,5435,49.463,77
126,0,24494,Erik Compton,71.228,6084,41.591,86
127,0,32150,Michael Thompson,71.230,5748,21.670,81
128,0,27895,Jonas Blixt,71.238,5251,20.583,74
129,0,30852,Ryo Ishikawa,71.246,6230,39.643,88
130,0,22892,Jason Gore,71.273,5090,41.636,72
131,0,27214,Kevin Streelman,71.282,6438,48.670,91
132,0,01706,Davis Love III,71.289,3626,9.723,51
133,0,25900,Lucas Glover,71.291,5612,20.007,79
134,0,20104,Ken Duke,71.306,6313,33.219,89
135,0,27064,Jhonattan Vegas,71.326,6103,31.075,86
136,0,32200,Roberto Castro,71.334,3552,14.704,50
136,0,23353,J.J. Henry,71.334,6384,36.026,90
136,0,27933,John Merrick,71.334,5249,29.747,74
139,0,31560,Brian Stuard,71.341,6603,31.673,93
140,0,20593,Greg Chalmers,71.363,3828,25.596,54
141,0,24357,K.J. Choi,71.372,4406,19.034,62
142,0,28780,Nicholas Thompson,71.396,6110,30.036,86
