RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,TOTAL HOLES,RELATIVE TO PAR
1,0,10809,Jim Furyk,66.48,121,182,-0.12
2,0,23320,Ryan Palmer,65.91,145,220,-0.08
3,0,32102,Rickie Fowler,64.90,135,208,-0.11
4,0,24502,Adam Scott,63.43,111,175,-0.14
5,0,30944,Jason Kokrak,63.16,144,228,-0.07
6,0,33141,Keegan Bradley,62.79,135,215,-0.15
7,0,25900,Lucas Glover,62.56,137,219,-0.12
8,0,33418,Shawn Stefani,62.06,175,282,-0.11
9,0,27214,Kevin Streelman,61.90,130,210,-0.12
10,0,20691,Greg Owen,61.75,134,217,-0.07
11,0,25686,Jason Dufner,61.71,166,269,-0.04
12,0,24358,Robert Garrigus,61.63,106,172,-0.13
13,0,24924,Bill Haas,61.54,136,221,-0.12
14,0,28089,Jason Day,61.25,98,160,-0.18
15,0,25240,D.A. Points,61.15,85,139,-0.21
16,0,26758,David Hearn,61.14,203,332,-0.20
17,0,31323,Gary Woodland,61.02,155,254,-0.05
18,0,34264,Hudson Swafford,60.70,173,285,-0.14
19,0,26331,Charl Schwartzel,60.66,111,183,-0.12
20,0,28114,Dawie van der Walt,60.49,98,162,-0.16
21,0,24461,Thomas Aiken,60.24,100,166,-0.08
22,0,26329,Louis Oosthuizen,60.14,86,143,-0.22
23,0,37273,Derek Ernst,59.68,74,124,-0.04
24,0,27064,Jhonattan Vegas,59.50,144,242,-0.13
25,0,24490,George McNeill,59.41,101,170,-0.08
26,0,25396,Kevin Na,59.16,155,262,-0.17
27,0,01810,Phil Mickelson,59.13,123,208,-0.12
28,0,29720,Andres Gonzales,58.79,117,199,-0.06
29,0,29420,Billy Horschel,58.73,111,189,-0.16
30,0,22405,Justin Rose,58.44,90,154,-0.20
31,0,23108,Matt Kuchar,58.36,157,269,-0.15
32,0,30926,Chris Kirk,58.25,166,285,-0.12
33,0,27129,Luke List,58.17,121,208,-0.05
34,0,06527,Steve Stricker,58.12,111,191,-0.20
35,0,25364,Paul Casey,58.10,122,210,-0.09
36,0,34563,Chesson Hadley,58.05,119,205,-0.13
37,0,26476,Chez Reavie,58.02,152,262,-0.14
38,0,26951,Johnson Wagner,57.95,153,264,-0.12
39,0,25804,Bubba Watson,57.86,81,140,-0.17
40,0,32618,Rhein Gibson,57.85,70,121,-0.10
41,0,31202,William McGirt,57.80,189,327,-0.15
42,0,23983,Luke Donald,57.66,143,248,-0.17
42,0,27936,Martin Laird,57.66,128,222,-0.15
44,0,24140,Sean O'Hair,57.63,151,262,-0.10
45,0,35879,Kelly Kraft,57.60,72,125,-0.10
46,0,33399,Adam Hadwin,57.59,186,323,-0.22
47,0,29485,Brett Stegmaier,57.55,141,245,-0.11
48,0,33667,Carlos Ortiz,57.50,115,200,-0.15
49,0,24357,K.J. Choi,57.49,142,247,-0.20
50,0,33413,Ben Martin,57.44,166,289,-0.14
51,0,30163,Henrik Norlander,57.43,85,148,-0.15
52,0,26596,Ryan Moore,57.32,141,246,-0.15
53,0,34431,Robert Streb,57.14,144,252,-0.19
53,0,33448,Justin Thomas,57.14,136,238,-0.16
55,0,34261,Scott Langley,56.98,98,172,-0.08
56,0,32200,Roberto Castro,56.91,177,311,-0.08
57,0,30711,Colt Knost,56.79,159,280,-0.14
58,0,28132,Tyrone Van Aswegen,56.73,177,312,-0.08
59,0,32839,Hideki Matsuyama,56.72,114,201,-0.17
60,0,24846,Ricky Barnes,56.69,161,284,-0.16
61,0,20645,John Senden,56.57,155,274,-0.12
62,0,28475,Jeff Overton,56.50,113,200,-0.11
63,0,25493,Nick Taylor,56.46,118,209,-0.11
64,0,35891,Cameron Smith,56.44,92,163,-0.07
64,0,37189,Harold Varner III,56.44,149,264,-0.09
66,0,20229,Stewart Cink,56.41,88,156,-0.10
66,0,29221,Webb Simpson,56.41,110,195,-0.15
68,0,33122,Russell Knox,56.38,137,243,-0.09
69,0,29476,Kyle Reifers,56.30,192,341,-0.14
70,0,21961,Charles Howell III,56.28,139,247,-0.12
71,0,29926,Danny Lee,56.25,153,272,-0.10
71,0,29518,Brendan Steele,56.25,126,224,-0.05
73,0,21878,Mark Wilson,56.19,127,226,-0.07
74,0,35545,Blayne Barber,56.18,141,251,-0.06
75,0,27436,Graham DeLaet,56.00,112,200,-0.07
76,0,25349,Tim Wilkinson,55.97,89,159,-0.11
77,0,27895,Jonas Blixt,55.91,123,220,-0.14
78,0,34098,Russell Henley,55.87,119,213,-0.13
79,0,27466,Spencer Levin,55.81,173,310,-0.14
80,0,22892,Jason Gore,55.71,117,210,-0.15
81,0,32448,James Hahn,55.56,130,234,-0.16
81,0,21731,Freddie Jacobson,55.56,145,261,-0.19
81,0,28237,Rory McIlroy,55.56,70,126,-0.10
84,0,29478,Kevin Kisner,55.51,146,263,-0.17
84,0,33419,Cameron Tringale,55.51,136,245,-0.04
86,0,36689,Brooks Koepka,55.49,96,173,-0.20
87,0,24024,Zach Johnson,55.39,149,269,-0.18
88,0,21209,Sergio Garcia,55.34,57,103,-0.09
88,0,31646,Emiliano Grillo,55.34,140,253,-0.16
90,0,23325,Vaughn Taylor,55.27,131,237,-0.16
91,0,25632,Jimmy Walker,55.26,126,228,-0.20
92,0,29289,S.Y. Noh,55.17,128,232,-0.11
93,0,32366,Kevin Chappell,55.11,151,274,-0.11
93,0,25720,Chad Collins,55.11,124,225,-0.15
95,0,26300,Matt Jones,55.02,115,209,-0.18
96,0,46440,Smylie Kaufman,54.92,106,193,-0.09
96,0,36699,Patrick Rodgers,54.92,106,193,-0.08
98,0,36801,Mark Hubbard,54.88,163,297,-0.13
99,0,12716,Charley Hoffman,54.87,124,226,-0.15
100,0,32757,Patton Kizzire,54.85,164,299,-0.11
101,0,35532,Tom Hoge,54.79,103,188,-0.17
102,0,35732,Wes Roach,54.76,69,126,-0.13
103,0,23541,Ben Crane,54.72,145,265,-0.12
104,0,40026,Daniel Berger,54.69,140,256,-0.13
105,0,32150,Michael Thompson,54.60,89,163,-0.16
106,0,34409,David Lingmerth,54.59,119,218,-0.23
107,0,29268,Bronson Burgoon,54.55,114,209,-0.12
107,0,27141,J.B. Holmes,54.55,84,154,-0.10
109,0,27649,Brandt Snedeker,54.47,140,257,-0.11
110,0,39975,Michael Kim,54.43,166,305,-0.14
111,0,25198,Francesco Molinari,54.42,117,215,-0.08
112,0,32876,Martin Piller,54.41,74,136,-0.08
113,0,28158,Steve Marino,54.34,94,173,-0.10
114,0,35451,Scott Pinckney,54.33,113,208,-0.12
115,0,27963,Chris Stroud,54.29,133,245,-0.17
116,0,37454,Whee Kim,54.17,117,216,-0.12
117,0,27974,Sung Kang,54.10,132,244,-0.14
118,0,29725,Tony Finau,54.09,119,220,-0.06
119,0,34174,John Huh,54.04,174,322,-0.16
120,0,24507,Jason Bohn,53.99,115,213,-0.11
121,0,12510,Chad Campbell,53.98,156,289,-0.12
122,0,31557,Jim Herman,53.97,136,252,-0.10
123,0,23353,J.J. Henry,53.92,110,204,-0.03
124,0,26289,Boo Weekley,53.88,118,219,-0.13
125,0,40058,Zac Blair,53.82,169,314,-0.13
126,0,29745,Tyler Aldridge,53.64,118,220,-0.11
127,0,25818,Scott Piercy,53.60,119,222,-0.09
128,0,34262,Jon Curran,53.57,180,336,-0.17
129,0,27644,Brian Harman,53.55,166,310,-0.11
130,0,23638,Brendon de Jonge,53.48,123,230,-0.13
131,0,30925,Dustin Johnson,53.42,86,161,-0.14
131,0,31560,Brian Stuard,53.42,125,234,-0.15
