RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG DTP,TOTAL DISTANCE (FEET),# OF SHOTS,SCRAMBLING RANK
1,0,25198,Francesco Molinari,5' 2",7.837,126,53
1,0,06527,Steve Stricker,5' 2",4.997,80,1
3,0,29974,Branden Grace,5' 3",4.163,66,82
4,0,33141,Keegan Bradley,5' 4",7.692,120,165
5,0,34099,Harris English,5' 5",8.897,136,63
5,0,28237,Rory McIlroy,5' 5",4.107,63,88
7,0,30692,Scott Stallings,5' 6",8.731,133,103
8,0,24846,Ricky Barnes,5' 8",10.797,159,66
9,0,32448,James Hahn,5' 9",7.147,104,150
9,0,26758,David Hearn,5' 9",10.308,149,40
9,0,33122,Russell Knox,5' 9",5.760,83,28
9,0,28475,Jeff Overton,5' 9",9.156,133,11
9,0,27963,Chris Stroud,5' 9",7.785,113,126
14,0,10809,Jim Furyk,5' 10",3.805,54,119
14,0,20157,Retief Goosen,5' 10",7.981,114,59
14,0,30926,Chris Kirk,5' 10",9.756,140,16
14,0,23800,Bryce Molder,5' 10",10.353,148,2
14,0,26331,Charl Schwartzel,5' 10",5.744,82,69
19,0,28089,Jason Day,5' 11",6.977,98,26
19,0,23983,Luke Donald,5' 11",7.353,103,6
19,0,25900,Lucas Glover,5' 11",8.949,126,123
22,0,25364,Paul Casey,6' 0",6.002,83,36
22,0,21961,Charles Howell III,6' 0",11.372,157,44
22,0,34360,Patrick Reed,6' 0",8.734,121,8
22,0,30927,Brendon Todd,6' 0",9.023,125,35
22,0,25892,Steve Wheatcroft,6' 0",9.759,135,54
27,0,20766,Padraig Harrington,6' 1",6.375,87,64
27,0,27129,Luke List,6' 1",10.530,144,44
27,0,01810,Phil Mickelson,6' 1",7.109,98,4
30,0,20098,Stuart Appleby,6' 2",9.991,135,14
30,0,29420,Billy Horschel,6' 2",8.158,110,166
30,0,29222,Billy Hurley III,6' 2",6.923,94,32
30,0,30711,Colt Knost,6' 2",10.499,142,27
30,0,34261,Scott Langley,6' 2",9.145,123,19
35,0,22371,Aaron Baddeley,6' 3",11.800,158,5
35,0,32366,Kevin Chappell,6' 3",9.505,126,79
35,0,35539,Luke Guthrie,6' 3",6.389,85,50
35,0,46440,Smylie Kaufman,6' 3",7.987,107,159
35,0,23108,Matt Kuchar,6' 3",8.504,114,34
35,0,29461,Jamie Lovemark,6' 3",13.800,184,36
35,0,33418,Shawn Stefani,6' 3",11.001,146,49
35,0,34431,Robert Streb,6' 3",8.280,111,149
35,0,23325,Vaughn Taylor,6' 3",9.025,120,163
35,0,25632,Jimmy Walker,6' 3",8.524,113,112
45,0,08075,Jerry Kelly,6' 4",7.865,104,7
45,0,37455,Si Woo Kim,6' 4",15.829,207,20
45,0,30944,Jason Kokrak,6' 4",10.784,141,92
48,0,45526,Abraham Ancer,6' 5",6.759,88,131
48,0,40026,Daniel Berger,6' 5",8.460,110,127
48,0,24924,Bill Haas,6' 5",8.435,109,12
48,0,35532,Tom Hoge,6' 5",10.303,133,91
48,0,26851,Marc Leishman,6' 5",9.552,124,56
48,0,27466,Spencer Levin,6' 5",11.945,156,76
48,0,34046,Jordan Spieth,6' 5",7.798,101,9
48,0,29485,Brett Stegmaier,6' 5",12.479,163,97
48,0,02206,David Toms,6' 5",8.618,112,43
48,0,31323,Gary Woodland,6' 5",9.496,124,59
58,0,25720,Chad Collins,6' 6",11.773,150,51
58,0,24024,Zach Johnson,6' 6",9.551,123,24
58,0,24912,Will MacKenzie,6' 6",8.923,114,120
58,0,32839,Hideki Matsuyama,6' 6",6.500,83,46
58,0,25572,Graeme McDowell,6' 6",5.145,66,86
58,0,35732,Wes Roach,6' 6",7.000,90,146
58,0,29221,Webb Simpson,6' 6",7.568,97,75
58,0,31560,Brian Stuard,6' 6",8.987,115,23
66,0,40058,Zac Blair,6' 7",10.919,138,16
66,0,12510,Chad Campbell,6' 7",11.783,150,21
66,0,31420,Anirban Lahiri,6' 7",6.125,78,138
66,0,20572,Rod Pampling,6' 7",6.681,85,30
66,0,28132,Tyrone Van Aswegen,6' 7",13.636,172,47
66,0,27770,Camilo Villegas,6' 7",10.354,131,73
72,0,31416,Derek Fathauer,6' 8",9.861,124,81
72,0,27644,Brian Harman,6' 8",12.902,162,38
72,0,31557,Jim Herman,6' 8",9.295,116,85
72,0,27747,Hiroshi Iwata,6' 8",12.018,150,77
72,0,36689,Brooks Koepka,6' 8",9.415,118,152
72,0,29289,S.Y. Noh,6' 8",10.614,133,118
72,0,27942,Rob Oppenheim,6' 8",8.363,105,72
72,0,23320,Ryan Palmer,6' 8",9.591,120,114
72,0,26289,Boo Weekley,6' 8",10.378,129,94
72,0,25349,Tim Wilkinson,6' 8",8.286,104,10
82,0,24358,Robert Garrigus,6' 9",7.931,98,172
82,0,21731,Freddie Jacobson,6' 9",11.202,139,58
82,0,26300,Matt Jones,6' 9",11.206,138,140
82,0,33204,Shane Lowry,6' 9",5.329,66,169
82,0,10213,Dicky Pride,6' 9",7.558,93,67
87,0,25274,Steven Bowditch,6' 10",9.118,111,185
87,0,24494,Erik Compton,6' 10",8.130,99,128
87,0,34262,Jon Curran,6' 10",12.544,153,13
87,0,32102,Rickie Fowler,6' 10",8.655,105,21
87,0,30925,Dustin Johnson,6' 10",7.952,97,70
87,0,37454,Whee Kim,6' 10",12.755,155,104
87,0,31202,William McGirt,6' 10",14.742,180,48
87,0,26476,Chez Reavie,6' 10",10.618,130,15
87,0,23621,Rory Sabbatini,6' 10",6.329,77,137
87,0,27649,Brandt Snedeker,6' 10",10.422,127,16
87,0,34265,Will Wilcox,6' 10",10.293,126,100
98,0,27895,Jonas Blixt,6' 11",11.802,142,42
98,0,34098,Russell Henley,6' 11",10.579,128,41
98,0,27974,Sung Kang,6' 11",11.964,144,68
98,0,32757,Patton Kizzire,6' 11",11.431,138,141
98,0,20691,Greg Owen,6' 11",11.316,137,181
103,0,32200,Roberto Castro,7' 0",12.711,152,62
103,0,29720,Andres Gonzales,7' 0",9.777,117,148
103,0,27141,J.B. Holmes,7' 0",8.782,105,130
