RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL HOLES
1,0,28158,Steve Marino,3.92,718,183
2,0,29221,Webb Simpson,3.95,1127,285
2,0,27649,Brandt Snedeker,3.95,2056,521
4,0,26596,Ryan Moore,3.96,1508,381
4,0,20645,John Senden,3.96,876,221
6,0,30925,Dustin Johnson,3.97,2330,587
6,0,30163,Henrik Norlander,3.97,576,145
8,0,27644,Brian Harman,3.98,968,243
8,0,25396,Kevin Na,3.98,1452,365
8,0,34046,Jordan Spieth,3.98,1952,491
11,0,32200,Roberto Castro,3.99,1173,294
11,0,32366,Kevin Chappell,3.99,1564,392
11,0,32102,Rickie Fowler,3.99,1917,481
11,0,33413,Ben Martin,3.99,731,183
11,0,24502,Adam Scott,3.99,1926,483
11,0,25493,Nick Taylor,3.99,742,186
17,0,29479,Scott Brown,4.00,1436,359
17,0,29478,Kevin Kisner,4.00,1723,431
17,0,32839,Hideki Matsuyama,4.00,1672,418
17,0,06527,Steve Stricker,4.00,1087,272
17,0,27963,Chris Stroud,4.00,815,204
17,0,34265,Will Wilcox,4.00,468,117
23,0,10885,Robert Allenby,4.01,570,142
23,0,24507,Jason Bohn,4.01,602,150
23,0,34262,Jon Curran,4.01,1377,343
23,0,27436,Graham DeLaet,4.01,1095,273
23,0,23983,Luke Donald,4.01,991,247
23,0,25686,Jason Dufner,4.01,1583,395
23,0,26758,David Hearn,4.01,1413,352
23,0,21961,Charles Howell III,4.01,1327,331
23,0,29222,Billy Hurley III,4.01,999,249
23,0,36689,Brooks Koepka,4.01,1363,340
23,0,23108,Matt Kuchar,4.01,2014,502
23,0,28237,Rory McIlroy,4.01,1412,352
23,0,23800,Bryce Molder,4.01,955,238
23,0,34360,Patrick Reed,4.01,2071,516
37,0,40026,Daniel Berger,4.02,1297,323
37,0,40058,Zac Blair,4.02,989,246
37,0,12510,Chad Campbell,4.02,1139,283
37,0,29974,Branden Grace,4.02,964,240
37,0,35539,Luke Guthrie,4.02,535,133
37,0,24924,Bill Haas,4.02,1428,355
37,0,34098,Russell Henley,4.02,1016,253
37,0,08075,Jerry Kelly,4.02,998,248
37,0,29485,Brett Stegmaier,4.02,1106,275
37,0,02206,David Toms,4.02,829,206
47,0,24461,Thomas Aiken,4.03,468,116
47,0,45526,Abraham Ancer,4.03,709,176
47,0,22371,Aaron Baddeley,4.03,944,234
47,0,25364,Paul Casey,4.03,1411,350
47,0,28089,Jason Day,4.03,1629,404
47,0,31416,Derek Fathauer,4.03,907,225
47,0,25900,Lucas Glover,4.03,1081,268
47,0,32448,James Hahn,4.03,677,168
47,0,27141,J.B. Holmes,4.03,1197,297
47,0,21731,Freddie Jacobson,4.03,1177,292
47,0,27974,Sung Kang,4.03,1085,269
47,0,33410,Andrew Landry,4.03,577,143
47,0,24140,Sean O'Hair,4.03,1129,280
47,0,32876,Martin Piller,4.03,947,235
47,0,26476,Chez Reavie,4.03,1141,283
47,0,36699,Patrick Rodgers,4.03,1249,310
