RANK,MOVEMENT,PLAYER_ID,PLAYER,%,ATTEMPTS,NON-ATTEMPTS,RTP-GOING FOR THE GREEN,RTP-NOT GOING FOR THE GRN
1,0,36689,Brooks Koepka,73.33,187,68,-112,-3
2,0,29725,Tony Finau,72.97,251,93,-155,+10
3,0,27064,Jhonattan Vegas,71.38,192,77,-96,+4
4,0,27129,Luke List,71.03,228,93,-145,-13
5,0,31323,Gary Woodland,69.76,173,75,-95,-1
6,0,28237,Rory McIlroy,66.90,97,48,-57,+1
7,0,21209,Sergio Garcia,65.87,110,57,-56,-3
8,0,32839,Hideki Matsuyama,65.56,158,83,-100,-9
9,0,28420,Ryan Brehm,65.49,148,78,-84,+7
9,0,46970,Jon Rahm,65.49,167,88,-91,-16
11,0,26851,Marc Leishman,65.37,168,89,-114,-3
12,0,30944,Jason Kokrak,65.16,202,108,-96,+15
13,0,34213,Grayson Murray,64.91,209,113,-104,+11
14,0,23320,Ryan Palmer,64.88,109,59,-49,+5
15,0,25804,Bubba Watson,64.85,131,71,-69,-1
16,0,33448,Justin Thomas,64.29,162,90,-100,-9
17,0,24358,Robert Garrigus,64.08,132,74,-58,-6
18,0,46440,Smylie Kaufman,64.04,146,82,-67,-10
19,0,32333,Kevin Tway,63.84,173,98,-107,-7
20,0,29461,Jamie Lovemark,63.78,199,113,-120,-1
21,0,30925,Dustin Johnson,63.71,151,86,-90,-15
22,0,26331,Charl Schwartzel,63.59,117,67,-76,+4
23,0,46550,Brandon Hagy,63.14,149,87,-107,-1
24,0,12716,Charley Hoffman,63.11,231,135,-138,-13
25,0,35450,Patrick Cantlay,62.84,115,68,-67,-10
26,0,28089,Jason Day,62.62,134,80,-87,+2
27,0,27974,Sung Kang,62.21,186,113,-98,-17
28,0,31420,Anirban Lahiri,61.68,132,82,-81,+6
29,0,48081,Xander Schauffele,61.42,156,98,-79,-12
30,0,22405,Justin Rose,61.27,125,79,-79,-2
31,0,27141,J.B. Holmes,61.23,139,88,-77,-7
32,0,32366,Kevin Chappell,60.99,172,110,-93,-3
33,0,34360,Patrick Reed,60.86,199,128,-99,-18
