RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ROUNDS
1,0,24138,Ian Poulter,67.50,135,2
1,0,23497,Tag Ridings,67.50,270,4
1,0,33418,Shawn Stefani,67.50,270,4
4,0,35879,Kelly Kraft,67.60,338,5
5,0,29222,Billy Hurley III,67.67,203,3
6,0,12510,Chad Campbell,68.00,272,4
6,0,21961,Charles Howell III,68.00,340,5
8,0,25364,Paul Casey,68.22,614,9
9,0,35450,Patrick Cantlay,68.33,205,3
10,0,34358,Jonathan Randolph,68.40,342,5
11,0,46443,Brian Campbell,68.50,137,2
11,0,34466,Peter Malnati,68.50,274,4
13,0,23541,Ben Crane,68.60,343,5
13,0,27436,Graham DeLaet,68.60,343,5
15,0,34046,Jordan Spieth,68.71,481,7
16,0,30925,Dustin Johnson,68.75,550,8
17,0,46970,Jon Rahm,68.79,963,14
18,0,32640,Troy Merritt,68.83,413,6
19,0,29289,S.Y. Noh,68.89,620,9
20,0,12716,Charley Hoffman,69.00,690,10
20,0,23108,Matt Kuchar,69.00,621,9
20,0,29926,Danny Lee,69.00,276,4
23,0,48822,Sebastián Muñoz,69.17,415,6
24,0,25686,Jason Dufner,69.20,346,5
25,0,34409,David Lingmerth,69.25,277,4
26,0,34021,Bud Cauley,69.33,208,3
27,0,27958,Ryan Blaum,69.43,486,7
27,0,34174,John Huh,69.43,486,7
29,0,32102,Rickie Fowler,69.50,695,10
29,0,29223,Sam Saunders,69.50,417,6
29,0,47128,Richy Werenski,69.50,278,4
29,0,25349,Tim Wilkinson,69.50,278,4
33,0,31557,Jim Herman,69.57,487,7
33,0,26851,Marc Leishman,69.57,487,7
35,0,39975,Michael Kim,69.60,348,5
35,0,27466,Spencer Levin,69.60,348,5
35,0,49771,J.T. Poston,69.60,348,5
38,0,23353,J.J. Henry,69.67,209,3
39,0,28500,Martin Flores,69.75,558,8
40,0,27936,Martin Laird,69.78,628,9
41,0,27141,J.B. Holmes,69.80,349,5
42,0,36801,Mark Hubbard,69.86,489,7
43,0,29725,Tony Finau,70.00,210,3
43,0,27974,Sung Kang,70.00,420,6
43,0,36689,Brooks Koepka,70.00,280,4
43,0,31420,Anirban Lahiri,70.00,350,5
43,0,24781,Hunter Mahan,70.00,280,4
43,0,22056,Cameron Percy,70.00,560,8
43,0,25818,Scott Piercy,70.00,210,3
43,0,28252,Seamus Power,70.00,350,5
43,0,25834,Daniel Summerhays,70.00,700,10
43,0,27095,Nick Watney,70.00,280,4
43,0,31323,Gary Woodland,70.00,210,3
54,0,40026,Daniel Berger,70.08,841,12
55,0,37189,Harold Varner III,70.13,561,8
56,0,19803,Ryan Armour,70.14,491,7
57,0,19846,Brian Gay,70.17,421,6
57,0,25345,Carl Pettersson,70.17,421,6
59,0,27895,Jonas Blixt,70.25,281,4
59,0,33141,Keegan Bradley,70.25,562,8
59,0,29478,Kevin Kisner,70.25,562,8
59,0,48081,Xander Schauffele,70.25,562,8
59,0,29518,Brendan Steele,70.25,281,4
59,0,26951,Johnson Wagner,70.25,281,4
65,0,40058,Zac Blair,70.33,633,9
65,0,39324,J.J. Spaun,70.33,422,6
65,0,25493,Nick Taylor,70.33,422,6
68,0,35506,Mackenzie Hughes,70.38,563,8
68,0,32839,Hideki Matsuyama,70.38,563,8
68,0,01810,Phil Mickelson,70.38,563,8
68,0,23320,Ryan Palmer,70.38,563,8
72,0,27129,Luke List,70.40,352,5
72,0,22405,Justin Rose,70.40,704,10
74,0,33448,Justin Thomas,70.45,775,11
75,0,26499,Rafa Cabrera Bello,70.50,423,6
75,0,25572,Graeme McDowell,70.50,141,2
75,0,30110,Kyle Stanley,70.50,564,8
78,0,22371,Aaron Baddeley,70.60,353,5
78,0,25892,Steve Wheatcroft,70.60,353,5
80,0,29461,Jamie Lovemark,70.63,565,8
81,0,29485,Brett Stegmaier,70.67,424,6
82,0,33419,Cameron Tringale,70.70,707,10
83,0,06522,Ernie Els,70.71,495,7
83,0,33461,Morgan Hoffmann,70.71,495,7
83,0,22046,Geoff Ogilvy,70.71,495,7
86,0,24502,Adam Scott,70.78,637,9
87,0,37454,Whee Kim,70.80,354,5
88,0,27770,Camilo Villegas,70.82,779,11
89,0,25720,Chad Collins,70.83,425,6
90,0,29420,Billy Horschel,70.88,567,8
91,0,26758,David Hearn,70.90,709,10
92,0,24140,Sean O'Hair,70.91,780,11
93,0,20229,Stewart Cink,71.00,213,3
93,0,28089,Jason Day,71.00,568,8
93,0,47959,Bryson DeChambeau,71.00,497,7
93,0,34099,Harris English,71.00,426,6
93,0,24358,Robert Garrigus,71.00,284,4
93,0,35532,Tom Hoge,71.00,142,2
93,0,26300,Matt Jones,71.00,284,4
93,0,30944,Jason Kokrak,71.00,426,6
93,0,25198,Francesco Molinari,71.00,284,4
93,0,35891,Cameron Smith,71.00,284,4
93,0,27649,Brandt Snedeker,71.00,426,6
93,0,23325,Vaughn Taylor,71.00,71,1
93,0,32150,Michael Thompson,71.00,284,4
