RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG RTP
1,0,22405,Justin Rose,-.093
2,0,34264,Hudson Swafford,-.079
3,0,21528,Henrik Stenson,-.047
4,0,23108,Matt Kuchar,-.042
4,0,33448,Justin Thomas,-.042
6,0,34076,Joel Dahmen,-.037
7,0,27141,J.B. Holmes,-.036
8,0,24924,Bill Haas,-.030
9,0,25364,Paul Casey,-.024
10,0,30925,Dustin Johnson,-.019
11,0,24138,Ian Poulter,-.017
12,0,46601,Trey Mullinax,-.015
13,0,27214,Kevin Streelman,-.013
14,0,47959,Bryson DeChambeau,-.008
15,0,23621,Rory Sabbatini,E
16,0,25804,Bubba Watson,+.008
17,0,40009,Dominic Bozzelli,+.009
17,0,29420,Billy Horschel,+.009
19,0,12716,Charley Hoffman,+.010
20,0,25686,Jason Dufner,+.011
21,0,30944,Jason Kokrak,+.013
22,0,27649,Brandt Snedeker,+.015
23,0,50526,Tom Lovelady,+.016
24,0,35450,Patrick Cantlay,+.019
25,0,31646,Emiliano Grillo,+.021
25,0,31202,William McGirt,+.021
27,0,01810,Phil Mickelson,+.022
28,0,45526,Abraham Ancer,+.024
28,0,22056,Cameron Percy,+.024
30,0,27064,Jhonattan Vegas,+.025
31,0,25572,Graeme McDowell,+.027
32,0,34409,David Lingmerth,+.031
33,0,34174,John Huh,+.032
34,0,27095,Nick Watney,+.034
35,0,12510,Chad Campbell,+.036
36,0,29221,Webb Simpson,+.041
37,0,27895,Jonas Blixt,+.045
37,0,31323,Gary Woodland,+.045
39,0,29461,Jamie Lovemark,+.046
40,0,36799,Stephan Jaeger,+.047
40,0,35891,Cameron Smith,+.047
40,0,29484,Peter Uihlein,+.047
43,0,30926,Chris Kirk,+.048
44,0,28252,Seamus Power,+.053
44,0,34256,Andrew Putnam,+.053
46,0,39546,Keith Mitchell,+.056
47,0,34046,Jordan Spieth,+.058
48,0,33122,Russell Knox,+.059
49,0,34360,Patrick Reed,+.061
50,0,22371,Aaron Baddeley,+.062
50,0,32757,Patton Kizzire,+.062
52,0,19803,Ryan Armour,+.065
52,0,08793,Tiger Woods,+.065
54,0,46435,Austin Cook,+.068
55,0,20229,Stewart Cink,+.070
56,0,34021,Bud Cauley,+.071
56,0,33418,Shawn Stefani,+.071
58,0,24781,Hunter Mahan,+.073
58,0,47993,Denny McCarthy,+.073
60,0,36689,Brooks Koepka,+.074
61,0,27942,Rob Oppenheim,+.075
62,0,47125,Matt Atkins,+.076
62,0,27556,Ted Potter Jr.,+.076
64,0,46970,Jon Rahm,+.078
65,0,40026,Daniel Berger,+.079
65,0,24358,Robert Garrigus,+.079
67,0,29926,Danny Lee,+.081
68,0,21961,Charles Howell III,+.083
69,0,32102,Rickie Fowler,+.086
70,0,20472,Alex Cejka,+.087
71,0,47347,Adam Schenk,+.089
72,0,34099,Harris English,+.090
73,0,29223,Sam Saunders,+.094
74,0,31560,Brian Stuard,+.098
75,0,35310,Lanto Griffin,+.099
76,0,29974,Branden Grace,+.100
76,0,27936,Martin Laird,+.100
78,0,30110,Kyle Stanley,+.103
79,0,26499,Rafa Cabrera Bello,+.104
80,0,29725,Tony Finau,+.105
80,0,27129,Luke List,+.105
82,0,29535,Brice Garnett,+.108
83,0,35421,Brandon Harkins,+.110
83,0,35461,Beau Hossler,+.110
83,0,39324,J.J. Spaun,+.110
86,0,28775,Nate Lashley,+.111
87,0,24024,Zach Johnson,+.112
88,0,28237,Rory McIlroy,+.113
89,0,25493,Nick Taylor,+.114
90,0,34431,Robert Streb,+.115
90,0,23325,Vaughn Taylor,+.115
92,0,28089,Jason Day,+.116
92,0,10809,Jim Furyk,+.116
92,0,30692,Scott Stallings,+.116
95,0,32366,Kevin Chappell,+.118
95,0,28132,Tyrone Van Aswegen,+.118
97,0,26951,Johnson Wagner,+.122
98,0,27644,Brian Harman,+.124
99,0,27958,Ryan Blaum,+.125
99,0,26596,Ryan Moore,+.125
99,0,47287,Ethan Tracy,+.125
102,0,26331,Charl Schwartzel,+.130
103,0,32640,Troy Merritt,+.131
103,0,37275,Sam Ryder,+.131
103,0,32333,Kevin Tway,+.131
106,0,34098,Russell Henley,+.132
107,0,45609,Tyler Duncan,+.133
