RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG DTP,TOTAL DISTANCE (FEET),# OF SHOTS,SCRAMBLING RANK
1,0,26951,Johnson Wagner,2' 6",185.083,73,2
2,0,25240,D.A. Points,2' 9",168.917,62,182
3,0,24846,Ricky Barnes,2' 11",169.083,58,115
3,0,23541,Ben Crane,2' 11",133.750,46,16
3,0,33122,Russell Knox,2' 11",211.167,72,70
3,0,34466,Peter Malnati,2' 11",285.583,97,36
3,0,39328,Conrad Shindler,2' 11",173.583,60,58
8,0,30978,Kiradech Aphibarnrat,3' 0",151.000,51,157
8,0,25364,Paul Casey,3' 0",243.083,81,50
8,0,20593,Greg Chalmers,3' 0",136.083,45,185
8,0,10809,Jim Furyk,3' 0",128.667,43,21
8,0,24024,Zach Johnson,3' 0",254.083,85,25
8,0,25818,Scott Piercy,3' 0",218.917,72,145
8,0,46970,Jon Rahm,3' 0",171.000,57,121
15,0,33948,Byeong Hun An,3' 1",301.083,97,37
15,0,34021,Bud Cauley,3' 1",159.250,52,56
15,0,25572,Graeme McDowell,3' 1",160.083,52,61
18,0,34076,Joel Dahmen,3' 2",243.250,77,11
18,0,24140,Sean O'Hair,3' 2",234.583,74,110
18,0,08793,Tiger Woods,3' 2",220.333,69,4
21,0,40009,Dominic Bozzelli,3' 3",243.250,75,78
21,0,19846,Brian Gay,3' 3",356.333,111,13
21,0,34563,Chesson Hadley,3' 3",381.000,118,136
21,0,26851,Marc Leishman,3' 3",309.167,96,75
21,0,31202,William McGirt,3' 3",276.667,86,19
21,0,25396,Kevin Na,3' 3",292.417,91,8
21,0,29221,Webb Simpson,3' 3",290.583,90,1
21,0,33418,Shawn Stefani,3' 3",223.750,68,89
21,0,27963,Chris Stroud,3' 3",245.083,76,60
21,0,37189,Harold Varner III,3' 3",295.917,90,96
31,0,22371,Aaron Baddeley,3' 4",289.333,86,39
31,0,25686,Jason Dufner,3' 4",218.583,65,94
31,0,28500,Martin Flores,3' 4",268.083,80,165
31,0,32757,Patton Kizzire,3' 4",295.250,89,160
31,0,27129,Luke List,3' 4",323.083,96,90
31,0,25198,Francesco Molinari,3' 4",206.917,62,82
31,0,24138,Ian Poulter,3' 4",200.917,60,123
31,0,34360,Patrick Reed,3' 4",287.667,86,18
39,0,33141,Keegan Bradley,3' 5",382.417,112,131
39,0,24925,Jonathan Byrd,3' 5",173.250,51,93
39,0,24358,Robert Garrigus,3' 5",364.833,107,129
39,0,24924,Bill Haas,3' 5",254.000,75,51
39,0,12716,Charley Hoffman,3' 5",329.500,96,143
39,0,30926,Chris Kirk,3' 5",405.917,118,10
39,0,36689,Brooks Koepka,3' 5",256.000,75,12
39,0,47128,Richy Werenski,3' 5",302.667,88,138
47,0,29974,Branden Grace,3' 6",183.000,52,105
47,0,33399,Adam Hadwin,3' 6",290.917,83,85
47,0,29420,Billy Horschel,3' 6",220.333,63,98
47,0,37455,Si Woo Kim,3' 6",398.167,114,118
47,0,32839,Hideki Matsuyama,3' 6",222.917,64,47
47,0,27942,Rob Oppenheim,3' 6",228.667,65,68
47,0,34358,Jonathan Randolph,3' 6",246.333,70,64
47,0,32150,Michael Thompson,3' 6",206.333,59,148
55,0,48084,Wesley Bryan,3' 7",285.833,79,53
55,0,20229,Stewart Cink,3' 7",271.083,75,152
55,0,28089,Jason Day,3' 7",135.917,38,25
55,0,28679,Fabián Gómez,3' 7",330.917,92,79
55,0,20157,Retief Goosen,3' 7",180.083,50,124
55,0,23108,Matt Kuchar,3' 7",288.417,81,9
55,0,01810,Phil Mickelson,3' 7",354.417,98,91
55,0,34256,Andrew Putnam,3' 7",280.000,78,32
55,0,46501,Ollie Schniederjans,3' 7",389.250,109,126
55,0,27649,Brandt Snedeker,3' 7",281.417,78,57
55,0,31560,Brian Stuard,3' 7",350.667,97,72
55,0,27064,Jhonattan Vegas,3' 7",280.167,78,84
67,0,39997,Corey Conners,3' 8",350.417,95,112
67,0,34363,Tyrrell Hatton,3' 8",193.333,53,21
67,0,26300,Matt Jones,3' 8",170.917,47,54
67,0,29461,Jamie Lovemark,3' 8",320.667,87,40
67,0,35891,Cameron Smith,3' 8",318.333,86,38
67,0,28132,Tyrone Van Aswegen,3' 8",375.250,103,97
73,0,45526,Abraham Ancer,3' 9",472.500,126,20
73,0,45609,Tyler Duncan,3' 9",308.333,83,186
73,0,28307,Matt Every,3' 9",293.250,78,188
73,0,27644,Brian Harman,3' 9",329.083,87,126
73,0,21961,Charles Howell III,3' 9",362.167,96,44
73,0,39975,Michael Kim,3' 9",247.917,66,144
73,0,26596,Ryan Moore,3' 9",304.000,81,4
73,0,34213,Grayson Murray,3' 9",372.083,99,176
73,0,26329,Louis Oosthuizen,3' 9",249.917,66,3
73,0,29223,Sam Saunders,3' 9",291.667,77,147
73,0,25834,Daniel Summerhays,3' 9",160.167,43,167
73,0,33419,Cameron Tringale,3' 9",181.000,48,160
85,0,32102,Rickie Fowler,3' 10",327.083,85,14
85,0,23353,J.J. Henry,3' 10",289.083,75,171
85,0,37454,Whee Kim,3' 10",353.750,93,87
85,0,37278,Nicholas Lindheim,3' 10",240.750,63,180
85,0,22405,Justin Rose,3' 10",249.167,65,15
85,0,27214,Kevin Streelman,3' 10",369.500,96,43
85,0,32333,Kevin Tway,3' 10",422.500,110,132
92,0,40058,Zac Blair,3' 11",265.833,68,33
92,0,35450,Patrick Cantlay,3' 11",345.250,89,109
92,0,30911,Tommy Fleetwood,3' 11",249.083,63,148
92,0,26758,David Hearn,3' 11",259.917,66,154
92,0,35532,Tom Hoge,3' 11",545.250,138,34
92,0,30925,Dustin Johnson,3' 11",272.083,70,23
92,0,31420,Anirban Lahiri,3' 11",320.917,82,92
92,0,24781,Hunter Mahan,3' 11",247.333,63,80
92,0,28237,Rory McIlroy,3' 11",295.167,75,17
92,0,21528,Henrik Stenson,3' 11",212.167,54,48
92,0,34264,Hudson Swafford,3' 11",244.500,62,179
92,0,33448,Justin Thomas,3' 11",387.667,98,24
92,0,32254,Xinjun Zhang,3' 11",235.417,60,95
