RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL
1,0,30925,Dustin Johnson,206
2,0,30911,Tommy Fleetwood,234
3,0,33448,Justin Thomas,243
4,0,32102,Rickie Fowler,264
5,0,22405,Justin Rose,280
6,0,32839,Hideki Matsuyama,321
7,0,36689,Brooks Koepka,340
8,0,26499,Rafa Cabrera Bello,347
9,0,47959,Bryson DeChambeau,350
10,0,29420,Billy Horschel,364
11,0,28237,Rory McIlroy,377
12,0,46970,Jon Rahm,389
13,0,29725,Tony Finau,393
14,0,34046,Jordan Spieth,410
15,0,29221,Webb Simpson,412
16,0,35450,Patrick Cantlay,420
17,0,28089,Jason Day,429
18,0,01810,Phil Mickelson,453
19,0,25364,Paul Casey,458
20,0,22056,Cameron Percy,467
21,0,31646,Emiliano Grillo,471
22,0,25396,Kevin Na,478
23,0,35461,Beau Hossler,487
24,0,49964,Aaron Wise,491
25,0,08793,Tiger Woods,496
26,0,34563,Chesson Hadley,505
27,0,24024,Zach Johnson,506
28,0,35421,Brandon Harkins,516
29,0,31323,Gary Woodland,523
30,0,21528,Henrik Stenson,541
31,0,33141,Keegan Bradley,546
32,0,30926,Chris Kirk,551
33,0,25198,Francesco Molinari,558
34,0,29268,Bronson Burgoon,562
35,0,27649,Brandt Snedeker,564
36,0,30944,Jason Kokrak,572
37,0,26851,Marc Leishman,581
38,0,34076,Joel Dahmen,582
39,0,23621,Rory Sabbatini,584
40,0,34360,Patrick Reed,590
41,0,25804,Bubba Watson,594
42,0,27936,Martin Laird,598
43,0,19846,Brian Gay,602
44,0,46435,Austin Cook,607
45,0,24502,Adam Scott,612
46,0,21961,Charles Howell III,615
47,0,30110,Kyle Stanley,619
48,0,27129,Luke List,629
49,0,27141,J.B. Holmes,630
49,0,29223,Sam Saunders,630
51,0,23320,Ryan Palmer,640
51,0,29908,C.T. Pan,640
53,0,39546,Keith Mitchell,641
53,0,26951,Johnson Wagner,641
55,0,20229,Stewart Cink,647
56,0,29461,Jamie Lovemark,651
56,0,39324,J.J. Spaun,651
58,0,33948,Byeong Hun An,652
59,0,49771,J.T. Poston,659
60,0,37275,Sam Ryder,663
61,0,29974,Branden Grace,664
62,0,26300,Matt Jones,671
63,0,35891,Cameron Smith,673
64,0,20472,Alex Cejka,674
65,0,32640,Troy Merritt,675
66,0,36699,Patrick Rodgers,676
66,0,48081,Xander Schauffele,676
68,0,32448,James Hahn,678
69,0,33122,Russell Knox,682
