RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,DISTANCE (FEET),TOTAL PUTTS
1,0,20593,Greg Chalmers,28' 5",8385.667,295
2,0,36699,Patrick Rodgers,27' 10",16816.417,605
2,0,47347,Adam Schenk,27' 10",15952.667,574
4,0,27349,Alex Noren,27' 9",11548.583,416
5,0,26951,Johnson Wagner,27' 7",13418.167,487
6,0,32150,Michael Thompson,27' 4",13690.583,501
7,0,24781,Hunter Mahan,27' 0",12200.000,452
7,0,25834,Daniel Summerhays,27' 0",6908.167,256
9,0,31416,Derek Fathauer,26' 11",13745.417,510
10,0,29478,Kevin Kisner,26' 10",15245.000,568
10,0,47993,Denny McCarthy,26' 10",11522.250,430
10,0,28252,Seamus Power,26' 10",14744.083,549
13,0,26851,Marc Leishman,26' 7",15816.333,595
14,0,27936,Martin Laird,26' 6",12949.833,488
15,0,28679,Fabián Gómez,26' 5",16664.333,630
15,0,34363,Tyrrell Hatton,26' 5",9601.583,364
15,0,21961,Charles Howell III,26' 5",18179.917,688
15,0,47287,Ethan Tracy,26' 5",11445.417,433
19,0,27958,Ryan Blaum,26' 4",14991.000,569
19,0,47959,Bryson DeChambeau,26' 4",17286.833,656
19,0,25900,Lucas Glover,26' 4",9914.417,376
19,0,46970,Jon Rahm,26' 4",11265.083,428
23,0,35545,Blayne Barber,26' 3",13865.000,529
23,0,40058,Zac Blair,26' 3",9945.250,379
23,0,29222,Billy Hurley III,26' 3",11886.083,453
23,0,31202,William McGirt,26' 3",17157.917,654
23,0,25240,D.A. Points,26' 3",9498.667,362
28,0,34021,Bud Cauley,26' 2",8318.917,318
28,0,30944,Jason Kokrak,26' 2",20220.333,773
28,0,29485,Brett Stegmaier,26' 2",11080.917,424
28,0,33419,Cameron Tringale,26' 2",11191.500,428
28,0,49964,Aaron Wise,26' 2",16970.333,649
28,0,32254,Xinjun Zhang,26' 2",12678.417,484
34,0,28089,Jason Day,26' 1",9949.250,381
34,0,29420,Billy Horschel,26' 1",18173.750,696
34,0,32876,Martin Piller,26' 1",13343.500,511
37,0,25686,Jason Dufner,26' 0",10728.000,412
37,0,30911,Tommy Fleetwood,26' 0",11323.667,436
37,0,36799,Stephan Jaeger,26' 0",14265.167,548
37,0,27649,Brandt Snedeker,26' 0",15502.333,597
41,0,33399,Adam Hadwin,25' 11",14737.250,568
41,0,25572,Graeme McDowell,25' 11",9576.583,370
43,0,29908,C.T. Pan,25' 10",19133.583,740
43,0,25818,Scott Piercy,25' 10",15246.833,591
43,0,23621,Rory Sabbatini,25' 10",15841.667,613
46,0,25364,Paul Casey,25' 9",10612.917,412
46,0,37278,Nicholas Lindheim,25' 9",12673.917,492
46,0,27942,Rob Oppenheim,25' 9",11087.417,430
46,0,46501,Ollie Schniederjans,25' 9",14818.583,575
46,0,29221,Webb Simpson,25' 9",17826.750,693
46,0,32333,Kevin Tway,25' 9",19665.667,763
52,0,35376,Roberto Díaz,25' 8",11405.750,445
52,0,29535,Brice Garnett,25' 8",17737.833,692
52,0,23353,J.J. Henry,25' 8",14963.250,583
52,0,35461,Beau Hossler,25' 8",19207.750,749
52,0,48081,Xander Schauffele,25' 8",14554.167,567
52,0,34264,Hudson Swafford,25' 8",11413.167,445
52,0,37189,Harold Varner III,25' 8",15814.667,617
59,0,27895,Jonas Blixt,25' 7",9523.500,372
59,0,29725,Tony Finau,25' 7",17943.750,702
59,0,32757,Patton Kizzire,25' 7",17518.250,685
59,0,34256,Andrew Putnam,25' 7",17592.917,687
63,0,22371,Aaron Baddeley,25' 6",14454.250,567
63,0,29479,Scott Brown,25' 6",16900.583,662
63,0,35421,Brandon Harkins,25' 6",16857.667,662
63,0,01810,Phil Mickelson,25' 6",13338.083,523
63,0,46601,Trey Mullinax,25' 6",12219.500,479
