RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL 3+ PUTTS,TOTAL ROUNDS
1,0,33448,Justin Thomas,.05,4,82
2,0,27958,Ryan Blaum,.04,3,78
2,0,28775,Nate Lashley,.04,2,47
4,0,40009,Dominic Bozzelli,.03,2,65
4,0,25364,Paul Casey,.03,2,71
4,0,25686,Jason Dufner,.03,2,64
4,0,32102,Rickie Fowler,.03,2,74
4,0,34098,Russell Henley,.03,2,74
4,0,32839,Hideki Matsuyama,.03,2,72
4,0,24140,Sean O'Hair,.03,2,63
4,0,27942,Rob Oppenheim,.03,2,68
4,0,34358,Jonathan Randolph,.03,2,65
4,0,23621,Rory Sabbatini,.03,3,89
4,0,33419,Cameron Tringale,.03,2,63
4,0,25892,Steve Wheatcroft,.03,2,58
16,0,33948,Byeong Hun An,.02,2,84
16,0,33141,Keegan Bradley,.02,2,93
16,0,24925,Jonathan Byrd,.02,1,62
16,0,23541,Ben Crane,.02,1,59
16,0,30911,Tommy Fleetwood,.02,1,66
16,0,25900,Lucas Glover,.02,1,61
16,0,26300,Matt Jones,.02,1,62
16,0,37455,Si Woo Kim,.02,2,104
16,0,32757,Patton Kizzire,.02,2,89
16,0,33204,Shane Lowry,.02,1,56
16,0,33413,Ben Martin,.02,1,64
16,0,28237,Rory McIlroy,.02,1,61
16,0,01810,Phil Mickelson,.02,2,87
16,0,20572,Rod Pampling,.02,1,58
16,0,24138,Ian Poulter,.02,1,64
16,0,46970,Jon Rahm,.02,1,66
16,0,48081,Xander Schauffele,.02,2,93
16,0,26331,Charl Schwartzel,.02,1,58
16,0,39328,Conrad Shindler,.02,1,56
16,0,30692,Scott Stallings,.02,2,90
16,0,30110,Kyle Stanley,.02,2,88
16,0,32150,Michael Thompson,.02,1,58
38,0,35545,Blayne Barber,.01,1,67
38,0,29479,Scott Brown,.01,1,98
38,0,26499,Rafa Cabrera Bello,.01,1,70
38,0,12510,Chad Campbell,.01,1,79
38,0,20229,Stewart Cink,.01,1,87
38,0,39997,Corey Conners,.01,1,93
38,0,46435,Austin Cook,.01,1,107
38,0,35376,Roberto Díaz,.01,1,68
38,0,45609,Tyler Duncan,.01,1,93
38,0,34099,Harris English,.01,1,78
38,0,31416,Derek Fathauer,.01,1,80
38,0,29535,Brice Garnett,.01,1,95
38,0,35310,Lanto Griffin,.01,1,74
38,0,31646,Emiliano Grillo,.01,1,92
38,0,32448,James Hahn,.01,1,82
38,0,35421,Brandon Harkins,.01,1,95
38,0,27644,Brian Harman,.01,1,90
38,0,23353,J.J. Henry,.01,1,75
38,0,27141,J.B. Holmes,.01,1,75
38,0,35461,Beau Hossler,.01,1,104
38,0,35506,Mackenzie Hughes,.01,1,76
38,0,34174,John Huh,.01,1,90
38,0,27974,Sung Kang,.01,1,85
38,0,37454,Whee Kim,.01,1,89
38,0,30926,Chris Kirk,.01,1,106
38,0,29478,Kevin Kisner,.01,1,78
38,0,30944,Jason Kokrak,.01,1,99
38,0,23108,Matt Kuchar,.01,1,80
38,0,29926,Danny Lee,.01,1,86
38,0,26851,Marc Leishman,.01,1,90
38,0,37278,Nicholas Lindheim,.01,1,69
38,0,26596,Ryan Moore,.01,1,78
38,0,34213,Grayson Murray,.01,1,72
38,0,25396,Kevin Na,.01,1,86
38,0,29908,C.T. Pan,.01,1,98
38,0,25818,Scott Piercy,.01,1,80
38,0,49771,J.T. Poston,.01,1,71
38,0,27556,Ted Potter Jr.,.01,1,87
38,0,28252,Seamus Power,.01,1,78
38,0,34256,Andrew Putnam,.01,1,89
38,0,36699,Patrick Rodgers,.01,1,93
38,0,46501,Ollie Schniederjans,.01,1,87
38,0,34046,Jordan Spieth,.01,1,76
38,0,27214,Kevin Streelman,.01,1,92
38,0,27963,Chris Stroud,.01,1,73
38,0,31560,Brian Stuard,.01,1,97
38,0,23325,Vaughn Taylor,.01,1,79
38,0,29484,Peter Uihlein,.01,1,78
38,0,25632,Jimmy Walker,.01,1,77
38,0,08793,Tiger Woods,.01,1,68
38,0,32254,Xinjun Zhang,.01,1,75
