RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,# OF BIRDIES,TOTAL ROUNDS
1,0,33448,Justin Thomas,4.58,330,72
2,0,28237,Rory McIlroy,4.49,305,68
3,0,49964,Aaron Wise,4.42,305,69
4,0,35450,Patrick Cantlay,4.40,317,72
5,0,31323,Gary Woodland,4.38,368,84
6,0,46970,Jon Rahm,4.35,296,68
7,0,32839,Hideki Matsuyama,4.30,378,88
8,0,36689,Brooks Koepka,4.28,317,74
8,0,24502,Adam Scott,4.28,261,61
10,0,47993,Denny McCarthy,4.25,344,81
10,0,32640,Troy Merritt,4.25,259,61
10,0,34046,Jordan Spieth,4.25,336,79
13,0,51766,Wyndham Clark,4.21,358,85
13,0,30925,Dustin Johnson,4.21,295,70
13,0,23320,Ryan Palmer,4.21,278,66
16,0,49960,Sepp Straka,4.19,302,72
17,0,47959,Bryson DeChambeau,4.17,300,72
18,0,40009,Dominic Bozzelli,4.16,279,67
18,0,34256,Andrew Putnam,4.16,316,76
20,0,33419,Cameron Tringale,4.14,269,65
21,0,49766,Hank Lebioda,4.13,289,70
22,0,52372,Cameron Champ,4.12,313,76
22,0,37455,Si Woo Kim,4.12,338,82
24,0,24138,Ian Poulter,4.10,238,58
25,0,48081,Xander Schauffele,4.08,302,74
26,0,34021,Bud Cauley,4.07,334,82
26,0,39971,Sungjae Im,4.07,480,118
28,0,35421,Brandon Harkins,4.06,337,83
28,0,22405,Justin Rose,4.06,252,62
30,0,32102,Rickie Fowler,4.04,307,76
30,0,30944,Jason Kokrak,4.04,364,90
30,0,48822,Sebastián Muñoz,4.04,323,80
30,0,23325,Vaughn Taylor,4.04,368,91
34,0,23621,Rory Sabbatini,4.03,375,93
35,0,23108,Matt Kuchar,4.01,321,80
35,0,25818,Scott Piercy,4.01,345,86
35,0,26476,Chez Reavie,4.01,369,92
38,0,26499,Rafa Cabrera Bello,4.00,272,68
38,0,28089,Jason Day,4.00,256,64
38,0,26951,Johnson Wagner,4.00,232,58
41,0,33399,Adam Hadwin,3.98,326,82
41,0,34360,Patrick Reed,3.98,350,88
43,0,33948,Byeong Hun An,3.97,306,77
43,0,37275,Sam Ryder,3.97,286,72
43,0,47347,Adam Schenk,3.97,397,100
43,0,27064,Jhonattan Vegas,3.97,286,72
47,0,25900,Lucas Glover,3.96,356,90
47,0,46402,Talor Gooch,3.96,214,54
47,0,35461,Beau Hossler,3.96,329,83
47,0,27095,Nick Watney,3.96,329,83
51,0,46435,Austin Cook,3.94,252,64
52,0,45157,Cam Davis,3.93,283,72
53,0,01810,Phil Mickelson,3.92,235,60
53,0,26329,Louis Oosthuizen,3.92,251,64
55,0,29926,Danny Lee,3.91,317,81
55,0,26596,Ryan Moore,3.91,289,74
55,0,49771,J.T. Poston,3.91,375,96
55,0,27330,Josh Teater,3.91,262,67
59,0,29725,Tony Finau,3.90,328,84
59,0,33486,Roger Sloan,3.90,328,84
59,0,37340,Chase Wright,3.90,269,69
62,0,45526,Abraham Ancer,3.89,342,88
62,0,34076,Joel Dahmen,3.89,373,96
62,0,26851,Marc Leishman,3.89,280,72
65,0,28775,Nate Lashley,3.88,264,68
65,0,39546,Keith Mitchell,3.88,322,83
67,0,25364,Paul Casey,3.87,290,75
67,0,33418,Shawn Stefani,3.87,294,76
69,0,34466,Peter Malnati,3.86,320,83
69,0,29221,Webb Simpson,3.86,301,78
71,0,21961,Charles Howell III,3.85,350,91
71,0,32058,José de Jesús Rodríguez,3.85,250,65
73,0,33410,Andrew Landry,3.84,284,74
74,0,27556,Ted Potter Jr.,3.82,271,71
74,0,39324,J.J. Spaun,3.82,313,82
74,0,32150,Michael Thompson,3.82,271,71
74,0,37189,Harold Varner III,3.82,313,82
78,0,39997,Corey Conners,3.79,326,86
79,0,22371,Aaron Baddeley,3.78,208,55
79,0,29223,Sam Saunders,3.78,280,74
79,0,30692,Scott Stallings,3.78,295,78
82,0,27958,Ryan Blaum,3.77,309,82
82,0,24361,Pat Perez,3.77,234,62
82,0,27214,Kevin Streelman,3.77,305,81
82,0,29484,Peter Uihlein,3.77,294,78
86,0,19803,Ryan Armour,3.76,346,92
86,0,29268,Bronson Burgoon,3.76,207,55
86,0,29535,Brice Garnett,3.76,320,85
86,0,31646,Emiliano Grillo,3.76,293,78
86,0,27141,J.B. Holmes,3.76,267,71
86,0,25493,Nick Taylor,3.76,350,93
92,0,40115,Adam Svensson,3.75,251,67
93,0,35376,Roberto Díaz,3.74,243,65
93,0,34363,Tyrrell Hatton,3.74,217,58
93,0,27649,Brandt Snedeker,3.74,370,99
96,0,40026,Daniel Berger,3.73,246,66
96,0,32791,K.H. Lee,3.73,313,84
96,0,27129,Luke List,3.73,235,63
99,0,47504,Sam Burns,3.72,290,78
100,0,32200,Roberto Castro,3.71,267,72
100,0,35506,Mackenzie Hughes,3.71,282,76
100,0,26300,Matt Jones,3.71,312,84
100,0,46601,Trey Mullinax,3.71,271,73
100,0,25804,Bubba Watson,3.71,215,58
105,0,27895,Jonas Blixt,3.70,281,76
105,0,45486,Joaquin Niemann,3.70,355,96
105,0,35891,Cameron Smith,3.70,274,74
108,0,31560,Brian Stuard,3.69,347,94
109,0,33141,Keegan Bradley,3.68,302,82
109,0,25686,Jason Dufner,3.68,265,72
111,0,24925,Jonathan Byrd,3.67,180,49
111,0,34306,John Chin,3.67,198,54
111,0,29478,Kevin Kisner,3.67,316,86
111,0,36699,Patrick Rodgers,3.67,187,51
115,0,47128,Richy Werenski,3.66,304,83
116,0,49298,Kramer Hickok,3.65,281,77
116,0,27974,Sung Kang,3.65,307,84
116,0,35732,Wes Roach,3.65,230,63
116,0,46501,Ollie Schniederjans,3.65,274,75
120,0,34098,Russell Henley,3.64,255,70
120,0,35879,Kelly Kraft,3.64,295,81
122,0,32139,Danny Willett,3.63,229,63
123,0,29970,Dylan Frittelli,3.62,293,81
123,0,37454,Whee Kim,3.62,250,69
125,0,29420,Billy Horschel,3.61,332,92
125,0,32757,Patton Kizzire,3.61,267,74
125,0,33122,Russell Knox,3.61,260,72
125,0,37380,Curtis Luck,3.61,213,59
129,0,29479,Scott Brown,3.59,294,82
129,0,36799,Stephan Jaeger,3.59,255,71
129,0,27936,Martin Laird,3.59,287,80
132,0,31557,Jim Herman,3.58,172,48
132,0,31420,Anirban Lahiri,3.58,247,69
132,0,24781,Hunter Mahan,3.58,211,59
132,0,34264,Hudson Swafford,3.58,204,57
136,0,24924,Bill Haas,3.57,246,69
137,0,29518,Brendan Steele,3.56,221,62
137,0,32333,Kevin Tway,3.56,285,80
139,0,49303,Anders Albertson,3.55,227,64
139,0,40098,Matt Fitzpatrick,3.55,181,51
139,0,21209,Sergio Garcia,3.55,156,44
139,0,28679,Fabián Gómez,3.55,220,62
139,0,26758,David Hearn,3.55,167,47
139,0,36852,Jim Knous,3.55,188,53
139,0,34261,Scott Langley,3.55,263,74
139,0,47856,Seth Reeves,3.55,238,67
147,0,28259,Sangmoon Bae,3.54,191,54
147,0,39977,Max Homa,3.54,283,80
147,0,25572,Graeme McDowell,3.54,251,71
150,0,30911,Tommy Fleetwood,3.53,226,64
151,0,30978,Kiradech Aphibarnrat,3.52,218,62
151,0,19846,Brian Gay,3.52,313,89
151,0,27644,Brian Harman,3.52,313,89
151,0,32816,Satoshi Kodaira,3.52,225,64
151,0,33667,Carlos Ortiz,3.52,289,82
156,0,35532,Tom Hoge,3.50,315,90
157,0,34099,Harris English,3.49,318,91
157,0,12716,Charley Hoffman,3.49,244,70
157,0,29908,C.T. Pan,3.49,286,82
160,0,39954,Cody Gribble,3.47,229,66
161,0,10809,Jim Furyk,3.46,235,68
161,0,34563,Chesson Hadley,3.46,256,74
161,0,30946,Alex Prugh,3.46,246,71
161,0,21528,Henrik Stenson,3.46,173,50
165,0,39327,Ben Silverman,3.44,234,68
165,0,27963,Chris Stroud,3.44,213,62
165,0,35617,Martin Trainer,3.44,210,61
168,0,34431,Robert Streb,3.43,247,72
169,0,30191,Julián Etulain,3.42,222,65
169,0,46523,Joey Garber,3.42,195,57
169,0,25396,Kevin Na,3.42,205,60
172,0,30110,Kyle Stanley,3.41,259,76
173,0,29974,Branden Grace,3.40,231,68
174,0,45609,Tyler Duncan,3.39,281,83
175,0,27349,Alex Noren,3.38,203,60
176,0,30786,Brady Schnell,3.37,172,51
177,0,24024,Zach Johnson,3.34,214,64
178,0,25632,Jimmy Walker,3.28,243,74
179,0,47990,Kyle Jones,3.27,216,66
180,0,35449,Adam Long,3.22,245,76
180,0,28252,Seamus Power,3.22,232,72
182,0,21731,Freddie Jacobson,3.20,163,51
182,0,25198,Francesco Molinari,3.20,173,54
184,0,20472,Alex Cejka,3.10,155,50
185,0,06522,Ernie Els,3.08,151,49
185,0,20572,Rod Pampling,3.08,160,52
187,0,39975,Michael Kim,2.98,176,59
188,0,23353,J.J. Henry,2.44,127,52
