RANK,MOVEMENT,PLAYER_ID,PLAYER,DISTANCE,TOURNAMENT,ROUND- COURSE,HOLE
1,0,26951,Johnson Wagner,256,The RSM Classic,1,15 - Par 5
2,0,28259,Sangmoon Bae,250,3M Open,1,18 - Par 5
3,0,39546,Keith Mitchell,249,Sentry,2,17 - Par 4
4,0,36801,Mark Hubbard,238,PGA Champ,2,9 - Par 4 -
5,0,39971,Sungjae Im,233,The Greenbrier,1,15 - Par 3
6,0,24361,Pat Perez,227,Farmers,3,4 - Par 4 -
7,0,29970,Dylan Frittelli,224,Sanderson Farms,3,10 - Par 3
8,0,33141,Keegan Bradley,209,Workday,1,4 - Par 3 -
9,0,27936,Martin Laird,208,The Amex,1,6 - Par 3 -
10,0,26331,Charl Schwartzel,206,Honda Classic,2,16 - Par 4
11,0,34021,Bud Cauley,205,Genesis,2,6 - Par 3 -
12,0,30944,Jason Kokrak,198,Workday,1,16 - Par 3
13,0,29221,Webb Simpson,196,Phoenix Open,3,12 - Par 3
14,0,23623,Bo Van Pelt,196,3M Open,1,8 - Par 3 -
15,0,25818,Scott Piercy,194,Phoenix Open,2,7 - Par 3 -
16,0,33667,Carlos Ortiz,192,The Amex,4,13 - Par 3
17,0,33948,Byeong Hun An,189,PGA Champ,4,11 - Par 3
18,0,34213,Grayson Murray,189,Safeway Open,2,2 - Par 3 -
19,0,36871,Matthew NeSmith,186,Honda Classic,1,5 - Par 3 -
20,0,32757,Patton Kizzire,181,The RSM Classic,4,6 - Par 3 -
21,0,29268,Bronson Burgoon,181,Workday,3,8 - Par 3 -
22,0,29908,C.T. Pan,179,Wyndham,4,16 - Par 3
23,0,27141,J.B. Holmes,176,Phoenix Open,1,4 - Par 3 -
24,0,26758,David Hearn,174,The Amex,3,1 - Par 4 -
25,0,56741,Braden Bailey,174,Houston Open,1,11 - Par 4
26,0,47128,Richy Werenski,171,Farmers,4,8 - Par 3 -
27,0,46442,Maverick McNealy,171,The Greenbrier,1,11 - Par 4
29,0,32200,Roberto Castro,170,The RSM Classic,1,1 - Par 4 -
30,0,33120,Mark Anderson,169,Houston Open,2,17 - Par 4
31,0,23621,Rory Sabbatini,167,Workday,4,2 - Par 4 -
32,0,26476,Chez Reavie,167,WGC-Mexico,3,3 - Par 3 -
34,0,31560,Brian Stuard,166,Rocket Mortgage,1,10 - Par 4
35,0,31323,Gary Woodland,165,Phoenix Open,1,11 - Par 4
36,0,36699,Patrick Rodgers,164,Rocket Mortgage,3,16 - Par 4
37,0,32102,Rickie Fowler,164,NORTHERN TRUST,1,17 - Par 4
38,0,30812,Benjamin Hebert,164,WGC-Mexico,3,14 - Par 4
39,0,27974,Sung Kang,163,Charles Schwab,1,13 - Par 3
40,0,29478,Kevin Kisner,162,Rocket Mortgage,2,6 - Par 4 -
41,0,37455,Si Woo Kim,161,Wyndham,3,3 - Par 3 -
42,0,32333,Kevin Tway,161,Phoenix Open,1,14 - Par 4
43,0,46970,Jon Rahm,158,WGC-Mexico,3,17 - Par 3
44,0,21407,Arjun Atwal,157,Rocket Mortgage,2,12 - Par 4
45,0,19803,Ryan Armour,157,Rocket Mortgage,2,5 - Par 3 -
46,0,28307,Matt Every,156,Wyndham,2,4 - Par 4 -
47,0,45526,Abraham Ancer,155,Travelers,1,16 - Par 3
48,0,46441,Robby Shelton,155,Honda Classic,2,12 - Par 4
49,0,10809,Jim Furyk,153,Genesis,1,13 - Par 4
51,0,39997,Corey Conners,150,BMW Champ,3,6 - Par 3 -
52,0,27214,Kevin Streelman,148,NORTHERN TRUST,1,15 - Par 4
53,0,49766,Hank Lebioda,146,Rocket Mortgage,1,6 - Par 4 -
54,0,48119,Ben Taylor,144,Sanderson Farms,1,11 - Par 5
55,0,45486,Joaquin Niemann,142,Charles Schwab,4,17 - Par 4
56,6,26851,Marc Leishman,140,TOUR Champ,2,3 - Par 4 -
57,-1,35449,Adam Long,134,NORTHERN TRUST,2,17 - Par 4
58,-1,29926,Danny Lee,133,3M Open,1,15 - Par 4
60,-1,33122,Russell Knox,131,Houston Open,3,1 - Par 4 -
61,-1,31557,Jim Herman,131,Wyndham,1,9 - Par 4 -
62,-1,49960,Sepp Straka,130,3M Open,1,5 - Par 4 -
64,-1,39953,Chase Seiffert,129,Workday,4,11 - Par 5
66,-1,25364,Paul Casey,128,BMW Champ,4,18 - Par 4
71,-1,30750,Tommy Gainey,120,The RSM Classic,2,2 - Par 4 -
72,-1,32982,Vince Covello,119,Safeway Open,1,3 - Par 4 -
73,-1,40098,Matt Fitzpatrick,119,BMW Champ,3,15 - Par 5
74,-1,40026,Daniel Berger,118,BMW Champ,4,7 - Par 4 -
75,-1,46435,Austin Cook,116,Rocket Mortgage,1,14 - Par 5
76,-1,28420,Ryan Brehm,115,Houston Open,3,3 - Par 4 -
77,-1,39324,J.J. Spaun,112,Workday,2,6 - Par 4 -
78,-1,29518,Brendan Steele,111,the Memorial,1,11 - Par 5
81,-1,45609,Tyler Duncan,106,The RSM Classic,2,8 - Par 4 -
82,-1,30911,Tommy Fleetwood,106,WGC-FedEx,2,18 - Par 4
84,-1,35617,Martin Trainer,104,Farmers,1,9 - Par 5 -
85,-1,34098,Russell Henley,103,The Greenbrier,1,16 - Par 4
86,-1,56278,Matthew Wolff,103,Farmers,3,18 - Par 5
87,-1,50525,Collin Morikawa,102,Arnold Palmer,1,12 - Par 5
88,-1,27644,Brian Harman,101,3M Open,2,7 - Par 4 -
89,-1,25804,Bubba Watson,100,Farmers,1,18 - Par 5
90,-1,29725,Tony Finau,99,RBC Heritage,3,13 - Par 4
93,-1,34314,Sebastian Cappelen,98,Safeway Open,2,14 - Par 4
