RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL PUTTS,TOTAL ROUNDS,LOW TOTAL PUTTS
1,1,24138,Ian Poulter,27.88,1338,48,21
2,-1,34360,Patrick Reed,27.89,2064,74,22
3,1,27644,Brian Harman,28.04,2187,78,23
4,2,30927,Brendon Todd,28.07,2414,86,23
5,2,25396,Kevin Na,28.08,1994,71,24
6,3,34466,Peter Malnati,28.11,1602,57,23
6,3,23325,Vaughn Taylor,28.11,1715,61,24
8,3,40026,Daniel Berger,28.14,1801,64,24
9,7,35506,Mackenzie Hughes,28.19,1973,70,21
10,2,49771,J.T. Poston,28.21,2200,78,22
10,2,34046,Jordan Spieth,28.21,1749,62,22
12,-4,47959,Bryson DeChambeau,28.26,1752,62,20
13,2,29221,Webb Simpson,28.27,1470,52,23
14,3,40009,Dominic Bozzelli,28.31,1019,36,20
15,4,27349,Alex Noren,28.32,1586,56,21
16,4,46442,Maverick McNealy,28.33,2153,76,21
17,6,29478,Kevin Kisner,28.34,2069,73,24
18,-1,39971,Sungjae Im,28.36,2666,94,21
19,2,01810,Phil Mickelson,28.37,1447,51,22
20,2,34076,Joel Dahmen,28.38,2242,79,23
21,2,40098,Matt Fitzpatrick,28.39,1533,54,23
22,3,22371,Aaron Baddeley,28.40,1335,47,25
23,3,31560,Brian Stuard,28.41,2301,81,22
24,4,29268,Bronson Burgoon,28.42,1506,53,24
25,4,23108,Matt Kuchar,28.43,1592,56,22
26,4,28089,Jason Day,28.45,1508,53,23
27,4,51766,Wyndham Clark,28.46,1736,61,23
28,7,46970,Jon Rahm,28.47,1651,58,24
29,3,35891,Cameron Smith,28.48,1823,64,25
29,4,27963,Chris Stroud,28.48,1310,46,22
31,3,27649,Brandt Snedeker,28.49,1510,53,24
32,4,34363,Tyrrell Hatton,28.52,1198,42,23
33,4,19846,Brian Gay,28.54,1798,63,23
34,4,32102,Rickie Fowler,28.55,1256,44,23
34,10,30925,Dustin Johnson,28.55,1399,49,24
34,4,47128,Richy Werenski,28.55,1599,56,24
37,3,32757,Patton Kizzire,28.56,1571,55,22
38,4,29725,Tony Finau,28.57,2057,72,23
38,4,28237,Rory McIlroy,28.57,1714,60,22
38,6,48822,Sebastián Muñoz,28.57,2400,84,22
38,12,23320,Ryan Palmer,28.57,1943,68,21
42,11,35310,Lanto Griffin,28.58,2629,92,23
43,4,40058,Zac Blair,28.61,1888,66,20
43,4,35450,Patrick Cantlay,28.61,1316,46,24
43,4,47993,Denny McCarthy,28.61,2203,77,23
46,7,33448,Justin Thomas,28.62,1889,66,23
47,3,33597,Harry Higgs,28.63,2376,83,21
47,3,22405,Justin Rose,28.63,1088,38,23
49,-5,45526,Abraham Ancer,28.65,2120,74,22
49,4,35230,Nelson Ledesma,28.65,1146,40,24
51,5,39977,Max Homa,28.66,2006,70,22
51,5,36801,Mark Hubbard,28.66,2465,86,21
53,5,33948,Byeong Hun An,28.69,2152,75,23
54,5,34021,Bud Cauley,28.70,1751,61,23
54,25,34099,Harris English,28.70,2181,76,23
54,8,29420,Billy Horschel,28.70,2267,79,23
57,4,46046,Scottie Scheffler,28.71,2354,82,23
58,4,48887,Matt Wallace,28.73,1264,44,24
59,5,26499,Rafa Cabrera Bello,28.74,1523,53,23
59,5,33667,Carlos Ortiz,28.74,2069,72,22
59,32,48081,Xander Schauffele,28.74,2012,70,23
62,4,35461,Beau Hossler,28.75,1926,67,22
62,4,28252,Seamus Power,28.75,920,32,24
64,4,32366,Kevin Chappell,28.76,1179,41,23
64,4,33410,Andrew Landry,28.76,1812,63,21
64,4,23621,Rory Sabbatini,28.76,1898,66,24
67,4,29970,Dylan Frittelli,28.77,2359,82,22
67,4,37455,Si Woo Kim,28.77,2129,74,22
67,4,29926,Danny Lee,28.77,1985,69,20
67,4,32839,Hideki Matsuyama,28.77,2129,74,23
67,4,32254,Xinjun Zhang,28.77,2215,77,18
72,4,35532,Tom Hoge,28.78,2130,74,24
72,4,35617,Martin Trainer,28.78,1324,46,22
72,4,32139,Danny Willett,28.78,1151,40,24
75,4,37275,Sam Ryder,28.79,2015,70,23
76,-16,46717,Viktor Hovland,28.80,2131,74,24
76,5,24024,Zach Johnson,28.80,1757,61,23
76,5,34256,Andrew Putnam,28.80,1325,46,23
79,4,32791,K.H. Lee,28.81,2074,72,22
80,4,26596,Ryan Moore,28.82,1268,44,24
80,4,24502,Adam Scott,28.82,1095,38,26
82,4,35449,Adam Long,28.84,2538,88,22
83,4,26329,Louis Oosthuizen,28.85,1385,48,23
84,4,46402,Talor Gooch,28.87,2396,83,24
84,4,27942,Rob Oppenheim,28.87,1761,61,20
84,4,32150,Michael Thompson,28.87,1790,62,24
87,5,32618,Rhein Gibson,28.90,1445,50,22
88,5,47504,Sam Burns,28.91,1677,58,20
88,5,33399,Adam Hadwin,28.91,1879,65,23
88,5,32640,Troy Merritt,28.91,1966,68,23
91,5,33413,Ben Martin,28.92,1041,36,24
91,5,36699,Patrick Rodgers,28.92,2632,91,24
91,5,33486,Roger Sloan,28.92,1475,51,25
94,5,28679,Fabián Gómez,28.93,1591,55,23
94,5,12716,Charley Hoffman,28.93,1707,59,23
96,19,26851,Marc Leishman,28.95,1766,61,22
96,5,31323,Gary Woodland,28.95,1795,62,25
98,4,34314,Sebastian Cappelen,28.96,1535,53,24
98,4,28775,Nate Lashley,28.96,1506,52,23
98,4,26476,Chez Reavie,28.96,2230,77,24
98,4,25349,Tim Wilkinson,28.96,1332,46,22
102,4,47347,Adam Schenk,28.97,2144,74,21
103,4,39546,Keith Mitchell,28.98,1855,64,24
104,8,50525,Collin Morikawa,28.99,2319,80,23
105,3,26758,David Hearn,29.02,1480,51,22
105,3,33419,Cameron Tringale,29.02,1828,63,24
107,3,30692,Scott Stallings,29.03,1945,67,24
