RANK,MOVEMENT,PLAYER_ID,PLAYER,STATUS,PAR 5 AVG,TOTAL PAR
1,0,39971,Sungjae Im,-128,4.55,14.10
2,0,35310,Lanto Griffin,-124,4.57,14.30
3,1,50525,Collin Morikawa,-116,4.52,12.10
4,-1,36699,Patrick Rodgers,-114,4.61,14.60
4,2,48081,Xander Schauffele,-114,4.45,10.40
6,-2,36801,Mark Hubbard,-112,4.56,12.70
7,3,46046,Scottie Scheffler,-109,4.55,12.20
8,-1,32839,Hideki Matsuyama,-108,4.53,11.50
9,1,48822,Sebastián Muñoz,-107,4.59,12.90
9,-1,27214,Kevin Streelman,-107,4.53,11.30
11,-2,26300,Matt Jones,-106,4.52,11.10
12,0,35449,Adam Long,-101,4.62,13.30
12,3,33448,Justin Thomas,-101,4.48,9.70
14,-1,47347,Adam Schenk,-97,4.59,11.80
15,13,29725,Tony Finau,-96,4.56,10.80
15,-1,46442,Maverick McNealy,-96,4.61,12.30
17,-2,29970,Dylan Frittelli,-95,4.62,12.60
18,-1,39997,Corey Conners,-94,4.58,11.30
18,10,29420,Billy Horschel,-94,4.60,11.70
20,-2,51766,Wyndham Clark,-93,4.52,9.70
20,-2,27129,Luke List,-93,4.58,11.00
20,2,34360,Patrick Reed,-93,4.57,10.90
23,9,40026,Daniel Berger,-92,4.49,9.00
23,-3,46402,Talor Gooch,-92,4.63,12.40
23,-3,30163,Henrik Norlander,-92,4.61,11.90
23,14,23320,Ryan Palmer,-92,4.53,9.70
27,-5,47993,Denny McCarthy,-91,4.61,11.70
28,3,52372,Cameron Champ,-90,4.61,11.50
28,-4,45609,Tyler Duncan,-90,4.64,12.40
28,5,34099,Harris English,-90,4.61,11.50
28,-4,27644,Brian Harman,-90,4.59,10.90
28,11,46970,Jon Rahm,-90,4.46,8.40
28,-4,37189,Harold Varner III,-90,4.60,11.30
28,-4,32254,Xinjun Zhang,-90,4.65,13.00
35,-2,46717,Viktor Hovland,-89,4.60,11.00
35,-7,32791,K.H. Lee,-89,4.61,11.50
37,6,30927,Brendon Todd,-87,4.66,12.70
38,-5,12716,Charley Hoffman,-86,4.56,9.80
38,-5,53165,Doc Redman,-86,4.66,12.60
40,-3,31323,Gary Woodland,-85,4.53,9.10
41,-2,27554,Scott Harrington,-84,4.61,10.90
41,-2,33667,Carlos Ortiz,-84,4.63,11.30
41,-2,56278,Matthew Wolff,-84,4.63,11.50
44,-1,47504,Sam Burns,-83,4.55,9.20
44,-1,23621,Rory Sabbatini,-83,4.59,10.00
46,0,45157,Cam Davis,-82,4.55,9.20
46,0,31560,Brian Stuard,-82,4.67,12.30
48,0,39977,Max Homa,-81,4.64,11.40
49,13,47959,Bryson DeChambeau,-80,4.54,8.70
49,0,36871,Matthew NeSmith,-80,4.62,10.50
49,0,46441,Robby Shelton,-80,4.64,11.10
52,10,45526,Abraham Ancer,-79,4.63,10.80
52,4,28237,Rory McIlroy,-79,4.54,8.60
54,-3,33490,Bo Hoag,-78,4.64,10.80
54,-3,27974,Sung Kang,-78,4.65,11.20
54,-3,30692,Scott Stallings,-78,4.63,10.50
54,-3,33419,Cameron Tringale,-78,4.62,10.30
58,-7,45486,Joaquin Niemann,-77,4.64,10.80
58,-2,27349,Alex Noren,-77,4.54,8.30
58,-2,34046,Jordan Spieth,-77,4.59,9.40
61,-2,40058,Zac Blair,-76,4.65,10.90
61,-2,31646,Emiliano Grillo,-76,4.63,10.20
61,-2,21961,Charles Howell III,-76,4.65,10.80
64,-2,25364,Paul Casey,-75,4.55,8.30
65,0,33141,Keegan Bradley,-74,4.64,10.40
65,0,35461,Beau Hossler,-74,4.66,10.80
65,0,25804,Bubba Watson,-74,4.62,9.70
68,0,33948,Byeong Hun An,-73,4.68,11.30
68,0,34563,Chesson Hadley,-73,4.61,9.40
68,0,26476,Chez Reavie,-73,4.70,12.20
71,0,35450,Patrick Cantlay,-72,4.49,7.10
71,0,33597,Harry Higgs,-72,4.72,12.70
71,0,25493,Nick Taylor,-72,4.60,9.10
71,0,27064,Jhonattan Vegas,-72,4.55,8.00
75,0,29479,Scott Brown,-71,4.64,9.90
75,6,29478,Kevin Kisner,-71,4.67,10.60
75,0,39324,J.J. Spaun,-71,4.63,9.60
75,0,32150,Michael Thompson,-71,4.61,9.20
79,-1,33122,Russell Knox,-70,4.64,9.60
79,-1,37275,Sam Ryder,-70,4.68,10.90
79,-1,49960,Sepp Straka,-70,4.68,10.90
82,-1,29268,Bronson Burgoon,-69,4.59,8.40
82,-1,29535,Brice Garnett,-69,4.62,9.00
82,-1,25900,Lucas Glover,-69,4.69,11.00
82,-1,29926,Danny Lee,-69,4.66,10.10
82,8,25396,Kevin Na,-69,4.68,10.80
82,-1,27942,Rob Oppenheim,-69,4.65,9.80
82,-1,49771,J.T. Poston,-69,4.70,11.40
82,-1,39953,Chase Seiffert,-69,4.62,9.00
90,-1,34021,Bud Cauley,-68,4.63,9.20
91,-1,28089,Jason Day,-67,4.59,8.20
91,-1,32640,Troy Merritt,-67,4.69,10.80
93,0,28420,Ryan Brehm,-66,4.60,8.30
93,0,33399,Adam Hadwin,-66,4.67,10.00
93,11,29221,Webb Simpson,-66,4.52,6.90
96,18,35506,Mackenzie Hughes,-65,4.68,10.00
96,-1,24361,Pat Perez,-65,4.64,8.95
96,-1,25818,Scott Piercy,-65,4.68,10.10
99,-2,34255,Joseph Bramlett,-64,4.62,8.40
99,-2,23108,Matt Kuchar,-64,4.62,8.50
101,-2,40098,Matt Fitzpatrick,-63,4.62,8.30
101,-2,32662,Michael Gligic,-63,4.60,7.90
101,20,30925,Dustin Johnson,-63,4.53,6.75
101,-2,32757,Patton Kizzire,-63,4.61,8.00
101,-2,28775,Nate Lashley,-63,4.60,7.85
101,-2,39546,Keith Mitchell,-63,4.68,9.90
107,-3,33404,Chris Baker,-62,4.61,7.90
107,-3,35532,Tom Hoge,-62,4.72,11.20
107,-3,30944,Jason Kokrak,-62,4.66,9.10
110,-2,19803,Ryan Armour,-61,4.65,8.80
110,-2,32102,Rickie Fowler,-61,4.58,7.30
110,-2,34098,Russell Henley,-61,4.66,8.90
110,-2,40042,Tyler McCumber,-61,4.65,8.65
110,-2,34431,Robert Streb,-61,4.63,8.20
115,25,34363,Tyrrell Hatton,-60,4.53,6.40
115,-2,01810,Phil Mickelson,-60,4.64,8.40
115,14,35891,Cameron Smith,-60,4.67,9.10
118,-4,19846,Brian Gay,-59,4.72,10.40
118,-4,49766,Hank Lebioda,-59,4.66,8.60
118,-4,29518,Brendan Steele,-59,4.69,9.40
121,-3,33486,Roger Sloan,-58,4.64,8.00
121,-3,27330,Josh Teater,-58,4.57,6.70
121,-3,49964,Aaron Wise,-58,4.58,6.90
124,-3,25686,Jason Dufner,-57,4.71,9.70
124,-3,46550,Brandon Hagy,-57,4.61,7.40
124,-3,24024,Zach Johnson,-57,4.68,8.80
