RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG RTP
1,0,50525,Collin Morikawa,-.222
2,0,37189,Harold Varner III,-.165
3,0,30911,Tommy Fleetwood,-.159
4,0,47504,Sam Burns,-.151
5,0,35617,Martin Trainer,-.148
6,0,48081,Xander Schauffele,-.144
7,0,35450,Patrick Cantlay,-.143
7,0,31323,Gary Woodland,-.143
9,0,31646,Emiliano Grillo,-.140
10,0,32791,K.H. Lee,-.131
11,0,48084,Wesley Bryan,-.119
12,0,52372,Cameron Champ,-.113
13,0,57366,Cameron Young,-.107
14,0,36689,Brooks Koepka,-.105
15,0,28237,Rory McIlroy,-.099
16,0,54628,Lee Hodges,-.097
17,0,46402,Talor Gooch,-.096
18,0,39997,Corey Conners,-.092
18,0,46442,Maverick McNealy,-.092
20,0,32662,Michael Gligic,-.091
20,0,32333,Kevin Tway,-.091
22,0,27649,Brandt Snedeker,-.089
23,0,40098,Matt Fitzpatrick,-.088
23,0,23325,Vaughn Taylor,-.088
25,0,34046,Jordan Spieth,-.086
26,0,48117,Kurt Kitayama,-.081
27,0,36699,Patrick Rodgers,-.080
28,0,39546,Keith Mitchell,-.078
28,0,10381,Curtis Thompson,-.078
30,0,47856,Seth Reeves,-.077
31,0,46435,Austin Cook,-.076
31,0,33204,Shane Lowry,-.076
33,0,37275,Sam Ryder,-.075
34,0,46970,Jon Rahm,-.074
34,0,30927,Brendon Todd,-.074
36,0,39971,Sungjae Im,-.070
36,0,49960,Sepp Straka,-.070
38,0,20229,Stewart Cink,-.069
39,0,54421,Garrick Higgo,-.068
39,0,36799,Stephan Jaeger,-.068
41,0,45157,Cam Davis,-.067
42,0,36852,Jim Knous,-.066
43,0,32839,Hideki Matsuyama,-.064
44,0,47988,Nick Hardy,-.063
44,0,51997,Andrew Novak,-.063
46,0,23320,Ryan Palmer,-.061
46,0,29518,Brendan Steele,-.061
48,0,55708,Hayden Buckley,-.060
49,0,24925,Jonathan Byrd,-.059
49,0,28252,Seamus Power,-.059
51,0,33399,Adam Hadwin,-.058
52,0,29725,Tony Finau,-.057
53,0,29289,S.Y. Noh,-.056
54,0,51894,Vince Whaley,-.055
55,0,51766,Wyndham Clark,-.054
55,0,47529,Mito Pereira,-.054
57,0,26300,Matt Jones,-.053
57,0,25493,Nick Taylor,-.053
57,0,32139,Danny Willett,-.053
60,0,24024,Zach Johnson,-.051
60,0,27139,David Skinns,-.051
62,0,31420,Anirban Lahiri,-.049
62,0,26851,Marc Leishman,-.049
64,0,39977,Max Homa,-.047
64,0,46717,Viktor Hovland,-.047
66,0,34098,Russell Henley,-.046
67,0,34255,Joseph Bramlett,-.045
67,0,35461,Beau Hossler,-.045
67,0,21961,Charles Howell III,-.045
67,0,36871,Matthew NeSmith,-.045
71,0,33448,Justin Thomas,-.043
72,0,45522,Christiaan Bezuidenhout,-.042
73,0,34076,Joel Dahmen,-.039
73,0,32816,Satoshi Kodaira,-.039
73,0,26476,Chez Reavie,-.039
73,0,46340,Alex Smalley,-.039
73,0,50095,Austin Smotherman,-.039
78,0,34264,Hudson Swafford,-.037
79,0,56278,Matthew Wolff,-.036
80,0,30692,Scott Stallings,-.034
81,0,35532,Tom Hoge,-.032
81,0,22056,Cameron Percy,-.032
83,0,51634,Sahith Theegala,-.031
83,0,49964,Aaron Wise,-.031
85,0,36801,Mark Hubbard,-.030
85,0,37455,Si Woo Kim,-.030
87,0,25818,Scott Piercy,-.029
87,0,46046,Scottie Scheffler,-.029
87,0,47128,Richy Werenski,-.029
90,0,34174,John Huh,-.028
91,0,47483,Will Zalatoris,-.026
92,0,34256,Andrew Putnam,-.023
93,0,45486,Joaquin Niemann,-.022
93,0,33667,Carlos Ortiz,-.022
95,0,24980,Scott Gutschewski,-.021
96,0,32150,Michael Thompson,-.017
97,0,32102,Rickie Fowler,-.014
98,0,28089,Jason Day,-.013
99,0,33141,Keegan Bradley,-.012
99,0,12716,Charley Hoffman,-.012
101,0,28775,Nate Lashley,-.011
102,0,29535,Brice Garnett,-.010
102,0,30926,Chris Kirk,-.010
102,0,24502,Adam Scott,-.010
105,0,35506,Mackenzie Hughes,-.009
105,0,33419,Cameron Tringale,-.009
107,0,36326,David Lipsky,-.008
107,0,46601,Trey Mullinax,-.008
107,0,46414,Aaron Rai,-.008
110,0,34563,Chesson Hadley,E
110,0,27936,Martin Laird,E
110,0,27129,Luke List,E
110,0,40250,Taylor Pendrith,E
114,0,47993,Denny McCarthy,+.007
115,0,49298,Kramer Hickok,+.009
116,0,29970,Dylan Frittelli,+.010
116,0,34360,Patrick Reed,+.010
118,0,29478,Kevin Kisner,+.011
119,0,48699,Callum Tarren,+.012
120,0,29221,Webb Simpson,+.013
120,0,48887,Matt Wallace,+.013
122,0,27770,Camilo Villegas,+.014
122,0,45540,Jared Wolfe,+.014
124,0,39058,Lucas Herbert,+.015
124,0,29926,Danny Lee,+.015
126,0,25686,Jason Dufner,+.016
126,0,25900,Lucas Glover,+.016
126,0,29974,Branden Grace,+.016
126,0,27644,Brian Harman,+.016
126,0,25198,Francesco Molinari,+.016
131,0,29908,C.T. Pan,+.020
132,0,46550,Brandon Hagy,+.021
132,0,40115,Adam Svensson,+.021
134,0,32448,James Hahn,+.022
134,0,40162,Justin Lower,+.022
134,0,27064,Jhonattan Vegas,+.022
137,0,49771,J.T. Poston,+.027
137,0,39324,J.J. Spaun,+.027
139,0,19803,Ryan Armour,+.029
140,0,31557,Jim Herman,+.031
140,0,29420,Billy Horschel,+.031
140,0,35879,Kelly Kraft,+.031
143,0,40006,Erik van Rooyen,+.034
144,0,45609,Tyler Duncan,+.038
145,0,35310,Lanto Griffin,+.040
146,0,27895,Jonas Blixt,+.042
147,0,35110,Brett Drewitt,+.043
148,0,49766,Hank Lebioda,+.046
149,0,30944,Jason Kokrak,+.048
150,0,31560,Brian Stuard,+.050
151,0,47995,Davis Riley,+.051
152,0,34363,Tyrrell Hatton,+.053
153,0,24361,Pat Perez,+.056
154,0,33122,Russell Knox,+.058
155,0,22405,Justin Rose,+.062
156,0,27974,Sung Kang,+.063
156,0,27214,Kevin Streelman,+.063
158,0,35891,Cameron Smith,+.064
159,0,33597,Harry Higgs,+.066
160,0,45526,Abraham Ancer,+.068
161,0,33486,Roger Sloan,+.069
162,0,32757,Patton Kizzire,+.073
163,0,39953,Chase Seiffert,+.075
164,0,34466,Peter Malnati,+.076
165,0,32366,Kevin Chappell,+.078
165,0,33490,Bo Hoag,+.078
167,0,49947,Taylor Moore,+.079
167,0,51890,Greyson Sigg,+.079
169,0,37212,Paul Barjon,+.081
169,0,24924,Bill Haas,+.081
171,0,51950,Max McGreevy,+.083
172,0,47983,Chad Ramey,+.088
173,0,52375,Doug Ghim,+.089
174,0,30163,Henrik Norlander,+.090
174,0,47347,Adam Schenk,+.090
176,0,28114,Dawie van der Walt,+.093
177,0,36884,Ben Kohles,+.096
178,0,48822,Sebastián Muñoz,+.097
179,0,23983,Luke Donald,+.100
180,0,23108,Matt Kuchar,+.103
181,0,27095,Nick Watney,+.112
182,0,32640,Troy Merritt,+.113
183,0,54783,Dylan Wu,+.120
184,0,27349,Alex Noren,+.125
185,0,30978,Kiradech Aphibarnrat,+.129
186,0,35449,Adam Long,+.132
187,0,34610,Matthias Schwab,+.133
188,0,39436,Joshua Creel,+.136
188,0,24138,Ian Poulter,+.136
190,0,23621,Rory Sabbatini,+.141
191,0,53165,Doc Redman,+.145
192,0,52374,Brandon Wu,+.162
193,0,34431,Robert Streb,+.165
