RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG RTP
1,0,35450,Patrick Cantlay,-.375
2,0,37212,Paul Barjon,-.278
3,0,40098,Matt Fitzpatrick,-.250
3,0,40250,Taylor Pendrith,-.250
3,0,49964,Aaron Wise,-.250
6,0,28237,Rory McIlroy,-.231
6,0,57366,Cameron Young,-.231
8,0,30944,Jason Kokrak,-.214
8,0,48699,Callum Tarren,-.214
10,0,27064,Jhonattan Vegas,-.211
11,0,36689,Brooks Koepka,-.208
12,0,32662,Michael Gligic,-.200
12,0,24138,Ian Poulter,-.200
14,0,27349,Alex Noren,-.188
15,0,24502,Adam Scott,-.174
16,0,32333,Kevin Tway,-.172
17,0,34363,Tyrrell Hatton,-.143
17,0,31323,Gary Woodland,-.143
19,0,35891,Cameron Smith,-.118
20,0,29289,S.Y. Noh,-.111
21,0,22056,Cameron Percy,-.091
22,0,29970,Dylan Frittelli,-.074
23,0,52372,Cameron Champ,-.067
24,0,39971,Sungjae Im,-.063
24,0,39546,Keith Mitchell,-.063
26,0,51766,Wyndham Clark,-.059
26,0,27644,Brian Harman,-.059
28,0,46402,Talor Gooch,-.056
29,0,28114,Dawie van der Walt,-.048
30,0,34255,Joseph Bramlett,-.038
31,0,46046,Scottie Scheffler,-.036
32,0,51894,Vince Whaley,-.031
33,0,19803,Ryan Armour,E
33,0,33141,Keegan Bradley,E
33,0,39997,Corey Conners,E
33,0,24980,Scott Gutschewski,E
33,0,26300,Matt Jones,E
33,0,30926,Chris Kirk,E
33,0,48117,Kurt Kitayama,E
33,0,28775,Nate Lashley,E
33,0,27129,Luke List,E
33,0,50525,Collin Morikawa,E
33,0,46601,Trey Mullinax,E
33,0,24361,Pat Perez,E
33,0,36699,Patrick Rodgers,E
33,0,22405,Justin Rose,E
33,0,27095,Nick Watney,E
33,0,52374,Brandon Wu,E
33,0,47483,Will Zalatoris,E
50,0,51634,Sahith Theegala,+.029
51,0,45157,Cam Davis,+.038
52,0,47504,Sam Burns,+.042
52,0,35461,Beau Hossler,+.042
54,0,45522,Christiaan Bezuidenhout,+.043
55,0,34466,Peter Malnati,+.048
56,0,35617,Martin Trainer,+.050
57,0,51997,Andrew Novak,+.053
58,0,47856,Seth Reeves,+.056
59,0,37455,Si Woo Kim,+.059
59,0,33448,Justin Thomas,+.059
61,0,39977,Max Homa,+.067
61,0,23621,Rory Sabbatini,+.067
63,0,32448,James Hahn,+.071
63,0,46717,Viktor Hovland,+.071
63,0,29908,C.T. Pan,+.071
66,0,32791,K.H. Lee,+.074
67,0,33204,Shane Lowry,+.077
67,0,34264,Hudson Swafford,+.077
69,0,32757,Patton Kizzire,+.083
