RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# SAVES,# BUNKERS,TOTAL O/U PAR
1,0,33204,Shane Lowry,67.09,53,79,+14.00
2,0,48081,Xander Schauffele,64.95,63,97,+12.00
3,0,23108,Matt Kuchar,64.93,87,134,+13.00
4,0,45522,Christiaan Bezuidenhout,64.71,66,102,+20.00
5,0,19803,Ryan Armour,64.00,32,50,+12.00
6,0,40098,Matt Fitzpatrick,63.86,53,83,+18.00
7,0,39058,Lucas Herbert,63.73,65,102,+29.00
8,0,33448,Justin Thomas,62.71,74,118,+22.00
9,0,30911,Tommy Fleetwood,62.22,56,90,+14.00
10,0,27644,Brian Harman,61.87,86,139,+29.00
11,0,32150,Michael Thompson,61.65,82,133,+23.00
12,0,28237,Rory McIlroy,61.63,53,86,+8.00
13,0,21961,Charles Howell III,60.00,51,85,+9.00
14,0,29908,C.T. Pan,59.66,71,119,+27.00
15,0,33399,Adam Hadwin,59.20,74,125,+30.00
16,0,27349,Alex Noren,59.00,59,100,+16.00
17,0,34363,Tyrrell Hatton,58.89,53,90,+28.00
18,0,46402,Talor Gooch,58.87,73,124,+28.00
19,0,34610,Matthias Schwab,58.25,60,103,+16.00
20,0,48084,Wesley Bryan,58.23,46,79,+26.00
21,0,34256,Andrew Putnam,57.94,73,126,+28.00
22,0,35450,Patrick Cantlay,57.73,56,97,+22.00
23,0,47993,Denny McCarthy,57.69,90,156,+38.00
24,0,23983,Luke Donald,57.43,58,101,+30.00
25,0,34360,Patrick Reed,57.38,70,122,+30.00
26,0,39971,Sungjae Im,56.90,66,116,+27.00
27,0,29420,Billy Horschel,56.30,67,119,+27.00
28,0,39436,Joshua Creel,56.10,46,82,+32.00
29,0,23325,Vaughn Taylor,56.06,37,66,+17.00
30,0,24361,Pat Perez,56.00,56,100,+24.00
31,0,30926,Chris Kirk,55.97,75,134,+37.00
32,0,40250,Taylor Pendrith,55.91,52,93,+14.00
33,0,24024,Zach Johnson,55.86,62,111,+39.00
34,0,27974,Sung Kang,55.73,73,131,+27.00
35,0,22056,Cameron Percy,55.56,35,63,+16.00
36,0,51766,Wyndham Clark,55.47,76,137,+38.00
37,0,30944,Jason Kokrak,55.45,56,101,+23.00
38,0,32333,Kevin Tway,55.20,69,125,+28.00
39,0,45486,Joaquin Niemann,55.17,64,116,+31.00
40,0,30692,Scott Stallings,55.13,86,156,+39.00
41,0,48822,Sebastián Muñoz,55.12,70,127,+30.00
42,0,37189,Harold Varner III,54.95,61,111,+25.00
43,0,29974,Branden Grace,54.93,39,71,+23.00
44,0,32839,Hideki Matsuyama,54.92,67,122,+28.00
45,0,45157,Cam Davis,54.81,74,135,+38.00
46,0,35449,Adam Long,54.74,75,137,+29.00
47,0,24138,Ian Poulter,54.65,47,86,+21.00
48,0,39546,Keith Mitchell,54.62,71,130,+32.00
49,0,48117,Kurt Kitayama,54.44,49,90,+21.00
50,0,34174,John Huh,54.39,62,114,+37.00
