RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL 3 PUTTS,TOTAL HOLES (OVERALL)
1,0,35891,Cameron Smith,1.61,18,1116
2,0,46402,Talor Gooch,1.64,21,1278
3,0,51894,Vince Whaley,1.70,26,1530
4,0,27349,Alex Noren,1.74,20,1152
5,0,39058,Lucas Herbert,1.75,17,972
6,0,35879,Kelly Kraft,1.77,22,1242
7,0,35461,Beau Hossler,1.83,23,1260
8,0,48081,Xander Schauffele,1.85,24,1296
9,0,45526,Abraham Ancer,1.92,20,1044
10,0,32448,James Hahn,1.96,25,1278
11,0,24925,Jonathan Byrd,2.05,21,1026
12,0,33141,Keegan Bradley,2.08,30,1440
13,0,46435,Austin Cook,2.09,26,1242
14,0,32102,Rickie Fowler,2.11,27,1278
15,0,28775,Nate Lashley,2.12,29,1368
16,0,28089,Jason Day,2.14,22,1026
16,0,35310,Lanto Griffin,2.14,30,1404
18,0,45522,Christiaan Bezuidenhout,2.15,31,1440
18,0,27214,Kevin Streelman,2.15,34,1584
20,0,51890,Greyson Sigg,2.16,35,1620
21,0,33667,Carlos Ortiz,2.19,24,1098
22,0,36801,Mark Hubbard,2.21,27,1224
23,0,47504,Sam Burns,2.22,32,1440
23,0,47993,Denny McCarthy,2.22,40,1800
25,0,45157,Cam Davis,2.24,33,1476
26,0,34363,Tyrrell Hatton,2.26,26,1152
26,0,24024,Zach Johnson,2.26,26,1152
28,0,33399,Adam Hadwin,2.28,37,1620
29,0,33597,Harry Higgs,2.29,33,1440
30,0,34360,Patrick Reed,2.30,29,1260
31,0,34466,Peter Malnati,2.32,43,1854
32,0,30927,Brendon Todd,2.34,35,1494
33,0,23108,Matt Kuchar,2.35,30,1278
34,0,51634,Sahith Theegala,2.36,48,2034
35,0,45609,Tyler Duncan,2.37,35,1476
35,0,39977,Max Homa,2.37,35,1476
35,0,30944,Jason Kokrak,2.37,26,1098
38,0,36884,Ben Kohles,2.38,27,1134
38,0,32150,Michael Thompson,2.38,36,1512
40,0,46442,Maverick McNealy,2.40,38,1584
41,0,34431,Robert Streb,2.41,36,1494
42,0,34563,Chesson Hadley,2.43,35,1440
43,0,19803,Ryan Armour,2.44,22,900
43,0,27895,Jonas Blixt,2.44,22,900
43,0,32640,Troy Merritt,2.44,40,1638
43,0,46601,Trey Mullinax,2.44,36,1476
47,0,31420,Anirban Lahiri,2.47,32,1296
47,0,51950,Max McGreevy,2.47,32,1296
47,0,47347,Adam Schenk,2.47,40,1620
50,0,27644,Brian Harman,2.50,41,1638
50,0,50525,Collin Morikawa,2.50,27,1080
50,0,27770,Camilo Villegas,2.50,31,1242
53,0,30978,Kiradech Aphibarnrat,2.52,24,954
54,0,35449,Adam Long,2.53,40,1584
55,0,29926,Danny Lee,2.56,24,936
55,0,33448,Justin Thomas,2.56,35,1368
55,0,35617,Martin Trainer,2.56,36,1404
58,0,23983,Luke Donald,2.57,31,1206
58,0,22405,Justin Rose,2.57,25,972
60,0,29725,Tony Finau,2.58,40,1548
60,0,30926,Chris Kirk,2.58,39,1512
60,0,37189,Harold Varner III,2.58,32,1242
60,0,48887,Matt Wallace,2.58,26,1008
64,0,56278,Matthew Wolff,2.60,22,846
65,0,27139,David Skinns,2.61,31,1188
66,0,24502,Adam Scott,2.62,34,1296
66,0,23325,Vaughn Taylor,2.62,25,954
68,0,29221,Webb Simpson,2.64,28,1062
69,0,29289,S.Y. Noh,2.65,30,1134
69,0,22056,Cameron Percy,2.65,21,792
71,0,12716,Charley Hoffman,2.66,33,1242
71,0,32791,K.H. Lee,2.66,47,1764
71,0,47995,Davis Riley,2.66,45,1692
74,0,30911,Tommy Fleetwood,2.68,27,1008
75,0,51766,Wyndham Clark,2.69,47,1746
75,0,24361,Pat Perez,2.69,30,1116
77,0,29420,Billy Horschel,2.70,34,1260
77,0,34174,John Huh,2.70,36,1332
77,0,47483,Will Zalatoris,2.70,37,1368
80,0,29908,C.T. Pan,2.71,40,1476
80,0,46046,Scottie Scheffler,2.71,41,1512
82,0,30692,Scott Stallings,2.72,47,1728
83,0,47988,Nick Hardy,2.73,29,1062
84,0,32662,Michael Gligic,2.74,35,1278
84,0,50095,Austin Smotherman,2.74,38,1386
84,0,54783,Dylan Wu,2.74,33,1206
87,0,36699,Patrick Rodgers,2.75,42,1530
88,0,52375,Doug Ghim,2.78,42,1512
88,0,31646,Emiliano Grillo,2.78,42,1512
88,0,45486,Joaquin Niemann,2.78,40,1440
88,0,28252,Seamus Power,2.78,39,1404
88,0,34256,Andrew Putnam,2.78,47,1692
93,0,46414,Aaron Rai,2.81,45,1602
93,0,39324,J.J. Spaun,2.81,48,1710
93,0,27064,Jhonattan Vegas,2.81,39,1386
96,0,47856,Seth Reeves,2.82,34,1206
97,0,32366,Kevin Chappell,2.83,28,990
97,0,33490,Bo Hoag,2.83,25,882
97,0,23621,Rory Sabbatini,2.83,28,990
100,0,49771,J.T. Poston,2.84,45,1584
100,0,33419,Cameron Tringale,2.84,47,1656
102,0,26851,Marc Leishman,2.85,37,1296
103,0,24980,Scott Gutschewski,2.88,29,1008
103,0,53165,Doc Redman,2.88,41,1422
105,0,25818,Scott Piercy,2.89,40,1386
105,0,40115,Adam Svensson,2.89,52,1800
107,0,27649,Brandt Snedeker,2.92,31,1062
108,0,33122,Russell Knox,2.93,47,1602
108,0,30163,Henrik Norlander,2.93,38,1296
