RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL 3 PUTTS 5'-10',TOTAL 3 PUTTS
1,0,25900,Lucas Glover,4,47
1,0,35901,Paul Haley II,4,49
1,0,29221,Webb Simpson,4,26
4,0,45157,Cam Davis,3,49
4,0,59018,Ryan Gerard,3,30
4,0,34563,Chesson Hadley,3,36
4,0,36801,Mark Hubbard,3,32
4,0,40162,Justin Lower,3,39
4,0,24502,Adam Scott,3,19
4,0,49960,Sepp Straka,3,29
4,0,27214,Kevin Streelman,3,48
4,0,51634,Sahith Theegala,3,28
4,0,45242,Kevin Yu,3,35
14,0,40058,Zac Blair,2,31
14,0,48084,Wesley Bryan,2,23
14,0,40098,Matt Fitzpatrick,2,18
14,0,56762,Will Gordon,2,49
14,0,34098,Russell Henley,2,34
14,0,24024,Zach Johnson,2,24
14,0,55182,Tom Kim,2,31
14,0,32757,Patton Kizzire,2,38
14,0,32816,Satoshi Kodaira,2,42
14,0,27936,Martin Laird,2,44
14,0,51491,Brandon Matthews,2,34
14,0,51950,Max McGreevy,2,37
14,0,24140,Sean O'Hair,2,24
14,0,26476,Chez Reavie,2,45
14,0,53165,Doc Redman,2,46
14,0,48867,Matti Schmid,2,26
14,0,30692,Scott Stallings,2,49
14,0,30927,Brendon Todd,2,30
14,0,40006,Erik van Rooyen,2,33
14,0,55454,Carl Yuan,2,43
34,0,33408,Tyson Alexander,1,31
34,0,56630,Akshay Bhatia,1,34
34,0,52372,Cameron Champ,1,33
34,0,51349,Nico Echavarria,1,20
34,0,47079,Harrison Endycott,1,44
34,0,34099,Harris English,1,32
34,0,29725,Tony Finau,1,41
34,0,29970,Dylan Frittelli,1,25
34,0,29535,Brice Garnett,1,25
34,0,52375,Doug Ghim,1,46
34,0,31577,Tano Goya,1,50
34,0,51414,Brent Grant,1,48
34,0,27554,Scott Harrington,1,33
34,0,34363,Tyrrell Hatton,1,24
34,0,39058,Lucas Herbert,1,17
34,0,31557,Jim Herman,1,46
34,0,49298,Kramer Hickok,1,53
34,0,54421,Garrick Higgo,1,44
34,0,54628,Lee Hodges,1,43
34,0,35532,Tom Hoge,1,33
34,0,29420,Billy Horschel,1,26
34,0,35506,Mackenzie Hughes,1,23
34,0,36799,Stephan Jaeger,1,52
34,0,39975,Michael Kim,1,30
34,0,37455,Si Woo Kim,1,41
34,0,48117,Kurt Kitayama,1,33
34,0,35879,Kelly Kraft,1,28
34,0,58696,Peter Kuest,1,19
34,0,32791,K.H. Lee,1,39
34,0,34409,David Lingmerth,1,26
34,0,27129,Luke List,1,47
34,0,33204,Shane Lowry,1,22
34,0,34466,Peter Malnati,1,36
34,0,28237,Rory McIlroy,1,16
34,0,32640,Troy Merritt,1,52
34,0,55789,Taylor Montgomery,1,34
34,0,36724,Augusto Núñez,1,41
34,0,23320,Ryan Palmer,1,35
34,0,49771,J.T. Poston,1,32
34,0,46970,Jon Rahm,1,29
34,0,36699,Patrick Rodgers,1,34
34,0,22405,Justin Rose,1,27
34,0,39335,Kevin Roy,1,35
34,0,37275,Sam Ryder,1,28
34,0,46340,Alex Smalley,1,52
34,0,50095,Austin Smotherman,1,49
34,0,39324,J.J. Spaun,1,44
34,0,34046,Jordan Spieth,1,28
34,0,55893,Sam Stevens,1,36
34,0,34431,Robert Streb,1,34
34,0,31560,Brian Stuard,1,13
34,0,40115,Adam Svensson,1,45
34,0,58168,Davis Thompson,1,40
34,0,35617,Martin Trainer,1,31
34,0,25632,Jimmy Walker,1,40
34,0,58967,Trevor Werbylo,1,30
34,0,32139,Danny Willett,1,24
34,0,52374,Brandon Wu,1,36
34,0,54783,Dylan Wu,1,42
34,0,52513,Carson Young,1,31
