RANK,MOVEMENT,PLAYER_ID,PLAYER,LOW RND
1,0,47993,Denny McCarthy,60
2,0,45522,Christiaan Bezuidenhout,62
2,0,47079,Harrison Endycott,62
2,0,12716,Charley Hoffman,62
2,0,35532,Tom Hoge,62
2,0,25493,Nick Taylor,62
7,0,20229,Stewart Cink,63
7,0,34099,Harris English,63
7,0,32102,Rickie Fowler,63
7,0,52375,Doug Ghim,63
7,0,56762,Will Gordon,63
7,0,34098,Russell Henley,63
7,0,39058,Lucas Herbert,63
7,0,31557,Jim Herman,63
7,0,35461,Beau Hossler,63
7,0,32757,Patton Kizzire,63
7,0,40162,Justin Lower,63
7,0,32640,Troy Merritt,63
7,0,34213,Grayson Murray,63
7,0,47529,Mito Pereira,63
7,0,26476,Chez Reavie,63
7,0,39335,Kevin Roy,63
7,0,46441,Robby Shelton,63
7,0,46340,Alex Smalley,63
7,0,40115,Adam Svensson,63
7,0,48699,Callum Tarren,63
7,0,51634,Sahith Theegala,63
7,0,30927,Brendon Todd,63
7,0,23788,D.J. Trahan,63
7,0,52513,Carson Young,63
31,0,33948,Byeong Hun An,64
31,0,59442,Parker Coody,64
31,0,29725,Tony Finau,64
31,0,31577,Tano Goya,64
31,0,34563,Chesson Hadley,64
31,0,33399,Adam Hadwin,64
31,0,57975,Harry Hall,64
31,0,33597,Harry Higgs,64
31,0,30925,Dustin Johnson,64
31,0,50188,S.H. Kim,64
31,0,55182,Tom Kim,64
31,0,32816,Satoshi Kodaira,64
31,0,33413,Ben Martin,64
31,0,39546,Keith Mitchell,64
31,0,51997,Andrew Novak,64
31,0,23320,Ryan Palmer,64
31,0,40250,Taylor Pendrith,64
31,0,25818,Scott Piercy,64
31,0,25240,D.A. Points,64
31,0,46970,Jon Rahm,64
31,0,46414,Aaron Rai,64
31,0,47983,Chad Ramey,64
31,0,37275,Sam Ryder,64
31,0,51890,Greyson Sigg,64
31,0,58669,Jacob Solomon,64
31,0,39324,J.J. Spaun,64
31,0,35469,Sebastián Vázquez,64
31,0,49964,Aaron Wise,64
31,0,57366,Cameron Young,64
31,0,55454,Carl Yuan,64
61,0,19803,Ryan Armour,65
61,0,22371,Aaron Baddeley,65
61,0,34374,Erik Barnes,65
61,0,56630,Akshay Bhatia,65
61,0,40058,Zac Blair,65
61,0,28420,Ryan Brehm,65
61,0,32070,Rafael Campos,65
61,0,35450,Patrick Cantlay,65
61,0,51766,Wyndham Clark,65
61,0,47591,Eric Cole,65
61,0,31681,Louis de Jager,65
61,0,25686,Jason Dufner,65
61,0,45609,Tyler Duncan,65
61,0,51349,Nico Echavarria,65
61,0,40098,Matt Fitzpatrick,65
61,0,29970,Dylan Frittelli,65
61,0,19846,Brian Gay,65
61,0,25900,Lucas Glover,65
61,0,54591,Ben Griffin,65
61,0,31646,Emiliano Grillo,65
61,0,47988,Nick Hardy,65
61,0,49298,Kramer Hickok,65
61,0,52453,Nicolai Hojgaard,65
61,0,36801,Mark Hubbard,65
61,0,39971,Sungjae Im,65
61,0,36799,Stephan Jaeger,65
61,0,47393,Jeffrey Kang,65
61,0,30957,Maximilian Kieffer,65
61,0,39975,Michael Kim,65
61,0,23108,Matt Kuchar,65
61,0,28775,Nate Lashley,65
61,0,29926,Danny Lee,65
61,0,32791,K.H. Lee,65
61,0,34409,David Lingmerth,65
61,0,36326,David Lipsky,65
61,0,27129,Luke List,65
61,0,35449,Adam Long,65
61,0,34466,Peter Malnati,65
61,0,32839,Hideki Matsuyama,65
61,0,24140,Sean O'Hair,65
61,0,49771,J.T. Poston,65
61,0,53165,Doc Redman,65
61,0,47995,Davis Riley,65
61,0,46046,Scottie Scheffler,65
61,0,48867,Matti Schmid,65
61,0,31242,Marcel Schneider,65
61,0,34610,Matthias Schwab,65
61,0,26679,Kevin Stadler,65
61,0,34431,Robert Streb,65
61,0,50493,Justin Suh,65
