RANK,MOVEMENT,PLAYER_ID,PLAYER,AVERAGE BOGEYS PER ROUND,TOTAL BOGEYS,ROUNDS PLAYED
1,0,46046,Scottie Scheffler,1.82,160,88
2,0,27644,Brian Harman,1.89,176,93
2,0,58696,Peter Kuest,1.89,87,46
4,0,23108,Matt Kuchar,1.99,181,91
5,0,52955,Ludvig Åberg,2.04,102,50
6,0,28089,Jason Day,2.06,165,80
7,0,26596,Ryan Moore,2.07,172,83
7,0,39324,J.J. Spaun,2.07,211,102
9,0,22371,Aaron Baddeley,2.09,167,80
9,0,39977,Max Homa,2.09,180,86
9,0,30927,Brendon Todd,2.09,217,104
12,0,34256,Andrew Putnam,2.11,234,111
13,0,52375,Doug Ghim,2.12,197,93
14,0,25900,Lucas Glover,2.13,213,100
14,0,36799,Stephan Jaeger,2.13,260,122
16,0,35450,Patrick Cantlay,2.14,154,72
17,0,34563,Chesson Hadley,2.16,203,94
17,0,32839,Hideki Matsuyama,2.16,188,87
19,0,47591,Eric Cole,2.17,273,126
19,0,34098,Russell Henley,2.17,182,84
21,0,40098,Matt Fitzpatrick,2.19,160,73
22,0,51766,Wyndham Clark,2.20,224,102
23,0,55182,Tom Kim,2.21,199,90
24,0,29908,C.T. Pan,2.22,120,54
24,0,46340,Alex Smalley,2.22,249,112
26,0,48081,Xander Schauffele,2.23,181,81
27,0,33399,Adam Hadwin,2.24,197,88
27,0,34363,Tyrrell Hatton,2.24,175,78
27,0,32816,Satoshi Kodaira,2.24,141,63
27,0,47993,Denny McCarthy,2.24,224,100
31,0,35461,Beau Hossler,2.25,247,110
32,0,33948,Byeong Hun An,2.27,238,105
32,0,40250,Taylor Pendrith,2.27,225,99
34,0,30926,Chris Kirk,2.28,210,92
34,0,28775,Nate Lashley,2.28,244,107
34,0,22056,Cameron Percy,2.28,153,67
37,0,30911,Tommy Fleetwood,2.30,170,74
37,0,29535,Brice Garnett,2.30,198,86
37,0,51890,Greyson Sigg,2.30,242,105
37,0,40115,Adam Svensson,2.30,281,122
41,0,45522,Christiaan Bezuidenhout,2.31,206,89
41,0,46435,Austin Cook,2.31,196,85
41,0,46717,Viktor Hovland,2.31,203,88
41,0,30163,Henrik Norlander,2.31,210,91
45,0,24925,Jonathan Byrd,2.32,139,60
45,0,49298,Kramer Hickok,2.32,225,97
45,0,35532,Tom Hoge,2.32,241,104
45,0,31202,William McGirt,2.32,123,53
45,0,37275,Sam Ryder,2.32,258,111
50,0,47504,Sam Burns,2.33,189,81
50,0,37455,Si Woo Kim,2.33,233,100
50,0,33122,Russell Knox,2.33,266,114
53,0,33653,Thomas Detry,2.34,232,99
53,0,32102,Rickie Fowler,2.34,225,96
53,0,58168,Davis Thompson,2.34,225,96
56,0,56630,Akshay Bhatia,2.35,197,84
56,0,24140,Sean O'Hair,2.35,122,52
56,0,46970,Jon Rahm,2.35,167,71
59,0,39971,Sungjae Im,2.36,245,104
