RANK,MOVEMENT,PLAYER_ID,PLAYER,%
1,0,39977,Max Homa,33.16%
2,0,46046,Scottie Scheffler,30.32%
3,0,51070,Vincent Norrman,29.49%
4,0,45242,Kevin Yu,29.12%
5,0,58696,Peter Kuest,28.87%
6,0,51766,Wyndham Clark,27.92%
7,0,55789,Taylor Montgomery,27.11%
8,0,22371,Aaron Baddeley,27.01%
8,0,46435,Austin Cook,27.01%
10,0,59018,Ryan Gerard,26.32%
11,0,39067,MJ Daffue,26.03%
12,0,27129,Luke List,25.76%
13,0,40058,Zac Blair,25.35%
14,0,32102,Rickie Fowler,25.22%
15,0,33653,Thomas Detry,25.20%
16,0,29221,Webb Simpson,25.15%
17,0,31577,Tano Goya,25.11%
17,0,57366,Cameron Young,25.11%
19,0,35450,Patrick Cantlay,25.00%
19,0,50188,S.H. Kim,25.00%
19,0,33413,Ben Martin,25.00%
22,0,57362,Austin Eckroat,24.90%
23,0,39954,Cody Gribble,24.86%
24,0,54783,Dylan Wu,24.81%
25,0,35617,Martin Trainer,24.74%
26,0,51634,Sahith Theegala,24.64%
27,0,39971,Sungjae Im,24.61%
28,0,34255,Joseph Bramlett,24.51%
29,0,51414,Brent Grant,24.46%
30,0,50493,Justin Suh,24.38%
31,0,27936,Martin Laird,24.32%
32,0,37455,Si Woo Kim,24.28%
33,0,30927,Brendon Todd,24.24%
34,0,24502,Adam Scott,24.18%
35,0,30911,Tommy Fleetwood,24.12%
36,0,34563,Chesson Hadley,24.11%
37,0,25493,Nick Taylor,24.10%
38,0,36326,David Lipsky,23.94%
39,0,19803,Ryan Armour,23.75%
39,0,46414,Aaron Rai,23.75%
41,0,26596,Ryan Moore,23.73%
42,0,47591,Eric Cole,23.71%
43,0,55454,Carl Yuan,23.67%
44,0,29289,S.Y. Noh,23.63%
45,0,35449,Adam Long,23.55%
46,0,45609,Tyler Duncan,23.53%
47,0,56630,Akshay Bhatia,23.44%
48,0,47988,Nick Hardy,23.26%
49,0,36699,Patrick Rodgers,23.23%
50,0,35532,Tom Hoge,23.22%
50,0,28252,Seamus Power,23.22%
52,0,46340,Alex Smalley,23.17%
53,0,27349,Alex Noren,23.15%
54,0,52453,Nicolai Hojgaard,23.14%
55,0,34046,Jordan Spieth,23.08%
56,0,54628,Lee Hodges,23.05%
57,0,40115,Adam Svensson,22.97%
58,0,33948,Byeong Hun An,22.96%
58,0,36799,Stephan Jaeger,22.96%
60,0,52955,Ludvig Åberg,22.86%
60,0,39058,Lucas Herbert,22.86%
62,0,52375,Doug Ghim,22.82%
63,0,34431,Robert Streb,22.79%
64,0,34610,Matthias Schwab,22.76%
65,0,35506,Mackenzie Hughes,22.75%
66,0,22405,Justin Rose,22.73%
67,0,37275,Sam Ryder,22.66%
68,0,47995,Davis Riley,22.64%
69,0,40250,Taylor Pendrith,22.63%
70,0,52372,Cameron Champ,22.47%
71,0,56762,Will Gordon,22.44%
71,0,39335,Kevin Roy,22.44%
73,0,40098,Matt Fitzpatrick,22.42%
74,0,32366,Kevin Chappell,22.38%
75,0,45157,Cam Davis,22.37%
76,0,25900,Lucas Glover,22.36%
77,0,29725,Tony Finau,22.28%
78,0,32448,James Hahn,22.27%
78,0,33448,Justin Thomas,22.27%
80,0,33408,Tyson Alexander,22.26%
80,0,54591,Ben Griffin,22.26%
82,0,28775,Nate Lashley,22.18%
83,0,48117,Kurt Kitayama,22.07%
84,0,51890,Greyson Sigg,22.04%
85,0,35879,Kelly Kraft,21.94%
86,0,32839,Hideki Matsuyama,21.89%
87,0,47993,Denny McCarthy,21.83%
88,0,48081,Xander Schauffele,21.81%
89,0,39997,Corey Conners,21.80%
90,0,36801,Mark Hubbard,21.79%
91,0,51997,Andrew Novak,21.65%
92,0,46717,Viktor Hovland,21.63%
93,0,35461,Beau Hossler,21.62%
94,0,29420,Billy Horschel,21.61%
95,0,49453,Trevor Cone,21.58%
96,0,49298,Kramer Hickok,21.55%
97,0,48084,Wesley Bryan,21.54%
97,0,39975,Michael Kim,21.54%
97,0,50525,Collin Morikawa,21.54%
100,0,47504,Sam Burns,21.53%
101,0,32816,Satoshi Kodaira,21.52%
102,0,48887,Matt Wallace,21.49%
103,0,29970,Dylan Frittelli,21.48%
104,0,51491,Brandon Matthews,21.43%
105,0,57975,Harry Hall,21.35%
106,0,46970,Jon Rahm,21.34%
107,0,29908,C.T. Pan,21.32%
108,0,32662,Michael Gligic,21.21%
108,0,53165,Doc Redman,21.21%
110,0,27214,Kevin Streelman,21.15%
111,0,23320,Ryan Palmer,21.13%
112,0,54421,Garrick Higgo,21.07%
113,0,27554,Scott Harrington,21.05%
114,0,24140,Sean O'Hair,20.93%
114,0,25632,Jimmy Walker,20.93%
116,0,39324,J.J. Spaun,20.91%
117,0,58967,Trevor Werbylo,20.88%
118,0,32791,K.H. Lee,20.83%
119,0,32757,Patton Kizzire,20.68%
120,0,37338,Zecheng Dou,20.65%
120,0,34256,Andrew Putnam,20.65%
120,0,49960,Sepp Straka,20.65%
123,0,34466,Peter Malnati,20.59%
123,0,58168,Davis Thompson,20.59%
125,0,52411,Kyle Westmoreland,20.56%
125,0,32139,Danny Willett,20.56%
127,0,35310,Lanto Griffin,20.55%
128,0,48699,Callum Tarren,20.52%
129,0,31557,Jim Herman,20.42%
130,0,52374,Brandon Wu,20.39%
131,0,51349,Nico Echavarria,20.38%
132,0,48867,Matti Schmid,20.35%
133,0,31646,Emiliano Grillo,20.33%
134,0,39546,Keith Mitchell,20.24%
135,0,34363,Tyrrell Hatton,20.22%
136,0,55893,Sam Stevens,20.21%
137,0,32640,Troy Merritt,20.08%
138,0,49766,Hank Lebioda,20.00%
138,0,36724,Augusto Núñez,20.00%
138,0,32333,Kevin Tway,20.00%
141,0,47983,Chad Ramey,19.93%
142,0,49771,J.T. Poston,19.92%
143,0,45522,Christiaan Bezuidenhout,19.91%
144,0,12716,Charley Hoffman,19.90%
145,0,30692,Scott Stallings,19.83%
146,0,28089,Jason Day,19.78%
146,0,49947,Taylor Moore,19.78%
146,0,46441,Robby Shelton,19.78%
149,0,25818,Scott Piercy,19.77%
150,0,40006,Erik van Rooyen,19.74%
151,0,28237,Rory McIlroy,19.73%
152,0,40162,Justin Lower,19.72%
153,0,55182,Tom Kim,19.71%
154,0,46601,Trey Mullinax,19.56%
155,0,35901,Paul Haley II,19.19%
156,0,31323,Gary Woodland,19.18%
157,0,30926,Chris Kirk,19.16%
157,0,33204,Shane Lowry,19.16%
159,0,25686,Jason Dufner,19.14%
160,0,33399,Adam Hadwin,19.12%
161,0,31202,William McGirt,18.90%
162,0,50095,Austin Smotherman,18.86%
163,0,34099,Harris English,18.85%
164,0,24024,Zach Johnson,18.78%
165,0,34076,Joel Dahmen,18.60%
166,0,31560,Brian Stuard,18.59%
167,0,55708,Hayden Buckley,18.45%
167,0,33597,Harry Higgs,18.45%
169,0,33122,Russell Knox,18.32%
170,0,34098,Russell Henley,18.23%
171,0,27963,Chris Stroud,18.18%
172,0,34409,David Lingmerth,18.11%
173,0,47128,Richy Werenski,17.99%
174,0,24925,Jonathan Byrd,17.88%
174,0,46442,Maverick McNealy,17.88%
176,0,47079,Harrison Endycott,17.84%
177,0,36871,Matt NeSmith,17.80%
178,0,48119,Ben Taylor,17.74%
179,0,28420,Ryan Brehm,17.71%
180,0,52513,Carson Young,17.32%
181,0,29535,Brice Garnett,17.24%
182,0,20229,Stewart Cink,17.05%
183,0,27644,Brian Harman,16.84%
184,0,33141,Keegan Bradley,16.82%
185,0,47347,Adam Schenk,16.55%
186,0,27095,Nick Watney,16.53%
187,0,33410,Andrew Landry,16.45%
187,0,22056,Cameron Percy,16.45%
189,0,30163,Henrik Norlander,16.19%
190,0,51950,Max McGreevy,15.86%
191,0,23108,Matt Kuchar,15.71%
192,0,27974,Sung Kang,14.81%
193,0,26476,Chez Reavie,14.06%
