RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL
1,0,47591,Eric Cole,554
2,0,36799,Stephan Jaeger,495
3,0,54591,Ben Griffin,481
3,0,40115,Adam Svensson,481
5,0,50493,Justin Suh,475
6,0,37275,Sam Ryder,466
7,0,47988,Nick Hardy,464
8,0,52374,Brandon Wu,458
9,0,56762,Will Gordon,450
10,0,36801,Mark Hubbard,446
10,0,55789,Taylor Montgomery,446
10,0,51634,Sahith Theegala,446
13,0,31646,Emiliano Grillo,442
14,0,47347,Adam Schenk,438
15,0,28775,Nate Lashley,434
15,0,40162,Justin Lower,434
17,0,39971,Sungjae Im,429
18,0,35461,Beau Hossler,428
19,0,35532,Tom Hoge,427
19,0,54783,Dylan Wu,427
21,0,50188,S.H. Kim,426
22,0,30927,Brendon Todd,421
23,0,51766,Wyndham Clark,419
24,0,33948,Byeong Hun An,418
24,0,46340,Alex Smalley,418
26,0,35449,Adam Long,417
27,0,39067,MJ Daffue,415
27,0,57975,Harry Hall,415
29,0,34256,Andrew Putnam,414
30,0,33413,Ben Martin,413
31,0,32791,K.H. Lee,408
32,0,54421,Garrick Higgo,406
33,0,25900,Lucas Glover,404
33,0,46414,Aaron Rai,404
35,0,33122,Russell Knox,403
36,0,32102,Rickie Fowler,399
36,0,32757,Patton Kizzire,399
38,0,33653,Thomas Detry,398
38,0,47995,Davis Riley,398
40,0,49771,J.T. Poston,397
41,0,25818,Scott Piercy,395
42,0,51890,Greyson Sigg,394
42,0,50095,Austin Smotherman,394
44,0,27129,Luke List,393
44,0,47983,Chad Ramey,393
46,0,39324,J.J. Spaun,392
47,0,55893,Sam Stevens,390
48,0,46717,Viktor Hovland,388
48,0,46046,Scottie Scheffler,388
50,0,47993,Denny McCarthy,387
50,0,46441,Robby Shelton,387
52,0,34563,Chesson Hadley,384
52,0,36326,David Lipsky,384
54,0,37455,Si Woo Kim,381
55,0,37338,Zecheng Dou,380
55,0,55182,Tom Kim,380
55,0,48119,Ben Taylor,380
58,0,31577,Tano Goya,379
59,0,36699,Patrick Rodgers,378
60,0,52513,Carson Young,376
61,0,48699,Callum Tarren,375
62,0,58168,Davis Thompson,374
63,0,39977,Max Homa,373
63,0,57366,Cameron Young,373
65,0,25493,Nick Taylor,372
66,0,40250,Taylor Pendrith,371
66,0,47128,Richy Werenski,371
68,0,49947,Taylor Moore,369
69,0,57362,Austin Eckroat,368
70,0,39546,Keith Mitchell,364
71,0,54628,Lee Hodges,362
72,0,45157,Cam Davis,361
72,0,27644,Brian Harman,361
74,0,45609,Tyler Duncan,359
75,0,56630,Akshay Bhatia,357
75,0,34466,Peter Malnati,357
75,0,36871,Matt NeSmith,357
75,0,49960,Sepp Straka,357
79,0,52375,Doug Ghim,354
80,0,51997,Andrew Novak,351
81,0,23108,Matt Kuchar,350
82,0,29725,Tony Finau,349
83,0,39975,Michael Kim,348
84,0,32640,Troy Merritt,346
84,0,34610,Matthias Schwab,346
86,0,34099,Harris English,344
86,0,30926,Chris Kirk,344
88,0,33408,Tyson Alexander,343
88,0,32333,Kevin Tway,343
90,0,33141,Keegan Bradley,342
90,0,33399,Adam Hadwin,342
92,0,50525,Collin Morikawa,341
92,0,48081,Xander Schauffele,341
94,0,39997,Corey Conners,340
94,0,51070,Vincent Norrman,340
96,0,55454,Carl Yuan,338
97,0,35506,Mackenzie Hughes,336
98,0,25686,Jason Dufner,335
98,0,49298,Kramer Hickok,335
98,0,27349,Alex Noren,335
101,0,34098,Russell Henley,334
101,0,32839,Hideki Matsuyama,334
103,0,26476,Chez Reavie,333
104,0,27936,Martin Laird,331
105,0,35879,Kelly Kraft,330
106,0,34076,Joel Dahmen,329
106,0,27214,Kevin Streelman,329
108,0,47079,Harrison Endycott,327
109,0,51414,Brent Grant,325
110,0,35450,Patrick Cantlay,324
111,0,19803,Ryan Armour,322
111,0,28089,Jason Day,322
111,0,33597,Harry Higgs,322
114,0,46970,Jon Rahm,319
115,0,26596,Ryan Moore,318
115,0,40006,Erik van Rooyen,318
117,0,29535,Brice Garnett,317
117,0,34363,Tyrrell Hatton,317
119,0,28252,Seamus Power,316
120,0,35901,Paul Haley II,315
120,0,30163,Henrik Norlander,315
120,0,48867,Matti Schmid,315
123,0,45522,Christiaan Bezuidenhout,313
123,0,47504,Sam Burns,313
125,0,23320,Ryan Palmer,312
126,0,34255,Joseph Bramlett,311
126,0,46435,Austin Cook,311
126,0,27554,Scott Harrington,311
129,0,49453,Trevor Cone,310
130,0,34409,David Lingmerth,309
131,0,51950,Max McGreevy,307
132,0,25632,Jimmy Walker,306
133,0,31323,Gary Woodland,305
134,0,22371,Aaron Baddeley,301
135,0,52372,Cameron Champ,299
135,0,20229,Stewart Cink,299
135,0,45242,Kevin Yu,299
138,0,12716,Charley Hoffman,298
138,0,36724,Augusto Núñez,298
140,0,48887,Matt Wallace,297
141,0,53165,Doc Redman,295
142,0,39335,Kevin Roy,294
143,0,55708,Hayden Buckley,293
144,0,28420,Ryan Brehm,292
144,0,30911,Tommy Fleetwood,292
144,0,24502,Adam Scott,292
147,0,40058,Zac Blair,290
148,0,33448,Justin Thomas,288
149,0,32448,James Hahn,286
150,0,30692,Scott Stallings,285
150,0,52411,Kyle Westmoreland,285
152,0,58967,Trevor Werbylo,278
153,0,34431,Robert Streb,277
154,0,28237,Rory McIlroy,275
155,0,34046,Jordan Spieth,274
156,0,40098,Matt Fitzpatrick,273
156,0,22405,Justin Rose,273
158,0,33410,Andrew Landry,268
159,0,39954,Cody Gribble,267
160,0,51349,Nico Echavarria,266
161,0,29289,S.Y. Noh,264
162,0,29970,Dylan Frittelli,263
163,0,48117,Kurt Kitayama,260
164,0,31557,Jim Herman,253
165,0,46601,Trey Mullinax,252
166,0,32816,Satoshi Kodaira,250
166,0,35617,Martin Trainer,250
168,0,31560,Brian Stuard,249
169,0,27095,Nick Watney,247
170,0,59018,Ryan Gerard,244
171,0,39058,Lucas Herbert,240
172,0,52955,Ludvig Åberg,238
173,0,46442,Maverick McNealy,228
173,0,22056,Cameron Percy,228
175,0,32662,Michael Gligic,227
175,0,29420,Billy Horschel,227
177,0,33204,Shane Lowry,216
178,0,24024,Zach Johnson,215
