RANK,MOVEMENT,PLAYER_ID,PLAYER,VALUE
1,0,35891,Cameron Smith,205
2,0,52453,Nicolai Hojgaard,164
3,0,46464,Jordan Smith,162
4,0,49303,Anders Albertson,153
4,0,29970,Dylan Frittelli,153
6,0,23320,Ryan Palmer,151
7,0,24924,Bill Haas,146
8,0,34174,John Huh,144
8,0,28521,Ryutaro Nagano,144
8,0,34575,Adrian Otaegui,144
11,0,60004,Jacob Bridgeman,137
12,0,51070,Vincent Norrman,133
13,0,27129,Luke List,127
14,0,19846,Brian Gay,123
14,0,47529,Mito Pereira,123
16,0,30852,Ryo Ishikawa,113
17,0,35557,Aaron Cockerill,108
17,0,49960,Sepp Straka,108
17,0,27506,Oliver Wilson,108
20,0,55930,Fred Biondi,104
21,0,39412,Zack Fischer,102
21,0,31202,William McGirt,102
23,0,29479,Scott Brown,99
23,0,45609,Tyler Duncan,99
25,0,28237,Rory McIlroy,98
26,0,27958,Ryan Blaum,97
26,0,35450,Patrick Cantlay,97
28,0,24846,Ricky Barnes,95
29,0,54591,Ben Griffin,94
30,0,52955,Ludvig Åberg,93
30,0,24494,Erik Compton,93
32,0,46717,Viktor Hovland,92
33,0,30911,Tommy Fleetwood,90
33,0,29936,Ryan Fox,90
33,0,26329,Louis Oosthuizen,90
36,0,29670,Pablo Larrazabal,89
37,0,39971,Sungjae Im,88
38,0,52096,Adri Arnaus,87
38,0,33653,Thomas Detry,87
40,0,59442,Parker Coody,86
40,0,35506,Mackenzie Hughes,86
40,0,26596,Ryan Moore,86
40,0,34610,Matthias Schwab,86
40,0,50992,Brett White,86
45,0,20229,Stewart Cink,85
46,0,27330,Josh Teater,83
47,0,32333,Kevin Tway,82
48,0,30927,Brendon Todd,81
49,0,39834,Guido Migliozzi,80
49,0,47679,Victor Perez,80
51,0,27556,Ted Potter Jr.,77
51,0,34360,Patrick Reed,77
53,0,46035,Callum Shinkwin,76
54,0,12716,Charley Hoffman,75
55,0,45523,Thriston Lawrence,73
55,0,01706,Davis Love III,73
55,0,23325,Vaughn Taylor,73
58,0,35490,Wil Bateman,72
58,0,52095,Christoffer Bring,72
58,0,01249,John Daly,72
58,0,55165,Noah Goodwin,72
58,0,31273,Gavin Green,72
58,0,39954,Cody Gribble,72
58,0,24980,Scott Gutschewski,72
58,0,32448,James Hahn,72
58,0,21350,Ryuji Imada,72
58,0,32815,Masahiro Kawamura,72
58,0,45426,Nathan Kimsey,72
58,0,46404,Marcus Kinhult,72
58,0,36884,Ben Kohles,72
58,0,34317,Joakim Lagergren,72
