RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL BIRDIES,TOTAL HOLES
1,0,46046,Scottie Scheffler,30.73%,256,833
2,0,47504,Sam Burns,27.49%,240,873
3,0,50525,Collin Morikawa,27.44%,267,973
4,0,57900,Chandler Phillips,27.32%,268,981
5,0,51766,Wyndham Clark,27.24%,204,749
6,0,39546,Keith Mitchell,26.96%,255,946
7,0,46717,Viktor Hovland,26.86%,177,659
8,0,32757,Patton Kizzire,26.77%,185,691
9,0,60004,Jacob Bridgeman,26.76%,198,740
10,0,48081,Xander Schauffele,26.73%,232,868
11,0,32839,Hideki Matsuyama,26.39%,213,807
12,0,52955,Ludvig Åberg,26.36%,227,861
13,0,35532,Tom Hoge,26.25%,309,1177
14,0,45157,Cam Davis,26.15%,239,914
15,0,57975,Harry Hall,26.02%,230,884
16,0,40250,Taylor Pendrith,25.98%,226,870
17,0,39975,Michael Kim,25.92%,198,764
18,0,51634,Sahith Theegala,25.79%,270,1047
19,0,47591,Eric Cole,25.78%,305,1183
20,0,51977,Max Greyserman,25.75%,206,800
21,0,40006,Erik van Rooyen,25.73%,220,855
22,0,47420,Jake Knapp,25.72%,214,832
23,0,29936,Ryan Fox,25.67%,210,818
24,0,60067,Joe Highsmith,25.65%,188,733
25,0,51696,Rico Hoey,25.64%,222,866
26,0,29725,Tony Finau,25.56%,229,896
27,0,57366,Cameron Young,25.44%,232,912
28,0,36801,Mark Hubbard,25.31%,302,1193
29,0,59866,Nick Dunlap,25.28%,202,799
30,0,47995,Davis Riley,25.27%,214,847
31,0,35450,Patrick Cantlay,25.25%,175,693
32,0,12716,Charley Hoffman,25.20%,191,758
33,0,35506,Mackenzie Hughes,25.19%,260,1032
34,0,51997,Andrew Novak,25.15%,245,974
34,0,49771,J.T. Poston,25.15%,260,1034
36,0,47993,Denny McCarthy,25.14%,263,1046
36,0,50484,Hayden Springer,25.14%,175,696
38,0,33448,Justin Thomas,25.07%,185,738
39,0,33141,Keegan Bradley,25.05%,237,946
40,0,37275,Sam Ryder,25.03%,197,787
40,0,39324,J.J. Spaun,25.03%,235,939
40,0,27064,Jhonattan Vegas,25.03%,190,759
43,0,52514,Trace Crowe,25.00%,166,664
44,0,35461,Beau Hossler,24.92%,246,987
45,0,33948,Byeong Hun An,24.87%,191,768
46,0,59836,Pierceson Coody,24.84%,189,761
46,0,36799,Stephan Jaeger,24.84%,229,922
48,0,33399,Adam Hadwin,24.79%,232,936
49,0,28237,Rory McIlroy,24.78%,193,779
50,0,51349,Nico Echavarria,24.73%,227,918
51,0,50493,Justin Suh,24.70%,203,822
52,0,52513,Carson Young,24.69%,256,1037
53,0,39997,Corey Conners,24.66%,255,1034
54,0,32791,K.H. Lee,24.62%,224,910
55,0,46442,Maverick McNealy,24.61%,254,1032
56,0,48887,Matt Wallace,24.58%,176,716
57,0,33204,Shane Lowry,24.54%,201,819
58,0,29535,Brice Garnett,24.51%,151,616
59,0,39971,Sungjae Im,24.50%,256,1045
60,0,55893,Sam Stevens,24.48%,248,1013
61,0,56630,Akshay Bhatia,24.44%,260,1064
62,0,55182,Tom Kim,24.43%,234,958
63,0,48117,Kurt Kitayama,24.41%,216,885
64,0,48867,Matti Schmid,24.40%,194,795
65,0,33653,Thomas Detry,24.37%,203,833
65,0,35310,Lanto Griffin,24.37%,183,751
67,0,59143,Mac Meissner,24.33%,210,863
68,0,33486,Roger Sloan,24.32%,171,703
69,0,24502,Adam Scott,24.28%,185,762
70,0,37378,Min Woo Lee,24.27%,175,721
71,0,50188,S.H. Kim,24.25%,266,1097
72,0,47988,Nick Hardy,24.17%,233,964
73,0,40098,Matt Fitzpatrick,24.16%,195,807
73,0,27644,Brian Harman,24.16%,265,1097
73,0,37455,Si Woo Kim,24.16%,253,1047
76,0,45242,Kevin Yu,24.15%,199,824
77,0,30163,Henrik Norlander,24.13%,159,659
77,0,28252,Seamus Power,24.13%,291,1206
77,0,27139,David Skinns,24.13%,200,829
80,0,27129,Luke List,24.10%,194,805
81,0,34046,Jordan Spieth,24.08%,197,818
82,0,25900,Lucas Glover,24.03%,259,1078
83,0,52666,Sami Valimaki,24.01%,176,733
84,0,40162,Justin Lower,24.00%,258,1075
85,0,24024,Zach Johnson,23.99%,143,596
86,0,54576,Patrick Fishburn,23.97%,169,705
87,0,31323,Gary Woodland,23.91%,208,870
88,0,36326,David Lipsky,23.87%,179,750
89,0,28089,Jason Day,23.83%,179,751
90,0,34098,Russell Henley,23.80%,213,895
91,0,58168,Davis Thompson,23.74%,249,1049
92,0,39977,Max Homa,23.71%,203,856
93,0,30926,Chris Kirk,23.65%,214,905
94,0,32333,Kevin Tway,23.64%,135,571
95,0,45522,Christiaan Bezuidenhout,23.63%,225,952
96,0,47347,Adam Schenk,23.62%,243,1029
97,0,51894,Vince Whaley,23.61%,149,631
98,0,29908,C.T. Pan,23.51%,182,774
99,0,47679,Victor Perez,23.49%,187,796
100,0,33408,Tyson Alexander,23.47%,169,720
101,0,54591,Ben Griffin,23.44%,266,1135
102,0,49960,Sepp Straka,23.40%,216,923
103,0,34587,Chan Kim,23.35%,226,968
104,0,32102,Rickie Fowler,23.33%,203,870
104,0,22405,Justin Rose,23.33%,161,690
106,0,40026,Daniel Berger,23.32%,191,819
106,0,36699,Patrick Rodgers,23.32%,263,1128
108,0,48084,Wesley Bryan,23.29%,99,425
109,0,34255,Joseph Bramlett,23.18%,201,867
110,0,52372,Cameron Champ,23.16%,145,626
111,0,34076,Joel Dahmen,23.11%,232,1004
112,0,34099,Harris English,23.10%,234,1013
