RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# BIRDIES,GREENS HIT
1,0,47504,Sam Burns,37.35%,316,846
2,0,51766,Wyndham Clark,36.85%,290,787
3,0,46046,Scottie Scheffler,36.81%,342,929
4,0,57975,Harry Hall,36.48%,348,954
5,0,50188,S.H. Kim,36.15%,423,1170
6,0,40250,Taylor Pendrith,35.78%,327,914
7,0,52514,Trace Crowe,35.51%,288,811
8,0,59866,Nick Dunlap,35.41%,273,771
9,0,50525,Collin Morikawa,35.31%,327,926
10,0,60004,Jacob Bridgeman,35.15%,336,956
11,0,51977,Max Greyserman,35.09%,333,949
12,0,48084,Wesley Bryan,35.04%,219,625
12,0,37275,Sam Ryder,35.04%,321,916
14,0,57900,Chandler Phillips,34.87%,340,975
15,0,33653,Thomas Detry,34.69%,264,761
16,0,12716,Charley Hoffman,34.60%,292,844
17,0,46717,Viktor Hovland,34.58%,240,694
18,0,39971,Sungjae Im,34.45%,351,1019
19,0,33948,Byeong Hun An,34.39%,314,913
20,0,39546,Keith Mitchell,34.28%,351,1024
21,0,35532,Tom Hoge,34.26%,421,1229
22,0,47591,Eric Cole,34.25%,412,1203
22,0,38991,Alejandro Tosti,34.25%,275,803
24,0,52955,Ludvig Åberg,34.06%,313,919
25,0,28089,Jason Day,34.01%,267,785
26,0,46442,Maverick McNealy,33.96%,381,1122
27,0,35450,Patrick Cantlay,33.74%,248,735
27,0,28237,Rory McIlroy,33.74%,274,812
29,0,51894,Vince Whaley,33.68%,291,864
30,0,45157,Cam Davis,33.56%,295,879
30,0,55789,Taylor Montgomery,33.56%,197,587
32,0,36799,Stephan Jaeger,33.44%,313,936
33,0,55182,Tom Kim,33.40%,314,940
34,0,48867,Matti Schmid,33.37%,325,974
34,0,57366,Cameron Young,33.37%,321,962
36,0,60067,Joe Highsmith,33.33%,294,882
36,0,35506,Mackenzie Hughes,33.33%,361,1083
36,0,34046,Jordan Spieth,33.33%,276,828
39,0,50484,Hayden Springer,33.22%,297,894
40,0,47995,Davis Riley,33.18%,280,844
41,0,48081,Xander Schauffele,33.13%,329,993
42,0,40098,Matt Fitzpatrick,33.09%,272,822
43,0,35461,Beau Hossler,33.05%,350,1059
44,0,49771,J.T. Poston,33.04%,334,1011
44,0,51634,Sahith Theegala,33.04%,374,1132
46,0,39975,Michael Kim,33.00%,335,1015
47,0,47420,Jake Knapp,32.99%,291,882
47,0,54783,Dylan Wu,32.99%,323,979
49,0,47993,Denny McCarthy,32.96%,321,974
50,0,51349,Nico Echavarria,32.91%,364,1106
51,0,33408,Tyson Alexander,32.90%,280,851
52,0,27064,Jhonattan Vegas,32.87%,308,937
53,0,24502,Adam Scott,32.86%,278,846
53,0,40006,Erik van Rooyen,32.86%,325,989
55,0,29936,Ryan Fox,32.79%,303,924
55,0,32757,Patton Kizzire,32.79%,262,799
57,0,33968,Thorbjørn Olesen,32.67%,180,551
58,0,36801,Mark Hubbard,32.62%,395,1211
58,0,40162,Justin Lower,32.62%,396,1214
60,0,37455,Si Woo Kim,32.53%,336,1033
61,0,51696,Rico Hoey,32.52%,346,1064
62,0,59836,Pierceson Coody,32.50%,312,960
63,0,33448,Justin Thomas,32.45%,256,789
64,0,52513,Carson Young,32.34%,348,1076
65,0,50493,Justin Suh,32.25%,287,890
66,0,29725,Tony Finau,32.24%,315,977
