RANK,MOVEMENT,PLAYER_ID,PLAYER,STREAK,CURRENT STREAK,ROUND,HOLE,YEAR/TOURN#
1,0,29420,Billy Horschel,19,0,2,18,2024230
2,0,32102,Rickie Fowler,16,1,2,1,2024070
3,0,60004,Jacob Bridgeman,15,0,4,16,2024090
3,0,50484,Hayden Springer,15,2,1,10,2024410
5,0,50188,S.H. Kim,14,1,3,1,2024240
5,0,47679,Victor Perez,14,1,2,7,2024230
5,0,34360,Patrick Reed,14,2,2,2,2024160
5,0,55454,Carl Yuan,14,0,2,2,2024120
9,0,34213,Grayson Murray,13,6,1,1,2024020
10,0,45522,Christiaan Bezuidenhout,12,3,3,7,2024220
10,0,28089,Jason Day,12,1,4,13,2024220
10,0,40098,Matt Fitzpatrick,12,12,2,7,2024380
10,0,33399,Adam Hadwin,12,1,3,13,2024220
10,0,39977,Max Homa,12,0,4,14,2024380
10,0,33204,Shane Lowry,12,0,1,3,2024230
16,0,51766,Wyndham Clark,11,0,1,12,2024010
16,0,34363,Tyrrell Hatton,11,0,2,1,2024230
16,0,32757,Patton Kizzire,11,0,3,7,2024410
16,0,28775,Nate Lashley,11,0,1,10,2024460
16,0,50525,Collin Morikawa,11,2,4,18,2024160
16,0,27349,Alex Noren,11,0,3,17,2024220
16,0,36699,Patrick Rodgers,11,3,2,5,2024460
23,0,47959,Bryson DeChambeau,10,1,1,4,2024160
23,0,29725,Tony Finau,10,5,3,16,2024270
23,0,34098,Russell Henley,10,3,1,6,2024110
23,0,47420,Jake Knapp,10,2,1,7,2024060
23,0,47993,Denny McCarthy,10,1,3,6,2024120
23,0,36871,Matt NeSmith,10,6,2,14,2024150
23,0,22405,Justin Rose,10,7,4,15,2024220
23,0,39327,Ben Silverman,10,0,4,3,2024240
23,0,57366,Cameron Young,10,4,1,9,2024230
23,0,45242,Kevin Yu,10,10,3,18,2024460
33,0,32070,Rafael Campos,9,3,2,17,2024170
33,0,25900,Lucas Glover,9,3,3,7,2024240
33,0,31646,Emiliano Grillo,9,1,4,8,2024260
33,0,52453,Nicolai Højgaard,9,0,2,10,2024230
33,0,36799,Stephan Jaeger,9,0,4,9,2024390
33,0,29478,Kevin Kisner,9,0,1,14,2024450
33,0,27936,Martin Laird,9,0,2,13,2024090
33,0,32839,Hideki Matsuyama,9,2,3,2,2024160
33,0,34256,Andrew Putnam,9,0,3,17,2024220
