YEAR,MOVEMENT,PLAYER_ID,PLAYER,%,POINTS WON,POTENTIAL PTS,# OF WINS,# OF TOP 10'S
2024,0,46046,Scottie Scheffler,64.79%,5993,9250,6,14.0
2024,0,48081,Xander Schauffele,38.83%,4057,10450,2,12.0
2024,0,28237,Rory McIlroy,26.11%,2545,9750,2,6.0
2024,0,50525,Collin Morikawa,23.50%,2456,10450,0,7.0
2024,0,52955,Ludvig Åberg,22.62%,2092,9250,0,7.0
2024,0,51766,Wyndham Clark,21.65%,2154,9950,1,6.0
2024,0,32839,Hideki Matsuyama,20.98%,1899,9050,1,5.0
2024,0,35450,Patrick Cantlay,18.83%,1780,9450,0,4.0
2024,0,33204,Shane Lowry,18.58%,1867,10050,1,6.0
2024,0,34098,Russell Henley,17.68%,1671,9450,0,6.0
2024,0,51634,Sahith Theegala,17.05%,2037,11950,0,7.0
2024,0,48153,Matthieu Pavon,16.09%,1569,9750,1,4.0
2024,0,33948,Byeong Hun An,16.03%,1755,10950,0,5.0
2024,0,39971,Sungjae Im,15.23%,1896,12450,0,7.0
2024,0,33448,Justin Thomas,14.53%,1445,9950,0,5.0
2024,0,29725,Tony Finau,14.28%,1635,11450,0,5.0
2024,0,49960,Sepp Straka,13.09%,1498,11450,0,4.0
2024,0,52215,Robert MacIntyre,13.00%,1535,11800,2,5.0
2024,0,30911,Tommy Fleetwood,12.94%,1223,9450,0,3.0
2024,0,28089,Jason Day,12.87%,1345,10450,0,4.0
2024,0,30926,Chris Kirk,12.61%,1318,10450,1,2.0
2024,0,27644,Brian Harman,12.39%,1419,11450,0,3.0
2024,0,56630,Akshay Bhatia,12.34%,1610,13050,1,3.0
2024,0,29420,Billy Horschel,12.21%,1392,11400,1,6.0
2024,0,47504,Sam Burns,12.10%,1265,10450,0,6.0
2024,0,45522,Christiaan Bezuidenhout,12.02%,1406,11700,0,3.0
2024,0,46414,Aaron Rai,11.90%,1381,11600,1,6.0
2024,0,34363,Tyrrell Hatton,11.80%,413,3500,0,1.0
2024,0,40250,Taylor Pendrith,11.57%,1324,11450,1,6.0
2024,0,58168,Davis Thompson,11.50%,1385,12050,1,4.0
2024,0,39977,Max Homa,11.42%,1194,10450,0,3.0
2024,0,57366,Cameron Young,11.20%,1227,10950,0,6.0
2024,0,35532,Tom Hoge,11.11%,1411,12700,0,3.0
2024,0,46717,Viktor Hovland,11.02%,854,7750,0,1.0
2024,0,39997,Corey Conners,10.91%,1249,11450,0,3.0
2024,0,24502,Adam Scott,10.90%,1041,9550,0,3.0
2024,0,33653,Thomas Detry,10.88%,1202,11050,0,4.0
2024,0,34213,Grayson Murray,10.62%,802,7550,1,2.0
2024,0,36799,Stephan Jaeger,10.27%,1207,11750,1,3.0
2024,0,27349,Alex Noren,10.26%,1067,10400,0,3.0
2024,0,49771,J.T. Poston,9.98%,1193,11950,0,4.0
2024,0,51977,Max Greyserman,9.96%,1041,10450,0,4.0
2024,0,33141,Keegan Bradley,9.82%,1075,10950,0,2.0
2024,0,40098,Matt Fitzpatrick,9.81%,1074,10950,0,3.0
2024,0,37455,Si Woo Kim,9.77%,1168,11950,0,1.0
2024,0,33399,Adam Hadwin,9.48%,1181,12450,0,5.0
2024,0,45157,Cam Davis,9.38%,1051,11200,1,1.0
2024,0,47483,Will Zalatoris,9.06%,1019,11250,0,3.0
2024,0,37378,Min Woo Lee,8.95%,783,8750,0,2.0
2024,0,34099,Harris English,8.85%,969,10950,0,2.0
2024,0,27064,Jhonattan Vegas,8.78%,685,7800,1,1.0
2024,0,35506,Mackenzie Hughes,8.77%,1026,11700,0,3.0
2024,0,47993,Denny McCarthy,8.74%,1045,11950,0,3.0
2024,0,22405,Justin Rose,8.60%,881,10250,0,2.0
2024,0,57362,Austin Eckroat,8.52%,1069,12550,1,2.0
2024,0,55182,Tom Kim,8.45%,1051,12450,0,2.0
2024,0,47420,Jake Knapp,8.36%,970,11600,1,4.0
2024,0,36699,Patrick Rodgers,8.28%,952,11500,0,4.0
2024,0,25493,Nick Taylor,8.11%,969,11950,1,3.0
2024,0,40006,Erik van Rooyen,7.97%,813,10200,0,4.0
2024,0,29535,Brice Garnett,7.38%,516,7000,1,1.0
2024,0,46442,Maverick McNealy,7.38%,808,10950,0,4.0
2024,0,57364,Michael Thorbjornsen,7.02%,232,3300,0,1.0
2024,0,34046,Jordan Spieth,6.54%,782,11950,0,3.0
2024,0,36801,Mark Hubbard,6.38%,737,11550,0,2.0
2024,0,47591,Eric Cole,6.34%,948,14950,0,4.0
2024,0,28252,Seamus Power,6.28%,703,11200,0,0.0
2024,0,49947,Taylor Moore,6.20%,803,12950,0,2.0
2024,0,47679,Victor Perez,6.20%,654,10550,0,3.0
2024,0,59866,Nick Dunlap,6.09%,701,11500,2,3.0
2024,0,54591,Ben Griffin,6.00%,867,14450,0,4.0
2024,0,34466,Peter Malnati,5.97%,794,13300,1,2.0
2024,0,30927,Brendon Todd,5.90%,720,12200,0,2.0
2024,0,47995,Davis Riley,5.81%,647,11150,1,1.0
2024,0,31646,Emiliano Grillo,5.73%,684,11950,0,2.0
2024,0,12716,Charley Hoffman,5.61%,550,9800,0,3.0
2024,0,27129,Luke List,5.49%,601,10950,0,1.0
2024,0,34256,Andrew Putnam,5.43%,625,11500,0,2.0
2024,0,52453,Nicolai Højgaard,5.34%,532,9950,0,1.0
2024,0,29908,C.T. Pan,5.32%,455,8550,0,2.0
2024,0,48117,Kurt Kitayama,5.26%,603,11450,0,2.0
2024,0,39546,Keith Mitchell,5.21%,599,11500,0,3.0
2024,0,51997,Andrew Novak,5.16%,518,10050,0,4.0
