YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL 3 PUTTS,TOTAL HOLES
2024,1,0,51349,Nico Echavarria,.35%,1,288
2024,2,0,27214,Kevin Streelman,.46%,1,216
2024,3,0,34098,Russell Henley,.65%,2,306
2024,4,0,49960,Sepp Straka,.74%,2,270
2024,5,0,59143,Mac Meissner,.79%,2,252
2024,6,0,27644,Brian Harman,.83%,3,360
2024,7,0,50484,Hayden Springer,.85%,2,234
2024,8,0,23320,Ryan Palmer,.93%,1,108
2024,9,0,45609,Tyler Duncan,1.01%,2,198
2024,10,0,45522,Christiaan Bezuidenhout,1.04%,3,288
2024,10,0,47504,Sam Burns,1.04%,3,288
2024,12,0,47591,Eric Cole,1.06%,4,378
2024,13,0,28089,Jason Day,1.11%,3,270
2024,13,0,33399,Adam Hadwin,1.11%,3,270
2024,13,0,29908,C.T. Pan,1.11%,2,180
2024,13,0,34256,Andrew Putnam,1.11%,3,270
2024,17,0,31646,Emiliano Grillo,1.17%,4,342
2024,17,0,48081,Xander Schauffele,1.17%,4,342
2024,19,0,22371,Aaron Baddeley,1.19%,3,252
2024,20,0,34046,Jordan Spieth,1.28%,3,234
2024,21,0,33141,Keegan Bradley,1.31%,4,306
2024,21,0,57900,Chandler Phillips,1.31%,4,306
2024,23,0,52514,Trace Crowe,1.39%,3,216
2024,23,0,47663,Kevin Dougherty,1.39%,2,144
2024,23,0,29936,Ryan Fox,1.39%,4,288
2024,23,0,37455,Si Woo Kim,1.39%,5,360
2024,23,0,40250,Taylor Pendrith,1.39%,4,288
2024,23,0,47995,Davis Riley,1.39%,3,216
2024,23,0,50095,Austin Smotherman,1.39%,3,216
2024,23,0,52513,Carson Young,1.39%,4,288
2024,31,0,35450,Patrick Cantlay,1.48%,4,270
2024,32,0,51894,Vince Whaley,1.59%,4,252
2024,33,0,52955,Ludvig Åberg,1.63%,5,306
2024,33,0,29420,Billy Horschel,1.63%,5,306
2024,33,0,46046,Scottie Scheffler,1.63%,5,306
2024,36,0,34021,Bud Cauley,1.67%,3,180
2024,36,0,46442,Maverick McNealy,1.67%,6,360
2024,38,0,52215,Robert MacIntyre,1.71%,4,234
2024,39,0,51977,Max Greyserman,1.74%,5,288
2024,39,0,51287,Ryo Hisatsune,1.74%,5,288
2024,41,0,52375,Doug Ghim,1.75%,6,342
2024,42,0,56630,Akshay Bhatia,1.85%,6,324
2024,42,0,50497,Adrien Dumont de Chassart,1.85%,4,216
2024,42,0,54576,Patrick Fishburn,1.85%,4,216
2024,42,0,40098,Matt Fitzpatrick,1.85%,5,270
2024,42,0,46717,Viktor Hovland,1.85%,4,216
2024,42,0,35506,Mackenzie Hughes,1.85%,7,378
2024,42,0,23108,Matt Kuchar,1.85%,4,216
2024,42,0,27349,Alex Noren,1.85%,5,270
2024,42,0,51997,Andrew Novak,1.85%,6,324
2024,42,0,47806,Raul Pereda,1.85%,1,54
2024,42,0,47679,Victor Perez,1.85%,5,270
2024,42,0,29221,Webb Simpson,1.85%,3,162
2024,42,0,27139,David Skinns,1.85%,5,270
2024,42,0,48119,Ben Taylor,1.85%,2,108
2024,42,0,52666,Sami Valimaki,1.85%,3,162
2024,57,0,54591,Ben Griffin,1.93%,8,414
2024,58,0,46414,Aaron Rai,1.94%,7,360
2024,59,0,39977,Max Homa,1.96%,6,306
2024,60,0,54421,Garrick Higgo,1.98%,5,252
2024,60,0,48867,Matti Schmid,1.98%,5,252
2024,60,0,39324,J.J. Spaun,1.98%,5,252
2024,63,0,33408,Tyson Alexander,2.02%,4,198
2024,63,0,34466,Peter Malnati,2.02%,4,198
2024,65,0,25900,Lucas Glover,2.05%,7,342
2024,65,0,47993,Denny McCarthy,2.05%,7,342
2024,67,0,30911,Tommy Fleetwood,2.08%,6,288
2024,67,0,32102,Rickie Fowler,2.08%,6,288
2024,67,0,29535,Brice Garnett,2.08%,3,144
2024,67,0,55454,Carl Yuan,2.08%,3,144
2024,71,0,49947,Taylor Moore,2.12%,8,378
2024,72,0,51766,Wyndham Clark,2.14%,5,234
2024,73,0,34563,Chesson Hadley,2.22%,4,180
2024,73,0,36799,Stephan Jaeger,2.22%,6,270
2024,73,0,36326,David Lipsky,2.22%,4,180
2024,73,0,28252,Seamus Power,2.22%,8,360
2024,73,0,58168,Davis Thompson,2.22%,8,360
2024,73,0,31323,Gary Woodland,2.22%,6,270
2024,79,0,35532,Tom Hoge,2.27%,9,396
