YEAR,MOVEMENT,PLAYER_ID,PLAYER,AVG RTP
2024,0,46717,Viktor Hovland,-.192
2024,0,55893,Sam Stevens,-.167
2024,0,33968,Thorbjørn Olesen,-.077
2024,0,32839,Hideki Matsuyama,-.063
2024,0,51696,Rico Hoey,-.048
2024,0,33141,Keegan Bradley,-.045
2024,0,51977,Max Greyserman,-.045
2024,0,46046,Scottie Scheffler,-.037
2024,0,33948,Byeong Hun An,E
2024,0,27644,Brian Harman,E
2024,0,36699,Patrick Rodgers,E
2024,0,50484,Hayden Springer,E
2024,0,29725,Tony Finau,+.025
2024,0,40006,Erik van Rooyen,+.029
2024,0,45242,Kevin Yu,+.029
2024,0,23108,Matt Kuchar,+.031
2024,0,27936,Martin Laird,+.050
2024,0,45522,Christiaan Bezuidenhout,+.051
2024,0,48887,Matt Wallace,+.051
2024,0,55789,Taylor Montgomery,+.067
2024,0,46441,Robby Shelton,+.071
2024,0,34046,Jordan Spieth,+.071
2024,0,52372,Cameron Champ,+.074
2024,0,48084,Wesley Bryan,+.077
2024,0,47679,Victor Perez,+.079
2024,0,50493,Justin Suh,+.080
2024,0,55454,Carl Yuan,+.087
2024,0,51766,Wyndham Clark,+.088
2024,0,39324,J.J. Spaun,+.093
2024,0,34255,Joseph Bramlett,+.097
2024,0,30911,Tommy Fleetwood,+.097
2024,0,59095,Chris Gotterup,+.098
2024,0,46442,Maverick McNealy,+.098
2024,0,34098,Russell Henley,+.100
2024,0,32791,K.H. Lee,+.103
2024,0,47504,Sam Burns,+.105
2024,0,28775,Nate Lashley,+.115
2024,0,33486,Roger Sloan,+.115
2024,0,36799,Stephan Jaeger,+.118
2024,0,52666,Sami Valimaki,+.121
2024,0,27139,David Skinns,+.122
2024,0,48119,Ben Taylor,+.122
2024,0,52215,Robert MacIntyre,+.125
2024,0,36871,Matt NeSmith,+.125
2024,0,51070,Vincent Norrman,+.125
2024,0,46414,Aaron Rai,+.125
2024,0,38991,Alejandro Tosti,+.132
2024,0,39975,Michael Kim,+.133
2024,0,57975,Harry Hall,+.135
2024,0,33204,Shane Lowry,+.136
2024,0,36326,David Lipsky,+.138
2024,0,37275,Sam Ryder,+.147
2024,0,39327,Ben Silverman,+.147
2024,0,45609,Tyler Duncan,+.150
2024,0,32366,Kevin Chappell,+.154
2024,0,54576,Patrick Fishburn,+.156
2024,0,39971,Sungjae Im,+.158
2024,0,36801,Mark Hubbard,+.159
2024,0,34587,Chan Kim,+.160
2024,0,35450,Patrick Cantlay,+.161
2024,0,48081,Xander Schauffele,+.161
2024,0,49771,J.T. Poston,+.162
2024,0,24024,Zach Johnson,+.167
2024,0,37378,Min Woo Lee,+.167
2024,0,47993,Denny McCarthy,+.167
2024,0,47995,Davis Riley,+.167
2024,0,54783,Dylan Wu,+.167
2024,0,60004,Jacob Bridgeman,+.171
2024,0,39997,Corey Conners,+.171
2024,0,28089,Jason Day,+.172
2024,0,55708,Hayden Buckley,+.174
2024,0,54591,Ben Griffin,+.177
2024,0,51634,Sahith Theegala,+.178
2024,0,40026,Daniel Berger,+.179
2024,0,30926,Chris Kirk,+.182
2024,0,47483,Will Zalatoris,+.182
2024,0,39977,Max Homa,+.184
2024,0,52513,Carson Young,+.185
2024,0,40250,Taylor Pendrith,+.188
2024,0,37212,Paul Barjon,+.190
2024,0,34021,Bud Cauley,+.194
2024,0,50188,S.H. Kim,+.194
2024,0,27349,Alex Noren,+.195
2024,0,34099,Harris English,+.200
2024,0,25900,Lucas Glover,+.200
2024,0,52453,Nicolai Højgaard,+.200
2024,0,32640,Troy Merritt,+.200
2024,0,49947,Taylor Moore,+.204
2024,0,29936,Ryan Fox,+.205
2024,0,58168,Davis Thompson,+.206
2024,0,56630,Akshay Bhatia,+.207
2024,0,51349,Nico Echavarria,+.207
2024,0,30927,Brendon Todd,+.207
2024,0,23320,Ryan Palmer,+.208
2024,0,33408,Tyson Alexander,+.209
2024,0,57900,Chandler Phillips,+.211
2024,0,48117,Kurt Kitayama,+.212
2024,0,46340,Alex Smalley,+.214
2024,0,32070,Rafael Campos,+.222
2024,0,32757,Patton Kizzire,+.222
2024,0,30163,Henrik Norlander,+.227
2024,0,48153,Matthieu Pavon,+.227
2024,0,47347,Adam Schenk,+.229
2024,0,50095,Austin Smotherman,+.231
2024,0,57366,Cameron Young,+.242
2024,0,22371,Aaron Baddeley,+.250
2024,0,12716,Charley Hoffman,+.250
2024,0,35532,Tom Hoge,+.250
2024,0,35506,Mackenzie Hughes,+.250
2024,0,34466,Peter Malnati,+.250
2024,0,40115,Adam Svensson,+.250
2024,0,52374,Brandon Wu,+.250
2024,0,28252,Seamus Power,+.255
2024,0,47988,Nick Hardy,+.257
2024,0,59836,Pierceson Coody,+.259
2024,0,35461,Beau Hossler,+.260
2024,0,52514,Trace Crowe,+.261
2024,0,33399,Adam Hadwin,+.262
2024,0,40162,Justin Lower,+.264
2024,0,37455,Si Woo Kim,+.265
2024,0,40058,Zac Blair,+.267
2024,0,35310,Lanto Griffin,+.270
2024,0,24502,Adam Scott,+.270
2024,0,47663,Kevin Dougherty,+.273
2024,0,34256,Andrew Putnam,+.273
2024,0,49960,Sepp Straka,+.276
2024,0,27330,Josh Teater,+.278
2024,0,32333,Kevin Tway,+.278
2024,0,47591,Eric Cole,+.281
2024,0,32102,Rickie Fowler,+.281
2024,0,29908,C.T. Pan,+.281
2024,0,34563,Chesson Hadley,+.286
2024,0,25493,Nick Taylor,+.286
2024,0,40098,Matt Fitzpatrick,+.289
2024,0,31646,Emiliano Grillo,+.289
2024,0,39546,Keith Mitchell,+.290
2024,0,47806,Raul Pereda,+.292
2024,0,47983,Chad Ramey,+.292
2024,0,27129,Luke List,+.293
2024,0,29478,Kevin Kisner,+.296
2024,0,51890,Greyson Sigg,+.296
2024,0,52375,Doug Ghim,+.297
2024,0,47420,Jake Knapp,+.302
2024,0,52955,Ludvig Åberg,+.303
2024,0,59143,Mac Meissner,+.304
2024,0,51287,Ryo Hisatsune,+.310
2024,0,54421,Garrick Higgo,+.313
2024,0,36884,Ben Kohles,+.313
2024,0,28237,Rory McIlroy,+.314
2024,0,26596,Ryan Moore,+.320
2024,0,27064,Jhonattan Vegas,+.321
2024,0,56149,Wilson Furr,+.323
2024,0,29420,Billy Horschel,+.323
2024,0,33448,Justin Thomas,+.324
2024,0,45157,Cam Davis,+.325
2024,0,55182,Tom Kim,+.326
2024,0,48699,Callum Tarren,+.346
2024,0,29535,Brice Garnett,+.353
2024,0,29221,Webb Simpson,+.355
2024,0,22405,Justin Rose,+.360
2024,0,51997,Andrew Novak,+.361
2024,0,60067,Joe Highsmith,+.364
2024,0,50525,Collin Morikawa,+.364
2024,0,26476,Chez Reavie,+.364
2024,0,31323,Gary Woodland,+.366
2024,0,48867,Matti Schmid,+.371
2024,0,33653,Thomas Detry,+.372
2024,0,34076,Joel Dahmen,+.382
2024,0,59442,Parker Coody,+.385
2024,0,50497,Adrien Dumont de Chassart,+.394
2024,0,54628,Lee Hodges,+.396
2024,0,32367,Jorge Campillo,+.429
2024,0,51894,Vince Whaley,+.436
2024,0,27214,Kevin Streelman,+.440
2024,0,28420,Ryan Brehm,+.455
2024,0,34374,Erik Barnes,+.478
2024,0,35617,Martin Trainer,+.500
2024,0,48319,Tom Whitney,+.500
2024,0,59866,Nick Dunlap,+.512
2024,0,27649,Brandt Snedeker,+.515
2024,0,27770,Camilo Villegas,+.536
2024,0,60767,Blaine Hale Jr.,+.556
2024,0,57362,Austin Eckroat,+.586
2024,0,46113,Ryan McCormick,+.714
2023,0,52955,Ludvig Åberg,-.125
2023,0,35450,Patrick Cantlay,-.095
2023,0,58696,Peter Kuest,-.071
2023,0,22405,Justin Rose,-.071
2023,0,48867,Matti Schmid,-.053
2023,0,39977,Max Homa,-.032
2023,0,28237,Rory McIlroy,-.025
2023,0,48084,Wesley Bryan,E
2023,0,34431,Robert Streb,E
2023,0,30692,Scott Stallings,+.029
2023,0,47983,Chad Ramey,+.034
2023,0,59018,Ryan Gerard,+.056
2023,0,46717,Viktor Hovland,+.059
2023,0,33653,Thomas Detry,+.061
2023,0,33448,Justin Thomas,+.065
2023,0,33408,Tyson Alexander,+.070
2023,0,22371,Aaron Baddeley,+.075
2023,0,32366,Kevin Chappell,+.077
2023,0,50188,S.H. Kim,+.077
2023,0,55182,Tom Kim,+.077
2023,0,27129,Luke List,+.079
2023,0,30927,Brendon Todd,+.081
2023,0,39997,Corey Conners,+.086
2023,0,58967,Trevor Werbylo,+.088
2023,0,57975,Harry Hall,+.096
2023,0,47591,Eric Cole,+.097
2023,0,46601,Trey Mullinax,+.097
2023,0,29725,Tony Finau,+.098
2023,0,49453,Trevor Cone,+.100
2023,0,34098,Russell Henley,+.103
2023,0,51997,Andrew Novak,+.103
2023,0,45242,Kevin Yu,+.105
2023,0,24502,Adam Scott,+.115
2023,0,46340,Alex Smalley,+.118
2023,0,28775,Nate Lashley,+.125
2023,0,29908,C.T. Pan,+.133
2023,0,33399,Adam Hadwin,+.137
2023,0,52372,Cameron Champ,+.138
2023,0,27095,Nick Watney,+.140
2023,0,33948,Byeong Hun An,+.143
2023,0,55789,Taylor Montgomery,+.143
2023,0,46970,Jon Rahm,+.143
2023,0,47347,Adam Schenk,+.143
