YEAR,MOVEMENT,PLAYER_ID,PLAYER,POINTS PER EVENT,TOTAL POINTS
2024,0,46046,Scottie Scheffler,374.547,5992.75
2024,0,48081,Xander Schauffele,225.407,4057.333
2024,0,28237,Rory McIlroy,159.082,2545.304
2024,0,50525,Collin Morikawa,136.447,2456.046
2024,0,52955,Ludvig Åberg,130.76,2092.167
2024,0,51766,Wyndham Clark,126.69,2153.734
2024,0,32839,Hideki Matsuyama,118.678,1898.855
2024,0,35450,Patrick Cantlay,111.241,1779.863
2024,0,33204,Shane Lowry,109.831,1867.125
2024,0,34098,Russell Henley,104.411,1670.575
2024,0,48153,Matthieu Pavon,98.066,1569.063
2024,0,51634,Sahith Theegala,97.001,2037.014
2024,0,33948,Byeong Hun An,92.374,1755.104
2024,0,33448,Justin Thomas,90.334,1445.342
2024,0,39971,Sungjae Im,86.194,1896.275
2024,0,29725,Tony Finau,86.038,1634.718
2024,0,30911,Tommy Fleetwood,76.413,1222.607
2024,0,49960,Sepp Straka,74.92,1498.403
2024,0,28089,Jason Day,74.722,1344.987
2024,0,30926,Chris Kirk,73.227,1318.088
2024,0,27644,Brian Harman,70.928,1418.558
2024,0,45522,Christiaan Bezuidenhout,70.301,1406.024
2024,0,47504,Sam Burns,70.273,1264.911
2024,0,56630,Akshay Bhatia,69.997,1609.924
2024,0,52215,Robert MacIntyre,69.753,1534.562
2024,0,29420,Billy Horschel,69.596,1391.917
2024,0,34363,Tyrrell Hatton,68.804,412.825
2024,0,39977,Max Homa,66.308,1193.543
2024,0,46717,Viktor Hovland,65.721,854.371
2024,0,24502,Adam Scott,65.05,1040.795
2024,0,57366,Cameron Young,64.562,1226.682
2024,0,33653,Thomas Detry,63.274,1202.203
2024,0,40250,Taylor Pendrith,63.061,1324.281
2024,0,46414,Aaron Rai,62.757,1380.664
2024,0,39997,Corey Conners,62.453,1249.069
2024,0,34213,Grayson Murray,61.685,801.9
2024,0,35532,Tom Hoge,61.353,1411.121
2024,0,36799,Stephan Jaeger,60.34,1206.8
2024,0,58168,Davis Thompson,60.225,1385.179
2024,0,27349,Alex Noren,59.259,1066.666
2024,0,49771,J.T. Poston,56.79,1192.599
2024,0,33141,Keegan Bradley,56.591,1075.221
2024,0,40098,Matt Fitzpatrick,56.526,1073.991
2024,0,37455,Si Woo Kim,55.597,1167.537
2024,0,33399,Adam Hadwin,53.672,1180.792
2024,0,47483,Will Zalatoris,53.638,1019.118
2024,0,45157,Cam Davis,52.549,1050.97
2024,0,34099,Harris English,51.014,969.275
2024,0,47993,Denny McCarthy,49.757,1044.901
2024,0,22405,Justin Rose,48.946,881.025
2024,0,37378,Min Woo Lee,48.936,782.983
2024,0,35506,Mackenzie Hughes,48.865,1026.166
2024,0,57362,Austin Eckroat,48.599,1069.185
2024,0,55182,Tom Kim,47.791,1051.407
2024,0,51977,Max Greyserman,47.307,1040.756
2024,0,47420,Jake Knapp,46.167,969.516
2024,0,25493,Nick Taylor,46.144,969.025
2024,0,36699,Patrick Rodgers,43.28,952.156
2024,0,27064,Jhonattan Vegas,42.818,685.087
2024,0,40006,Erik van Rooyen,40.641,812.81
2024,0,46442,Maverick McNealy,40.385,807.702
2024,0,29535,Brice Garnett,39.713,516.263
2024,0,34046,Jordan Spieth,37.233,781.9
2024,0,47591,Eric Cole,35.108,947.913
2024,0,59866,Nick Dunlap,35.039,700.781
2024,0,49947,Taylor Moore,34.911,802.955
2024,0,34466,Peter Malnati,34.51,793.722
2024,0,36801,Mark Hubbard,33.484,736.64
2024,0,28252,Seamus Power,33.468,702.825
2024,0,57364,Michael Thorbjornsen,33.073,231.508
2024,0,30927,Brendon Todd,32.729,720.03
2024,0,47679,Victor Perez,32.705,654.092
2024,0,31646,Emiliano Grillo,32.589,684.369
2024,0,54591,Ben Griffin,32.123,867.317
2024,0,48117,Kurt Kitayama,30.133,602.667
2024,0,52453,Nicolai Højgaard,29.532,531.57
2024,0,47995,Davis Riley,29.422,647.293
2024,0,12716,Charley Hoffman,28.924,549.564
2024,0,34256,Andrew Putnam,28.404,624.886
2024,0,25900,Lucas Glover,28.392,596.223
2024,0,27129,Luke List,27.328,601.225
2024,0,39546,Keith Mitchell,27.233,599.123
2024,0,29908,C.T. Pan,26.762,454.962
2024,0,51997,Andrew Novak,25.914,518.289
2024,0,54628,Lee Hodges,24.84,596.153
2024,0,57975,Harry Hall,24.64,517.431
2024,0,36884,Ben Kohles,24.114,530.5
2024,0,40115,Adam Svensson,24.034,600.841
2024,0,51287,Ryo Hisatsune,23.744,522.361
2024,0,35461,Beau Hossler,23.702,521.439
2024,0,47347,Adam Schenk,23.3,582.509
2024,0,52666,Sami Valimaki,23.232,418.183
2024,0,59143,Mac Meissner,22.609,474.79
2024,0,52375,Doug Ghim,21.902,459.947
2024,0,55789,Taylor Montgomery,21.689,325.331
2024,0,57900,Chandler Phillips,21.355,427.093
2024,0,45242,Kevin Yu,21.321,469.054
2024,0,34587,Chan Kim,20.556,452.227
2024,0,59095,Chris Gotterup,20.524,451.526
2024,0,32333,Kevin Tway,20.34,284.762
2024,0,54576,Patrick Fishburn,20.185,383.506
2024,0,40162,Justin Lower,20.052,461.194
2024,0,39324,J.J. Spaun,19.932,418.564
2024,0,28775,Nate Lashley,19.648,392.951
2024,0,23108,Matt Kuchar,19.119,382.375
2024,0,55893,Sam Stevens,18.972,436.354
2024,0,29936,Ryan Fox,18.834,376.675
2024,0,27139,David Skinns,18.818,376.362
2024,0,51696,Rico Hoey,18.724,393.213
2024,0,32791,K.H. Lee,18.69,411.181
2024,0,32102,Rickie Fowler,18.688,373.759
2024,0,30163,Henrik Norlander,18.275,255.848
2024,0,48887,Matt Wallace,17.717,354.336
2024,0,39327,Ben Silverman,16.964,373.211
2024,0,51349,Nico Echavarria,16.695,367.279
2024,0,47983,Chad Ramey,16.677,366.896
2024,0,40058,Zac Blair,16.372,343.811
2024,0,51894,Vince Whaley,15.86,285.48
2024,0,52513,Carson Young,15.714,345.707
2024,0,59836,Pierceson Coody,15.399,307.976
2024,0,60004,Jacob Bridgeman,15.387,307.734
2024,0,29289,S.Y. Noh,15.017,105.117
2024,0,50484,Hayden Springer,14.902,283.146
2024,0,54783,Dylan Wu,14.881,312.509
2024,0,6373,José María Olazábal,14.667,14.667
2024,0,32139,Danny Willett,14.667,14.667
2024,0,34076,Joel Dahmen,14.534,319.737
2024,0,48084,Wesley Bryan,14.293,171.52
2024,0,51600,Jimmy Stanger,14.215,213.227
2024,0,39975,Michael Kim,14.12,324.754
2024,0,29221,Webb Simpson,14.071,182.929
2024,0,32367,Jorge Campillo,13.816,234.877
2024,0,34374,Erik Barnes,13.778,248.002
2024,0,35617,Martin Trainer,13.77,220.325
2024,0,32757,Patton Kizzire,13.401,241.215
2024,0,36871,Matt NeSmith,13.339,293.463
2024,0,50188,S.H. Kim,13.301,345.816
2024,0,52514,Trace Crowe,13.074,235.334
2024,0,20766,Padraig Harrington,13.057,91.4
2024,0,55454,Carl Yuan,12.984,272.666
2024,0,48867,Matti Schmid,12.884,283.452
2024,0,37275,Sam Ryder,12.832,282.305
2024,0,38991,Alejandro Tosti,12.693,266.546
2024,0,24024,Zach Johnson,12.633,202.129
2024,0,33413,Ben Martin,12.169,182.528
2024,0,35879,Kelly Kraft,11.613,116.132
2024,0,46340,Alex Smalley,11.16,256.672
2024,0,51890,Greyson Sigg,11.039,253.896
2024,0,40026,Daniel Berger,11.029,220.589
2024,0,30692,Scott Stallings,10.978,98.8
2024,0,34563,Chesson Hadley,10.803,226.856
2024,0,33968,Thorbjørn Olesen,10.651,170.409
2024,0,32070,Rafael Campos,10.459,188.253
2024,0,46441,Robby Shelton,10.343,206.864
2024,0,27936,Martin Laird,10.34,196.463
2024,0,55708,Hayden Buckley,10.2,224.398
2024,0,26596,Ryan Moore,10.028,200.565
2024,0,22371,Aaron Baddeley,9.73,175.131
2024,0,32640,Troy Merritt,9.665,212.622
2024,0,34310,Alexander Björk,9.028,126.397
2024,0,32366,Kevin Chappell,9.011,126.16
2024,0,34255,Joseph Bramlett,8.889,186.666
2024,0,6567,Vijay Singh,8.75,8.75
2024,0,29268,Bronson Burgoon,8.631,69.05
2024,0,24140,Sean O'Hair,8.631,77.683
2024,0,54421,Garrick Higgo,8.453,185.964
2024,0,31323,Gary Woodland,8.267,173.617
2024,0,20229,Stewart Cink,8.103,113.442
2024,0,52374,Brandon Wu,7.875,181.122
2024,0,60067,Joe Highsmith,7.864,157.283
2024,0,28420,Ryan Brehm,7.726,162.243
2024,0,26476,Chez Reavie,7.667,161.005
2024,0,52372,Cameron Champ,7.374,140.098
2024,0,35310,Lanto Griffin,7.295,116.727
2024,0,59442,Parker Coody,7.197,151.131
2024,0,46435,Austin Cook,6.96,83.525
2024,0,46113,Ryan McCormick,6.914,124.459
2024,0,50493,Justin Suh,6.787,149.322
2024,0,47988,Nick Hardy,6.714,147.699
2024,0,50497,Adrien Dumont de Chassart,6.485,129.692
2024,0,34021,Bud Cauley,6.296,75.548
2024,0,50095,Austin Smotherman,6.212,62.123
2024,0,33486,Roger Sloan,6.056,108.999
2024,0,36326,David Lipsky,6.009,132.187
2024,0,39954,Cody Gribble,5.975,47.796
2024,0,25818,Scott Piercy,5.866,58.664
2024,0,45609,Tyler Duncan,5.823,110.64
2024,0,31202,William McGirt,5.807,29.036
2024,0,33408,Tyson Alexander,5.483,120.633
2024,0,27214,Kevin Streelman,5.222,93.988
2024,0,20472,Alex Cejka,4.95,4.95
2024,0,19825,Darren Clarke,4.95,4.95
2024,0,54328,Norman Xiong,4.795,52.743
2024,0,39067,MJ Daffue,4.622,32.351
2024,0,37212,Paul Barjon,4.61,92.199
2024,0,47128,Richy Werenski,4.372,30.602
2024,0,48319,Tom Whitney,4.112,82.237
2024,0,48699,Callum Tarren,4.045,88.99
2024,0,47663,Kevin Dougherty,3.787,71.955
2024,0,48119,Ben Taylor,3.785,79.491
2024,0,24924,Bill Haas,3.604,36.042
2024,0,23320,Ryan Palmer,3.599,53.99
2024,0,33122,Russell Knox,3.592,25.145
2024,0,32448,James Hahn,3.502,35.015
2024,0,27095,Nick Watney,3.327,33.269
2024,0,26758,David Hearn,3.2,3.2
2024,0,30750,Tommy Gainey,3.057,12.227
