YEAR,MOVEMENT,PLAYER_ID,PLAYER,% MADE,ATTEMPTS,PUTTS MADE
2024,0,55789,Taylor Montgomery,92.65%,68,63
2024,0,45522,Christiaan Bezuidenhout,91.95%,87,80
2024,0,28237,Rory McIlroy,91.89%,74,68
2024,0,47993,Denny McCarthy,91.25%,80,73
2024,0,28089,Jason Day,90.91%,88,80
2024,0,54591,Ben Griffin,90.74%,108,98
2024,0,54783,Dylan Wu,90.22%,92,83
2024,0,34563,Chesson Hadley,90.11%,91,82
2024,0,52955,Ludvig Åberg,90.00%,80,72
2024,0,50095,Austin Smotherman,89.80%,49,44
2024,0,30927,Brendon Todd,89.66%,116,104
2024,0,39977,Max Homa,89.62%,106,95
2024,0,33141,Keegan Bradley,89.32%,103,92
2024,0,30163,Henrik Norlander,89.29%,56,50
2024,0,47504,Sam Burns,89.02%,82,73
2024,0,55893,Sam Stevens,89.01%,91,81
2024,0,35506,Mackenzie Hughes,88.89%,126,112
2024,0,47983,Chad Ramey,88.64%,88,78
2024,0,47347,Adam Schenk,88.39%,112,99
2024,0,49960,Sepp Straka,88.37%,86,76
2024,0,33948,Byeong Hun An,88.24%,85,75
2024,0,35461,Beau Hossler,88.17%,93,82
2024,0,22371,Aaron Baddeley,87.67%,73,64
2024,0,39971,Sungjae Im,87.50%,96,84
2024,0,51634,Sahith Theegala,87.39%,119,104
2024,0,60004,Jacob Bridgeman,87.32%,71,62
2024,0,39975,Michael Kim,87.23%,94,82
2024,0,46717,Viktor Hovland,87.14%,70,61
2024,0,51997,Andrew Novak,87.13%,101,88
2024,0,57366,Cameron Young,87.13%,101,88
2024,0,33204,Shane Lowry,87.01%,77,67
2024,0,54576,Patrick Fishburn,86.76%,68,59
2024,0,49771,J.T. Poston,86.67%,90,78
2024,0,27644,Brian Harman,86.52%,89,77
2024,0,50497,Adrien Dumont de Chassart,86.44%,59,51
2024,0,36871,Matt NeSmith,86.42%,81,70
2024,0,35450,Patrick Cantlay,86.36%,66,57
2024,0,30911,Tommy Fleetwood,86.36%,88,76
2024,0,34466,Peter Malnati,86.32%,95,82
2024,0,51766,Wyndham Clark,86.30%,73,63
2024,0,23108,Matt Kuchar,86.02%,93,80
2024,0,33486,Roger Sloan,85.90%,78,67
2024,0,50525,Collin Morikawa,85.87%,92,79
2024,0,47591,Eric Cole,85.62%,146,125
2024,0,32791,K.H. Lee,85.57%,97,83
2024,0,28420,Ryan Brehm,85.53%,76,65
2024,0,60767,Blaine Hale Jr.,85.51%,69,59
2024,0,56630,Akshay Bhatia,85.42%,96,82
2024,0,48117,Kurt Kitayama,85.32%,109,93
2024,0,59866,Nick Dunlap,85.29%,102,87
2024,0,48153,Matthieu Pavon,85.29%,68,58
2024,0,47995,Davis Riley,85.29%,102,87
2024,0,47988,Nick Hardy,85.26%,95,81
2024,0,29908,C.T. Pan,85.14%,74,63
2024,0,45157,Cam Davis,84.85%,99,84
2024,0,57900,Chandler Phillips,84.69%,98,83
2024,0,35532,Tom Hoge,84.68%,124,105
2024,0,22405,Justin Rose,84.62%,78,66
2024,0,48867,Matti Schmid,84.62%,91,77
2024,0,40162,Justin Lower,84.50%,129,109
2024,0,32839,Hideki Matsuyama,84.21%,95,80
2024,0,34256,Andrew Putnam,84.16%,101,85
2024,0,33653,Thomas Detry,84.15%,82,69
2024,0,48081,Xander Schauffele,84.15%,82,69
2024,0,45242,Kevin Yu,84.15%,82,69
2024,0,39324,J.J. Spaun,84.04%,94,79
2024,0,40098,Matt Fitzpatrick,83.82%,68,57
2024,0,40250,Taylor Pendrith,83.81%,105,88
2024,0,27936,Martin Laird,83.78%,74,62
2024,0,36699,Patrick Rodgers,83.76%,117,98
2024,0,52374,Brandon Wu,83.53%,85,71
2024,0,52513,Carson Young,83.49%,109,91
2024,0,52375,Doug Ghim,83.33%,102,85
2024,0,28775,Nate Lashley,83.33%,90,75
2024,0,34098,Russell Henley,83.15%,89,74
2024,0,50493,Justin Suh,83.13%,83,69
2024,0,47420,Jake Knapp,82.98%,94,78
2024,0,34046,Jordan Spieth,82.80%,93,77
2024,0,39546,Keith Mitchell,82.76%,116,96
2024,0,48084,Wesley Bryan,82.69%,52,43
2024,0,39327,Ben Silverman,82.61%,92,76
2024,0,27129,Luke List,82.56%,86,71
2024,0,39997,Corey Conners,82.42%,91,75
2024,0,51977,Max Greyserman,82.35%,85,70
2024,0,52453,Nicolai Højgaard,82.35%,51,42
2024,0,33399,Adam Hadwin,82.29%,96,79
2024,0,29420,Billy Horschel,82.28%,79,65
2024,0,52514,Trace Crowe,82.26%,62,51
2024,0,31323,Gary Woodland,82.20%,118,97
2024,0,46046,Scottie Scheffler,82.19%,73,60
2024,0,52372,Cameron Champ,82.09%,67,55
2024,0,45609,Tyler Duncan,82.05%,78,64
2024,0,32367,Jorge Campillo,82.00%,50,41
2024,0,46442,Maverick McNealy,81.73%,104,85
2024,0,58168,Davis Thompson,81.73%,104,85
2024,0,30926,Chris Kirk,81.61%,87,71
2024,0,54421,Garrick Higgo,81.58%,76,62
2024,0,37378,Min Woo Lee,81.54%,65,53
2024,0,12716,Charley Hoffman,81.40%,86,70
2024,0,52215,Robert MacIntyre,81.25%,80,65
2024,0,28252,Seamus Power,81.20%,117,95
2024,0,38991,Alejandro Tosti,81.18%,85,69
2024,0,48119,Ben Taylor,81.16%,69,56
2024,0,37455,Si Woo Kim,80.91%,110,89
2024,0,51894,Vince Whaley,80.82%,73,59
2024,0,32102,Rickie Fowler,80.72%,83,67
2024,0,32366,Kevin Chappell,80.70%,57,46
2024,0,36799,Stephan Jaeger,80.68%,88,71
2024,0,51287,Ryo Hisatsune,80.65%,93,75
2024,0,35617,Martin Trainer,80.65%,62,50
2024,0,47663,Kevin Dougherty,80.52%,77,62
2024,0,33408,Tyson Alexander,80.39%,102,82
2024,0,56149,Wilson Furr,80.36%,56,45
2024,0,54628,Lee Hodges,80.36%,112,90
2024,0,33448,Justin Thomas,80.28%,71,57
2024,0,27349,Alex Noren,80.26%,76,61
2024,0,57362,Austin Eckroat,80.22%,91,73
2024,0,34099,Harris English,80.19%,106,85
2024,0,59095,Chris Gotterup,80.00%,95,76
2024,0,59143,Mac Meissner,80.00%,90,72
2024,0,32640,Troy Merritt,80.00%,75,60
2024,0,49947,Taylor Moore,80.00%,110,88
2024,0,33968,Thorbjørn Olesen,80.00%,50,40
2024,0,47679,Victor Perez,80.00%,85,68
2024,0,25493,Nick Taylor,80.00%,120,96
2024,0,32333,Kevin Tway,80.00%,55,44
2024,0,34587,Chan Kim,79.81%,104,83
2024,0,25900,Lucas Glover,79.79%,94,75
2024,0,50484,Hayden Springer,79.79%,94,75
2024,0,59442,Parker Coody,79.69%,64,51
2024,0,46414,Aaron Rai,79.38%,97,77
2024,0,55454,Carl Yuan,79.38%,97,77
2024,0,34255,Joseph Bramlett,79.37%,126,100
2024,0,59836,Pierceson Coody,79.31%,87,69
2024,0,29936,Ryan Fox,79.31%,87,69
2024,0,35310,Lanto Griffin,79.22%,77,61
2024,0,34021,Bud Cauley,78.95%,57,45
2024,0,55182,Tom Kim,78.95%,95,75
2024,0,27139,David Skinns,78.95%,95,75
2024,0,60067,Joe Highsmith,78.89%,90,71
2024,0,46340,Alex Smalley,78.67%,75,59
2024,0,32070,Rafael Campos,78.57%,70,55
2024,0,24502,Adam Scott,78.41%,88,69
2024,0,55708,Hayden Buckley,78.35%,97,76
2024,0,34076,Joel Dahmen,78.16%,87,68
2024,0,40115,Adam Svensson,78.10%,137,107
2024,0,32757,Patton Kizzire,78.08%,73,57
2024,0,46441,Robby Shelton,77.94%,68,53
2024,0,37212,Paul Barjon,77.59%,58,45
2024,0,51890,Greyson Sigg,77.22%,79,61
2024,0,40006,Erik van Rooyen,77.22%,79,61
2024,0,57975,Harry Hall,77.17%,92,71
2024,0,50188,S.H. Kim,77.04%,135,104
2024,0,34374,Erik Barnes,76.92%,65,50
2024,0,26476,Chez Reavie,76.92%,78,60
2024,0,37275,Sam Ryder,76.92%,78,60
2024,0,27064,Jhonattan Vegas,76.92%,91,70
2024,0,36801,Mark Hubbard,76.67%,120,92
2024,0,51349,Nico Echavarria,76.42%,106,81
2024,0,31646,Emiliano Grillo,76.29%,97,74
2024,0,46113,Ryan McCormick,76.19%,63,48
2024,0,51696,Rico Hoey,76.09%,92,70
2024,0,27649,Brandt Snedeker,76.00%,75,57
2024,0,47806,Raul Pereda,75.93%,54,41
2024,0,48319,Tom Whitney,75.68%,74,56
2024,0,40026,Daniel Berger,75.64%,78,59
2024,0,48887,Matt Wallace,75.58%,86,65
2024,0,24024,Zach Johnson,75.00%,48,36
2024,0,26596,Ryan Moore,74.71%,87,65
2024,0,36884,Ben Kohles,74.53%,106,79
2024,0,29535,Brice Garnett,74.19%,62,46
2024,0,29221,Webb Simpson,73.77%,61,45
2024,0,40058,Zac Blair,73.68%,114,84
2024,0,36326,David Lipsky,73.24%,71,52
2024,0,47483,Will Zalatoris,73.24%,71,52
2024,0,51070,Vincent Norrman,73.21%,56,41
2024,0,27770,Camilo Villegas,71.93%,57,41
2024,0,29725,Tony Finau,70.89%,79,56
2024,0,48699,Callum Tarren,70.24%,84,59
2024,0,27330,Josh Teater,69.23%,52,36
2024,0,29478,Kevin Kisner,69.09%,55,38
2024,0,23320,Ryan Palmer,67.50%,40,27
2024,0,52666,Sami Valimaki,67.07%,82,55
2024,0,27214,Kevin Streelman,66.20%,71,47
2023,0,40098,Matt Fitzpatrick,92.75%,69,64
2023,0,33399,Adam Hadwin,91.96%,112,103
2023,0,27963,Chris Stroud,91.38%,58,53
2023,0,22371,Aaron Baddeley,91.03%,78,71
2023,0,28089,Jason Day,91.01%,89,81
2023,0,23108,Matt Kuchar,91.00%,100,91
2023,0,40006,Erik van Rooyen,90.91%,77,70
2023,0,52955,Ludvig Åberg,90.00%,50,45
2023,0,51634,Sahith Theegala,89.76%,127,114
2023,0,32839,Hideki Matsuyama,89.53%,86,77
2023,0,49771,J.T. Poston,89.43%,123,110
2023,0,26476,Chez Reavie,89.38%,113,101
2023,0,30911,Tommy Fleetwood,89.19%,74,66
2023,0,46414,Aaron Rai,88.57%,105,93
2023,0,28237,Rory McIlroy,88.51%,87,77
2023,0,27095,Nick Watney,88.46%,78,69
2023,0,34363,Tyrrell Hatton,88.16%,76,67
2023,0,47993,Denny McCarthy,88.14%,118,104
2023,0,31202,William McGirt,88.10%,42,37
2023,0,34563,Chesson Hadley,88.03%,117,103
2023,0,50188,S.H. Kim,87.86%,140,123
2023,0,40250,Taylor Pendrith,87.74%,106,93
2023,0,32102,Rickie Fowler,87.50%,96,84
2023,0,29535,Brice Garnett,87.50%,104,91
2023,0,29420,Billy Horschel,87.50%,80,70
2023,0,55789,Taylor Montgomery,87.50%,120,105
2023,0,46442,Maverick McNealy,87.32%,71,62
2023,0,52453,Nicolai Hojgaard,87.23%,47,41
2023,0,32662,Michael Gligic,87.14%,70,61
2023,0,33597,Harry Higgs,87.10%,93,81
2023,0,34099,Harris English,86.96%,115,100
2023,0,36801,Mark Hubbard,86.96%,115,100
2023,0,30692,Scott Stallings,86.96%,92,80
2023,0,37275,Sam Ryder,86.89%,122,106
2023,0,52513,Carson Young,86.46%,96,83
2023,0,39975,Michael Kim,86.36%,88,76
2023,0,49766,Hank Lebioda,86.36%,66,57
2023,0,39971,Sungjae Im,86.27%,102,88
2023,0,53165,Doc Redman,86.02%,93,80
2023,0,47591,Eric Cole,86.00%,150,129
2023,0,34256,Andrew Putnam,85.98%,107,92
2023,0,47504,Sam Burns,85.90%,78,67
2023,0,23320,Ryan Palmer,85.87%,92,79
2023,0,58967,Trevor Werbylo,85.87%,92,79
2023,0,46717,Viktor Hovland,85.85%,106,91
2023,0,39977,Max Homa,85.71%,98,84
2023,0,55182,Tom Kim,85.59%,111,95
2023,0,33122,Russell Knox,85.58%,104,89
2023,0,29221,Webb Simpson,85.53%,76,65
2023,0,35449,Adam Long,85.48%,124,106
2023,0,34409,David Lingmerth,85.33%,75,64
