YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%,ATTEMPTS,PUTTS MADE
2024,1,0,45522,Christiaan Bezuidenhout,98.40%,999,983.0
2024,2,0,34563,Chesson Hadley,98.35%,849,835.0
2024,3,0,47993,Denny McCarthy,98.25%,1083,1064.0
2024,4,0,50497,Adrien Dumont de Chassart,98.24%,850,835.0
2024,5,0,60004,Jacob Bridgeman,98.17%,819,804.0
2024,6,0,28089,Jason Day,98.16%,817,802.0
2024,7,0,48081,Xander Schauffele,98.12%,957,939.0
2024,8,0,27644,Brian Harman,98.11%,1109,1088.0
2024,9,0,22371,Aaron Baddeley,98.10%,843,827.0
2024,9,0,35506,Mackenzie Hughes,98.10%,1155,1133.0
2024,11,0,28237,Rory McIlroy,98.08%,885,868.0
2024,12,0,54591,Ben Griffin,97.97%,1279,1253.0
2024,13,0,39327,Ben Silverman,97.94%,973,953.0
2024,14,0,40098,Matt Fitzpatrick,97.93%,868,850.0
2024,15,0,50525,Collin Morikawa,97.92%,960,940.0
2024,16,0,52375,Doug Ghim,97.91%,1148,1124.0
2024,17,0,49960,Sepp Straka,97.89%,949,929.0
2024,18,0,56630,Akshay Bhatia,97.88%,1084,1061.0
2024,19,0,35450,Patrick Cantlay,97.81%,776,759.0
2024,19,0,47983,Chad Ramey,97.81%,960,939.0
2024,21,0,30163,Henrik Norlander,97.76%,715,699.0
2024,22,0,29420,Billy Horschel,97.75%,933,912.0
2024,23,0,52372,Cameron Champ,97.70%,696,680.0
2024,24,0,47591,Eric Cole,97.69%,1344,1313.0
2024,25,0,34466,Peter Malnati,97.68%,948,926.0
2024,25,0,48119,Ben Taylor,97.68%,776,758.0
2024,27,0,36871,Matt NeSmith,97.66%,899,878.0
2024,28,0,35461,Beau Hossler,97.65%,1108,1082.0
2024,29,0,46442,Maverick McNealy,97.64%,1103,1077.0
2024,29,0,36699,Patrick Rodgers,97.64%,1272,1242.0
2024,31,0,47347,Adam Schenk,97.63%,1137,1110.0
2024,32,0,47504,Sam Burns,97.56%,903,881.0
2024,33,0,59836,Pierceson Coody,97.55%,858,837.0
2024,33,0,39324,J.J. Spaun,97.55%,1060,1034.0
2024,35,0,39975,Michael Kim,97.54%,894,872.0
2024,36,0,33399,Adam Hadwin,97.53%,1013,988.0
2024,36,0,54783,Dylan Wu,97.53%,1014,989.0
2024,38,0,45609,Tyler Duncan,97.51%,842,821.0
2024,39,0,57900,Chandler Phillips,97.50%,1039,1013.0
2024,40,0,52513,Carson Young,97.45%,1020,994.0
2024,41,0,32366,Kevin Chappell,97.44%,585,570.0
2024,42,0,55893,Sam Stevens,97.42%,1123,1094.0
2024,43,0,30911,Tommy Fleetwood,97.40%,922,898.0
2024,44,0,45157,Cam Davis,97.39%,1035,1008.0
2024,45,0,52453,Nicolai Højgaard,97.38%,649,632.0
2024,45,0,30927,Brendon Todd,97.38%,1223,1191.0
2024,47,0,54576,Patrick Fishburn,97.37%,797,776.0
2024,47,0,49947,Taylor Moore,97.37%,1253,1220.0
2024,49,0,54421,Garrick Higgo,97.35%,904,880.0
2024,50,0,55789,Taylor Montgomery,97.34%,640,623.0
2024,51,0,51766,Wyndham Clark,97.32%,858,835.0
2024,52,0,34098,Russell Henley,97.31%,892,868.0
2024,52,0,50095,Austin Smotherman,97.31%,557,542.0
2024,54,0,52955,Ludvig Åberg,97.30%,927,902.0
2024,54,0,51997,Andrew Novak,97.30%,1112,1082.0
2024,56,0,47420,Jake Knapp,97.29%,995,968.0
2024,56,0,27936,Martin Laird,97.29%,813,791.0
2024,56,0,52215,Robert MacIntyre,97.29%,884,860.0
2024,59,0,39971,Sungjae Im,97.27%,1099,1069.0
2024,59,0,27129,Luke List,97.27%,951,925.0
2024,61,0,57362,Austin Eckroat,97.26%,1131,1100.0
2024,62,0,23108,Matt Kuchar,97.25%,945,919.0
2024,63,0,39977,Max Homa,97.24%,980,953.0
2024,64,0,51634,Sahith Theegala,97.23%,1192,1159.0
2024,64,0,32333,Kevin Tway,97.23%,649,631.0
2024,66,0,33653,Thomas Detry,97.21%,895,870.0
2024,67,0,51287,Ryo Hisatsune,97.19%,997,969.0
2024,67,0,40250,Taylor Pendrith,97.19%,995,967.0
2024,69,0,34256,Andrew Putnam,97.18%,1064,1034.0
2024,70,0,37378,Min Woo Lee,97.17%,848,824.0
2024,70,0,59143,Mac Meissner,97.17%,918,892.0
2024,70,0,48867,Matti Schmid,97.17%,884,859.0
2024,73,0,47988,Nick Hardy,97.16%,1093,1062.0
2024,74,0,56149,Wilson Furr,97.15%,632,614.0
2024,74,0,29908,C.T. Pan,97.15%,808,785.0
2024,74,0,49771,J.T. Poston,97.15%,1088,1057.0
2024,77,0,58168,Davis Thompson,97.13%,1148,1115.0
2024,78,0,33448,Justin Thomas,97.12%,867,842.0
2024,79,0,46717,Viktor Hovland,97.11%,727,706.0
2024,80,0,33204,Shane Lowry,97.10%,863,838.0
2024,81,0,35532,Tom Hoge,97.08%,1267,1230.0
2024,82,0,54628,Lee Hodges,97.05%,1253,1216.0
2024,83,0,33948,Byeong Hun An,97.01%,935,907.0
2024,83,0,27349,Alex Noren,97.01%,870,844.0
2024,85,0,59442,Parker Coody,97.00%,701,680.0
2024,85,0,46414,Aaron Rai,97.00%,1099,1066.0
2024,85,0,33486,Roger Sloan,97.00%,766,743.0
2024,88,0,55708,Hayden Buckley,96.99%,898,871.0
2024,89,0,34099,Harris English,96.98%,1093,1060.0
2024,89,0,32791,K.H. Lee,96.98%,960,931.0
2024,91,0,52514,Trace Crowe,96.97%,758,735.0
2024,91,0,39546,Keith Mitchell,96.97%,1089,1056.0
2024,93,0,33141,Keegan Bradley,96.96%,1021,990.0
2024,93,0,32367,Jorge Campillo,96.96%,593,575.0
2024,95,0,25493,Nick Taylor,96.94%,1079,1046.0
2024,96,0,36801,Mark Hubbard,96.91%,1262,1223.0
2024,97,0,46046,Scottie Scheffler,96.90%,871,844.0
