YEAR,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ROUNDS
2024,0,46046,Scottie Scheffler,67.53,1283,19
2024,0,32333,Kevin Tway,68.5,1233,18
2024,0,55893,Sam Stevens,68.57,1920,28
2024,0,48081,Xander Schauffele,68.62,1441,21
2024,0,51634,Sahith Theegala,68.64,1716,25
2024,0,34587,Chan Kim,68.8,1720,25
2024,0,47504,Sam Burns,68.9,1447,21
2024,0,35532,Tom Hoge,68.97,2000,29
2024,0,52955,Ludvig Åberg,69.0,1380,20
2024,0,35310,Lanto Griffin,69.0,1449,21
2024,0,32839,Hideki Matsuyama,69.0,1311,19
2024,0,51997,Andrew Novak,69.0,1656,24
2024,0,51894,Vince Whaley,69.0,1587,23
2024,0,34076,Joel Dahmen,69.04,1864,27
2024,0,27064,Jhonattan Vegas,69.05,1519,22
2024,0,54591,Ben Griffin,69.15,2282,33
2024,0,39546,Keith Mitchell,69.15,1798,26
2024,0,29535,Brice Garnett,69.19,1107,16
2024,0,48867,Matti Schmid,69.19,1799,26
2024,0,36801,Mark Hubbard,69.21,1938,28
2024,0,50095,Austin Smotherman,69.21,969,14
2024,0,51977,Max Greyserman,69.26,1593,23
2024,0,27644,Brian Harman,69.26,1593,23
2024,0,46414,Aaron Rai,69.29,1663,24
2024,0,52375,Doug Ghim,69.3,1871,27
2024,0,29908,C.T. Pan,69.33,1248,18
2024,0,56630,Akshay Bhatia,69.35,1803,26
2024,0,33204,Shane Lowry,69.42,1319,19
2024,0,35450,Patrick Cantlay,69.44,1250,18
2024,0,33653,Thomas Detry,69.45,1389,20
2024,0,57975,Harry Hall,69.46,1667,24
2024,0,24502,Adam Scott,69.47,1320,19
2024,0,32367,Jorge Campillo,69.5,1112,16
2024,0,59836,Pierceson Coody,69.5,1668,24
2024,0,54576,Patrick Fishburn,69.5,1668,24
2024,0,40058,Zac Blair,69.52,1877,27
2024,0,40006,Erik van Rooyen,69.54,1669,24
2024,0,52513,Carson Young,69.57,1948,28
2024,0,30163,Henrik Norlander,69.58,1322,19
2024,0,60004,Jacob Bridgeman,69.6,1740,25
2024,0,57366,Cameron Young,69.62,1462,21
2024,0,28252,Seamus Power,69.63,1880,27
2024,0,47983,Chad Ramey,69.63,1880,27
2024,0,46442,Maverick McNealy,69.65,1811,26
2024,0,39997,Corey Conners,69.68,1533,22
2024,0,29725,Tony Finau,69.68,1533,22
2024,0,39324,J.J. Spaun,69.68,1742,25
2024,0,45242,Kevin Yu,69.68,1742,25
2024,0,60067,Joe Highsmith,69.71,1673,24
2024,0,52215,Robert MacIntyre,69.71,1673,24
2024,0,50525,Collin Morikawa,69.71,1464,21
2024,0,40026,Daniel Berger,69.72,1743,25
2024,0,51349,Nico Echavarria,69.72,2022,29
2024,0,23108,Matt Kuchar,69.72,1743,25
2024,0,54421,Garrick Higgo,69.73,1813,26
2024,0,32757,Patton Kizzire,69.73,1534,22
2024,0,32791,K.H. Lee,69.73,1813,26
2024,0,36884,Ben Kohles,69.74,1883,27
2024,0,46340,Alex Smalley,69.74,1883,27
2024,0,48887,Matt Wallace,69.75,1395,20
2024,0,34021,Bud Cauley,69.76,1186,17
2024,0,36799,Stephan Jaeger,69.76,1744,25
2024,0,55182,Tom Kim,69.78,1605,23
2024,0,51696,Rico Hoey,69.81,1815,26
2024,0,37275,Sam Ryder,69.81,1885,27
2024,0,45522,Christiaan Bezuidenhout,69.82,1536,22
2024,0,29420,Billy Horschel,69.82,1536,22
2024,0,50188,S.H. Kim,69.84,2235,32
2024,0,35506,Mackenzie Hughes,69.85,1816,26
2024,0,33141,Keegan Bradley,69.86,1537,22
2024,0,51766,Wyndham Clark,69.86,1467,21
2024,0,52514,Trace Crowe,69.86,1537,22
2024,0,40162,Justin Lower,69.86,2026,29
2024,0,52374,Brandon Wu,69.86,1956,28
2024,0,39327,Ben Silverman,69.87,1607,23
2024,0,34563,Chesson Hadley,69.88,1677,24
2024,0,39971,Sungjae Im,69.88,1817,26
2024,0,29221,Webb Simpson,69.88,1118,16
2024,0,57900,Chandler Phillips,69.92,1748,25
2024,0,26476,Chez Reavie,69.92,1818,26
2024,0,48084,Wesley Bryan,69.94,1189,17
2024,0,35461,Beau Hossler,69.96,1819,26
2024,0,40250,Taylor Pendrith,69.96,1609,23
2024,0,58168,Davis Thompson,69.96,1819,26
2024,0,28089,Jason Day,70.0,1400,20
2024,0,39975,Michael Kim,70.0,1960,28
2024,0,34256,Andrew Putnam,70.0,1750,25
2024,0,33486,Roger Sloan,70.0,1610,23
2024,0,59143,Mac Meissner,70.04,1611,23
2024,0,40098,Matt Fitzpatrick,70.05,1401,20
2024,0,47420,Jake Knapp,70.05,1541,22
2024,0,37378,Min Woo Lee,70.05,1331,19
2024,0,51890,Greyson Sigg,70.07,1892,27
2024,0,36699,Patrick Rodgers,70.11,1963,28
2024,0,50484,Hayden Springer,70.13,1683,24
2024,0,12716,Charley Hoffman,70.14,1543,22
2024,0,34255,Joseph Bramlett,70.15,1894,27
2024,0,47988,Nick Hardy,70.15,1894,27
2024,0,29936,Ryan Fox,70.17,1614,23
2024,0,48117,Kurt Kitayama,70.18,1544,22
2024,0,25900,Lucas Glover,70.19,1895,27
2024,0,46717,Viktor Hovland,70.19,1123,16
2024,0,28775,Nate Lashley,70.19,1825,26
2024,0,47679,Victor Perez,70.19,1474,21
2024,0,47591,Eric Cole,70.21,2317,33
2024,0,37455,Si Woo Kim,70.21,1685,24
2024,0,33399,Adam Hadwin,70.24,1756,25
2024,0,51287,Ryo Hisatsune,70.26,1897,27
2024,0,49771,J.T. Poston,70.28,1757,25
2024,0,30927,Brendon Todd,70.32,1969,28
2024,0,34046,Jordan Spieth,70.33,1477,21
2024,0,57362,Austin Eckroat,70.38,1830,26
2024,0,27936,Martin Laird,70.38,1689,24
2024,0,47993,Denny McCarthy,70.38,1689,24
2024,0,54783,Dylan Wu,70.38,1830,26
2024,0,52453,Nicolai Højgaard,70.41,1197,17
2024,0,34099,Harris English,70.42,1831,26
2024,0,49960,Sepp Straka,70.43,1620,23
2024,0,47483,Will Zalatoris,70.43,1479,21
2024,0,59095,Chris Gotterup,70.46,1691,24
2024,0,33948,Byeong Hun An,70.48,1480,21
2024,0,31646,Emiliano Grillo,70.48,1621,23
2024,0,46441,Robby Shelton,70.48,1762,25
2024,0,27139,David Skinns,70.48,1903,27
2024,0,27349,Alex Noren,70.5,1410,20
2024,0,33448,Justin Thomas,70.5,1410,20
2024,0,26596,Ryan Moore,70.52,1763,25
2024,0,45609,Tyler Duncan,70.56,1764,25
2024,0,32070,Rafael Campos,70.61,1624,23
2024,0,40115,Adam Svensson,70.61,2189,31
2024,0,49947,Taylor Moore,70.64,1978,28
2024,0,22371,Aaron Baddeley,70.65,1625,23
2024,0,48153,Matthieu Pavon,70.68,1343,19
2024,0,52666,Sami Valimaki,70.68,1555,22
2024,0,28237,Rory McIlroy,70.72,1273,18
2024,0,47995,Davis Riley,70.72,1768,25
2024,0,32102,Rickie Fowler,70.74,1627,23
2024,0,36871,Matt NeSmith,70.74,1910,27
2024,0,50493,Justin Suh,70.74,1910,27
2024,0,30926,Chris Kirk,70.78,1628,23
2024,0,47347,Adam Schenk,70.8,2124,30
2024,0,59866,Nick Dunlap,70.86,1559,22
2024,0,45157,Cam Davis,70.87,1630,23
2024,0,27214,Kevin Streelman,70.87,1630,23
2024,0,24024,Zach Johnson,70.88,1205,17
2024,0,48319,Tom Whitney,70.88,1772,25
2024,0,34098,Russell Henley,70.89,1347,19
2024,0,34466,Peter Malnati,70.89,1914,27
2024,0,32366,Kevin Chappell,70.94,1206,17
2024,0,30911,Tommy Fleetwood,70.95,1348,19
2024,0,52372,Cameron Champ,70.96,1632,23
2024,0,54628,Lee Hodges,70.97,2058,29
2024,0,50497,Adrien Dumont de Chassart,71.04,1847,26
2024,0,27649,Brandt Snedeker,71.04,1705,24
2024,0,27330,Josh Teater,71.04,1634,23
2024,0,33408,Tyson Alexander,71.07,1919,27
2024,0,32640,Troy Merritt,71.11,1920,27
2024,0,48699,Callum Tarren,71.11,1920,27
2024,0,25493,Nick Taylor,71.12,1849,26
2024,0,39977,Max Homa,71.18,1566,22
2024,0,29478,Kevin Kisner,71.18,1566,22
2024,0,51070,Vincent Norrman,71.18,1210,17
2024,0,23320,Ryan Palmer,71.19,1139,16
2024,0,31323,Gary Woodland,71.2,1780,25
2024,0,27129,Luke List,71.23,1852,26
2024,0,59442,Parker Coody,71.26,1354,19
2024,0,33968,Thorbjørn Olesen,71.27,1069,15
2024,0,55789,Taylor Montgomery,71.35,1213,17
2024,0,36326,David Lipsky,71.36,1784,25
2024,0,22405,Justin Rose,71.42,1357,19
2024,0,38991,Alejandro Tosti,71.44,1786,25
2024,0,34374,Erik Barnes,71.45,1429,20
2024,0,60767,Blaine Hale Jr.,71.45,1572,22
2024,0,28420,Ryan Brehm,71.46,1858,26
2024,0,55708,Hayden Buckley,71.59,1933,27
2024,0,56149,Wilson Furr,71.59,1575,22
2024,0,37212,Paul Barjon,71.63,1719,24
