YEAR,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL HOLES
2021,0,25900,Lucas Glover,3.89,494,127
2021,0,47504,Sam Burns,3.9,483,124
2021,0,29535,Brice Garnett,3.9,600,154
2021,0,34098,Russell Henley,3.91,742,190
2021,0,32333,Kevin Tway,3.91,469,120
2021,0,33122,Russell Knox,3.92,498,127
2021,0,33448,Justin Thomas,3.92,698,178
2021,0,45526,Abraham Ancer,3.93,585,149
2021,0,40026,Daniel Berger,3.93,625,159
2021,0,34076,Joel Dahmen,3.93,542,138
2021,0,30944,Jason Kokrak,3.93,503,128
2021,0,28252,Seamus Power,3.93,511,130
2021,0,27770,Camilo Villegas,3.93,417,106
2021,0,19803,Ryan Armour,3.94,551,140
2021,0,35450,Patrick Cantlay,3.94,706,179
2021,0,20229,Stewart Cink,3.94,465,118
2021,0,32448,James Hahn,3.94,548,139
2021,0,23320,Ryan Palmer,3.94,457,116
2021,0,32150,Michael Thompson,3.94,619,157
2021,0,25364,Paul Casey,3.95,601,152
2021,0,34563,Chesson Hadley,3.95,675,171
2021,0,32816,Satoshi Kodaira,3.95,506,128
2021,0,31420,Anirban Lahiri,3.95,517,131
2021,0,30163,Henrik Norlander,3.95,659,167
2021,0,27942,Rob Oppenheim,3.95,577,146
2021,0,34256,Andrew Putnam,3.95,680,172
2021,0,29221,Webb Simpson,3.95,683,173
2021,0,22371,Aaron Baddeley,3.96,495,125
2021,0,46402,Talor Gooch,3.96,745,188
2021,0,34363,Tyrrell Hatton,3.96,617,156
2021,0,47347,Adam Schenk,3.96,673,170
2021,0,40098,Matt Fitzpatrick,3.97,456,115
2021,0,21209,Sergio Garcia,3.97,600,151
2021,0,52375,Doug Ghim,3.97,778,196
2021,0,31646,Emiliano Grillo,3.97,763,192
2021,0,27644,Brian Harman,3.97,902,227
2021,0,12716,Charley Hoffman,3.97,917,231
2021,0,46717,Viktor Hovland,3.97,576,145
2021,0,30926,Chris Kirk,3.97,890,224
2021,0,53165,Doc Redman,3.97,631,159
2021,0,48081,Xander Schauffele,3.97,608,153
2021,0,34046,Jordan Spieth,3.97,806,203
2021,0,27214,Kevin Streelman,3.97,767,193
2021,0,20396,Lee Westwood,3.97,461,116
2021,0,39997,Corey Conners,3.98,863,217
2021,0,21961,Charles Howell III,3.98,721,181
2021,0,29478,Kevin Kisner,3.98,446,112
2021,0,32757,Patton Kizzire,3.98,812,204
2021,0,27936,Martin Laird,3.98,530,133
2021,0,27129,Luke List,3.98,760,191
2021,0,26329,Louis Oosthuizen,3.98,497,125
2021,0,49771,J.T. Poston,3.98,518,130
2021,0,34360,Patrick Reed,3.98,701,176
2021,0,35617,Martin Trainer,3.98,203,51
2021,0,33404,Chris Baker,3.99,295,74
2021,0,29268,Bronson Burgoon,3.99,707,177
2021,0,47959,Bryson DeChambeau,3.99,806,202
2021,0,29725,Tony Finau,3.99,559,140
2021,0,32791,K.H. Lee,3.99,898,225
2021,0,32640,Troy Merritt,3.99,642,161
2021,0,48822,Sebastián Muñoz,3.99,475,119
2021,0,25396,Kevin Na,3.99,471,118
2021,0,46970,Jon Rahm,3.99,614,154
2021,0,26476,Chez Reavie,3.99,602,151
2021,0,30110,Kyle Stanley,3.99,801,201
2021,0,33419,Cameron Tringale,3.99,666,167
2021,0,51894,Vince Whaley,3.99,539,135
2021,0,33490,Bo Hoag,4.0,809,202
2021,0,26300,Matt Jones,4.0,811,203
2021,0,46442,Maverick McNealy,4.0,500,125
2021,0,39546,Keith Mitchell,4.0,684,171
2021,0,33667,Carlos Ortiz,4.0,716,179
2021,0,22056,Cameron Percy,4.0,855,214
2021,0,47483,Will Zalatoris,4.0,983,246
2021,0,33948,Byeong Hun An,4.01,689,172
2021,0,28089,Jason Day,4.01,481,120
2021,0,36801,Mark Hubbard,4.01,951,237
2021,0,36871,Matthew NeSmith,4.01,790,197
2021,0,46441,Robby Shelton,4.01,641,160
2021,0,31560,Brian Stuard,4.01,971,242
2021,0,23325,Vaughn Taylor,4.01,818,204
2021,0,37189,Harold Varner III,4.01,839,209
2021,0,27064,Jhonattan Vegas,4.01,806,201
2021,0,25804,Bubba Watson,4.01,686,171
2021,0,45157,Cam Davis,4.02,885,220
2021,0,28679,Fabián Gómez,4.02,462,115
2021,0,27554,Scott Harrington,4.02,559,139
2021,0,29420,Billy Horschel,4.02,599,149
2021,0,39971,Sungjae Im,4.02,848,211
2021,0,36689,Brooks Koepka,4.02,687,171
2021,0,28775,Nate Lashley,4.02,527,131
2021,0,35104,Tom Lewis,4.02,611,152
2021,0,45486,Joaquin Niemann,4.02,519,129
2021,0,23621,Rory Sabbatini,4.02,591,147
2021,0,49960,Sepp Straka,4.02,1052,262
2021,0,46435,Austin Cook,4.03,443,110
2021,0,25686,Jason Dufner,4.03,391,97
2021,0,49298,Kramer Hickok,4.03,677,168
2021,0,30925,Dustin Johnson,4.03,608,151
2021,0,32839,Hideki Matsuyama,4.03,964,239
2021,0,40042,Tyler McCumber,4.03,520,129
2021,0,28237,Rory McIlroy,4.03,835,207
2021,0,39953,Chase Seiffert,4.03,811,201
