YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ROUNDS
2011,1,0,19846,Brian Gay,62.0,62,1
2011,2,0,23638,Brendon de Jonge,66.0,66,1
2011,3,0,25686,Jason Dufner,67.0,67,1
2011,3,0,23800,Bryce Molder,67.0,67,1
2011,3,0,30110,Kyle Stanley,67.0,67,1
2011,3,0,27214,Kevin Streelman,67.0,67,1
2011,7,0,2206,David Toms,68.0,68,1
2011,8,0,28087,Kris Blanks,69.0,69,1
2011,8,0,23353,J.J. Henry,69.0,69,1
2011,8,0,25240,D.A. Points,69.0,69,1
2011,11,0,1948,Tim Petrovic,70.0,70,1
2011,12,0,32366,Kevin Chappell,71.0,71,1
2011,12,0,21878,Mark Wilson,71.0,71,1
2011,14,0,21805,Harrison Frazar,72.0,72,1
2011,14,0,6573,Brandt Jobe,72.0,72,1
2011,14,0,28158,Steve Marino,72.0,72,1
2011,17,0,33419,Cameron Tringale,74.0,74,1
2011,18,0,22913,John Rollins,75.0,75,1
2010,1,0,19846,Brian Gay,65.0,65,1
2010,1,0,23623,Bo Van Pelt,65.0,65,1
2010,3,0,23638,Brendon de Jonge,66.0,66,1
2010,3,0,27797,Derek Lamely,66.0,66,1
2010,3,0,24361,Pat Perez,66.0,66,1
2010,6,0,24846,Ricky Barnes,67.0,67,1
2010,6,0,20572,Rod Pampling,67.0,67,1
2010,6,0,25190,Jeff Quinney,67.0,67,1
2010,6,0,2206,David Toms,67.0,67,1
2010,10,0,22946,Henrik Bjornstad,68.0,68,1
2010,10,0,1116,Michael Bradley,68.0,68,1
2010,12,0,21731,Freddie Jacobson,70.0,70,1
2010,12,0,32617,Jerod Turner,70.0,70,1
2010,14,0,20593,Greg Chalmers,71.0,71,1
2010,14,0,32640,Troy Merritt,71.0,71,1
2010,14,0,23307,Roger Tambellini,71.0,71,1
2010,17,0,21350,Ryuji Imada,72.0,72,1
2010,17,0,1577,Lee Janzen,72.0,72,1
2010,17,0,23548,Bill Lunde,72.0,72,1
2010,20,0,7749,Brett Quigley,75.0,75,1
2009,1,0,6004,Stephen Ames,63.0,63,1
2009,2,0,12510,Chad Campbell,64.0,64,1
2009,3,0,23778,Brad Adamonis,65.0,65,1
2009,4,0,19846,Brian Gay,66.0,66,1
2009,5,0,24924,Bill Haas,67.0,67,1
2009,5,0,30711,Colt Knost,67.0,67,1
2009,7,0,20104,Ken Duke,68.0,68,1
2009,8,0,8075,Jerry Kelly,69.0,69,1
2009,8,0,12705,Cliff Kresge,69.0,69,1
2009,8,0,10860,Justin Leonard,69.0,69,1
2009,11,0,7867,Woody Austin,70.0,70,1
2009,11,0,27936,Martin Laird,70.0,70,1
2009,13,0,1226,Fred Couples,71.0,71,1
2009,13,0,22293,Heath Slocum,71.0,71,1
2009,13,0,12602,Dean Wilson,71.0,71,1
2009,16,0,6539,Rick Price,72.0,72,1
2009,17,0,24503,Jeff Klauk,73.0,73,1
2009,18,0,20634,Peter Lonard,74.0,74,1
2009,18,0,1707,Steve Lowery,74.0,74,1
2009,20,0,2214,Kirk Triplett,75.0,75,1
2009,21,0,8931,Glen Day,77.0,77,1
2008,1,0,25804,Bubba Watson,66.0,66,1
2008,2,0,1139,Olin Browne,67.0,67,1
2008,2,0,20160,Charlie Wi,67.0,67,1
2008,4,0,6197,Michael Allen,68.0,68,1
2008,5,0,1035,Tommy Armour III,69.0,69,1
2008,5,0,11032,Frank Lickliter II,69.0,69,1
2008,5,0,20443,Jin Park,69.0,69,1
2008,8,0,23614,Rich Beem,70.0,70,1
2008,8,0,6621,Joe Durant,70.0,70,1
2008,10,0,23778,Brad Adamonis,71.0,71,1
2008,10,0,12826,Paul Claxton,71.0,71,1
2008,10,0,19846,Brian Gay,71.0,71,1
2008,10,0,6595,Kevin Sutherland,71.0,71,1
2008,10,0,22582,Kyle Thompson,71.0,71,1
2008,15,0,1724,Jeff Maggert,72.0,72,1
2008,15,0,27963,Chris Stroud,72.0,72,1
2008,17,0,10423,Mike Weir,73.0,73,1
2008,18,0,7867,Woody Austin,74.0,74,1
2008,18,0,24227,Justin Bolli,74.0,74,1
2008,18,0,22892,Jason Gore,74.0,74,1
2008,21,0,26679,Kevin Stadler,75.0,75,1
2007,1,0,1161,Mark Calcavecchia,69.0,69,1
2007,2,0,24912,Will MacKenzie,70.0,70,1
2007,2,0,27095,Nick Watney,70.0,70,1
2007,4,0,20634,Peter Lonard,72.0,72,1
2007,4,0,24490,George McNeill,72.0,72,1
2007,6,0,1577,Lee Janzen,73.0,73,1
2007,6,0,26420,Richard Johnson,73.0,73,1
2007,8,0,6515,Shaun Micheel,74.0,74,1
2007,9,0,21806,Paul Gow,75.0,75,1
