YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL HOLES
2021,1,0,28237,Rory McIlroy,3.73,41,11
2021,2,0,36689,Brooks Koepka,3.8,76,20
2021,3,0,35450,Patrick Cantlay,3.81,80,21
2021,4,0,47959,Bryson DeChambeau,3.9,78,20
2021,4,0,46717,Viktor Hovland,3.9,121,31
2021,4,0,26329,Louis Oosthuizen,3.9,367,94
2021,7,0,46970,Jon Rahm,3.91,43,11
2021,8,0,50525,Collin Morikawa,3.92,208,53
2021,8,0,20396,Lee Westwood,3.92,294,75
2021,10,0,39997,Corey Conners,3.93,452,115
2021,10,0,39977,Max Homa,3.93,597,152
2021,10,0,32757,Patton Kizzire,3.93,778,198
2021,10,0,23320,Ryan Palmer,3.93,460,117
2021,10,0,48081,Xander Schauffele,3.93,118,30
2021,15,0,39971,Sungjae Im,3.94,757,192
2021,16,0,46402,Talor Gooch,3.95,450,114
2021,16,0,33399,Adam Hadwin,3.95,940,238
2021,16,0,34431,Robert Streb,3.95,739,187
2021,19,0,52375,Doug Ghim,3.96,666,168
2021,19,0,22056,Cameron Percy,3.96,412,104
2021,19,0,30110,Kyle Stanley,3.96,725,183
2021,19,0,49964,Aaron Wise,3.96,562,142
2021,23,0,21209,Sergio Garcia,3.97,262,66
2021,23,0,29974,Branden Grace,3.97,675,170
2021,23,0,34098,Russell Henley,3.97,564,142
2021,23,0,30926,Chris Kirk,3.97,461,116
2021,23,0,28252,Seamus Power,3.97,381,96
2021,23,0,23621,Rory Sabbatini,3.97,612,154
2021,23,0,47347,Adam Schenk,3.97,775,195
2021,23,0,23788,D.J. Trahan,3.97,591,149
2021,23,0,56278,Matthew Wolff,3.97,373,94
2021,32,0,45526,Abraham Ancer,3.98,458,115
2021,32,0,19803,Ryan Armour,3.98,760,191
2021,32,0,33404,Chris Baker,3.98,736,185
2021,32,0,30911,Tommy Fleetwood,3.98,402,101
2021,32,0,49298,Kramer Hickok,3.98,506,127
2021,32,0,29420,Billy Horschel,3.98,398,100
2021,32,0,35506,Mackenzie Hughes,3.98,601,151
2021,32,0,37455,Si Woo Kim,3.98,510,128
2021,32,0,24138,Ian Poulter,3.98,517,130
2021,32,0,29221,Webb Simpson,3.98,219,55
2021,32,0,27214,Kevin Streelman,3.98,820,206
2021,32,0,33419,Cameron Tringale,3.98,497,125
2021,44,0,25900,Lucas Glover,3.99,779,195
2021,44,0,31646,Emiliano Grillo,3.99,554,139
2021,44,0,35532,Tom Hoge,3.99,834,209
2021,44,0,45486,Joaquin Niemann,3.99,519,130
2021,44,0,39953,Chase Seiffert,3.99,519,130
2021,44,0,27064,Jhonattan Vegas,3.99,511,128
2021,50,0,46435,Austin Cook,4.0,1057,264
2021,50,0,34076,Joel Dahmen,4.0,784,196
2021,50,0,29725,Tony Finau,4.0,412,103
2021,50,0,30944,Jason Kokrak,4.0,372,93
2021,50,0,49766,Hank Lebioda,4.0,632,158
2021,50,0,32839,Hideki Matsuyama,4.0,244,61
2021,50,0,34360,Patrick Reed,4.0,92,23
2021,50,0,24502,Adam Scott,4.0,128,32
2021,50,0,33486,Roger Sloan,4.0,540,135
2021,50,0,30692,Scott Stallings,4.0,849,212
2021,50,0,47128,Richy Werenski,4.0,869,217
2021,61,0,32662,Michael Gligic,4.01,858,214
2021,61,0,32816,Satoshi Kodaira,4.01,819,204
2021,61,0,23108,Matt Kuchar,4.01,389,97
2021,61,0,34466,Peter Malnati,4.01,689,172
2021,61,0,33413,Ben Martin,4.01,586,146
2021,61,0,46442,Maverick McNealy,4.01,689,172
2021,61,0,25818,Scott Piercy,4.01,807,201
2021,61,0,46046,Scottie Scheffler,4.01,509,127
2021,61,0,35891,Cameron Smith,4.01,345,86
2021,61,0,27649,Brandt Snedeker,4.01,574,143
2021,61,0,31560,Brian Stuard,4.01,741,185
2021,61,0,23325,Vaughn Taylor,4.01,666,166
2021,61,0,23623,Bo Van Pelt,4.01,758,189
2021,74,0,40026,Daniel Berger,4.02,225,56
2021,74,0,34314,Sebastian Cappelen,4.02,723,180
2021,74,0,45157,Cam Davis,4.02,555,138
2021,74,0,33597,Harry Higgs,4.02,462,115
2021,74,0,33490,Bo Hoag,4.02,764,190
2021,74,0,12716,Charley Hoffman,4.02,430,107
2021,74,0,35461,Beau Hossler,4.02,595,148
2021,74,0,34174,John Huh,4.02,462,115
2021,74,0,26300,Matt Jones,4.02,751,187
2021,74,0,33204,Shane Lowry,4.02,346,86
2021,74,0,48822,Sebastián Muñoz,4.02,856,213
2021,74,0,26476,Chez Reavie,4.02,869,216
2021,74,0,26331,Charl Schwartzel,4.02,716,178
2021,74,0,27770,Camilo Villegas,4.02,783,195
2021,88,0,28420,Ryan Brehm,4.03,472,117
2021,88,0,25364,Paul Casey,4.03,250,62
2021,88,0,29970,Dylan Frittelli,4.03,628,156
2021,88,0,56762,Will Gordon,4.03,797,198
2021,88,0,27936,Martin Laird,4.03,758,188
2021,88,0,32791,K.H. Lee,4.03,948,235
2021,88,0,39546,Keith Mitchell,4.03,741,184
2021,88,0,24140,Sean O'Hair,4.03,471,117
2021,88,0,36699,Patrick Rodgers,4.03,862,214
2021,88,0,49960,Sepp Straka,4.03,689,171
2021,88,0,25493,Nick Taylor,4.03,754,187
2021,88,0,40006,Erik van Rooyen,4.03,387,96
2021,100,0,22371,Aaron Baddeley,4.04,428,106
2021,100,0,24357,K.J. Choi,4.04,639,158
2021,100,0,26758,David Hearn,4.04,590,146
2021,100,0,27129,Luke List,4.04,817,202
2021,100,0,29908,C.T. Pan,4.04,550,136
2021,100,0,24361,Pat Perez,4.04,857,212
2021,100,0,39324,J.J. Spaun,4.04,868,215
2021,100,0,30927,Brendon Todd,4.04,659,163
2021,108,0,33120,Mark Anderson,4.05,373,92
2021,108,0,33141,Keegan Bradley,4.05,770,190
2021,108,0,52372,Cameron Champ,4.05,449,111
2021,108,0,20229,Stewart Cink,4.05,611,151
