YEAR,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ROUNDS
2024,0,52955,Ludvig Åberg,64.0,64,1
2024,0,34021,Bud Cauley,66.33,199,3
2024,0,34076,Joel Dahmen,66.75,267,4
2024,0,29725,Tony Finau,67.0,67,1
2024,0,25493,Nick Taylor,67.0,134,2
2024,0,60067,Joe Highsmith,67.25,269,4
2024,0,32333,Kevin Tway,67.33,404,6
2024,0,27064,Jhonattan Vegas,67.75,271,4
2024,0,37212,Paul Barjon,68.0,136,2
2024,0,33653,Thomas Detry,68.0,136,2
2024,0,36801,Mark Hubbard,68.0,408,6
2024,0,47420,Jake Knapp,68.0,68,1
2024,0,30163,Henrik Norlander,68.0,272,4
2024,0,51634,Sahith Theegala,68.0,68,1
2024,0,54591,Ben Griffin,68.17,409,6
2024,0,46414,Aaron Rai,68.33,205,3
2024,0,39546,Keith Mitchell,68.38,547,8
2024,0,48117,Kurt Kitayama,68.4,342,5
2024,0,48887,Matt Wallace,68.44,616,9
2024,0,36799,Stephan Jaeger,68.5,274,4
2024,0,37378,Min Woo Lee,68.5,137,2
2024,0,27139,David Skinns,68.5,274,4
2024,0,33948,Byeong Hun An,68.67,206,3
2024,0,51997,Andrew Novak,68.67,412,6
2024,0,23320,Ryan Palmer,68.67,206,3
2024,0,58168,Davis Thompson,68.67,206,3
2024,0,22371,Aaron Baddeley,68.8,344,5
2024,0,23108,Matt Kuchar,68.8,688,10
2024,0,27129,Luke List,68.86,482,7
2024,0,50188,S.H. Kim,68.89,620,9
2024,0,56630,Akshay Bhatia,69.0,138,2
2024,0,47504,Sam Burns,69.0,69,1
2024,0,54576,Patrick Fishburn,69.0,276,4
2024,0,52453,Nicolai Højgaard,69.0,69,1
2024,0,30926,Chris Kirk,69.0,69,1
2024,0,47993,Denny McCarthy,69.0,207,3
2024,0,49947,Taylor Moore,69.0,483,7
2024,0,33968,Thorbjørn Olesen,69.0,69,1
2024,0,49771,J.T. Poston,69.0,207,3
2024,0,34256,Andrew Putnam,69.0,345,5
2024,0,48081,Xander Schauffele,69.0,69,1
2024,0,29221,Webb Simpson,69.0,276,4
2024,0,45242,Kevin Yu,69.0,552,8
2024,0,47483,Will Zalatoris,69.0,69,1
2024,0,51696,Rico Hoey,69.13,553,8
2024,0,48084,Wesley Bryan,69.2,346,5
2024,0,36699,Patrick Rodgers,69.2,346,5
2024,0,33486,Roger Sloan,69.22,623,9
2024,0,29535,Brice Garnett,69.25,277,4
2024,0,52215,Robert MacIntyre,69.25,277,4
2024,0,46340,Alex Smalley,69.25,277,4
2024,0,40058,Zac Blair,69.29,485,7
2024,0,34255,Joseph Bramlett,69.33,624,9
2024,0,57362,Austin Eckroat,69.33,208,3
2024,0,60004,Jacob Bridgeman,69.4,347,5
2024,0,46442,Maverick McNealy,69.5,139,2
2024,0,54421,Garrick Higgo,69.57,487,7
2024,0,48867,Matti Schmid,69.63,557,8
2024,0,52375,Doug Ghim,69.67,418,6
2024,0,29420,Billy Horschel,69.67,209,3
2024,0,34587,Chan Kim,69.67,418,6
2024,0,31646,Emiliano Grillo,69.75,279,4
2024,0,29908,C.T. Pan,69.75,279,4
2024,0,32366,Kevin Chappell,69.8,349,5
2024,0,35310,Lanto Griffin,69.8,349,5
2024,0,26476,Chez Reavie,69.8,698,10
2024,0,50484,Hayden Springer,69.83,419,6
2024,0,52514,Trace Crowe,69.86,489,7
2024,0,50497,Adrien Dumont de Chassart,69.88,559,8
2024,0,45522,Christiaan Bezuidenhout,70.0,70,1
2024,0,25900,Lucas Glover,70.0,70,1
2024,0,57975,Harry Hall,70.0,140,2
2024,0,27644,Brian Harman,70.0,140,2
2024,0,35506,Mackenzie Hughes,70.0,210,3
2024,0,24024,Zach Johnson,70.0,280,4
2024,0,32757,Patton Kizzire,70.0,280,4
2024,0,27349,Alex Noren,70.0,350,5
2024,0,50095,Austin Smotherman,70.0,280,4
2024,0,40115,Adam Svensson,70.0,560,8
2024,0,51894,Vince Whaley,70.0,350,5
2024,0,31323,Gary Woodland,70.0,420,6
2024,0,59836,Pierceson Coody,70.14,491,7
2024,0,34563,Chesson Hadley,70.14,491,7
2024,0,29936,Ryan Fox,70.2,351,5
2024,0,26596,Ryan Moore,70.2,351,5
2024,0,40006,Erik van Rooyen,70.2,351,5
2024,0,48319,Tom Whitney,70.2,351,5
2024,0,52513,Carson Young,70.2,702,10
2024,0,52374,Brandon Wu,70.22,632,9
2024,0,55893,Sam Stevens,70.25,281,4
2024,0,51349,Nico Echavarria,70.27,773,11
2024,0,29478,Kevin Kisner,70.3,703,10
2024,0,47995,Davis Riley,70.3,703,10
2024,0,32070,Rafael Campos,70.33,422,6
2024,0,33399,Adam Hadwin,70.33,422,6
2024,0,40026,Daniel Berger,70.38,563,8
2024,0,32791,K.H. Lee,70.4,704,10
2024,0,35461,Beau Hossler,70.43,493,7
2024,0,47347,Adam Schenk,70.44,634,9
2024,0,39324,J.J. Spaun,70.45,775,11
2024,0,39997,Corey Conners,70.5,141,2
2024,0,54628,Lee Hodges,70.5,705,10
2024,0,39975,Michael Kim,70.5,564,8
2024,0,33448,Justin Thomas,70.5,141,2
2024,0,52666,Sami Valimaki,70.5,282,4
2024,0,39327,Ben Silverman,70.57,494,7
2024,0,59442,Parker Coody,70.6,353,5
2024,0,28775,Nate Lashley,70.6,353,5
2024,0,27214,Kevin Streelman,70.6,353,5
2024,0,40162,Justin Lower,70.67,424,6
2024,0,46113,Ryan McCormick,70.67,212,3
2024,0,59143,Mac Meissner,70.67,424,6
2024,0,49960,Sepp Straka,70.67,212,3
2024,0,55708,Hayden Buckley,70.73,778,11
2024,0,34466,Peter Malnati,70.75,283,4
2024,0,28252,Seamus Power,70.75,566,8
2024,0,37275,Sam Ryder,70.86,496,7
2024,0,51890,Greyson Sigg,70.88,567,8
2024,0,47988,Nick Hardy,70.9,709,10
2024,0,34374,Erik Barnes,71.0,213,3
2024,0,34099,Harris English,71.0,213,3
2024,0,51977,Max Greyserman,71.0,213,3
2024,0,35532,Tom Hoge,71.0,142,2
2024,0,47983,Chad Ramey,71.1,711,10
2024,0,45609,Tyler Duncan,71.17,427,6
2024,0,51287,Ryo Hisatsune,71.17,427,6
2024,0,47679,Victor Perez,71.2,356,5
2024,0,28420,Ryan Brehm,71.23,926,13
2024,0,34098,Russell Henley,71.25,285,4
2024,0,52372,Cameron Champ,71.29,499,7
2024,0,47663,Kevin Dougherty,71.33,214,3
2024,0,60767,Blaine Hale Jr.,71.33,214,3
2024,0,51070,Vincent Norrman,71.38,571,8
2024,0,47806,Raul Pereda,71.4,357,5
2024,0,27936,Martin Laird,71.43,500,7
2024,0,50493,Justin Suh,71.5,429,6
2024,0,54783,Dylan Wu,71.5,429,6
2024,0,48119,Ben Taylor,71.71,502,7
2024,0,30927,Brendon Todd,71.75,287,4
2024,0,38991,Alejandro Tosti,71.75,574,8
2024,0,48699,Callum Tarren,71.82,790,11
2024,0,46441,Robby Shelton,71.83,431,6
2024,0,47591,Eric Cole,72.0,288,4
2024,0,32640,Troy Merritt,72.0,288,4
2024,0,48153,Matthieu Pavon,72.0,144,2
2024,0,40250,Taylor Pendrith,72.0,288,4
2024,0,27649,Brandt Snedeker,72.13,577,8
2024,0,36326,David Lipsky,72.14,505,7
2024,0,56149,Wilson Furr,72.25,289,4
2024,0,57900,Chandler Phillips,72.25,289,4
2024,0,36871,Matt NeSmith,72.29,506,7
2024,0,12716,Charley Hoffman,72.33,217,3
2024,0,27330,Josh Teater,72.33,651,9
2024,0,32102,Rickie Fowler,72.5,145,2
2024,0,37455,Si Woo Kim,72.5,145,2
2024,0,55454,Carl Yuan,72.6,363,5
2024,0,27770,Camilo Villegas,72.71,509,7
2024,0,36884,Ben Kohles,72.75,291,4
2024,0,33408,Tyson Alexander,73.0,438,6
